date,value_usd
2005-01-01,415529456364.72
2005-02-01,452566269400.08
2005-03-01,410011576100.49
2005-04-01,405746968325.30
2005-05-01,372478676038.23
2005-06-01,382374306732.90
2005-07-01,386495310368.73
2005-08-01,403797433342.36
2005-09-01,399215155804.32
2005-10-01,381325561351.45
2005-11-01,380259409407.66
2005-12-01,401852250000.00
2006-01-01,439341633656.40
2006-02-01,458232105444.26
2006-03-01,461748231038.50
2006-04-01,510164584208.67
2006-05-01,594194763942.28
2006-06-01,606601291255.62
2006-07-01,563245896088.04
2006-08-01,582549773731.66
2006-09-01,610652668642.05
2006-10-01,637284709034.06
2006-11-01,746027855660.84
2006-12-01,1145454870000.00
2007-01-01,1338667776417.58
2007-02-01,1428034638326.30
2007-03-01,1561158936953.33
2007-04-01,1997178756237.08
2007-05-01,2204399430007.35
2007-06-01,2112434172151.39
2007-07-01,2503304757319.61
2007-08-01,2972615472411.11
2007-09-01,3131998722738.15
2007-10-01,3192457728223.12
2007-11-01,2658675365957.08
2007-12-01,4478866530000.00
2008-01-01,3876565800383.27
2008-02-01,3921998238719.94
2008-03-01,3180295853892.91
2008-04-01,3321744695613.67
2008-05-01,3029945106895.10
2008-06-01,2342367312965.55
2008-07-01,2353601668447.14
2008-08-01,2006611945032.60
2008-09-01,1882455117238.32
2008-10-01,1395828815571.30
2008-11-01,1535322761976.75
2008-12-01,1778784040000.00
2009-01-01,1989139549780.60
2009-02-01,2094640235998.72
2009-03-01,2454072589657.15
2009-04-01,2566746265671.94
2009-05-01,2700596408153.29
2009-06-01,3098643519980.42
2009-07-01,3654623622705.81
2009-08-01,2769644997519.31
2009-09-01,2940436526743.39
2009-10-01,3210103757066.44
2009-11-01,3436449260472.90
2009-12-01,3573152460000.00
2010-01-01,3201895076246.64
2010-02-01,3279350286772.92
2010-03-01,3343245089521.60
2010-04-01,3065191776027.39
2010-05-01,2771299666418.58
2010-06-01,2561258243369.71
2010-07-01,2866822096739.92
2010-08-01,2901137822832.97
2010-09-01,2933494934390.72
2010-10-01,3377590794408.56
2010-11-01,3134772556687.23
2010-12-01,4027840300000.00
2011-01-01,3961208774639.26
2011-02-01,4171146363239.63
2011-03-01,4150197669179.35
2011-04-01,4110836785502.48
2011-05-01,3864705724865.58
2011-06-01,3919465894403.60
2011-07-01,3826748287809.84
2011-08-01,3665416304665.85
2011-09-01,3323657738936.34
2011-10-01,3470388726957.80
2011-11-01,3246622682659.37
2011-12-01,3412108290000.00
2012-01-01,3584507223611.91
2012-02-01,3831614301252.74
2012-03-01,3570892188017.85
2012-04-01,3820006610650.12
2012-05-01,3828559645831.00
2012-06-01,3580652539389.23
2012-07-01,3393460345949.17
2012-08-01,3207199095113.82
2012-09-01,3335552806739.83
2012-10-01,3279856256216.72
2012-11-01,3112344771279.60
2012-12-01,3697376040000.00
2013-01-01,3937614988150.86
2013-02-01,3917757501739.31
2013-03-01,3656532634369.77
2013-04-01,3586525835411.88
2013-05-01,3819715742260.92
2013-06-01,3225031652892.69
2013-07-01,3213864564593.35
2013-08-01,3391028515315.96
2013-09-01,3530441259399.35
2013-10-01,3478679899985.65
2013-11-01,3574259624248.44
2013-12-01,3949143490000.00
2014-01-01,3732909481659.25
2014-02-01,3693113475107.74
2014-03-01,3637741433624.03
2014-04-01,3658690268418.60
2014-05-01,3654961511416.33
2014-06-01,3669639254888.91
2014-07-01,3983414156629.96
2014-08-01,3963143277653.98
2014-09-01,4154157329543.01
2014-10-01,4251325347243.08
2014-11-01,4760639655962.28
2014-12-01,6004947670000.00
2015-01-01,5836169982361.68
2015-02-01,6071442544318.24
2015-03-01,6884335160696.27
2015-04-01,8071641670724.62
2015-05-01,8226178953385.00
2015-06-01,7601113540134.87
2015-07-01,6485841727840.99
2015-08-01,5720870283345.78
2015-09-01,5442876506455.40
2015-10-01,6005576422964.42
2015-11-01,6060515837396.02
2015-12-01,8188019320000.00
2016-01-01,6465462835287.80
2016-02-01,6314869995368.64
2016-03-01,7062391609085.71
2016-04-01,6927775392229.96
2016-05-01,6955888103966.55
2016-06-01,6921564699473.17
2016-07-01,7031316199390.94
2016-08-01,7303138250577.00
2016-09-01,7139619269195.82
2016-10-01,7321770328847.39
2016-11-01,7764463241533.10
2016-12-01,7320738379789.18
2017-01-01,7492981680560.76
2017-02-01,7636407182037.86
2017-03-01,7643572927986.75
2017-04-01,7607523033243.86
2017-05-01,7725027996905.83
2017-06-01,8109678162162.54
2017-07-01,8266860126541.53
2017-08-01,8453125288213.10
2017-09-01,8484995164485.81
2017-10-01,8861462224800.88
2017-11-01,8860091001810.66
2017-12-01,8711267220000.00
2018-01-01,9240856768671.12
2018-02-01,8695685336115.41
2018-03-01,8425239157291.89
2018-04-01,8119177243875.01
2018-05-01,8217509520816.60
2018-06-01,7587750718601.68
2018-07-01,7602187193546.08
2018-08-01,7206351153004.95
2018-09-01,7431888656776.91
2018-10-01,6815874761844.38
2018-11-01,6856655642413.34
2018-12-01,6324879760000.00
2019-01-01,6726097283313.84
2019-02-01,7708741980951.36
2019-03-01,8135148519369.04
2019-04-01,8221009657592.08
2019-05-01,7625590920249.91
2019-06-01,8036934469652.20
2019-07-01,8057459630416.55
2019-08-01,7982312752162.62
2019-09-01,8013699231366.25
2019-10-01,8165421555869.99
2019-11-01,8043405042339.43
2019-12-01,8569512150000.00
2020-01-01,8375637653209.51
2020-02-01,8242071763912.21
2020-03-01,7710966930181.76
2020-04-01,8184608099401.70
2020-05-01,8089302509481.81
2020-06-01,8710462339833.23
2020-07-01,9821433493269.39
2020-08-01,10074905361807.41
2020-09-01,9596243704970.98
2020-10-01,9822019216824.64
2020-11-01,10376197374892.59
2020-12-01,12276766270000.00
2021-01-01,12608156906713.92
2021-02-01,12572348719623.20
2021-03-01,11892935485612.43
2021-04-01,12069926873515.44
2021-05-01,12560122108373.15
2021-06-01,12306802742724.12
2021-07-01,11334162860872.43
2021-08-01,11321064602962.93
2021-09-01,11464226677272.35
2021-10-01,11564089114823.38
2021-11-01,11383304886050.88
2021-12-01,14437446150000.00
2022-01-01,13336892503190.15
2022-02-01,13389143961514.52
2022-03-01,12339877400476.08
2022-04-01,11736823097354.25
2022-05-01,11956816933073.43
2022-06-01,13106728920548.77
2022-07-01,12186454494322.29
2022-08-01,11919761648310.96
2022-09-01,11119186312295.13
2022-10-01,10253618110891.49
2022-11-01,11259897034796.18
2022-12-01,11469346090000.00
2023-01-01,12314313606330.51
2023-02-01,12055399183137.70
2023-03-01,12000505770531.71
2023-04-01,11935806788809.39
2023-05-01,11252823719391.73
2023-06-01,11382903036581.62
2023-07-01,11892970375086.64
2023-08-01,11154264418938.35
2023-09-01,10929862044145.95
2023-10-01,10583230732271.91
2023-11-01,10357169409230.22
2023-12-01,10935845590000.00
2024-01-01,10248161999413.16
2024-02-01,11206667219088.63
2024-03-01,11274874620083.06
2024-04-01,11488134302351.16
2024-05-01,11410142007849.59
2024-06-01,11033216435812.14
2024-07-01,10970809851163.97
2024-08-01,10586266723594.90
2024-09-01,12805939536704.30
2024-10-01,12401762876886.37
2024-11-01,12483165541437.67
2024-12-01,11755757950000.00
2025-01-01,11403734407085.80
2025-02-01,11621736256584.65
2025-03-01,11613550357343.50
2025-04-01,11264783248798.96
2025-05-01,11472896293010.13
2025-06-01,11759253388727.06
2025-07-01,12176047112498.25
2025-08-01,13434315427606.22
2025-09-01,13864314142124.09
2025-10-01,13864254391034.74
2025-11-01,13523643306186.67
2025-12-01,15508858500000.00
2026-01-01,15764774729886.35
2026-02-01,15779211888928.37
2026-03-01,14906282968661.58
2026-04-01,16102992815378.82
2026-05-01,16387079928685.90
2026-06-01,16679541264175.13
2026-07-01,15486415584551.85
