date,value_usd
2000-08-01,88079624.05
2000-09-01,415957418.28
2000-10-01,132053996.80
2000-11-01,477393661.64
2000-12-01,339573466.77
2001-01-01,217279640.92
2001-02-01,388435501.14
2001-03-01,295739142.19
2001-04-01,321719210.90
2001-05-01,314448789.23
2001-06-01,296295095.72
2001-07-01,199179442.16
2001-08-01,348019610.79
2001-09-01,235628510.09
2001-10-01,38004198.72
2001-11-01,302969251.20
2001-12-01,264481323.84
2002-01-01,162262308.69
2002-02-01,288206094.61
2002-03-01,198015191.10
2002-04-01,240846005.49
2002-05-01,322038350.40
2002-06-01,312986493.19
2002-07-01,189259627.66
2002-08-01,245928816.64
2002-09-01,237336009.43
2002-10-01,158079597.04
2002-11-01,377766725.72
2002-12-01,251826109.65
2003-01-01,81504709.65
2003-02-01,197237493.93
2003-03-01,152510619.90
2003-04-01,400671263.18
2003-05-01,172360493.68
2003-06-01,402386613.85
2003-07-01,151534503.45
2003-08-01,504785858.21
2003-09-01,197335430.67
2003-10-01,118413372.05
2003-11-01,858112704.96
2003-12-01,312691394.85
2004-01-01,170192700.99
2004-02-01,845049209.20
2004-03-01,483592038.86
2004-04-01,719894373.32
2004-05-01,427650749.04
2004-06-01,408163639.54
2004-07-01,335044191.94
2004-08-01,456388281.46
2004-09-01,432704992.63
2004-10-01,210850057.28
2004-11-01,934594998.44
2004-12-01,643424895.05
2005-01-01,306498512.39
2005-02-01,672262500.00
2005-03-01,426971534.08
2005-04-01,371316756.38
2005-05-01,843289122.33
2005-06-01,818422667.14
2005-07-01,556073437.50
2005-08-01,580198517.95
2005-09-01,845804232.54
2005-10-01,613356008.95
2005-11-01,1519574409.92
2005-12-01,1047570963.91
2006-01-01,475882083.21
2006-02-01,1039860855.53
2006-03-01,992960766.51
2006-04-01,2090524626.20
2006-05-01,1848587121.82
2006-06-01,1466715040.40
2006-07-01,1376944209.99
2006-08-01,1387426590.43
2006-09-01,1365872668.68
2006-10-01,782542191.95
2006-11-01,1388561973.30
2006-12-01,1181056587.89
2007-01-01,685079588.22
2007-02-01,1502535097.02
2007-03-01,1216377359.69
2007-04-01,1692128743.74
2007-05-01,1032133052.27
2007-06-01,1377946512.94
2007-07-01,1312154553.77
2007-08-01,1441488605.64
2007-09-01,958815070.65
2007-10-01,507888590.50
2007-11-01,1302025751.75
2007-12-01,927560267.65
2008-01-01,422618512.25
2008-02-01,1520384399.25
2008-03-01,1062365945.02
2008-04-01,1745515806.77
2008-05-01,1259823007.29
2008-06-01,1763784987.46
2008-07-01,1051026212.41
2008-08-01,1959359146.34
2008-09-01,879251603.48
2008-10-01,254425897.50
2008-11-01,1223956642.09
2008-12-01,332219245.46
2009-01-01,216851151.84
2009-02-01,696847910.45
2009-03-01,474048221.56
2009-04-01,962908312.48
2009-05-01,572119122.52
2009-06-01,1562084328.75
2009-07-01,692325873.76
2009-08-01,2684939483.89
2009-09-01,852250604.63
2009-10-01,443598748.56
2009-11-01,3595114685.80
2009-12-01,1122781722.90
2010-01-01,416921250.52
2010-02-01,4056698886.26
2010-03-01,1130996701.22
2010-04-01,4566117317.97
2010-05-01,864914642.51
2010-06-01,2726296300.95
2010-07-01,867756779.48
2010-08-01,4825807912.64
2010-09-01,981958925.34
2010-10-01,502327215.15
2010-11-01,4798056092.55
2010-12-01,1434513390.66
2011-01-01,649623481.18
2011-02-01,9910486063.03
2011-03-01,1660660073.66
2011-04-01,5788170752.93
2011-05-01,1157624579.43
2011-06-01,5045765806.26
2011-07-01,1336495643.16
2011-08-01,4633124626.28
2011-09-01,951598369.23
2011-10-01,494632692.98
2011-11-01,6172452062.22
2011-12-01,881981276.71
2012-01-01,455068113.54
2012-02-01,7636980485.62
2012-03-01,1423483955.98
2012-04-01,8581193707.56
2012-05-01,1271865606.96
2012-06-01,6355551767.37
2012-07-01,1184429351.48
2012-08-01,5806346693.59
2012-09-01,1218490350.62
2012-10-01,378447094.68
2012-11-01,6402891532.72
2012-12-01,890224507.93
2013-01-01,738183877.65
2013-02-01,6895909582.21
2013-03-01,946186494.68
2013-04-01,6305592187.50
2013-05-01,1061771436.08
2013-06-01,7396699671.51
2013-07-01,884718448.38
2013-08-01,5337536092.16
2013-09-01,869105725.96
2013-10-01,498210779.52
2013-11-01,5698117394.72
2013-12-01,1095601508.61
2014-01-01,500063136.32
2014-02-01,3996794920.95
