date,value_usd
2002-07-01,3932173444040.44
2002-08-01,4075209665592.32
2002-09-01,4160436186319.95
2002-10-01,4135019796289.47
2002-11-01,4164625589527.26
2002-12-01,4328208578603.66
2003-01-01,4293092358896.97
2003-02-01,4378087670078.04
2003-03-01,4383378670966.74
2003-04-01,4486725274839.25
2003-05-01,4661947165571.04
2003-06-01,4653544791223.72
2003-07-01,4383358353783.38
2003-08-01,4446949105958.79
2003-09-01,4648732869518.48
2003-10-01,4590017835004.04
2003-11-01,4604111865095.76
2003-12-01,4722528536548.25
2004-01-01,4780189921934.03
2004-02-01,4852226527229.13
2004-03-01,4900225872899.73
2004-04-01,4709712863633.08
2004-05-01,4685076247099.67
2004-06-01,4690995455297.63
2004-07-01,4764292944991.59
2004-08-01,4911079312246.70
2004-09-01,4926374900561.90
2004-10-01,4984647833166.59
2004-11-01,4923840535110.49
2004-12-01,4992330166535.89
2005-01-01,5053655959111.15
2005-02-01,5006339677144.86
2005-03-01,4943151611543.50
2005-04-01,5023306556962.65
2005-05-01,5054588924170.70
2005-06-01,5116249137583.94
2005-07-01,5073958514091.77
2005-08-01,5150233690177.89
2005-09-01,5054386565024.51
2005-10-01,4974442105624.90
2005-11-01,5007122701391.27
2005-12-01,5050227637592.22
2006-01-01,5028189588809.62
2006-02-01,5062501654399.22
2006-03-01,4977283666888.59
2006-04-01,4967218127912.03
2006-05-01,4957779577213.73
2006-06-01,4953518657521.02
2006-07-01,5025789316768.34
2006-08-01,5137639068217.59
2006-09-01,5182466495223.18
2006-10-01,5234364708379.15
2006-11-01,5310854027577.81
2006-12-01,5263263057292.60
2007-01-01,5268195663066.95
2007-02-01,5373586988272.07
2007-03-01,5337315533519.95
2007-04-01,5384900002306.48
2007-05-01,5318626162897.53
2007-06-01,5275549264409.60
2007-07-01,5232070085691.30
2007-08-01,5356917145674.90
2007-09-01,5396197981625.22
2007-10-01,5448254668811.33
2007-11-01,5503801441753.77
2007-12-01,5459586780998.10
2008-01-01,5599667665059.51
2008-02-01,5560119861319.94
2008-03-01,5526917520285.06
2008-04-01,5595707033336.74
2008-05-01,5472314277337.52
2008-06-01,5401621450549.37
2008-07-01,5422704591714.40
2008-08-01,5430547837175.85
2008-09-01,4847831107782.62
2008-10-01,4753724758898.89
2008-11-01,4913158166447.34
2008-12-01,5591880088680.44
2009-01-01,5491212508604.81
2009-02-01,5205451731093.68
2009-03-01,5230013986736.01
2009-04-01,5375233899154.63
2009-05-01,5499771325263.94
2009-06-01,5658790668615.67
2009-07-01,5920946942507.71
2009-08-01,5998509008987.39
2009-09-01,6104023862667.30
2009-10-01,6073675273206.13
2009-11-01,6192267485122.79
2009-12-01,6064247287443.18
2010-01-01,6139943423803.75
2010-02-01,6171050656891.30
2010-03-01,6211281524335.19
2010-04-01,6329780277208.42
2010-05-01,6246969469581.42
2010-06-01,6451783744209.99
2010-07-01,6587960478318.35
2010-08-01,6776069152107.05
2010-09-01,6807004908167.10
2010-10-01,6789124567785.79
2010-11-01,6679456881828.60
2010-12-01,6629229553831.56
2011-01-01,6631671272926.88
2011-02-01,6703293001337.92
2011-03-01,6667062180952.50
2011-04-01,6834029200088.11
2011-05-01,6920786823753.19
2011-06-01,6865618356764.79
2011-07-01,7032463879143.95
2011-08-01,7056400771882.69
2011-09-01,7081177170637.56
2011-10-01,7258883446549.71
2011-11-01,7029745440011.37
2011-12-01,7274961652767.65
2012-01-01,7430995995541.21
2012-02-01,7552331839897.81
2012-03-01,7445003474431.85
