date,value_usd
2003-04-01,944805508559.69
2003-05-01,1030998316402.59
2003-06-01,1074273603514.24
2003-07-01,1135200217139.21
2003-08-01,1225872447069.25
2003-09-01,1217898014862.05
2003-10-01,1329716161863.64
2003-11-01,1354713776562.31
2003-12-01,1476427589404.34
2004-01-01,1680032418241.73
2004-02-01,1746473461069.12
2004-03-01,1756080049643.15
2004-04-01,1583973724257.95
2004-05-01,1602484906058.96
2004-06-01,1617294197769.53
2004-07-01,1558457904764.22
2004-08-01,1613492155810.18
2004-09-01,1726061258288.43
2004-10-01,1775191210392.84
2004-11-01,1951799442193.62
2004-12-01,2044432462810.50
2005-01-01,2027990533886.40
2005-02-01,2224344859060.24
2005-03-01,2048393629178.58
2005-04-01,2022839357291.21
2005-05-01,2086775971036.29
2005-06-01,2169599214059.27
2005-07-01,2336259732161.54
2005-08-01,2367167322987.23
2005-09-01,2572006048399.66
2005-10-01,2408983428405.40
2005-11-01,2548371066262.90
2005-12-01,2703973123185.71
2006-01-01,3247836154184.90
2006-02-01,3122793880986.23
2006-03-01,3190470946343.31
2006-04-01,3398334123116.56
2006-05-01,3019667483023.61
2006-06-01,3026113476591.51
2006-07-01,3097012700574.56
2006-08-01,3145996608093.54
2006-09-01,3118603929289.90
2006-10-01,3338714829105.34
2006-11-01,3538522749006.64
2006-12-01,3731717881903.85
2007-01-01,4582797883213.21
2007-02-01,4434449465929.84
2007-03-01,4671006763818.95
2007-04-01,4845015927675.92
2007-05-01,5090395038954.69
2007-06-01,5277636408824.44
2007-07-01,5315323691875.66
2007-08-01,5370656657993.08
2007-09-01,5992121384627.04
2007-10-01,6703395811195.57
2007-11-01,6190589395381.71
2007-12-01,6103507017266.62
2008-01-01,5137078089384.41
2008-02-01,5239527432823.73
2008-03-01,5042885272955.59
2008-04-01,5503716661383.79
2008-05-01,5677842287138.46
2008-06-01,5151534137539.15
2008-07-01,4867993535239.34
2008-08-01,4560542258745.50
2008-09-01,3890979089982.28
2008-10-01,2895744545035.40
2008-11-01,2613344084555.22
2008-12-01,2883394908892.43
2009-01-01,2811372477183.85
2009-02-01,2635117826557.07
2009-03-01,3079476910684.95
2009-04-01,3558589428472.36
2009-05-01,4125829016254.74
2009-06-01,4033019065882.25
2009-07-01,4477238746148.93
2009-08-01,4418426657104.07
2009-09-01,4868904362231.17
2009-10-01,4701225176721.43
2009-11-01,5070366601165.20
2009-12-01,5236463493276.08
2010-01-01,5324737914701.85
2010-02-01,5419325004200.10
2010-03-01,5858880658312.80
2010-04-01,5849145104158.30
2010-05-01,5299698378648.46
2010-06-01,5225576893585.56
2010-07-01,5796860502340.41
2010-08-01,5609232483359.19
2010-09-01,6268733152461.94
2010-10-01,6457760971651.17
2010-11-01,6270132202106.84
2010-12-01,6726457312598.93
2011-01-01,6508154361033.51
2011-02-01,6505311736728.79
2011-03-01,6914468385323.98
2011-04-01,7103418317655.10
2011-05-01,6894575301686.75
2011-06-01,6830079297901.64
2011-07-01,6759770414394.59
2011-08-01,6134157440687.63
2011-09-01,5036467190344.17
2011-10-01,5855789830622.55
2011-11-01,5740999238763.83
2011-12-01,5496155564109.59
2012-01-01,5939236028750.87
2012-02-01,6252344107835.60
2012-03-01,6057709673931.54
2012-04-01,5954751196208.58
2012-05-01,5317244428404.67
2012-06-01,5584987131355.31
2012-07-01,5583560685932.44
2012-08-01,5606396680118.39
2012-09-01,5898992253437.92
2012-10-01,5873299324359.94
2012-11-01,5964645506947.15
2012-12-01,6370457465254.81
2013-01-01,6041856608531.08
2013-02-01,5903857922916.93
2013-03-01,5843739261227.22
2013-04-01,5914788207185.65
2013-05-01,5629227886328.09
2013-06-01,5329428401314.71
2013-07-01,5400025182646.85
2013-08-01,5262983631280.32
2013-09-01,5642273168013.54
2013-10-01,5877597404396.47
2013-11-01,5862371381326.96
2013-12-01,5838533248240.64
2014-01-01,5837375493284.36
2014-02-01,6034552579376.44
2014-03-01,6268413596517.11
2014-04-01,6317327290432.91
2014-05-01,6503803812369.13
2014-06-01,6660013221072.55
2014-07-01,6750907169902.09
2014-08-01,6941940673383.55
2014-09-01,6402730895440.68
2014-10-01,6493628288411.46
2014-11-01,6393488351077.18
