date,value_usd
2005-03-01,8493243090354.15
2005-04-01,8310446115368.99
2005-05-01,8332866808038.33
2005-06-01,8444957459560.64
2005-07-01,8677765391022.81
2005-08-01,8924369522040.84
2005-09-01,9041641132989.82
2005-10-01,8853669604490.19
2005-11-01,8931267977702.78
2005-12-01,9308348440000.00
2006-01-01,9897651790816.84
2006-02-01,9865791630649.70
2006-03-01,10262192324115.70
2006-04-01,10798400627619.47
2006-05-01,10481629693298.71
2006-06-01,10587808399636.53
2006-07-01,10697527440112.04
2006-08-01,11044377691010.78
2006-09-01,11168256644501.01
2006-10-01,11580579588602.35
2006-11-01,12015918263438.79
2006-12-01,12188716490000.00
2007-01-01,12380052662814.52
2007-02-01,12226265581722.19
2007-03-01,12682272275765.45
2007-04-01,13411870937798.40
2007-05-01,13697994680486.06
2007-06-01,13649708470677.20
2007-07-01,13261660561100.03
2007-08-01,13297430407001.49
2007-09-01,13984114220230.84
2007-10-01,14647558561275.73
2007-11-01,14096776906187.98
2007-12-01,13795183900000.00
2008-01-01,12556162047879.81
2008-02-01,12519289597575.53
2008-03-01,12683386491685.14
2008-04-01,13203330461723.67
2008-05-01,13291837222681.11
2008-06-01,12097061750916.18
2008-07-01,11748587205013.55
2008-08-01,11296858038051.53
2008-09-01,9840270248810.14
2008-10-01,7692262765283.21
2008-11-01,7124375649691.09
2008-12-01,7190634820000.00
2009-01-01,6195269639426.02
2009-02-01,5552310030792.28
2009-03-01,5979698905624.13
2009-04-01,6766996560462.76
2009-05-01,7732372638498.35
2009-06-01,7550541622529.46
2009-07-01,8407195338999.57
2009-08-01,8868322613346.21
2009-09-01,9295716761450.88
2009-10-01,9055780211416.11
2009-11-01,9466293954058.64
2009-12-01,9749255340000.00
2010-01-01,9137914674526.96
2010-02-01,9087641191062.25
2010-03-01,9678870421724.79
2010-04-01,9310859404399.83
2010-05-01,8216885131967.10
2010-06-01,8082147705147.52
2010-07-01,9228408986188.06
2010-08-01,8806102878911.15
2010-09-01,9797519381170.84
2010-10-01,10276134103542.78
2010-11-01,9473749437579.74
2010-12-01,9625254970000.00
2011-01-01,9980147910492.93
2011-02-01,10291902876034.99
2011-03-01,10186029006532.47
2011-04-01,11033063039080.13
2011-05-01,10719346824577.79
2011-06-01,10495826523984.34
2011-07-01,10013479007164.06
2011-08-01,9084093423070.28
2011-09-01,7972354128720.09
2011-10-01,8962524494058.79
2011-11-01,8705668028967.43
2011-12-01,8817327850000.00
2012-01-01,9298309652255.90
2012-02-01,9802707721375.80
2012-03-01,9809088839689.36
2012-04-01,9564342436257.69
2012-05-01,8419345916527.99
2012-06-01,9115286591539.67
2012-07-01,9145078064016.23
2012-08-01,9572855411765.46
2012-09-01,9853696226940.68
