date,value_usd
2000-08-01,1902088581387.58
2000-09-01,1869965757469.64
2000-10-01,1810504044919.23
2000-11-01,1846044412421.61
2000-12-01,1859030243732.17
2001-01-01,1815288397359.87
2001-02-01,1823489876229.79
2001-03-01,1762661354823.18
2001-04-01,1804352883622.40
2001-05-01,1813237871209.20
2001-06-01,1849461747428.47
2001-07-01,1819389241083.61
2001-08-01,1875433410049.58
2001-09-01,1998457470296.56
2001-10-01,1910290268835.08
2001-11-01,1872016075042.72
2001-12-01,1904822616255.13
2002-01-01,1928060452586.27
2002-02-01,2027846676502.11
2002-03-01,2068171187867.55
2002-04-01,2111229525522.96
2002-05-01,2231519759479.97
2002-06-01,2142669049301.60
2002-07-01,2072272031591.30
2002-08-01,2135150870570.99
2002-09-01,2213749575728.78
2002-10-01,2173425064363.34
2002-11-01,2165223376915.85
2002-12-01,2375731338485.00
2003-01-01,2517208882622.49
2003-02-01,2393501522236.19
2003-03-01,2295765615893.44
2003-04-01,2317636643368.37
2003-05-01,2491237220001.38
2003-06-01,2364795824747.54
2003-07-01,2419473184857.30
2003-08-01,2567785607586.09
2003-09-01,2634081781572.64
2003-10-01,2627930620275.80
2003-11-01,2711996978013.54
2003-12-01,2841172408134.93
2004-01-01,2748904362949.70
2004-02-01,2709263151723.57
2004-03-01,2920454413432.04
2004-04-01,2645017295310.10
2004-05-01,2692859985406.15
2004-06-01,2683291489102.46
2004-07-01,2672355975364.99
2004-08-01,2804948531915.67
2004-09-01,2861676418176.10
2004-10-01,2928656100879.53
2004-11-01,3084486493761.35
2004-12-01,2990168131003.02
2005-01-01,2882863728356.57
2005-02-01,2983333460989.30
2005-03-01,2930023118313.31
2005-04-01,2973081455968.72
2005-05-01,2845273043281.10
2005-06-01,2979232617265.56
2005-07-01,2938224597183.23
2005-08-01,2964879768521.23
2005-09-01,3205460236435.24
2005-10-01,3178805065097.25
2005-11-01,3380427830502.02
2005-12-01,3534207697233.17
2006-01-01,3901229560401.03
2006-02-01,3838350512843.77
2006-03-01,3976410930551.96
2006-04-01,4454837831512.45
2006-05-01,4391275483815.87
2006-06-01,4193070053417.96
2006-07-01,4334547806133.02
2006-08-01,4277820128450.16
2006-09-01,4091233303351.45
2006-10-01,4128823988426.92
2006-11-01,4421348198738.30
2006-12-01,4341382476146.74
2007-01-01,4456204848946.22
2007-02-01,4575128274047.03
2007-03-01,4531386219097.16
2007-04-01,4650992944337.28
2007-05-01,4517716879069.71
