date,value_usd
1990-01-01,75874526466.65
1990-02-01,81400492142.86
1990-03-01,82641353303.57
1990-04-01,81372917450.40
1990-05-01,86363936785.71
1990-06-01,90389841884.92
1990-07-01,94801792678.57
1990-08-01,85123075625.00
1990-09-01,76106151190.48
1990-10-01,82448330456.35
1990-11-01,81758963144.84
1990-12-01,83385870000.00
1991-01-01,89424727648.81
1991-02-01,97945307619.05
1991-03-01,103267223263.89
1991-04-01,98937996547.62
1991-05-01,102219384950.40
1991-06-01,101143971944.44
1991-07-01,110546942073.41
1991-08-01,110243620456.35
1991-09-01,109104784311.32
1991-10-01,111365909093.06
1991-11-01,114429453386.14
1991-12-01,121880900000.00
1992-01-01,130517191563.72
1992-02-01,139800149721.25
1992-03-01,140061073702.28
1992-04-01,152293701228.05
1992-05-01,172447887200.36
1992-06-01,173120063160.61
1992-07-01,166800969322.77
1992-08-01,159639512443.17
1992-09-01,156145283190.54
1992-10-01,175581910904.10
1992-11-01,164801433837.58
1992-12-01,171983500000.00
1993-01-01,179440153586.13
1993-02-01,198178508699.18
1993-03-01,199329763047.05
1993-04-01,213107415565.14
1993-05-01,230008129807.75
1993-06-01,221493804801.85
1993-07-01,218052518466.40
1993-08-01,235546021069.42
1993-09-01,239492743574.21
1993-10-01,291062192709.71
1993-11-01,284700655901.84
1993-12-01,385042740000.00
1994-01-01,372042142681.19
1994-02-01,337166639366.60
1994-03-01,292461346698.51
1994-04-01,290394960404.36
1994-05-01,309422971096.90
1994-06-01,283667976650.81
1994-07-01,307129899708.60
1994-08-01,321594445622.66
1994-09-01,308373615527.17
1994-10-01,312425354599.20
1994-11-01,274207392697.59
1994-12-01,269507830000.00
1995-01-01,241596288118.58
1995-02-01,273999078784.64
1995-03-01,282560425385.09
1995-04-01,275101326654.87
1995-05-01,309530956564.34
1995-06-01,302920746782.44
1995-07-01,311044490953.30
1995-08-01,302045541923.27
1995-09-01,317391445231.44
1995-10-01,321869552126.54
1995-11-01,322886233121.81
1995-12-01,303705280000.00
1996-01-01,342486230542.79
1996-02-01,335431310380.37
1996-03-01,330351164878.79
1996-04-01,330571248379.95
1996-05-01,339622053553.77
1996-06-01,332271676811.53
1996-07-01,322036012729.72
1996-08-01,336435273899.57
1996-09-01,358848224346.48
1996-10-01,376190038730.11
1996-11-01,403815803074.07
1996-12-01,449218770000.00
1997-01-01,444887374824.22
1997-02-01,447455497255.85
1997-03-01,418588465306.69
1997-04-01,430911382909.19
1997-05-01,492843227607.92
1997-06-01,507503826056.42
1997-07-01,546539769685.69
1997-08-01,472051239299.86
1997-09-01,502577998559.49
1997-10-01,354786475931.16
1997-11-01,351550477299.12
1997-12-01,413322580000.00
1998-01-01,356644353182.31
1998-02-01,442536717216.21
1998-03-01,444001470669.24
1998-04-01,400250807298.94
1998-05-01,344392815312.18
1998-06-01,329303543483.14
1998-07-01,305909911578.23
1998-08-01,280424737318.52
1998-09-01,303876978935.76
1998-10-01,391433791043.07
1998-11-01,400969331505.13
1998-12-01,343566530000.00
1999-01-01,325046200843.15
1999-02-01,337067252739.17
1999-03-01,374119897780.65
1999-04-01,455869514825.38
1999-05-01,415316778660.14
1999-06-01,462671365142.43
1999-07-01,450866074346.52
1999-08-01,460983373434.55
1999-09-01,435356550773.18
1999-10-01,453262485005.36
1999-11-01,525754675387.20
1999-12-01,608159390000.00
2000-01-01,556896760553.56
2000-02-01,615593356065.62
2000-03-01,624094329242.72
2000-04-01,556429222784.98
2000-05-01,527550983783.02
2000-06-01,579249603665.65
2000-07-01,603816782399.75
2000-08-01,613014387902.46
2000-09-01,561078795383.14
2000-10-01,534057752391.15
2000-11-01,501396529555.54
2000-12-01,623397740000.00
2001-01-01,664976199798.54
2001-02-01,610692346905.48
2001-03-01,526974129010.10
2001-04-01,552801190600.43
2001-05-01,544061544607.74
2001-06-01,538615321824.73
2001-07-01,508640427932.34
2001-08-01,458001827991.33
2001-09-01,410932501264.35
2001-10-01,416023143712.82
2001-11-01,465797413640.23
2001-12-01,506072920000.00
