date,value_usd
2009-01-01,2918398540597.81
2009-02-01,2774811381944.64
2009-03-01,2860963346416.29
2009-04-01,3108650988392.86
2009-05-01,3309672018346.55
2009-06-01,3431720028360.93
2009-07-01,3431720028360.93
2009-08-01,3496335159235.55
2009-09-01,3306082050000.00
2009-10-01,3259416099417.62
2009-11-01,3069163982342.83
2009-12-01,3306082050000.00
2010-01-01,3288133861868.51
2010-02-01,3259416099417.62
2010-03-01,3604024618744.74
2010-04-01,3621973137596.48
2010-05-01,3237878604380.09
2010-06-01,3097881414073.46
2010-07-01,3083522863568.27
2010-08-01,2907629296998.67
2010-09-01,3018909055574.66
2010-10-01,2947115310887.94
2010-11-01,3144547033935.59
2010-12-01,3827774200000.00
2011-01-01,3882276966251.38
2011-02-01,4045784878743.24
2011-03-01,3731346139802.42
2011-04-01,3660072637952.91
2011-05-01,3622340221037.38
2011-06-01,3664265128721.30
2011-07-01,3546874228419.48
2011-08-01,3249205838814.50
2011-09-01,3236627980247.05
2011-10-01,3257590820351.29
2011-11-01,3102467503133.93
2011-12-01,3325387760000.00
2012-01-01,3433237948926.33
2012-02-01,3806221223725.25
2012-03-01,3927551987615.01
2012-04-01,3707357877766.44
2012-05-01,3302918893012.31
2012-06-01,3563557625864.67
2012-07-01,3334375430999.94
2012-08-01,3311906357004.14
2012-09-01,3374818397938.87
2012-10-01,3392794153954.97
2012-11-01,3568051357860.58
2012-12-01,3478831520000.00
2013-01-01,3800504721050.36
2013-02-01,3935527177260.82
2013-03-01,4229401712654.47
2013-04-01,4745666670935.34
2013-05-01,4765522494812.31
2013-06-01,4638442148625.94
2013-07-01,4613061203660.21
2013-08-01,4508127076557.46
2013-09-01,4907683227457.56
2013-10-01,4911720323417.66
2013-11-01,5174054360602.12
2013-12-01,4543169140000.00
2014-01-01,4252379149494.96
2014-02-01,4221589650277.93
2014-03-01,4231853023441.79
2014-04-01,4098431343272.55
2014-05-01,4221589650277.93
2014-06-01,4454221456599.59
2014-07-01,4547422672860.19
2014-08-01,4502225435943.34
2014-09-01,4703870495734.88
2014-10-01,4738635954942.26
2014-11-01,5009812553423.13
2014-12-01,4377994370000.00
2015-01-01,439317432072.78
2015-02-01,473624869579.03
2015-03-01,482733151477.07
2015-04-01,497913373040.82
2015-05-01,522808955363.89
2015-06-01,510361198056.85
2015-07-01,597546517934.86
2015-08-01,552916674662.52
2015-09-01,512182739331.17
2015-10-01,565668005254.69
2015-11-01,574168971309.97
2015-12-01,4894919120000.00
2016-01-01,4549902206799.26
2016-02-01,4109391204890.10
2016-03-01,4303462942537.85
2016-04-01,4278818603910.39
2016-05-01,4402039119329.63
2016-06-01,3989251599836.18
2016-07-01,4228107537705.29
2016-08-01,4253312764544.32
2016-09-01,4262764540590.52
2016-10-01,4502210515192.44
2016-11-01,4738505210776.78
2016-12-01,4955299652289.15
2017-01-01,4971221806415.66
2017-02-01,5018991542509.10
2017-03-01,4983960720158.29
2017-04-01,5050838231644.97
2017-05-01,5165484884004.39
2017-06-01,5318347682371.00
2017-07-01,5342591022093.33
2017-08-01,5342591022093.33
2017-09-01,5572344432424.87
2017-10-01,5876527217064.77
2017-11-01,5973605930020.69
2017-12-01,6222825210000.00
2018-01-01,6296034270251.91
2018-02-01,6063094626272.38
2018-03-01,5939968572670.72
2018-04-01,6152941664148.52
2018-05-01,6046454200266.49
2018-06-01,5996539655298.41
2018-07-01,6075626055744.12
2018-08-01,6011280749225.42
2018-09-01,6353330073853.30
2018-10-01,5750509738731.45
2018-11-01,5825014604981.09
2018-12-01,5296811100000.00
2019-01-01,5550181183726.64
2019-02-01,5690561345495.17
2019-03-01,5687137333455.88
2019-04-01,5783007814052.16
2019-05-01,5413223796328.12
2019-06-01,5563876613049.17
2019-07-01,5611094314587.22
2019-08-01,5425805942141.04
2019-09-01,5743943258839.37
2019-10-01,6027118275124.92
2019-11-01,6142486997422.63
2019-12-01,6191073290000.00
2020-01-01,6066069624710.92
2020-02-01,5437588449838.48
2020-03-01,5114665848654.33
2020-04-01,5323003446900.55
