date,value_usd
2004-09-01,361329679842.81
2004-10-01,381822916092.63
2004-11-01,396923112377.15
2004-12-01,415798384034.32
2005-01-01,380211193728.51
2005-02-01,392269495942.55
2005-03-01,385571830215.39
2005-04-01,407818992406.12
2005-05-01,422179344335.55
2005-06-01,441588852562.17
2005-07-01,473109336189.60
2005-08-01,453926091212.69
2005-09-01,459994098438.84
2005-10-01,446753384880.98
2005-11-01,465320437737.53
2005-12-01,465433429087.58
2006-01-01,500520504668.65
2006-02-01,509819812011.73
2006-03-01,533857897621.44
2006-04-01,515701148550.01
2006-05-01,501788799257.75
2006-06-01,526682490999.87
2006-07-01,547177585890.76
2006-08-01,566243210449.27
2006-09-01,577375172963.84
2006-10-01,612177946597.38
2006-11-01,641447896429.10
2006-12-01,629628973158.42
2007-01-01,684905099089.12
2007-02-01,666425437431.93
2007-03-01,652597428362.16
2007-04-01,651774997219.55
2007-05-01,649307844066.53
2007-06-01,590819846078.47
2007-07-01,542021785678.14
2007-08-01,578578660596.11
2007-09-01,601242964968.37
2007-10-01,613863698986.31
2007-11-01,555724985246.10
2007-12-01,525643475568.64
2008-01-01,521538438801.61
2008-02-01,504946455105.55
2008-03-01,537693396363.48
2008-04-01,571994407043.40
2008-05-01,570787763228.16
2008-06-01,510196169295.65
2008-07-01,526090671625.71
2008-08-01,538579582401.93
2008-09-01,537912961491.56
2008-10-01,367249381538.43
2008-11-01,283819945773.77
2008-12-01,331248906608.05
2009-01-01,273177998198.47
2009-02-01,217106584298.64
2009-03-01,225012349192.07
2009-04-01,294054482731.67
2009-05-01,301746416229.39
2009-06-01,292099525470.40
2009-07-01,323560725461.18
2009-08-01,369904678264.72
2009-09-01,394291662366.58
2009-10-01,376693522610.79
2009-11-01,401426108747.04
2009-12-01,431078447679.00
2010-01-01,407279565669.15
2010-02-01,430018706646.32
2010-03-01,473823580393.99
2010-04-01,507702889961.43
2010-05-01,480618737105.99
2010-06-01,455567692108.84
2010-07-01,499272374581.81
2010-08-01,492902811607.94
2010-09-01,514939140776.78
2010-10-01,539361158509.52
2010-11-01,529374855341.61
2010-12-01,553465017970.20
2011-01-01,571457224703.19
2011-02-01,598345939695.86
2011-03-01,588708640226.20
2011-04-01,622539134163.83
2011-05-01,631097159335.14
2011-06-01,610275609919.83
2011-07-01,619820959259.19
2011-08-01,584991358070.46
2011-09-01,521567019791.77
2011-10-01,596105751166.54
2011-11-01,573446917511.40
2011-12-01,601261060417.36
2012-01-01,639617380448.30
2012-02-01,632257091642.53
2012-03-01,665135610661.29
2012-04-01,684154278231.05
2012-05-01,653327137863.07
2012-06-01,689371448667.94
2012-07-01,703173787449.61
2012-08-01,703068370938.67
2012-09-01,689968598484.43
2012-10-01,683703084342.23
2012-11-01,681897677550.32
2012-12-01,707282927254.49
2013-01-01,733725638525.87
2013-02-01,742647255974.45
2013-03-01,763977161258.91
2013-04-01,815428975362.74
2013-05-01,766685025965.87
2013-06-01,751490529948.17
2013-07-01,758270431775.85
2013-08-01,705342435831.79
