date,value_usd
2003-12-01,903535669859.53
2004-01-01,914551588610.52
2004-02-01,934184432174.27
2004-03-01,949730542838.76
2004-04-01,903935282488.13
2004-05-01,922190572518.32
2004-06-01,920889750159.63
2004-07-01,928346618937.21
2004-08-01,953336214285.49
2004-09-01,954123159779.61
2004-10-01,964563317210.33
2004-11-01,961426913093.43
2004-12-01,978337256870.52
2005-01-01,978430222308.42
2005-02-01,973262315241.79
2005-03-01,975392403182.01
2005-04-01,992730041087.49
2005-05-01,1000273076338.11
2005-06-01,1005448614895.92
2005-07-01,980600965283.42
2005-08-01,1005421002773.31
2005-09-01,1003866953662.13
2005-10-01,990695832427.25
2005-11-01,992444137677.34
2005-12-01,1002702249355.04
2006-01-01,1002994535466.89
2006-02-01,1002994535466.89
2006-03-01,981539569320.26
2006-04-01,979237217811.16
2006-05-01,982142595877.16
2006-06-01,986343384880.84
2006-07-01,1001245467067.69
2006-08-01,1017895230109.89
2006-09-01,1019022886996.19
2006-10-01,1018274376466.70
2006-11-01,1029194346560.51
2006-12-01,1005481985325.49
2007-01-01,1007822702422.03
2007-02-01,1027768922764.14
2007-03-01,1031116233546.14
2007-04-01,1037969173863.33
2007-05-01,1024355703649.31
2007-06-01,1022156377271.01
2007-07-01,1045673857972.40
2007-08-01,1054270108381.82
2007-09-01,1067769591868.62
2007-10-01,1080222312275.53
2007-11-01,1124703846109.67
2007-12-01,1125406220806.17
2008-01-01,1165614397093.31
2008-02-01,1182197349899.17
2008-03-01,1180542981367.68
2008-04-01,1164019137929.80
2008-05-01,1165263070990.67
2008-06-01,1186114663694.44
2008-07-01,1178885005222.18
2008-08-01,1188089416100.74
2008-09-01,1140304626001.82
2008-10-01,1048059184603.69
2008-11-01,1057249165026.22
2008-12-01,1126008414836.76
2009-01-01,1125554132980.51
2009-02-01,1100819360060.15
2009-03-01,1165833629021.50
2009-04-01,1144904750125.32
2009-05-01,1167764673796.53
2009-06-01,1170079790709.05
2009-07-01,1171107544438.21
2009-08-01,1180961048329.46
2009-09-01,1204850807045.61
2009-10-01,1218641466609.18
2009-11-01,1252756174705.03
2009-12-01,1226583073830.51
2010-01-01,1245353767023.52
2010-02-01,1229124637899.23
2010-03-01,1229053456899.77
2010-04-01,1259964742510.79
2010-05-01,1262380040089.23
2010-06-01,1278536600670.20
2010-07-01,1275431000026.75
2010-08-01,1300199906525.80
2010-09-01,1310413061782.78
2010-10-01,1342835382645.67
2010-11-01,1320105888096.28
2010-12-01,1301788227970.06
2011-01-01,1302030909389.30
2011-02-01,1311415839722.65
