date,value_usd
2002-07-01,33375234.17
2002-08-01,34216502.33
2002-09-01,35535483.72
2002-10-01,35090979.27
2002-11-01,34357805.05
2002-12-01,35576745.00
2003-01-01,36558380.34
2003-02-01,37364119.58
2003-03-01,37222121.38
2003-04-01,37273494.12
2003-05-01,38686511.24
2003-06-01,38418943.11
2003-07-01,36490288.43
2003-08-01,36749411.32
2003-09-01,38577799.47
2003-10-01,38012120.75
2003-11-01,38020656.47
2003-12-01,38796393.00
2004-01-01,42119309.97
2004-02-01,42798203.30
2004-03-01,43353309.38
2004-04-01,41469076.99
2004-05-01,41248853.31
2004-06-01,41518328.59
2004-07-01,42021393.80
2004-08-01,43210500.92
2004-09-01,43349762.87
2004-10-01,43778591.17
2004-11-01,42912709.19
2004-12-01,43413659.00
2005-01-01,46473486.09
2005-02-01,45837535.06
2005-03-01,45652602.43
2005-04-01,46801427.43
2005-05-01,47661772.57
2005-06-01,47889775.54
2005-07-01,46842466.64
2005-08-01,47779534.05
2005-09-01,46942294.42
2005-10-01,46360561.00
2005-11-01,46650500.61
2005-12-01,47287646.00
2006-01-01,50510837.78
2006-02-01,50458482.52
2006-03-01,49773319.80
2006-04-01,49461210.60
2006-05-01,49408391.39
2006-06-01,49521813.90
2006-07-01,50352419.80
2006-08-01,51240417.02
2006-09-01,51859238.50
2006-10-01,52138458.62
2006-11-01,52822281.04
2006-12-01,52148388.00
2007-01-01,51900907.00
2007-02-01,52967502.63
2007-03-01,52894252.83
2007-04-01,53215111.98
2007-05-01,52473547.95
2007-06-01,52228149.65
2007-07-01,53406827.05
2007-08-01,54615492.25
2007-09-01,54663663.71
2007-10-01,55252372.38
2007-11-01,57488769.53
2007-12-01,57517842.00
2008-01-01,51105434.32
2008-02-01,51738785.22
2008-03-01,52430667.89
2008-04-01,51163247.33
2008-05-01,50253809.64
2008-06-01,50829708.61
2008-07-01,51195951.95
2008-08-01,51977538.12
2008-09-01,51904621.24
2008-10-01,51456696.41
2008-11-01,55446564.26
2008-12-01,58305488.00
2009-01-01,59054785.55
2009-02-01,58620828.10
2009-03-01,60563280.39
