date,value_usd
2002-07-01,4250141886613.11
2002-08-01,4357278187229.21
2002-09-01,4525240214925.54
2002-10-01,4468631911017.79
2002-11-01,4375277454573.42
2002-12-01,4530497784780.00
2003-01-01,4690832519343.51
2003-02-01,4794216175322.03
2003-03-01,4775997956126.48
2003-04-01,4782583818935.08
2003-05-01,4963888504077.19
2003-06-01,4929558330858.62
2003-07-01,4682090212570.13
2003-08-01,4715335943294.87
2003-09-01,4949943776238.77
2003-10-01,4877360360588.78
2003-11-01,4878460561711.58
2003-12-01,4977987915300.00
2004-01-01,5773684559880.05
2004-02-01,5866753969476.08
2004-03-01,5942839941447.88
2004-04-01,5684551033860.38
2004-05-01,5654367196963.49
2004-06-01,5691301459878.07
2004-07-01,5760267510833.96
2004-08-01,5923263372689.25
2004-09-01,5942363311946.32
2004-10-01,6001147299703.92
2004-11-01,5882447507680.00
2004-12-01,5951118343560.00
2005-01-01,6749737434978.05
2005-02-01,6657374486413.15
2005-03-01,6630520508961.10
2005-04-01,6797371951542.99
2005-05-01,6922323415469.92
2005-06-01,6955435540025.87
2005-07-01,6803329210746.09
2005-08-01,6939424234756.90
2005-09-01,6817827510307.50
2005-10-01,6733337973609.30
2005-11-01,6775443541150.21
2005-12-01,6867992804643.00
2006-01-01,7008973301220.91
2006-02-01,7001717189839.31
2006-03-01,6906647108988.60
2006-04-01,6863327238142.28
2006-05-01,6855999044362.03
2006-06-01,6871742170375.45
2006-07-01,6987004126805.07
2006-08-01,7110218807720.80
2006-09-01,7196081600200.52
2006-10-01,7234830566576.76
2006-11-01,7329711362350.10
2006-12-01,7236215539076.00
2007-01-01,6745403980819.16
2007-02-01,6884024687076.10
2007-03-01,6874510294666.40
2007-04-01,6916207795322.90
2007-05-01,6819826871465.75
2007-06-01,6787936791055.55
2007-07-01,6941128551106.28
2007-08-01,7098207436131.75
2007-09-01,7104474317930.59
2007-10-01,7180982907589.87
2007-11-01,7471646436984.63
2007-12-01,7475417689792.00
2008-01-01,7452920584368.86
2008-02-01,7545286843197.15
2008-03-01,7646192019512.72
2008-04-01,7461350213250.23
2008-05-01,7328728489963.12
2008-06-01,7412707841819.63
2008-07-01,7466133080058.51
2008-08-01,7580101722146.58
2008-09-01,7569470921388.65
2008-10-01,7504152102227.04
2008-11-01,8086010601355.78
2008-12-01,8502935704090.00
2009-01-01,10138814861393.29
2009-02-01,10064299858278.86
2009-03-01,10397802383342.13
2009-04-01,10112354849287.27
2009-05-01,9902291294381.45
2009-06-01,9847118711725.10
2009-07-01,9929019394838.58
2009-08-01,10004818140562.99
2009-09-01,10117303698619.07
2009-10-01,10103358790296.46
2009-11-01,10307153391851.96
2009-12-01,9853352536257.00
2010-01-01,10785331503940.24
2010-02-01,10821133273466.36
