date,value_usd
1993-01-01,4830389937075.13
1993-02-01,4881922844549.98
1993-03-01,4991273905936.80
1993-04-01,4863559608743.61
1993-05-01,4994727543781.49
1993-06-01,5012748052168.16
1993-07-01,4988410202468.94
1993-08-01,5179605106595.27
1993-09-01,5141919991620.17
1993-10-01,5243359666215.07
1993-11-01,5187390788458.45
1993-12-01,5251079630000.00
1994-01-01,5434211460839.85
1994-02-01,5275729258489.05
1994-03-01,5054668162371.78
1994-04-01,5111344273633.26
1994-05-01,5192813294077.65
1994-06-01,5073823835935.63
1994-07-01,5237844314706.25
1994-08-01,5437514940517.38
1994-09-01,5300191666871.46
1994-10-01,5450857620811.05
1994-11-01,5233827106132.40
1994-12-01,5137739860000.00
1995-01-01,5310409046436.77
1995-02-01,5527119355367.85
1995-03-01,5681040056818.43
1995-04-01,5849328477712.07
1995-05-01,6081387663519.78
1995-06-01,6204416241509.19
1995-07-01,6403979195231.85
1995-08-01,6432494199506.68
1995-09-01,6705075745855.22
1995-10-01,6685372168338.81
1995-11-01,6982734735378.11
1995-12-01,6952026000000.00
1996-01-01,7199364201326.61
1996-02-01,7222327743259.24
1996-03-01,7346682998263.64
1996-04-01,7426543334101.99
1996-05-01,7595126346050.28
1996-06-01,7662129317458.70
1996-07-01,7317821448803.26
1996-08-01,7458753900708.08
1996-09-01,7875494119483.74
1996-10-01,8130121615757.40
1996-11-01,8723650960420.34
1996-12-01,8480497000000.00
1997-01-01,9004471270518.64
1997-02-01,9090606496798.60
1997-03-01,8689500823516.15
1997-04-01,9233496940111.07
1997-05-01,9817120959722.79
1997-06-01,10220629051001.25
1997-07-01,11030761471364.19
1997-08-01,10459328360137.06
1997-09-01,10962317636668.77
1997-10-01,10693712039729.07
1997-11-01,11107518908062.74
1997-12-01,10770143000000.00
1998-01-01,10908839944737.01
1998-02-01,11664764748577.21
1998-03-01,12233808499923.68
1998-04-01,12390293594967.07
1998-05-01,12132959875464.14
1998-06-01,12649505794046.67
1998-07-01,12478564152570.51
1998-08-01,10716849095810.16
1998-09-01,11398860984731.71
1998-10-01,12323094377121.57
1998-11-01,13009267831438.11
1998-12-01,12922580000000.00
1999-01-01,13377783593194.89
1999-02-01,12948775947362.09
1999-03-01,13485739991471.06
1999-04-01,13997853222773.81
1999-05-01,13677776972076.45
1999-06-01,14435230881327.17
1999-07-01,13987428752385.48
1999-08-01,13914983648448.37
1999-09-01,13604165998879.04
1999-10-01,14475885413066.78
1999-11-01,14716932751670.11
1999-12-01,14777387400000.00
2000-01-01,14041659890002.18
2000-02-01,13827863957891.92
2000-03-01,15167982553458.95
2000-04-01,14635280634158.32
2000-05-01,14405165037773.19
2000-06-01,14688687660385.00
2000-07-01,14458044082067.54
2000-08-01,15402755660996.54
2000-09-01,14557713840717.33
2000-10-01,14489611521543.54
2000-11-01,13407921094101.70
2000-12-01,15107751000000.00
2001-01-01,15779429320891.11
2001-02-01,14274267786399.59
2001-03-01,13474379103777.53
2001-04-01,14625624869987.37
2001-05-01,14543640116658.08
2001-06-01,14197078485511.80
2001-07-01,14052326865518.37
2001-08-01,13218570300028.21
2001-09-01,12139529672330.63
2001-10-01,12297611706561.76
2001-11-01,13256546786680.82
2001-12-01,13983666000000.00
2002-01-01,13846644865102.41
2002-02-01,13598285871065.16
2002-03-01,14050699262399.81
2002-04-01,13233577824505.36
2002-05-01,13155053603128.51
2002-06-01,12184112689230.26
2002-07-01,11223765435232.51
2002-08-01,11300100625285.55
2002-09-01,10115251034450.38
2002-10-01,10947578526038.64
2002-11-01,11622835015042.40
2002-12-01,11054430000000.00
2003-01-01,10782552728372.85
2003-02-01,10637207973267.10
2003-03-01,10659973848608.76
2003-04-01,11561936392409.00
2003-05-01,12195945955362.35
2003-06-01,12325850324646.16
2003-07-01,12548060997424.43
2003-08-01,12806869038174.83
2003-09-01,12667193925834.07
2003-10-01,13345232725446.07
2003-11-01,13490972183943.06
2003-12-01,14266265650000.00
2004-01-01,14548309037426.13
2004-02-01,14745731578969.15
2004-03-01,14550421567053.98
2004-04-01,14275107251274.60
2004-05-01,14519541702151.22
2004-06-01,14788172742380.68
2004-07-01,14311723446628.36
2004-08-01,14346583140074.76
2004-09-01,14490577886848.00
2004-10-01,14677288573613.73
2004-11-01,15330686601040.29
2004-12-01,16323726330000.00
2005-01-01,15957740212218.45
2005-02-01,16291314421789.69
2005-03-01,15993303829584.80
2005-04-01,15693670046084.92
2005-05-01,16199384990432.61
2005-06-01,16223926787698.04
2005-07-01,16844680643232.03
2005-08-01,16686772990356.46
2005-09-01,16820687035688.98
2005-10-01,16422861631273.43
2005-11-01,17144690066485.97
2005-12-01,17000864470000.00
2006-01-01,17409128521178.66
2006-02-01,17508805505599.92
2006-03-01,17797766053819.99
2006-04-01,18022590349610.28
2006-05-01,17479733620716.97
2006-06-01,17525325035657.35
2006-07-01,17603806836459.16
2006-08-01,17987959868150.01
2006-09-01,18473660449103.79
2006-10-01,19055888547640.81
2006-11-01,19434822809619.34
2006-12-01,19568972500000.00
2007-01-01,19863301427092.23
2007-02-01,19473629439409.89
2007-03-01,19699314377677.57
2007-04-01,20571906127399.64
2007-05-01,21269704275906.73
2007-06-01,20958732143565.88
2007-07-01,20302502062075.91
2007-08-01,20563041107014.97
2007-09-01,21359126268639.17
2007-10-01,21648892295424.58
2007-11-01,20810384370888.32
2007-12-01,19922279820000.00
2008-01-01,18717747419509.48
2008-02-01,18234036810904.42
2008-03-01,18070986749650.24
2008-04-01,18932290276881.57
2008-05-01,19218487532524.95
2008-06-01,17612278921303.57
2008-07-01,17454010198449.16
2008-08-01,17723748616139.47
2008-09-01,16054638258168.01
2008-10-01,13402628632397.43
2008-11-01,12469717411055.01
2008-12-01,11590277780000.00
2009-01-01,10638549736985.31
2009-02-01,9495448643975.53
2009-03-01,10286520077516.65
2009-04-01,11308451465916.27
2009-05-01,11969463838555.55
2009-06-01,11961630403987.51
2009-07-01,12854030692347.10
2009-08-01,13328851554543.50
2009-09-01,13801457130579.27
2009-10-01,13536123883926.83
2009-11-01,14370038736868.87
2009-12-01,15077285740000.00
2010-01-01,14529342616318.99
2010-02-01,14982581331089.90
2010-03-01,15894712920341.17
2010-04-01,16140606627685.24
2010-05-01,14858163538364.30
2010-06-01,14089383154818.69
2010-07-01,15051703710160.05
2010-08-01,14374669260079.71
2010-09-01,15661989200461.19
2010-10-01,16260308010281.40
2010-11-01,16260308010281.40
2010-12-01,17283451680000.00
2011-01-01,17686159267244.48
2011-02-01,18300528905129.93
2011-03-01,18302725464409.11
2011-04-01,18832796283383.56
2011-05-01,18621601380544.12
2011-06-01,18307457575177.41
2011-07-01,17941226100931.50
2011-08-01,16954896571658.64
2011-09-01,15777875656180.49
2011-10-01,17499985021137.76
2011-11-01,17428872447987.36
2011-12-01,15640707040000.00
2012-01-01,16366034273593.26
2012-02-01,17076408527084.85
2012-03-01,17625647224910.39
2012-04-01,17507982765431.27
2012-05-01,16456532969500.85
2012-06-01,17124355236975.47
2012-07-01,17326929076588.37
2012-08-01,17761015875758.88
2012-09-01,18211275831914.48
2012-10-01,17879863796668.55
2012-11-01,17981052808600.71
2012-12-01,18668333210000.00
2013-01-01,19623965875772.11
2013-02-01,19874354819861.00
2013-03-01,20629011380344.49
2013-04-01,21025334184523.57
2013-05-01,21521737003836.22
2013-06-01,21234544083778.85
2013-07-01,22331875331404.70
2013-08-01,21662086795029.47
2013-09-01,22347609963068.75
2013-10-01,23382471171550.73
2013-11-01,24075464952286.59
2013-12-01,24034853520000.00
2014-01-01,23187668252232.75
2014-02-01,24243067151706.08
2014-03-01,24444180363280.16
2014-04-01,24614102706162.63
2014-05-01,25185305403097.32
2014-06-01,25705251252872.81
2014-07-01,25359837994605.35
2014-08-01,26360627138828.15
2014-09-01,25996942002036.71
2014-10-01,26609203117352.85
2014-11-01,27340200806122.24
2014-12-01,26330589190000.00
2015-01-01,25550443655380.70
2015-02-01,26986479481978.18
2015-03-01,26562645741481.34
2015-04-01,26823854602827.96
2015-05-01,27168715140562.89
2015-06-01,26616856400982.41
2015-07-01,27218112438730.57
2015-08-01,25559171126667.59
2015-09-01,24907005628562.93
2015-10-01,27025587451199.18
2015-11-01,27124367848828.56
2015-12-01,25067539600000.00
2016-01-01,23819511749522.44
2016-02-01,23799838632124.21
2016-03-01,25400756364131.13
2016-04-01,25500862265353.65
2016-05-01,25934681209573.80
2016-06-01,26024825926014.14
2016-07-01,26973975949176.70
2016-08-01,27006283035745.71
2016-09-01,27007847538181.34
2016-10-01,26539616216774.68
2016-11-01,27517287809233.14
2016-12-01,27352200720000.00
2017-01-01,27841663217113.84
2017-02-01,28935602683476.18
2017-03-01,28971769788301.68
2017-04-01,29259348247790.89
2017-05-01,29672289815068.01
2017-06-01,29861444575525.18
2017-07-01,30475218622016.75
2017-08-01,30564139268447.02
2017-09-01,31179988245657.25
2017-10-01,31914715359098.96
2017-11-01,32890218994210.60
2017-12-01,32120702650000.00
2018-01-01,33931001477161.34
2018-02-01,32697247715375.87
2018-03-01,31801000025218.92
2018-04-01,31965360777054.78
2018-05-01,32742411147872.08
2018-06-01,32930700903825.59
2018-07-01,34150674253815.04
2018-08-01,35240761940170.65
2018-09-01,35450286124502.73
2018-10-01,33000521377983.85
2018-11-01,33612648232311.71
2018-12-01,30436313050000.00
2019-01-01,32873207117180.12
2019-02-01,33938817270599.73
2019-03-01,34553129049028.69
2019-04-01,35964709834573.84
2019-05-01,33671196935395.32
2019-06-01,36014256769251.26
2019-07-01,36558778661534.09
2019-08-01,35946658398117.91
2019-09-01,36646106899578.65
2019-10-01,37456153166262.22
2019-11-01,38811996766193.40
2019-12-01,34085727370000.00
2020-01-01,34071966893962.12
2020-02-01,31374629942488.25
2020-03-01,27456845843593.79
2020-04-01,30943417539692.48
2020-05-01,32417720828087.52
2020-06-01,32992639969943.10
2020-07-01,34935643296575.41
2020-08-01,37374027306171.86
2020-09-01,35974610648644.12
2020-10-01,35077641056132.45
2020-11-01,38893260445726.89
2020-12-01,41569861770000.00
2021-01-01,41146246060634.86
2021-02-01,42290339183030.50
2021-03-01,44210289456006.16
2021-04-01,46549474025920.59
2021-05-01,46855120479771.96
2021-06-01,47905961505663.06
2021-07-01,49075469743509.52
2021-08-01,50535949078823.37
2021-09-01,48180696893864.05
2021-10-01,51561225166153.17
2021-11-01,51146945994527.33
2021-12-01,48548538120000.00
2022-01-01,45988024288708.24
2022-02-01,44630596529657.44
2022-03-01,46308277901549.66
2022-04-01,42243845147743.09
2022-05-01,42339201821305.80
2022-06-01,38847890424293.72
2022-07-01,42425295672981.57
2022-08-01,40694261905732.64
2022-09-01,36932253324499.77
2022-10-01,39933931426127.15
2022-11-01,42153918861528.56
2022-12-01,40297980320000.00
2023-01-01,42832215186771.38
2023-02-01,41755303003322.39
2023-03-01,43303496689151.83
2023-04-01,43995259762715.09
2023-05-01,44198357462248.79
2023-06-01,47062394877534.35
2023-07-01,48602903876438.23
2023-08-01,47813008864231.26
2023-09-01,45545020653843.13
2023-10-01,44556302444107.88
2023-11-01,48626247163943.84
2023-12-01,48979397700000.00
2024-01-01,49759472395466.87
2024-02-01,52356258226059.52
2024-03-01,54068417089320.81
2024-04-01,51888395475450.59
2024-05-01,54512905978141.18
2024-06-01,56436119636662.59
2024-07-01,57119504619178.42
2024-08-01,58454137549013.60
2024-09-01,59681947233025.33
2024-10-01,59149366584017.18
2024-11-01,62676652407987.82
2024-12-01,62185685320000.00
2025-01-01,63855772357815.39
2025-02-01,63045133567377.34
2025-03-01,59532314975366.20
2025-04-01,59016159908461.79
2025-05-01,62725033112664.63
2025-06-01,65948222578951.07
2025-07-01,67467118865737.13
2025-08-01,68851509199662.20
2025-09-01,71304023030065.31
2025-10-01,73003725090606.61
2025-11-01,73146082713193.86
2025-12-01,68937866210000.00
2026-01-01,69953859992046.64
2026-02-01,69349315498799.34
2026-03-01,65924876352449.20
2026-04-01,72850461744580.98
2026-05-01,76684272153019.36
2026-06-01,75894994186686.97
2026-07-01,76048458010068.47
