date,value
2014-09-01,386.944000
2014-10-01,338.321014
2014-11-01,378.046997
2014-12-01,320.192993
2015-01-01,217.464005
2015-02-01,254.263000
2015-03-01,244.223999
2015-04-01,236.145004
2015-05-01,230.190002
2015-06-01,263.071991
2015-07-01,284.649994
2015-08-01,230.056000
2015-09-01,236.059998
2015-10-01,314.165985
2015-11-01,377.321014
2015-12-01,430.566986
2016-01-01,368.766998
2016-02-01,437.696991
2016-03-01,416.729004
2016-04-01,448.317993
2016-05-01,531.385986
2016-06-01,673.336975
2016-07-01,624.681030
2016-08-01,575.471985
2016-09-01,609.734985
2016-10-01,700.971985
2016-11-01,745.690979
2016-12-01,963.742981
2017-01-01,970.403015
2017-02-01,1179.969971
2017-03-01,1071.790039
2017-04-01,1347.890015
2017-05-01,2286.409912
2017-06-01,2480.840088
2017-07-01,2875.340088
2017-08-01,4703.390137
2017-09-01,4338.709961
2017-10-01,6468.399902
2017-11-01,10233.599609
2017-12-01,14156.400391
2018-01-01,10221.099609
2018-02-01,10397.900391
2018-03-01,6973.529785
2018-04-01,9240.549805
2018-05-01,7494.169922
2018-06-01,6404.000000
2018-07-01,7780.439941
2018-08-01,7037.580078
2018-09-01,6625.560059
2018-10-01,6317.609863
2018-11-01,4017.268555
2018-12-01,3742.700439
2019-01-01,3457.792725
2019-02-01,3854.785400
2019-03-01,4105.404297
2019-04-01,5350.726562
2019-05-01,8574.501953
2019-06-01,10817.155273
2019-07-01,10085.627930
2019-08-01,9630.664062
2019-09-01,8293.868164
2019-10-01,9199.584961
2019-11-01,7569.629883
2019-12-01,7193.599121
2020-01-01,9350.529297
2020-02-01,8599.508789
2020-03-01,6438.644531
2020-04-01,8658.553711
2020-05-01,9461.058594
2020-06-01,9137.993164
2020-07-01,11323.466797
2020-08-01,11680.820312
2020-09-01,10784.491211
2020-10-01,13780.995117
2020-11-01,19625.835938
2020-12-01,29001.720703
2021-01-01,33114.359375
2021-02-01,45137.769531
2021-03-01,58918.832031
2021-04-01,57750.175781
2021-05-01,37332.855469
2021-06-01,35040.835938
2021-07-01,41626.195312
2021-08-01,47166.687500
2021-09-01,43790.894531
2021-10-01,61318.957031
2021-11-01,57005.425781
2021-12-01,46306.445312
2022-01-01,38483.125000
2022-02-01,43193.234375
2022-03-01,45538.675781
2022-04-01,37714.875000
2022-05-01,31792.310547
2022-06-01,19784.726562
2022-07-01,23336.896484
2022-08-01,20049.763672
2022-09-01,19431.789062
2022-10-01,20495.773438
2022-11-01,17168.566406
2022-12-01,16547.496094
2023-01-01,23139.283203
2023-02-01,23147.353516
2023-03-01,28478.484375
2023-04-01,29268.806641
2023-05-01,27219.658203
2023-06-01,30477.251953
2023-07-01,29230.111328
2023-08-01,25931.472656
2023-09-01,26967.916016
2023-10-01,34667.781250
2023-11-01,37712.746094
2023-12-01,42265.187500
2024-01-01,42582.605469
2024-02-01,61198.382812
2024-03-01,71333.648438
2024-04-01,60636.855469
2024-05-01,67491.414062
2024-06-01,62678.292969
2024-07-01,64619.250000
2024-08-01,58969.898438
2024-09-01,63329.500000
2024-10-01,70215.187500
2024-11-01,96449.054688
2024-12-01,93429.203125
2025-01-01,102405.023438
2025-02-01,84373.007812
2025-03-01,82548.914062
2025-04-01,94207.312500
2025-05-01,104638.093750
2025-06-01,107135.335938
2025-07-01,115758.203125
2025-08-01,108236.710938
2025-09-01,114056.085938
2025-10-01,109556.164062
2025-11-01,90394.312500
2025-12-01,87508.828125
2026-01-01,78621.117188
2026-02-01,66995.859375
2026-03-01,68233.312500
2026-04-01,76304.320312
2026-05-01,73579.687500
2026-06-01,58558.859375
2026-07-01,66175.343750
