date,value
2007-01-01,81.318718
2007-02-01,81.643456
2007-03-01,81.956177
2007-04-01,82.260689
2007-05-01,82.646088
2007-06-01,83.007278
2007-07-01,83.314476
2007-08-01,83.862556
2007-09-01,84.136894
2007-10-01,84.463593
2007-11-01,84.974434
2007-12-01,85.147102
2008-01-01,85.745338
2008-02-01,85.908905
2008-03-01,86.179794
2008-04-01,86.254066
2008-05-01,86.266617
2008-06-01,86.428268
2008-07-01,86.636627
2008-08-01,86.742943
2008-09-01,87.011162
2008-10-01,87.181023
2008-11-01,87.489555
2008-12-01,87.564842
2009-01-01,87.517281
2009-02-01,87.464096
2009-03-01,87.563347
2009-04-01,87.611786
2009-05-01,87.570419
2009-06-01,87.622948
2009-07-01,87.620522
2009-08-01,87.658745
2009-09-01,87.657951
2009-10-01,87.699333
2009-11-01,87.710457
2009-12-01,87.705719
2010-01-01,87.729553
2010-02-01,87.731133
2010-03-01,87.721573
2010-04-01,87.716011
2010-05-01,87.728745
2010-06-01,87.757393
2010-07-01,87.739128
2010-08-01,87.761444
2010-09-01,87.784485
2010-10-01,87.783699
2010-11-01,87.782867
2010-12-01,87.813934
2011-01-01,87.798035
2011-02-01,87.805962
2011-03-01,87.821159
2011-04-01,87.868904
2011-05-01,87.860176
2011-06-01,87.875290
2011-07-01,87.825890
2011-08-01,87.861763
2011-09-01,87.873695
2011-10-01,87.862602
2011-11-01,87.849792
2011-12-01,87.872948
2012-01-01,87.856941
2012-02-01,87.848991
2012-03-01,87.841049
2012-04-01,87.841049
2012-05-01,87.864952
2012-06-01,87.856941
2012-07-01,87.856941
2012-08-01,87.872948
2012-09-01,87.865738
2012-10-01,87.859367
2012-11-01,87.867332
2012-12-01,87.900795
2013-01-01,87.876930
2013-02-01,87.871323
2013-03-01,87.880104
2013-04-01,87.896027
2013-05-01,87.888031
2013-06-01,87.872093
2013-07-01,87.896027
2013-08-01,87.896027
2013-09-01,87.903976
2013-10-01,87.888031
2013-11-01,87.888031
2013-12-01,87.897621
2014-01-01,87.889626
2014-02-01,87.905563
2014-03-01,87.913567
2014-04-01,87.913567
2014-05-01,87.913567
2014-06-01,87.913567
2014-07-01,87.905563
2014-08-01,87.913567
2014-09-01,87.897621
2014-10-01,87.913567
2014-11-01,87.905563
2014-12-01,87.897621
2015-01-01,87.905563
2015-02-01,87.921539
2015-03-01,87.913567
2015-04-01,87.921539
2015-05-01,87.921539
2015-06-01,87.929482
2015-07-01,87.913567
2015-08-01,87.921539
2015-09-01,87.946251
2015-10-01,87.921524
2015-11-01,87.911140
2015-12-01,87.900803
2016-01-01,87.964584
2016-02-01,87.995735
2016-03-01,88.027626
2016-04-01,88.075516
2016-05-01,88.069138
2016-06-01,88.157700
2016-07-01,88.159279
2016-08-01,88.159264
2016-09-01,88.217613
2016-10-01,88.251961
2016-11-01,88.192825
2016-12-01,88.262367
2017-01-01,88.310402
2017-02-01,88.350418
2017-03-01,88.361656
2017-04-01,88.359230
2017-05-01,88.408104
2017-06-01,88.477127
2017-07-01,88.566154
2017-08-01,88.627983
2017-09-01,88.695427
2017-10-01,88.730835
2017-11-01,88.779114
2017-12-01,88.854012
