date,value
2013-03-01,96.221924
2013-04-01,96.726967
2013-05-01,96.867683
2013-06-01,96.814537
2013-07-01,96.054848
2013-08-01,94.851524
2013-09-01,94.852493
2013-10-01,94.464912
2013-11-01,93.382408
2013-12-01,93.054756
2014-01-01,93.752586
2014-02-01,94.654350
2014-03-01,94.292870
2014-04-01,95.320290
2014-05-01,96.484947
2014-06-01,96.541977
2014-07-01,95.981384
2014-08-01,96.645386
2014-09-01,97.752052
2014-10-01,99.363251
2014-11-01,100.610069
2014-12-01,99.936401
2015-01-01,101.787285
2015-02-01,103.155876
2015-03-01,101.529221
2015-04-01,103.640106
2015-05-01,102.751877
2015-06-01,102.343033
2015-07-01,104.558304
2015-08-01,105.124687
2015-09-01,105.052193
2015-10-01,106.139915
2015-11-01,105.918472
2015-12-01,107.154434
2016-01-01,107.116402
2016-02-01,107.669502
2016-03-01,108.700615
2016-04-01,107.977776
2016-05-01,108.174812
2016-06-01,108.826454
2016-07-01,109.666367
2016-08-01,110.034126
2016-09-01,110.385315
2016-10-01,110.683823
2016-11-01,108.958145
2016-12-01,108.007034
2017-01-01,108.160179
2017-02-01,108.408936
2017-03-01,108.108482
2017-04-01,107.294907
2017-05-01,106.558411
2017-06-01,107.040298
2017-07-01,106.993484
2017-08-01,107.199318
2017-09-01,107.178825
2017-10-01,106.597427
2017-11-01,106.520363
2017-12-01,106.706688
2018-01-01,107.154434
2018-02-01,107.935814
2018-03-01,108.488930
2018-04-01,109.606865
2018-05-01,109.402016
2018-06-01,110.091690
2018-07-01,110.639915
2018-08-01,110.679916
2018-09-01,110.942322
2018-10-01,111.505196
2018-11-01,111.944168
2018-12-01,113.737160
2019-01-01,113.864944
2019-02-01,113.591812
2019-03-01,113.999565
2019-04-01,113.165520
2019-05-01,114.091263
2019-06-01,114.293198
2019-07-01,114.807289
2019-08-01,115.296989
2019-09-01,115.498917
2019-10-01,115.070663
2019-11-01,115.865707
2019-12-01,116.915352
2020-01-01,117.840141
2020-02-01,118.976585
2020-03-01,120.175491
2020-04-01,123.338081
2020-05-01,120.857368
2020-06-01,119.007805
2020-07-01,118.773697
2020-08-01,117.536751
2020-09-01,117.743553
2020-10-01,117.998161
2020-11-01,117.827454
2020-12-01,118.340561
2021-01-01,118.436165
2021-02-01,118.531761
2021-03-01,118.947327
2021-04-01,119.597015
2021-05-01,119.891617
2021-06-01,120.497406
2021-07-01,121.768494
2021-08-01,121.970421
2021-09-01,122.278679
2021-10-01,121.631912
2021-11-01,122.454269
2021-12-01,123.381004
2022-01-01,124.341873
2022-02-01,123.901924
2022-03-01,123.865822
2022-04-01,124.258957
2022-05-01,124.699890
2022-06-01,124.596481
2022-07-01,125.351517
2022-08-01,126.335800
2022-09-01,125.625641
2022-10-01,126.491890
2022-11-01,125.360298
2022-12-01,125.941711
2023-01-01,125.682220
2023-02-01,125.795380
2023-03-01,126.308495
2023-04-01,126.947441
2023-05-01,128.003937
2023-06-01,128.307312
2023-07-01,128.500458
2023-08-01,129.107224
2023-09-01,128.651672
2023-10-01,128.831146
2023-11-01,128.865311
2023-12-01,130.096390
2024-01-01,130.912872
2024-02-01,131.323578
2024-03-01,131.618179
2024-04-01,131.997650
2024-05-01,132.686356
2024-06-01,133.545776
2024-07-01,134.289108
2024-08-01,134.410095
2024-09-01,134.467621
2024-10-01,135.033401
2024-11-01,136.121124
2024-12-01,137.757019
2025-01-01,138.030167
2025-02-01,136.818573
2025-03-01,136.753220
2025-04-01,137.822372
2025-05-01,137.620453
2025-06-01,138.113083
2025-07-01,137.851654
2025-08-01,137.690704
2025-09-01,138.012421
2025-10-01,138.664902
2025-11-01,138.505219
2025-12-01,138.723770
2026-01-01,139.053513
2026-02-01,139.319885
2026-03-01,139.694946
2026-04-01,140.061829
2026-05-01,140.684204
2026-06-01,140.792007
2026-07-01,140.815002
