date,value
2002-01-01,0.964617
2002-02-01,0.967879
2002-03-01,0.970570
2002-04-01,0.970731
2002-05-01,0.971870
2002-06-01,0.972267
2002-07-01,0.971717
2002-08-01,0.970934
2002-09-01,0.973166
2002-10-01,0.968459
2002-11-01,0.971727
2002-12-01,0.967158
2003-01-01,0.967017
2003-02-01,0.977081
2003-03-01,0.968320
2003-04-01,0.966935
2003-05-01,0.968605
2003-06-01,0.968087
2003-07-01,0.965055
2003-08-01,0.962346
2003-09-01,0.964216
2003-10-01,0.959074
2003-11-01,0.966849
2003-12-01,0.968234
2004-01-01,0.962620
2004-02-01,0.961633
2004-03-01,0.962210
2004-04-01,0.956245
2004-05-01,0.952967
2004-06-01,0.953100
2004-07-01,0.956703
2004-08-01,0.951278
2004-09-01,0.952973
2004-10-01,0.949964
2004-11-01,0.951810
2004-12-01,0.953629
2005-01-01,0.955047
2005-02-01,0.956196
2005-03-01,0.959332
2005-04-01,0.958391
2005-05-01,0.961924
2005-06-01,0.966076
2005-07-01,0.972653
2005-08-01,0.974535
2005-09-01,0.976102
2005-10-01,0.975718
2005-11-01,0.970716
2005-12-01,0.971223
2006-01-01,0.973056
2006-02-01,0.972617
2006-03-01,0.972019
2006-04-01,0.971447
2006-05-01,0.970020
2006-06-01,0.967459
2006-07-01,0.965616
2006-08-01,0.967047
2006-09-01,0.968467
2006-10-01,0.968240
2006-11-01,0.966904
2006-12-01,0.967033
2007-01-01,0.966891
2007-02-01,0.965432
2007-03-01,0.964344
2007-04-01,0.962934
2007-05-01,0.958305
2007-06-01,0.953836
2007-07-01,0.954546
2007-08-01,0.953022
2007-09-01,0.949661
2007-10-01,0.948770
2007-11-01,0.942693
2007-12-01,0.943907
2008-01-01,0.946276
2008-02-01,0.947315
2008-03-01,0.949744
2008-04-01,0.949248
2008-05-01,0.948578
2008-06-01,0.945009
2008-07-01,0.945521
2008-08-01,0.948082
2008-09-01,0.951706
2008-10-01,0.962796
2008-11-01,0.971331
2008-12-01,0.982741
2009-01-01,0.981151
2009-02-01,0.980424
2009-03-01,0.982080
2009-04-01,0.980827
2009-05-01,0.982354
2009-06-01,0.981965
2009-07-01,0.973354
2009-08-01,0.973991
2009-09-01,0.973191
2009-10-01,0.972069
2009-11-01,0.972451
2009-12-01,0.971183
2010-01-01,0.969598
2010-02-01,0.969783
2010-03-01,0.970537
2010-04-01,0.971216
2010-05-01,0.969512
2010-06-01,0.966928
2010-07-01,0.967814
2010-08-01,0.968330
2010-09-01,0.968256
2010-10-01,0.965302
2010-11-01,0.956356
2010-12-01,0.951488
2011-01-01,0.952981
2011-02-01,0.953168
2011-03-01,0.954134
2011-04-01,0.955267
2011-05-01,0.954093
2011-06-01,0.950094
2011-07-01,0.946629
2011-08-01,0.944333
2011-09-01,0.947351
2011-10-01,0.950806
2011-11-01,0.956835
2011-12-01,0.959324
2012-01-01,0.958855
2012-02-01,0.956416
2012-03-01,0.958665
2012-04-01,0.957912
2012-05-01,0.964865
2012-06-01,0.965745
2012-07-01,0.965462
2012-08-01,0.958544
2012-09-01,0.957598
2012-10-01,0.956292
2012-11-01,0.956249
2012-12-01,0.955810
2013-01-01,0.955849
2013-02-01,0.955563
2013-03-01,0.956150
2013-04-01,0.957185
2013-05-01,0.955998
2013-06-01,0.953585
2013-07-01,0.949199
2013-08-01,0.945581
2013-09-01,0.945948
2013-10-01,0.943153
2013-11-01,0.940610
2013-12-01,0.938291
2014-01-01,0.945346
2014-02-01,0.949158
2014-03-01,0.951009
2014-04-01,0.946632
2014-05-01,0.947358
2014-06-01,0.948289
2014-07-01,0.944585
2014-08-01,0.944184
2014-09-01,0.945433
2014-10-01,0.951116
2014-11-01,0.954345
2014-12-01,0.952353
2015-01-01,0.954471
2015-02-01,0.955425
2015-03-01,0.952949
2015-04-01,0.957357
2015-05-01,0.964405
2015-06-01,0.965857
2015-07-01,0.962642
2015-08-01,0.962133
2015-09-01,0.961225
2015-10-01,0.962962
2015-11-01,0.960615
2015-12-01,0.964718
2016-01-01,0.963960
2016-02-01,0.964824
2016-03-01,0.968101
2016-04-01,0.964508
2016-05-01,0.964149
2016-06-01,0.963823
2016-07-01,0.965577
2016-08-01,0.967327
2016-09-01,0.967020
2016-10-01,0.967165
2016-11-01,0.964700
2016-12-01,0.960805
2017-01-01,0.959792
2017-02-01,0.958964
2017-03-01,0.957595
2017-04-01,0.953646
2017-05-01,0.948873
2017-06-01,0.949789
2017-07-01,0.950205
2017-08-01,0.949989
2017-09-01,0.949177
2017-10-01,0.947967
2017-11-01,0.947017
2017-12-01,0.945788
2018-01-01,0.949309
2018-02-01,0.951769
2018-03-01,0.950785
2018-04-01,0.955313
2018-05-01,0.952917
2018-06-01,0.953064
2018-07-01,0.957686
2018-08-01,0.955631
2018-09-01,0.954680
2018-10-01,0.957446
2018-11-01,0.960874
2018-12-01,0.960716
2019-01-01,0.962284
2019-02-01,0.962181
2019-03-01,0.962438
2019-04-01,0.958140
2019-05-01,0.959206
2019-06-01,0.958746
2019-07-01,0.960016
2019-08-01,0.960807
2019-09-01,0.960540
2019-10-01,0.959894
2019-11-01,0.961081
2019-12-01,0.963943
2020-01-01,0.963931
2020-02-01,0.967111
2020-03-01,0.972086
2020-04-01,0.979760
2020-05-01,0.972814
2020-06-01,0.967252
2020-07-01,0.964067
2020-08-01,0.959739
2020-09-01,0.959530
2020-10-01,0.958394
2020-11-01,0.956997
2020-12-01,0.960508
2021-01-01,0.959135
2021-02-01,0.959615
2021-03-01,0.959932
2021-04-01,0.961437
2021-05-01,0.961418
2021-06-01,0.961375
2021-07-01,0.964316
2021-08-01,0.963764
2021-09-01,0.963763
2021-10-01,0.962430
2021-11-01,0.963599
2021-12-01,0.965444
2022-01-01,0.968856
2022-02-01,0.967093
2022-03-01,0.966336
2022-04-01,0.965799
2022-05-01,0.966917
2022-06-01,0.966398
2022-07-01,0.968047
2022-08-01,0.969351
2022-09-01,0.968789
2022-10-01,0.969618
2022-11-01,0.965613
2022-12-01,0.965727
2023-01-01,0.964778
2023-02-01,0.963801
2023-03-01,0.965166
2023-04-01,0.965690
2023-05-01,0.968078
2023-06-01,0.968671
2023-07-01,0.968388
2023-08-01,0.968600
2023-09-01,0.966808
2023-10-01,0.965601
2023-11-01,0.964685
2023-12-01,0.967746
2024-01-01,0.968829
2024-02-01,0.969982
2024-03-01,0.972138
2024-04-01,0.972116
2024-05-01,0.973614
2024-06-01,0.975988
2024-07-01,0.977551
2024-08-01,0.977630
2024-09-01,0.978507
2024-10-01,0.978664
2024-11-01,0.979838
2024-12-01,0.983184
2025-01-01,0.981517
2025-02-01,0.978995
2025-03-01,0.976957
2025-04-01,0.978628
2025-05-01,0.978468
2025-06-01,0.979891
2025-07-01,0.979079
2025-08-01,0.979301
2025-09-01,0.978010
2025-10-01,0.979330
2025-11-01,0.979097
2025-12-01,0.979934
2026-01-01,0.979702
2026-02-01,0.979957
2026-03-01,0.981181
2026-04-01,0.981463
2026-05-01,0.981894
2026-06-01,0.981587
2026-07-01,0.981328
