date,value
2005-01-01,954.880000
2005-02-01,1039.990000
2005-03-01,942.200000
2005-04-01,932.400000
2005-05-01,855.950000
2005-06-01,878.690000
2005-07-01,888.160000
2005-08-01,927.920000
2005-09-01,917.390000
2005-10-01,876.280000
2005-11-01,873.830000
2005-12-01,923.450000
2006-01-01,1009.600000
2006-02-01,1053.010000
2006-03-01,1061.090000
2006-04-01,1172.350000
2006-05-01,1365.450000
2006-06-01,1393.960000
2006-07-01,1294.330000
2006-08-01,1338.690000
2006-09-01,1403.270000
2006-10-01,1464.470000
2006-11-01,1714.360000
2006-12-01,2041.050000
2007-01-01,2385.330000
2007-02-01,2544.570000
2007-03-01,2781.780000
2007-04-01,3558.710000
2007-05-01,3927.950000
2007-06-01,3764.080000
2007-07-01,4460.560000
2007-08-01,5296.810000
2007-09-01,5580.810000
2007-10-01,5688.540000
2007-11-01,4737.410000
2007-12-01,5338.270000
2008-01-01,4620.400000
2008-02-01,4674.550000
2008-03-01,3790.530000
2008-04-01,3959.120000
2008-05-01,3611.330000
2008-06-01,2791.820000
2008-07-01,2805.210000
2008-08-01,2391.640000
2008-09-01,2243.660000
2008-10-01,1663.660000
2008-11-01,1829.920000
2008-12-01,1817.720000
2009-01-01,2032.680000
2009-02-01,2140.490000
2009-03-01,2507.790000
2009-04-01,2622.930000
2009-05-01,2759.710000
2009-06-01,3166.470000
2009-07-01,3734.620000
2009-08-01,2830.270000
2009-09-01,3004.800000
2009-10-01,3280.370000
2009-11-01,3511.670000
2009-12-01,3575.680000
2010-01-01,3204.160000
2010-02-01,3281.670000
2010-03-01,3345.610000
2010-04-01,3067.360000
2010-05-01,2773.260000
2010-06-01,2563.070000
2010-07-01,2868.850000
2010-08-01,2903.190000
2010-09-01,2935.570000
2010-10-01,3379.980000
2010-11-01,3136.990000
2010-12-01,3128.260000
2011-01-01,3076.510000
2011-02-01,3239.560000
2011-03-01,3223.290000
2011-04-01,3192.720000
2011-05-01,3001.560000
2011-06-01,3044.090000
2011-07-01,2972.080000
2011-08-01,2846.780000
2011-09-01,2581.350000
2011-10-01,2695.310000
2011-11-01,2521.520000
2011-12-01,2345.740000
2012-01-01,2464.260000
2012-02-01,2634.140000
2012-03-01,2454.900000
2012-04-01,2626.160000
2012-05-01,2632.040000
2012-06-01,2461.610000
2012-07-01,2332.920000
2012-08-01,2204.870000
2012-09-01,2293.110000
2012-10-01,2254.820000
2012-11-01,2139.660000
2012-12-01,2522.950000
2013-01-01,2686.880000
2013-02-01,2673.330000
2013-03-01,2495.080000
2013-04-01,2447.310000
2013-05-01,2606.430000
2013-06-01,2200.640000
2013-07-01,2193.020000
2013-08-01,2313.910000
2013-09-01,2409.040000
2013-10-01,2373.720000
2013-11-01,2438.940000
2013-12-01,2330.030000
2014-01-01,2202.450000
2014-02-01,2178.970000
2014-03-01,2146.300000
2014-04-01,2158.660000
2014-05-01,2156.460000
2014-06-01,2165.120000
2014-07-01,2350.250000
2014-08-01,2338.290000
2014-09-01,2450.990000
2014-10-01,2508.320000
2014-11-01,2808.820000
2014-12-01,3533.710000
2015-01-01,3434.390000
2015-02-01,3572.840000
2015-03-01,4051.200000
2015-04-01,4749.890000
2015-05-01,4840.830000
2015-06-01,4473.000000
2015-07-01,3816.700000
2015-08-01,3366.540000
2015-09-01,3202.950000
2015-10-01,3534.080000
2015-11-01,3566.410000
2015-12-01,3731.000000
2016-01-01,2946.090000
2016-02-01,2877.470000
2016-03-01,3218.090000
2016-04-01,3156.750000
2016-05-01,3169.560000
2016-06-01,3153.920000
2016-07-01,3203.930000
2016-08-01,3327.790000
2016-09-01,3253.280000
2016-10-01,3336.280000
2016-11-01,3538.000000
2016-12-01,3310.080000
2017-01-01,3387.960000
2017-02-01,3452.810000
2017-03-01,3456.050000
2017-04-01,3439.750000
2017-05-01,3492.880000
2017-06-01,3666.800000
2017-07-01,3737.870000
2017-08-01,3822.090000
2017-09-01,3836.500000
2017-10-01,4006.720000
2017-11-01,4006.100000
2017-12-01,4030.850000
2018-01-01,4275.900000
2018-02-01,4023.640000
2018-03-01,3898.500000
2018-04-01,3756.880000
2018-05-01,3802.380000
2018-06-01,3510.980000
2018-07-01,3517.660000
2018-08-01,3334.500000
2018-09-01,3438.860000
2018-10-01,3153.820000
2018-11-01,3172.690000
2018-12-01,3010.650000
2019-01-01,3201.630000
2019-02-01,3669.370000
2019-03-01,3872.340000
2019-04-01,3913.210000
2019-05-01,3629.790000
2019-06-01,3825.590000
2019-07-01,3835.360000
2019-08-01,3799.590000
2019-09-01,3814.530000
2019-10-01,3886.750000
2019-11-01,3828.670000
2019-12-01,4096.580000
2020-01-01,4003.900000
2020-02-01,3940.050000
2020-03-01,3686.160000
2020-04-01,3912.580000
2020-05-01,3867.020000
2020-06-01,4163.960000
2020-07-01,4695.050000
2020-08-01,4816.220000
2020-09-01,4587.400000
2020-10-01,4695.330000
2020-11-01,4960.250000
2020-12-01,5211.290000
2021-01-01,5351.960000
2021-02-01,5336.760000
2021-03-01,5048.360000
2021-04-01,5123.490000
2021-05-01,5331.570000
2021-06-01,5224.040000
2021-07-01,4811.170000
2021-08-01,4805.610000
2021-09-01,4866.380000
2021-10-01,4908.770000
2021-11-01,4832.030000
2021-12-01,4940.370000
2022-01-01,4563.770000
2022-02-01,4581.650000
2022-03-01,4222.600000
2022-04-01,4016.240000
2022-05-01,4091.520000
2022-06-01,4485.010000
2022-07-01,4170.100000
2022-08-01,4078.840000
2022-09-01,3804.890000
2022-10-01,3508.700000
2022-11-01,3853.040000
2022-12-01,3871.630000
2023-01-01,4156.860000
2023-02-01,4069.460000
2023-03-01,4050.930000
2023-04-01,4029.090000
2023-05-01,3798.540000
2023-06-01,3842.450000
2023-07-01,4014.630000
2023-08-01,3765.270000
2023-09-01,3689.520000
2023-10-01,3572.510000
