date,value
2000-08-01,0.885000
2000-09-01,0.915500
2000-10-01,0.846500
2000-11-01,0.841000
2000-12-01,0.846500
2001-01-01,0.848500
2001-02-01,0.810000
2001-03-01,0.758500
2001-04-01,0.766500
2001-05-01,0.752000
2001-06-01,0.704500
2001-07-01,0.678000
2001-08-01,0.678500
2001-09-01,0.646000
2001-10-01,0.622000
2001-11-01,0.722000
2001-12-01,0.653000
2002-01-01,0.730500
2002-02-01,0.714000
2002-03-01,0.760500
2002-04-01,0.732500
2002-05-01,0.761500
2002-06-01,0.767500
2002-07-01,0.677500
2002-08-01,0.687000
2002-09-01,0.660000
2002-10-01,0.714000
2002-11-01,0.749500
2002-12-01,0.697000
2003-01-01,0.791500
2003-02-01,0.775000
2003-03-01,0.712500
2003-04-01,0.725000
2003-05-01,0.780000
2003-06-01,0.748000
2003-07-01,0.818000
2003-08-01,0.803000
2003-09-01,0.813000
2003-10-01,0.937000
2003-11-01,0.907000
2003-12-01,1.043000
2004-01-01,1.143000
2004-02-01,1.343000
2004-03-01,1.358500
2004-04-01,1.209500
2004-05-01,1.278000
2004-06-01,1.205000
2004-07-01,1.308000
2004-08-01,1.281000
2004-09-01,1.400000
2004-10-01,1.347500
2004-11-01,1.443000
2004-12-01,1.487000
2005-01-01,1.463000
2005-02-01,1.500000
2005-03-01,1.509000
2005-04-01,1.498000
2005-05-01,1.505000
2005-06-01,1.553500
2005-07-01,1.687500
2005-08-01,1.695000
2005-09-01,1.801500
2005-10-01,1.896000
2005-11-01,2.075000
2005-12-01,2.161500
2006-01-01,2.235500
2006-02-01,2.185500
2006-03-01,2.488000
2006-04-01,3.335500
2006-05-01,3.716500
2006-06-01,3.462500
2006-07-01,3.610000
2006-08-01,3.469000
2006-09-01,3.459000
2006-10-01,3.336000
2006-11-01,3.171500
2006-12-01,2.854000
2007-01-01,2.583500
2007-02-01,2.733000
2007-03-01,3.143500
2007-04-01,3.541500
2007-05-01,3.393500
2007-06-01,3.453500
2007-07-01,3.653500
2007-08-01,3.411000
2007-09-01,3.630500
2007-10-01,3.468000
2007-11-01,3.157000
2007-12-01,3.030500
2008-01-01,3.289500
2008-02-01,3.852000
2008-03-01,3.863500
2008-04-01,3.934000
2008-05-01,3.628000
2008-06-01,3.895500
2008-07-01,3.716500
2008-08-01,3.429500
2008-09-01,2.888000
2008-10-01,1.844000
2008-11-01,1.623500
2008-12-01,1.395000
2009-01-01,1.462000
2009-02-01,1.526000
2009-03-01,1.839000
2009-04-01,2.053000
2009-05-01,2.197500
2009-06-01,2.258000
2009-07-01,2.616500
2009-08-01,2.808000
2009-09-01,2.809000
2009-10-01,2.947500
2009-11-01,3.148500
2009-12-01,3.327500
2010-01-01,3.046000
2010-02-01,3.268500
2010-03-01,3.546000
2010-04-01,3.337500
2010-05-01,3.097000
2010-06-01,2.936000
2010-07-01,3.307000
2010-08-01,3.361000
2010-09-01,3.646000
2010-10-01,3.732000
2010-11-01,3.823000
2010-12-01,4.439500
2011-01-01,4.451000
2011-02-01,4.478000
2011-03-01,4.300000
2011-04-01,4.165500
2011-05-01,4.173500
2011-06-01,4.272000
2011-07-01,4.474000
2011-08-01,4.187000
2011-09-01,3.145000
2011-10-01,3.629000
2011-11-01,3.563000
2011-12-01,3.431500
2012-01-01,3.787500
2012-02-01,3.870500
2012-03-01,3.824000
2012-04-01,3.833500
2012-05-01,3.362500
2012-06-01,3.490000
2012-07-01,3.419500
2012-08-01,3.454000
2012-09-01,3.773000
2012-10-01,3.527000
2012-11-01,3.629500
2012-12-01,3.641000
2013-01-01,3.723500
2013-02-01,3.527500
2013-03-01,3.395000
2013-04-01,3.187500
2013-05-01,3.289000
2013-06-01,3.050500
2013-07-01,3.118500
2013-08-01,3.225000
2013-09-01,3.321000
2013-10-01,3.294500
2013-11-01,3.230500
2013-12-01,3.441500
2014-01-01,3.220500
2014-02-01,3.238500
2014-03-01,3.046500
2014-04-01,3.029500
2014-05-01,3.136000
2014-06-01,3.188000
2014-07-01,3.223000
2014-08-01,3.135000
2014-09-01,3.005500
2014-10-01,3.061000
2014-11-01,2.860000
2014-12-01,2.838500
2015-01-01,2.528000
2015-02-01,2.716000
2015-03-01,2.747000
2015-04-01,2.886500
2015-05-01,2.759500
2015-06-01,2.623500
2015-07-01,2.367500
