date,value
2002-07-01,36.914692
2002-08-01,38.257496
2002-09-01,39.057590
2002-10-01,38.818985
2002-11-01,39.096920
2002-12-01,40.632614
2003-01-01,40.302948
2003-02-01,41.100872
2003-03-01,41.150543
2003-04-01,42.120747
2003-05-01,43.765705
2003-06-01,43.686825
2003-07-01,41.150352
2003-08-01,41.747334
2003-09-01,43.641651
2003-10-01,43.090443
2003-11-01,43.222755
2003-12-01,44.334435
2004-01-01,44.875751
2004-02-01,45.552021
2004-03-01,46.002632
2004-04-01,44.214123
2004-05-01,43.982838
2004-06-01,44.038406
2004-07-01,44.726513
2004-08-01,46.104523
2004-09-01,46.248116
2004-10-01,46.795174
2004-11-01,46.224323
2004-12-01,46.867294
2005-01-01,47.443012
2005-02-01,46.998814
2005-03-01,46.405613
2005-04-01,47.158096
2005-05-01,47.451771
2005-06-01,48.030628
2005-07-01,47.633610
2005-08-01,48.349670
2005-09-01,47.449871
2005-10-01,46.699364
2005-11-01,47.006165
2005-12-01,47.410828
2006-01-01,47.203938
2006-02-01,47.526054
2006-03-01,46.726040
2006-04-01,46.631546
2006-05-01,46.542938
2006-06-01,46.502937
2006-07-01,47.181404
2006-08-01,48.231434
2006-09-01,48.652267
2006-10-01,49.139481
2006-11-01,49.857552
2006-12-01,49.410774
2007-01-01,49.457081
2007-02-01,50.446480
2007-03-01,50.105968
2007-04-01,50.552685
2007-05-01,49.930515
2007-06-01,49.526115
2007-07-01,49.117939
2007-08-01,50.289986
2007-09-01,50.658749
2007-10-01,51.147449
2007-11-01,51.668915
2007-12-01,51.253834
2008-01-01,52.568893
2008-02-01,52.197624
2008-03-01,51.885925
2008-04-01,52.531712
2008-05-01,51.373318
2008-06-01,50.709663
2008-07-01,50.907589
2008-08-01,50.981220
2008-09-01,45.510757
2008-10-01,44.627300
2008-11-01,46.124039
2008-12-01,52.495785
2009-01-01,51.550732
2009-02-01,48.868050
2009-03-01,49.098637
2009-04-01,50.461941
2009-05-01,51.631081
2009-06-01,53.123932
2009-07-01,55.585018
2009-08-01,56.313160
2009-09-01,57.303719
2009-10-01,57.018810
2009-11-01,58.132137
2009-12-01,56.930302
2010-01-01,57.640926
2010-02-01,57.932957
2010-03-01,58.310638
2010-04-01,59.423088
2010-05-01,58.645672
2010-06-01,60.568439
2010-07-01,61.846848
2010-08-01,63.612785
2010-09-01,63.903206
2010-10-01,63.735348
2010-11-01,62.705803
2010-12-01,62.234276
2011-01-01,62.257198
2011-02-01,62.929573
2011-03-01,62.589443
2011-04-01,64.156906
2011-05-01,64.971375
2011-06-01,64.453461
2011-07-01,66.019783
2011-08-01,66.244499
2011-09-01,66.477097
2011-10-01,68.145378
2011-11-01,65.994263
2011-12-01,68.296318
2012-01-01,69.761147
2012-02-01,70.900230
2012-03-01,69.892647
2012-04-01,70.648972
2012-05-01,71.183876
2012-06-01,71.804321
2012-07-01,74.305214
2012-08-01,74.265251
2012-09-01,75.082291
2012-10-01,76.092979
2012-11-01,75.542480
2012-12-01,75.292770
2013-01-01,74.315742
2013-02-01,75.115433
2013-03-01,75.080315
2013-04-01,76.712196
2013-05-01,74.243935
2013-06-01,71.817970
2013-07-01,72.612328
2013-08-01,71.887413
2013-09-01,72.420738
2013-10-01,73.730217
2013-11-01,73.627480
2013-12-01,73.785698
2014-01-01,75.174911
2014-02-01,76.035645
2014-03-01,76.013519
2014-04-01,77.023949
2014-05-01,78.190422
2014-06-01,78.195663
2014-07-01,77.945808
2014-08-01,79.507851
2014-09-01,78.170845
2014-10-01,79.135658
2014-11-01,79.857170
2014-12-01,79.843468
2015-01-01,82.839012
2015-02-01,81.662315
2015-03-01,81.821640
2015-04-01,80.850288
2015-05-01,79.944519
2015-06-01,78.439026
2015-07-01,79.091637
2015-08-01,78.437202
2015-09-01,79.370445
2015-10-01,79.825699
2015-11-01,79.702660
2015-12-01,78.841026
2016-01-01,78.937843
2016-02-01,79.768082
2016-03-01,82.651291
2016-04-01,83.936211
2016-05-01,83.506050
2016-06-01,86.089996
2016-07-01,87.201904
2016-08-01,87.359169
2016-09-01,87.083466
2016-10-01,85.752289
2016-11-01,83.036057
2016-12-01,83.732864
2017-01-01,83.854340
2017-02-01,84.962105
2017-03-01,84.711365
2017-04-01,85.718414
2017-05-01,86.861176
2017-06-01,87.278297
2017-07-01,87.946457
2017-08-01,88.541946
2017-09-01,88.498207
2017-10-01,88.668724
2017-11-01,88.559410
2017-12-01,89.640251
2018-01-01,88.541481
2018-02-01,86.560600
2018-03-01,87.042534
2018-04-01,85.679550
2018-05-01,86.126259
2018-06-01,85.706573
2018-07-01,86.858322
2018-08-01,86.875648
2018-09-01,86.753380
2018-10-01,84.975571
2018-11-01,84.670929
2018-12-01,86.245384
2019-01-01,89.150307
2019-02-01,88.968597
2019-03-01,91.574463
2019-04-01,91.974037
2019-05-01,93.492142
2019-06-01,96.527603
2019-07-01,96.772820
2019-08-01,100.533394
2019-09-01,99.773453
2019-10-01,100.217606
2019-11-01,100.693642
2019-12-01,101.224640
2020-01-01,103.700653
2020-02-01,104.832451
2020-03-01,98.215569
2020-04-01,102.974869
2020-05-01,105.508278
2020-06-01,107.753075
2020-07-01,111.093536
2020-08-01,109.117958
2020-09-01,108.638153
2020-10-01,108.083664
2020-11-01,112.160095
2020-12-01,112.329056
2021-01-01,110.271622
2021-02-01,107.775826
2021-03-01,106.182915
2021-04-01,107.290543
2021-05-01,107.958603
2021-06-01,110.346039
2021-07-01,111.911858
2021-08-01,111.526924
2021-09-01,109.845764
2021-10-01,110.429039
2021-11-01,110.298019
2021-12-01,110.260376
2022-01-01,106.299889
2022-02-01,104.034187
2022-03-01,101.023682
2022-04-01,94.255821
2022-05-01,96.012665
2022-06-01,92.534355
2022-07-01,96.646927
2022-08-01,92.366302
2022-09-01,86.842957
2022-10-01,86.195747
2022-11-01,91.925728
2022-12-01,90.499863
2023-01-01,95.169487
2023-02-01,91.201805
2023-03-01,94.711708
2023-04-01,95.283768
2023-05-01,93.598267
2023-06-01,94.356491
2023-07-01,94.407249
2023-08-01,93.246933
2023-09-01,89.929909
2023-10-01,87.760849
2023-11-01,94.408264
2023-12-01,99.010956
2024-01-01,98.572525
2024-02-01,96.668076
2024-03-01,98.157738
2024-04-01,94.974442
2024-05-01,97.076889
2024-06-01,97.655807
2024-07-01,100.232033
2024-08-01,102.106903
2024-09-01,104.111168
2024-10-01,100.801064
2024-11-01,102.606331
2024-12-01,99.860771
2025-01-01,100.440285
2025-02-01,102.822052
2025-03-01,102.346527
2025-04-01,102.069542
2025-05-01,102.280258
2025-06-01,104.410187
2025-07-01,104.316475
2025-08-01,105.405098
2025-09-01,107.383789
2025-10-01,107.544289
2025-11-01,108.545731
2025-12-01,107.745224
2026-01-01,108.116791
2026-02-01,109.606613
2026-03-01,107.334648
2026-04-01,107.637230
2026-05-01,108.565437
2026-06-01,108.688004
2026-07-01,107.559998
