date,value
2003-04-01,7.516481
2003-05-01,8.202195
2003-06-01,8.546475
2003-07-01,9.031182
2003-08-01,9.752533
2003-09-01,9.689092
2003-10-01,10.578671
2003-11-01,10.777541
2003-12-01,11.745846
2004-01-01,12.030302
2004-02-01,12.506070
2004-03-01,12.574861
2004-04-01,11.342449
2004-05-01,11.475003
2004-06-01,11.581049
2004-07-01,11.159737
2004-08-01,11.553823
2004-09-01,12.359903
2004-10-01,12.711711
2004-11-01,13.976359
2004-12-01,14.639682
2005-01-01,14.562078
2005-02-01,15.972010
2005-03-01,14.708584
2005-04-01,14.525090
2005-05-01,14.984190
2005-06-01,15.578906
2005-07-01,16.775620
2005-08-01,16.997553
2005-09-01,18.468407
2005-10-01,17.297815
2005-11-01,18.298695
2005-12-01,19.416002
2006-01-01,22.172750
2006-02-01,21.319096
2006-03-01,21.781122
2006-04-01,23.200190
2006-05-01,20.615059
2006-06-01,20.659065
2006-07-01,21.143089
2006-08-01,21.477499
2006-09-01,21.290491
2006-10-01,22.793173
2006-11-01,24.157248
2006-12-01,25.476177
2007-01-01,25.505177
2007-02-01,24.679556
2007-03-01,25.996096
2007-04-01,26.964529
2007-05-01,28.330166
2007-06-01,29.372242
2007-07-01,29.581987
2007-08-01,29.889938
2007-09-01,33.348648
2007-10-01,37.307186
2007-11-01,34.453205
2007-12-01,33.968555
2008-01-01,30.937832
2008-02-01,31.554829
2008-03-01,30.370560
2008-04-01,33.145897
2008-05-01,34.194561
2008-06-01,31.024893
2008-07-01,29.317282
2008-08-01,27.465670
2008-09-01,23.433254
2008-10-01,17.439497
2008-11-01,15.738752
2008-12-01,17.365122
2009-01-01,15.751705
2009-02-01,14.764176
2009-03-01,17.253855
2009-04-01,19.938251
2009-05-01,23.116411
2009-06-01,22.596411
2009-07-01,25.085308
2009-08-01,24.755793
2009-09-01,27.279753
2009-10-01,26.340271
2009-11-01,28.408516
2009-12-01,29.339132
2010-01-01,27.062698
2010-02-01,27.543432
2010-03-01,29.777451
2010-04-01,29.727970
2010-05-01,26.935436
2010-06-01,26.558718
2010-07-01,29.462236
2010-08-01,28.508627
2010-09-01,31.860504
2010-10-01,32.821228
2010-11-01,31.867615
2010-12-01,34.186863
2011-01-01,32.873661
2011-02-01,32.859303
2011-03-01,34.926014
2011-04-01,35.880428
2011-05-01,34.825531
2011-06-01,34.499752
2011-07-01,34.144611
2011-08-01,30.984547
2011-09-01,25.439949
2011-10-01,29.578470
2011-11-01,28.998646
2011-12-01,27.761904
2012-01-01,30.813231
2012-02-01,32.437660
2012-03-01,31.427881
2012-04-01,30.893724
2012-05-01,27.586288
2012-06-01,28.975359
2012-07-01,28.967958
2012-08-01,29.086433
2012-09-01,30.604443
2012-10-01,30.471146
2012-11-01,30.945057
2012-12-01,33.050442
2013-01-01,32.953568
2013-02-01,32.200893
2013-03-01,31.872993
2013-04-01,32.260509
2013-05-01,30.703003
2013-06-01,29.067833
2013-07-01,29.452883
2013-08-01,28.705429
2013-09-01,30.774155
2013-10-01,32.057663
