date,value
2005-03-01,22.759632
2005-04-01,22.269789
2005-05-01,22.329853
2005-06-01,22.630241
2005-07-01,23.254108
2005-08-01,23.914949
2005-09-01,24.229183
2005-10-01,23.725466
2005-11-01,23.933430
2005-12-01,24.943909
2006-01-01,26.523058
2006-02-01,26.437695
2006-03-01,27.499947
2006-04-01,28.936831
2006-05-01,28.087963
2006-06-01,28.372517
2006-07-01,28.666519
2006-08-01,29.595995
2006-09-01,29.927944
2006-10-01,31.032881
2006-11-01,32.199459
2006-12-01,33.188358
2007-01-01,33.709354
2007-02-01,33.290611
2007-03-01,34.532246
2007-04-01,36.518864
2007-05-01,37.297947
2007-06-01,37.166470
2007-07-01,36.109863
2007-08-01,36.207233
2007-09-01,38.076992
2007-10-01,39.883472
2007-11-01,38.383778
2007-12-01,37.588234
2008-01-01,34.212227
2008-02-01,34.111752
2008-03-01,34.558861
2008-04-01,35.975578
2008-05-01,36.216724
2008-06-01,32.961292
2008-07-01,32.011795
2008-08-01,30.780966
2008-09-01,26.812141
2008-10-01,20.959381
2008-11-01,19.412048
2008-12-01,20.806889
2009-01-01,17.926683
2009-02-01,16.066219
2009-03-01,17.302906
2009-04-01,19.581039
2009-05-01,22.374460
2009-06-01,21.848310
2009-07-01,24.327141
2009-08-01,25.661463
2009-09-01,26.898167
2009-10-01,26.203875
2009-11-01,27.391750
2009-12-01,27.326839
2010-01-01,25.613272
2010-02-01,25.472355
2010-03-01,27.129553
2010-04-01,26.098042
2010-05-01,23.031654
2010-06-01,22.653997
2010-07-01,25.866938
2010-08-01,24.683224
2010-09-01,27.462133
2010-10-01,28.803661
2010-11-01,26.554605
2010-12-01,28.980810
2011-01-01,30.049364
2011-02-01,30.988050
2011-03-01,30.669239
2011-04-01,33.219612
2011-05-01,32.275032
2011-06-01,31.602001
2011-07-01,30.149731
2011-08-01,27.351416
2011-09-01,24.004066
2011-10-01,26.985390
2011-11-01,26.212017
2011-12-01,25.599045
2012-01-01,26.995466
2012-02-01,28.459843
2012-03-01,28.478390
2012-04-01,27.767820
2012-05-01,24.443594
2012-06-01,26.464085
2012-07-01,26.550589
2012-08-01,27.792538
2012-09-01,28.607899
2012-10-01,29.113550
2012-11-01,29.834137
2012-12-01,31.118755
2013-01-01,32.450409
2013-02-01,31.348129
2013-03-01,31.454706
2013-04-01,32.882435
2013-05-01,32.888824
2013-06-01,31.424467
2013-07-01,33.820637
2013-08-01,33.324417
2013-09-01,35.715664
2013-10-01,37.209812
2013-11-01,37.589890
2013-12-01,38.695023
2014-01-01,36.924770
2014-02-01,39.636066
2014-03-01,39.386772
2014-04-01,40.429089
2014-05-01,40.743103
2014-06-01,40.706989
2014-07-01,38.948326
2014-08-01,39.233524
2014-09-01,37.674011
2014-10-01,36.957649
2014-11-01,37.721756
2014-12-01,35.952648
2015-01-01,36.137863
2015-02-01,38.339874
2015-03-01,37.405155
2015-04-01,38.991879
2015-05-01,39.102261
2015-06-01,37.822563
2015-07-01,38.831528
2015-08-01,36.105892
2015-09-01,34.618362
2015-10-01,36.659702
2015-11-01,36.202168
2015-12-01,35.255466
2016-01-01,33.297615
2016-02-01,32.223270
2016-03-01,34.487637
2016-04-01,35.440071
2016-05-01,35.262386
2016-06-01,33.825497
2016-07-01,34.999882
2016-08-01,35.239120
2016-09-01,35.517029
2016-10-01,34.263397
2016-11-01,33.461651
2016-12-01,35.108410
2017-01-01,36.148335
2017-02-01,36.360722
2017-03-01,37.971600
2017-04-01,39.451588
2017-05-01,41.388092
2017-06-01,41.175549
2017-07-01,42.340477
2017-08-01,42.370358
2017-09-01,43.730564
2017-10-01,43.932976
2017-11-01,43.910488
2017-12-01,44.582470
2018-01-01,47.092361
2018-02-01,44.198074
2018-03-01,44.042812
2018-04-01,44.989571
2018-05-01,43.898895
2018-06-01,43.355228
2018-07-01,44.830524
2018-08-01,43.563770
2018-09-01,43.593243
2018-10-01,40.150452
2018-11-01,39.879063
2018-12-01,37.946709
2019-01-01,40.483250
2019-02-01,41.763237
2019-03-01,42.081436
2019-04-01,43.729839
2019-05-01,41.249378
2019-06-01,43.870502
2019-07-01,42.727783
2019-08-01,42.024582
2019-09-01,43.096268
2019-10-01,44.752266
2019-11-01,45.331066
2019-12-01,47.376904
2020-01-01,45.913563
2020-02-01,42.259239
2020-03-01,35.221802
2020-04-01,37.492344
2020-05-01,39.681492
2020-06-01,41.241955
2020-07-01,42.749710
2020-08-01,44.593430
2020-09-01,43.203480
2020-10-01,40.863266
2020-11-01,47.562561
2020-12-01,50.262962
2021-01-01,49.812401
2021-02-01,51.097343
2021-03-01,52.792179
2021-04-01,55.314480
2021-05-01,57.778114
2021-06-01,56.985004
2021-07-01,58.044041
2021-08-01,59.094612
2021-09-01,55.909180
2021-10-01,58.721256
2021-11-01,55.849522
2021-12-01,58.752758
2022-01-01,56.651997
2022-02-01,53.655807
2022-03-01,53.740337
2022-04-01,50.383728
2022-05-01,51.600399
2022-06-01,46.493000
2022-07-01,48.816769
2022-08-01,45.172680
2022-09-01,40.797768
2022-10-01,44.236626
2022-11-01,50.203793
2022-12-01,49.364101
2023-01-01,54.083248
2023-02-01,53.157234
2023-03-01,54.473518
2023-04-01,56.725742
2023-05-01,53.821083
2023-06-01,56.118454
2023-07-01,57.746517
2023-08-01,55.409004
2023-09-01,52.918964
2023-10-01,51.283794
2023-11-01,56.289772
2023-12-01,59.329494
2024-01-01,58.602592
2024-02-01,60.010391
2024-03-01,62.304497
2024-04-01,60.713127
2024-05-01,64.626801
2024-06-01,62.720112
2024-07-01,64.307625
2024-08-01,66.627808
2024-09-01,66.948639
2024-10-01,63.257515
2024-11-01,62.146404
2024-12-01,60.441681
2025-01-01,64.279396
2025-02-01,66.850563
2025-03-01,67.131538
2025-04-01,69.713165
2025-05-01,73.394348
2025-06-01,75.192253
2025-07-01,73.397339
2025-08-01,76.162476
2025-09-01,77.627304
2025-10-01,78.113693
2025-11-01,79.310196
2025-12-01,82.102386
2026-01-01,85.922249
2026-02-01,88.544098
2026-03-01,81.322372
2026-04-01,85.969078
2026-05-01,87.813957
2026-06-01,88.540001
2026-07-01,90.589996
2026-08-01,91.839996
