date,value
2000-08-01,278.299988
2000-09-01,273.600006
2000-10-01,264.899994
2000-11-01,270.100006
2000-12-01,272.000000
2001-01-01,265.600006
2001-02-01,266.799988
2001-03-01,257.899994
2001-04-01,264.000000
2001-05-01,265.299988
2001-06-01,270.600006
2001-07-01,266.200012
2001-08-01,274.399994
2001-09-01,292.399994
2001-10-01,279.500000
2001-11-01,273.899994
2001-12-01,278.700012
2002-01-01,282.100006
2002-02-01,296.700012
2002-03-01,302.600006
2002-04-01,308.899994
2002-05-01,326.500000
2002-06-01,313.500000
2002-07-01,303.200012
2002-08-01,312.399994
2002-09-01,323.899994
2002-10-01,318.000000
2002-11-01,316.799988
2002-12-01,347.600006
2003-01-01,368.299988
2003-02-01,350.200012
2003-03-01,335.899994
2003-04-01,339.100006
2003-05-01,364.500000
2003-06-01,346.000000
2003-07-01,354.000000
2003-08-01,375.700012
2003-09-01,385.399994
2003-10-01,384.500000
2003-11-01,396.799988
2003-12-01,415.700012
2004-01-01,402.200012
2004-02-01,396.399994
2004-03-01,427.299988
2004-04-01,387.000000
2004-05-01,394.000000
2004-06-01,392.600006
2004-07-01,391.000000
2004-08-01,410.399994
2004-09-01,418.700012
2004-10-01,428.500000
2004-11-01,451.299988
2004-12-01,437.500000
2005-01-01,421.799988
2005-02-01,436.500000
2005-03-01,428.700012
2005-04-01,435.000000
2005-05-01,416.299988
2005-06-01,435.899994
2005-07-01,429.899994
2005-08-01,433.799988
2005-09-01,469.000000
2005-10-01,465.100006
2005-11-01,494.600006
2005-12-01,517.099976
2006-01-01,570.799988
2006-02-01,561.599976
2006-03-01,581.799988
2006-04-01,651.799988
2006-05-01,642.500000
2006-06-01,613.500000
2006-07-01,634.200012
2006-08-01,625.900024
2006-09-01,598.599976
2006-10-01,604.099976
2006-11-01,646.900024
2006-12-01,635.200012
2007-01-01,652.000000
2007-02-01,669.400024
2007-03-01,663.000000
2007-04-01,680.500000
2007-05-01,661.000000
2007-06-01,648.099976
2007-07-01,666.900024
2007-08-01,673.000000
2007-09-01,742.799988
2007-10-01,792.000000
2007-11-01,782.200012
2007-12-01,834.900024
2008-01-01,922.700012
2008-02-01,972.099976
2008-03-01,916.200012
2008-04-01,862.799988
2008-05-01,887.299988
2008-06-01,926.200012
2008-07-01,913.900024
2008-08-01,829.299988
2008-09-01,874.200012
2008-10-01,716.799988
2008-11-01,816.200012
2008-12-01,883.599976
2009-01-01,927.299988
2009-02-01,941.500000
2009-03-01,922.599976
2009-04-01,890.700012
2009-05-01,978.799988
2009-06-01,927.099976
2009-07-01,953.700012
2009-08-01,951.700012
2009-09-01,1008.000000
2009-10-01,1039.699951
2009-11-01,1181.099976
