date,value
1990-01-01,2751.600098
1990-02-01,2952.000000
1990-03-01,2997.000000
1990-04-01,2951.000000
1990-05-01,3132.000000
1990-06-01,3278.000000
1990-07-01,3438.000000
1990-08-01,3087.000000
1990-09-01,2760.000000
1990-10-01,2990.000000
1990-11-01,2965.000000
1990-12-01,3024.000000
1991-01-01,3243.000000
1991-02-01,3552.000000
1991-03-01,3745.000000
1991-04-01,3588.000000
1991-05-01,3707.000000
1991-06-01,3668.000000
1991-07-01,4009.000000
1991-08-01,3998.000000
1991-09-01,3956.699951
1991-10-01,4038.699951
1991-11-01,4149.799805
1991-12-01,4297.299805
1992-01-01,4601.799805
1992-02-01,4929.100098
1992-03-01,4938.299805
1992-04-01,5369.600098
1992-05-01,6080.200195
1992-06-01,6103.899902
1992-07-01,5881.100098
1992-08-01,5628.600098
1992-09-01,5505.399902
1992-10-01,6190.700195
1992-11-01,5810.600098
1992-12-01,5512.399902
1993-01-01,5751.399902
1993-02-01,6352.000000
1993-03-01,6388.899902
1993-04-01,6830.500000
1993-05-01,7372.200195
1993-06-01,7099.299805
1993-07-01,6989.000000
1993-08-01,7549.700195
1993-09-01,7676.200195
1993-10-01,9329.099609
1993-11-01,9125.200195
1993-12-01,11888.400391
1994-01-01,11487.000000
1994-02-01,10410.200195
1994-03-01,9029.900391
1994-04-01,8966.099609
1994-05-01,9553.599609
1994-06-01,8758.400391
1994-07-01,9482.799805
1994-08-01,9929.400391
1994-09-01,9521.200195
1994-10-01,9646.299805
1994-11-01,8466.299805
1994-12-01,8191.000000
1995-01-01,7342.700195
1995-02-01,8327.500000
1995-03-01,8587.700195
1995-04-01,8361.000000
1995-05-01,9407.400391
1995-06-01,9206.500000
1995-07-01,9453.400391
1995-08-01,9179.900391
1995-09-01,9646.299805
1995-10-01,9782.400391
1995-11-01,9813.299805
1995-12-01,10073.400391
1996-01-01,11359.700195
1996-02-01,11125.700195
1996-03-01,10957.200195
1996-04-01,10964.500000
1996-05-01,11264.700195
1996-06-01,11020.900391
1996-07-01,10681.400391
1996-08-01,11159.000000
1996-09-01,11902.400391
1996-10-01,12477.599609
1996-11-01,13393.900391
1996-12-01,13451.500000
1997-01-01,13321.799805
1997-02-01,13398.700195
1997-03-01,12534.299805
1997-04-01,12903.299805
1997-05-01,14757.799805
1997-06-01,15196.799805
1997-07-01,16365.700195
1997-08-01,14135.200195
1997-09-01,15049.299805
1997-10-01,10623.799805
1997-11-01,10526.900391
1997-12-01,10722.799805
1998-01-01,9252.400391
1998-02-01,11480.700195
1998-03-01,11518.700195
1998-04-01,10383.679688
1998-05-01,8934.559570
1998-06-01,8543.099609
1998-07-01,7936.200195
1998-08-01,7275.040039
1998-09-01,7883.459961
1998-10-01,10154.940430
1998-11-01,10402.320312
1998-12-01,10048.580078
1999-01-01,9506.900391
1999-02-01,9858.490234
1999-03-01,10942.200195
1999-04-01,13333.200195
1999-05-01,12147.120117
1999-06-01,13532.139648
1999-07-01,13186.860352
1999-08-01,13482.769531
1999-09-01,12733.240234
1999-10-01,13256.950195
1999-11-01,15377.190430
1999-12-01,16962.099609
2000-01-01,15532.339844
2000-02-01,17169.439453
2000-03-01,17406.539062
2000-04-01,15519.299805
2000-05-01,14713.860352
2000-06-01,16155.780273
2000-07-01,16840.980469
2000-08-01,17097.509766
2000-09-01,15648.980469
2000-10-01,14895.339844
2000-11-01,13984.389648
2000-12-01,15095.530273
2001-01-01,16102.349609
2001-02-01,14787.870117
2001-03-01,12760.639648
2001-04-01,13386.040039
2001-05-01,13174.410156
2001-06-01,13042.530273
