date,value
2009-01-01,538.596924
2009-02-01,512.097656
2009-03-01,527.997253
2009-04-01,573.708496
2009-05-01,610.807251
2009-06-01,633.331604
2009-07-01,633.331604
2009-08-01,645.256287
2009-09-01,610.144653
2009-10-01,601.532593
2009-11-01,566.421082
2009-12-01,610.144653
2010-01-01,606.832397
2010-02-01,601.532593
2010-03-01,665.130798
2010-04-01,668.443054
2010-05-01,597.557678
2010-06-01,571.721008
2010-07-01,569.071045
2010-08-01,536.609436
2010-09-01,557.146301
2010-10-01,543.896667
2010-11-01,580.333191
2010-12-01,604.844910
2011-01-01,613.457214
2011-02-01,639.293945
2011-03-01,589.607971
2011-04-01,578.345703
2011-05-01,572.383362
2011-06-01,579.008240
2011-07-01,560.458740
2011-08-01,513.422546
2011-09-01,511.435120
2011-10-01,514.747559
2011-11-01,490.235718
2011-12-01,490.235718
2012-01-01,506.135254
2012-02-01,561.121216
2012-03-01,579.008240
2012-04-01,546.546509
2012-05-01,486.923309
2012-06-01,525.347351
2012-07-01,491.560791
2012-08-01,488.248322
2012-09-01,497.523102
2012-10-01,500.172974
2012-11-01,526.009766
2012-12-01,580.333191
2013-01-01,633.994141
2013-02-01,656.518433
2013-03-01,705.541992
2013-04-01,791.664429
2013-05-01,794.976868
2013-06-01,773.777588
2013-07-01,769.543579
2013-08-01,752.038696
2013-09-01,818.692017
2013-10-01,819.365234
2013-11-01,863.127380
2013-12-01,894.097717
2014-01-01,836.870178
2014-02-01,830.810547
2014-03-01,832.830444
2014-04-01,806.573120
2014-05-01,830.810547
2014-06-01,876.592712
2014-07-01,894.934753
2014-08-01,886.040100
2014-09-01,925.723694
2014-10-01,932.565918
2014-11-01,985.933472
2014-12-01,986.617615
2015-01-01,99.003868
2015-02-01,106.735306
2015-03-01,108.787933
2015-04-01,112.208931
2015-05-01,117.819374
2015-06-01,115.014168
2015-07-01,134.662170
2015-08-01,124.604393
2015-09-01,115.424683
2015-10-01,127.478027
2015-11-01,129.393784
2015-12-01,126.839417
2016-01-01,117.899223
2016-02-01,106.484451
2016-03-01,111.513313
2016-04-01,110.874733
2016-05-01,114.067673
2016-06-01,103.371338
2016-07-01,109.560699
2016-08-01,110.213821
2016-09-01,110.458740
2016-10-01,116.663361
2016-11-01,122.786346
2016-12-01,127.031654
2017-01-01,127.439850
2017-02-01,128.664444
2017-03-01,127.766396
2017-04-01,129.480865
2017-05-01,132.419861
2017-06-01,136.338577
2017-07-01,136.960083
2017-08-01,136.960083
2017-09-01,142.849915
2017-10-01,150.647797
2017-11-01,153.136475
2017-12-01,155.127411
2018-01-01,156.952423
2018-02-01,151.145493
2018-03-01,148.076141
2018-04-01,153.385284
2018-05-01,150.730743
2018-06-01,149.486404
2018-07-01,151.457916
2018-08-01,149.853851
2018-09-01,158.380753
2018-10-01,143.353165
2018-11-01,145.210495
2018-12-01,130.605026
2019-01-01,136.852463
2019-02-01,140.313858
2019-03-01,140.229462
2019-04-01,142.593323
2019-05-01,133.475479
2019-06-01,137.190170
2019-07-01,138.354416
2019-08-01,133.785690
2019-09-01,141.630112
2019-10-01,148.612473
2019-11-01,151.457138
2019-12-01,153.698395
2020-01-01,150.595123
2020-02-01,134.992538
2020-03-01,126.975739
2020-04-01,132.147873
2020-05-01,141.371475
2020-06-01,140.681885
2020-07-01,135.707199
2020-08-01,146.092056
2020-09-01,148.380264
2020-10-01,144.419922
2020-11-01,159.997208
2020-12-01,165.013626
2021-01-01,165.277649
2021-02-01,170.646088
2021-03-01,180.590897
2021-04-01,175.398468
2021-05-01,177.598648
2021-06-01,179.534836
2021-07-01,175.917130
2021-08-01,181.476166
2021-09-01,189.635437
2021-10-01,186.676575
2021-11-01,180.041595
2021-12-01,185.914474
2022-01-01,176.948257
2022-02-01,176.365448
2022-03-01,183.717743
2022-04-01,179.324310
2022-05-01,180.669220
2022-06-01,177.037903
2022-07-01,183.565598
2022-08-01,187.744827
2022-09-01,175.574478
2022-10-01,184.346313
2022-11-01,189.811493
2022-12-01,181.361145
2023-01-01,189.398148
2023-02-01,191.051514
2023-03-01,194.633698
2023-04-01,199.731491
2023-05-01,206.712204
2023-06-01,222.235138
2023-07-01,225.568924
2023-08-01,226.367477
2023-09-01,228.058533
2023-10-01,221.388229
2023-11-01,233.178696
2023-12-01,232.474075
2024-01-01,250.840912
2024-02-01,263.523865
2024-03-01,274.656708
2024-04-01,271.791260
2024-05-01,277.146301
2024-06-01,278.884369
2024-07-01,277.849487
2024-08-01,269.275970
2024-09-01,265.061035
2024-10-01,269.946503
2024-11-01,268.653290
2024-12-01,279.621643
2025-01-01,280.196411
2025-02-01,269.515411
2025-03-01,270.521271
2025-04-01,271.527100
2025-05-01,284.746613
2025-06-01,290.254761
2025-07-01,299.839478
2025-08-01,313.575562
2025-09-01,322.111572
2025-10-01,342.617615
2025-11-01,347.523376
2025-12-01,351.153625
2026-01-01,367.342590
2026-02-01,405.313110
2026-03-01,36.439915
2026-04-01,386.671265
2026-05-01,410.022614
2026-06-01,415.615173
2026-07-01,417.200012
2026-08-01,427.600006
