date,value
2000-08-01,33.099998
2000-09-01,30.860001
2000-10-01,32.689999
2000-11-01,33.799999
2000-12-01,26.799999
2001-01-01,28.700001
2001-02-01,27.420000
2001-03-01,26.400000
2001-04-01,28.459999
2001-05-01,28.370001
2001-06-01,26.250000
2001-07-01,26.350000
2001-08-01,27.200001
2001-09-01,23.430000
2001-10-01,21.180000
2001-11-01,19.440001
2001-12-01,19.840000
2002-01-01,19.480000
2002-02-01,21.850000
2002-03-01,26.230000
2002-04-01,27.290001
2002-05-01,25.350000
2002-06-01,26.860001
2002-07-01,27.020000
2002-08-01,28.980000
2002-09-01,30.469999
2002-10-01,27.219999
2002-11-01,26.889999
2002-12-01,31.200001
2003-01-01,33.509998
2003-02-01,36.599998
2003-03-01,31.040001
2003-04-01,25.799999
2003-05-01,29.559999
2003-06-01,30.190001
2003-07-01,30.540001
2003-08-01,31.570000
2003-09-01,29.200001
2003-10-01,29.110001
2003-11-01,30.410000
2003-12-01,32.520000
2004-01-01,33.049999
2004-02-01,36.160000
2004-03-01,35.759998
2004-04-01,37.380001
2004-05-01,39.880001
2004-06-01,37.049999
2004-07-01,43.799999
2004-08-01,42.119999
2004-09-01,49.639999
2004-10-01,51.759998
2004-11-01,49.130001
2004-12-01,43.450001
2005-01-01,48.200001
2005-02-01,51.750000
2005-03-01,55.400002
2005-04-01,49.720001
2005-05-01,51.970001
2005-06-01,56.500000
2005-07-01,60.570000
2005-08-01,68.940002
2005-09-01,66.239998
2005-10-01,59.759998
2005-11-01,57.320000
2005-12-01,61.040001
2006-01-01,67.919998
2006-02-01,61.410000
2006-03-01,66.629997
2006-04-01,71.879997
2006-05-01,71.290001
2006-06-01,73.980003
2006-07-01,74.400002
2006-08-01,70.260002
2006-09-01,62.910000
2006-10-01,58.730000
2006-11-01,63.130001
2006-12-01,61.049999
2007-01-01,58.139999
2007-02-01,61.790001
2007-03-01,65.870003
2007-04-01,65.709999
2007-05-01,64.010002
2007-06-01,70.680000
2007-07-01,78.209999
2007-08-01,74.040001
2007-09-01,81.660004
2007-10-01,94.529999
2007-11-01,88.709999
2007-12-01,95.980003
2008-01-01,91.750000
2008-02-01,101.839996
2008-03-01,101.580002
2008-04-01,113.459999
2008-05-01,127.349998
2008-06-01,140.000000
2008-07-01,124.080002
2008-08-01,115.459999
2008-09-01,100.639999
2008-10-01,67.809998
2008-11-01,54.430000
2008-12-01,44.599998
2009-01-01,41.680000
2009-02-01,44.759998
2009-03-01,49.660000
2009-04-01,51.119999
2009-05-01,66.309998
2009-06-01,69.889999
2009-07-01,69.449997
2009-08-01,69.959999
2009-09-01,70.610001
2009-10-01,77.000000
2009-11-01,77.279999
2009-12-01,79.360001
2010-01-01,72.889999
2010-02-01,79.660004
2010-03-01,83.760002
2010-04-01,86.150002
2010-05-01,73.970001
2010-06-01,75.629997
2010-07-01,78.949997
2010-08-01,71.919998
2010-09-01,79.970001
2010-10-01,81.430000
2010-11-01,84.110001
2010-12-01,91.379997
2011-01-01,92.190002
2011-02-01,96.970001
2011-03-01,106.720001
2011-04-01,113.930000
2011-05-01,102.699997
2011-06-01,95.419998
2011-07-01,95.699997
2011-08-01,88.809998
2011-09-01,79.199997
2011-10-01,93.190002
2011-11-01,100.360001
2011-12-01,98.830002
2012-01-01,98.480003
2012-02-01,107.070000
2012-03-01,103.019997
2012-04-01,104.870003
2012-05-01,86.529999
2012-06-01,84.959999
2012-07-01,88.059998
2012-08-01,96.470001
2012-09-01,92.190002
2012-10-01,86.239998
2012-11-01,88.910004
2012-12-01,91.820000
2013-01-01,97.489998
2013-02-01,92.050003
2013-03-01,97.230003
2013-04-01,93.459999
2013-05-01,91.970001
2013-06-01,96.559998
2013-07-01,105.029999
2013-08-01,107.650002
2013-09-01,102.330002
2013-10-01,96.379997
2013-11-01,92.720001
2013-12-01,98.419998
2014-01-01,97.489998
2014-02-01,102.589996
2014-03-01,101.580002
2014-04-01,99.739998
2014-05-01,102.709999
2014-06-01,105.370003
2014-07-01,98.169998
2014-08-01,95.959999
2014-09-01,91.160004
2014-10-01,80.540001
2014-11-01,66.150002
2014-12-01,53.270000
2015-01-01,48.240002
2015-02-01,49.759998
2015-03-01,47.599998
2015-04-01,59.630001
2015-05-01,60.299999
2015-06-01,59.470001
2015-07-01,47.119999
2015-08-01,49.200001
2015-09-01,45.090000
2015-10-01,46.590000
2015-11-01,41.650002
2015-12-01,37.040001
2016-01-01,33.619999
2016-02-01,33.750000
2016-03-01,38.340000
2016-04-01,45.919998
2016-05-01,49.099998
2016-06-01,48.330002
2016-07-01,41.599998
2016-08-01,44.700001
2016-09-01,48.240002
2016-10-01,46.860001
2016-11-01,49.439999
2016-12-01,53.720001
2017-01-01,52.810001
2017-02-01,54.009998
2017-03-01,50.599998
2017-04-01,49.330002
2017-05-01,48.320000
2017-06-01,46.040001
2017-07-01,50.169998
2017-08-01,47.230000
2017-09-01,51.669998
2017-10-01,54.380001
2017-11-01,57.400002
2017-12-01,60.419998
2018-01-01,64.730003
2018-02-01,61.639999
2018-03-01,64.940002
2018-04-01,68.570000
2018-05-01,67.040001
2018-06-01,74.150002
2018-07-01,68.760002
2018-08-01,69.800003
2018-09-01,73.250000
2018-10-01,65.309998
2018-11-01,50.930000
2018-12-01,45.410000
2019-01-01,53.790001
2019-02-01,57.220001
2019-03-01,60.139999
2019-04-01,63.910000
2019-05-01,53.500000
2019-06-01,58.470001
2019-07-01,58.580002
2019-08-01,55.099998
2019-09-01,54.070000
2019-10-01,54.180000
2019-11-01,55.169998
2019-12-01,61.060001
2020-01-01,51.560001
2020-02-01,44.759998
2020-03-01,20.480000
2020-04-01,18.840000
2020-05-01,35.490002
2020-06-01,39.270000
2020-07-01,40.270000
2020-08-01,42.610001
2020-09-01,40.220001
2020-10-01,35.790001
2020-11-01,45.340000
2020-12-01,48.520000
2021-01-01,52.200001
2021-02-01,61.500000
2021-03-01,59.160000
2021-04-01,63.580002
2021-05-01,66.320000
2021-06-01,73.470001
2021-07-01,73.949997
2021-08-01,68.500000
2021-09-01,75.029999
2021-10-01,83.570000
2021-11-01,66.180000
2021-12-01,75.209999
2022-01-01,88.150002
2022-02-01,95.720001
2022-03-01,100.279999
2022-04-01,104.690002
2022-05-01,114.669998
2022-06-01,105.760002
2022-07-01,98.620003
2022-08-01,89.550003
2022-09-01,79.489998
2022-10-01,86.529999
2022-11-01,80.550003
2022-12-01,80.260002
2023-01-01,78.870003
2023-02-01,77.050003
2023-03-01,75.669998
2023-04-01,76.779999
2023-05-01,68.089996
2023-06-01,70.639999
2023-07-01,81.800003
2023-08-01,83.629997
2023-09-01,90.790001
2023-10-01,81.019997
2023-11-01,75.959999
2023-12-01,71.650002
2024-01-01,75.849998
2024-02-01,78.260002
2024-03-01,83.169998
2024-04-01,81.930000
2024-05-01,76.989998
2024-06-01,81.540001
2024-07-01,77.910004
2024-08-01,73.550003
2024-09-01,68.169998
2024-10-01,69.260002
2024-11-01,68.000000
2024-12-01,71.720001
2025-01-01,72.529999
2025-02-01,69.760002
2025-03-01,71.480003
2025-04-01,58.209999
2025-05-01,60.790001
2025-06-01,65.110001
2025-07-01,69.260002
2025-08-01,64.010002
2025-09-01,62.369999
2025-10-01,60.980000
2025-11-01,58.549999
2025-12-01,57.419998
2026-01-01,65.209999
2026-02-01,67.019997
2026-03-01,101.379997
2026-04-01,105.070000
2026-05-01,87.360001
2026-06-01,69.500000
2026-07-01,85.070000
