date,value
2004-09-01,19.652330
2004-10-01,20.766935
2004-11-01,21.588219
2004-12-01,22.614824
2005-01-01,20.679276
2005-02-01,21.335114
2005-03-01,20.970835
2005-04-01,22.180834
2005-05-01,22.961878
2005-06-01,24.017540
2005-07-01,25.731905
2005-08-01,24.688549
2005-09-01,25.018581
2005-10-01,24.298433
2005-11-01,25.308275
2005-12-01,25.314421
2006-01-01,27.222769
2006-02-01,27.728548
2006-03-01,29.035954
2006-04-01,28.048428
2006-05-01,27.291750
2006-06-01,28.645691
2006-07-01,29.760397
2006-08-01,30.797356
2006-09-01,31.402811
2006-10-01,33.295696
2006-11-01,34.887657
2006-12-01,34.244839
2007-01-01,37.251247
2007-02-01,36.246159
2007-03-01,35.494068
2007-04-01,35.449337
2007-05-01,35.315151
2007-06-01,32.134052
2007-07-01,29.479979
2007-08-01,31.468267
2007-09-01,32.700954
2007-10-01,33.387383
2007-11-01,30.225281
2007-12-01,28.589180
2008-01-01,28.365911
2008-02-01,27.463491
2008-03-01,29.244562
2008-04-01,31.110157
2008-05-01,31.044529
2008-06-01,27.749018
2008-07-01,28.613503
2008-08-01,29.292761
2008-09-01,29.256504
2008-10-01,19.974297
2008-11-01,15.436660
2008-12-01,18.016270
2009-01-01,14.857856
2009-02-01,11.808192
2009-03-01,12.238178
2009-04-01,15.993305
2009-05-01,16.411661
2009-06-01,15.886977
2009-07-01,17.598118
2009-08-01,20.118715
2009-09-01,21.445097
2009-10-01,20.487953
2009-11-01,21.833132
2009-12-01,23.445890
2010-01-01,22.151495
2010-02-01,23.388252
2010-03-01,25.770752
2010-04-01,27.613411
2010-05-01,26.140333
2010-06-01,24.777834
2010-07-01,27.154884
2010-08-01,26.808451
2010-09-01,28.006983
2010-10-01,29.335270
2010-11-01,28.792126
2010-12-01,30.102364
2011-01-01,31.080940
2011-02-01,32.543388
2011-03-01,32.019226
2011-04-01,33.859230
2011-05-01,34.324692
2011-06-01,33.192230
2011-07-01,33.711391
2011-08-01,31.817047
2011-09-01,28.367466
2011-10-01,32.421547
2011-11-01,31.189157
2011-12-01,32.701939
2012-01-01,34.788097
2012-02-01,34.387779
2012-03-01,36.176006
2012-04-01,37.210411
2012-05-01,35.533756
2012-06-01,37.494167
2012-07-01,38.244862
2012-08-01,38.239128
2012-09-01,37.526646
2012-10-01,37.185871
2012-11-01,37.087677
2012-12-01,38.468353
2013-01-01,39.906544
2013-02-01,40.391781
2013-03-01,41.551891
2013-04-01,44.350300
2013-05-01,41.699169
2013-06-01,40.872757
2013-07-01,41.241508
2013-08-01,38.362812
2013-09-01,39.698563
2013-10-01,41.493195
