date,value
2003-12-01,49.680809
2004-01-01,50.286518
2004-02-01,51.366028
2004-03-01,52.220829
2004-04-01,49.702782
2004-05-01,50.706547
2004-06-01,50.635021
2004-07-01,51.045036
2004-08-01,52.419086
2004-09-01,52.462357
2004-10-01,53.036407
2004-11-01,52.863953
2004-12-01,53.793766
2005-01-01,53.798878
2005-02-01,53.514721
2005-03-01,53.631844
2005-04-01,54.585152
2005-05-01,54.999905
2005-06-01,55.284481
2005-07-01,53.918236
2005-08-01,55.282963
2005-09-01,55.197514
2005-10-01,54.473301
2005-11-01,54.569431
2005-12-01,55.133472
2006-01-01,55.149544
2006-02-01,55.149544
2006-03-01,53.969845
2006-04-01,53.843250
2006-05-01,54.003002
2006-06-01,54.233982
2006-07-01,55.053371
2006-08-01,55.968857
2006-09-01,56.030861
2006-10-01,55.989704
2006-11-01,56.590137
2006-12-01,55.286316
2007-01-01,55.415020
2007-02-01,56.511761
2007-03-01,56.695812
2007-04-01,57.072620
2007-05-01,56.324085
2007-06-01,56.203156
2007-07-01,57.496262
2007-08-01,57.968925
2007-09-01,58.711193
2007-10-01,59.395905
2007-11-01,61.841717
2007-12-01,61.880337
2008-01-01,64.091179
2008-02-01,65.002991
2008-03-01,64.912025
2008-04-01,64.003464
2008-05-01,64.071861
2008-06-01,65.218384
2008-07-01,64.820862
2008-08-01,65.326965
2008-09-01,62.699524
2008-10-01,57.627419
2008-11-01,58.132729
2008-12-01,61.913448
2009-01-01,61.888470
2009-02-01,60.528431
2009-03-01,64.103233
2009-04-01,62.952461
2009-05-01,64.209412
2009-06-01,64.336708
2009-07-01,64.393219
2009-08-01,64.935013
2009-09-01,66.248589
2009-10-01,67.006866
2009-11-01,68.882660
2009-12-01,67.443535
2010-01-01,68.475639
2010-02-01,67.583282
2010-03-01,67.579369
2010-04-01,69.279022
2010-05-01,69.411827
2010-06-01,70.300194
2010-07-01,70.129433
2010-08-01,71.491348
2010-09-01,72.052917
2010-10-01,73.835655
2010-11-01,72.585876
2010-12-01,71.578682
2011-01-01,71.592026
2011-02-01,72.108055
2011-03-01,72.966293
2011-04-01,74.701462
2011-05-01,74.900078
2011-06-01,75.465515
2011-07-01,78.408356
2011-08-01,78.912971
2011-09-01,78.906036
2011-10-01,80.539825
2011-11-01,80.962837
2011-12-01,81.095589
2012-01-01,82.951096
2012-02-01,82.471611
2012-03-01,81.762749
2012-04-01,83.222015
2012-05-01,84.841774
2012-06-01,84.274345
2012-07-01,85.752953
2012-08-01,85.541122
2012-09-01,85.978920
2012-10-01,86.515594
2012-11-01,86.998314
2012-12-01,86.283401
2013-01-01,85.835693
2013-02-01,85.999146
2013-03-01,86.183922
2013-04-01,86.866631
2013-05-01,83.224121
2013-06-01,80.059898
2013-07-01,80.782028
2013-08-01,79.306747
2013-09-01,80.699547
2013-10-01,80.977051
2013-11-01,80.121368
2013-12-01,78.957458
2014-01-01,80.617073
2014-02-01,80.969124
2014-03-01,80.538055
2014-04-01,81.601379
2014-05-01,83.234505
2014-06-01,83.542290
2014-07-01,83.465309
2014-08-01,83.972404
2014-09-01,81.793098
2014-10-01,82.530235
2014-11-01,82.661644
2014-12-01,81.792686
2015-01-01,84.436058
2015-02-01,83.348022
2015-03-01,82.946396
2015-04-01,83.508675
2015-05-01,82.668922
2015-06-01,81.821877
2015-07-01,82.260010
2015-08-01,81.478645
2015-09-01,81.052490
2015-10-01,81.295738
2015-11-01,81.178497
2015-12-01,80.357895
2016-01-01,81.618103
2016-02-01,82.614525
2016-03-01,83.991875
2016-04-01,84.167770
2016-05-01,83.625580
2016-06-01,85.506180
2016-07-01,86.052399
2016-08-01,85.757477
2016-09-01,86.401306
2016-10-01,85.934044
2016-11-01,84.153969
2016-12-01,84.119743
2017-01-01,84.870476
2017-02-01,85.219826
2017-03-01,85.219826
2017-04-01,85.603127
2017-05-01,85.568840
2017-06-01,84.826981
2017-07-01,85.218346
2017-08-01,86.102486
2017-09-01,85.498077
2017-10-01,85.699898
2017-11-01,85.773819
2017-12-01,86.576218
2018-01-01,85.840065
2018-02-01,84.952713
2018-03-01,85.810463
2018-04-01,85.697845
2018-05-01,85.979912
2018-06-01,86.536507
2018-07-01,86.075523
2018-08-01,86.630417
2018-09-01,85.789749
2018-10-01,84.486427
2018-11-01,84.891190
2018-12-01,85.342262
2019-01-01,86.557945
2019-02-01,86.409866
2019-03-01,88.116570
2019-04-01,88.311417
2019-05-01,89.858788
2019-06-01,90.532188
2019-07-01,90.817482
2019-08-01,92.934471
2019-09-01,91.906242
2019-10-01,91.879349
2019-11-01,92.148560
2019-12-01,92.468025
2020-01-01,94.443192
2020-02-01,95.314293
2020-03-01,93.638779
2020-04-01,96.474747
2020-05-01,97.102943
2020-06-01,98.059586
2020-07-01,100.339722
2020-08-01,101.232643
2020-09-01,100.849945
2020-10-01,100.167664
2020-11-01,101.376907
2020-12-01,102.489616
2021-01-01,102.762604
2021-02-01,101.028343
2021-03-01,100.763390
2021-04-01,102.204041
2021-05-01,103.250519
2021-06-01,103.998749
2021-07-01,106.781555
2021-08-01,106.606361
2021-09-01,105.774658
2021-10-01,106.948311
2021-11-01,107.873466
2021-12-01,108.308105
2022-01-01,106.078247
2022-02-01,106.985916
2022-03-01,104.979347
2022-04-01,102.687599
2022-05-01,101.668701
2022-06-01,98.501228
2022-07-01,102.746468
2022-08-01,99.967964
2022-09-01,93.237770
2022-10-01,94.562111
2022-11-01,96.295341
2022-12-01,95.026787
2023-01-01,96.999817
2023-02-01,95.687447
2023-03-01,98.428268
2023-04-01,98.479218
2023-05-01,97.301353
2023-06-01,96.970657
2023-07-01,97.010483
2023-08-01,96.222168
2023-09-01,94.377739
2023-10-01,93.695076
2023-11-01,96.296822
2023-12-01,98.642426
2024-01-01,98.972801
2024-02-01,97.935814
2024-03-01,98.569016
2024-04-01,96.902390
2024-05-01,98.624397
2024-06-01,99.375443
2024-07-01,101.092094
2024-08-01,101.899841
2024-09-01,103.425896
2024-10-01,101.515732
2024-11-01,102.021355
2024-12-01,100.272278
2025-01-01,101.646263
2025-02-01,103.838974
2025-03-01,104.544800
2025-04-01,104.676437
2025-05-01,104.014984
2025-06-01,104.991043
2025-07-01,105.000633
2025-08-01,106.693588
2025-09-01,107.143471
2025-10-01,107.488953
2025-11-01,107.722305
2025-12-01,107.055443
2026-01-01,107.610641
2026-02-01,108.974274
2026-03-01,107.493752
2026-04-01,108.662590
2026-05-01,108.869148
2026-06-01,108.372002
2026-07-01,108.269997
