date,value
2002-07-01,40.791786
2002-08-01,41.820015
2002-09-01,43.432098
2002-10-01,42.888851
2002-11-01,41.992786
2002-12-01,43.482567
2003-01-01,43.149460
2003-02-01,44.100426
2003-03-01,43.932865
2003-04-01,43.993443
2003-05-01,45.661194
2003-06-01,45.345371
2003-07-01,43.069012
2003-08-01,43.374828
2003-09-01,45.532932
2003-10-01,44.865250
2003-11-01,44.875340
2003-12-01,45.790897
2004-01-01,46.255829
2004-02-01,47.001415
2004-03-01,47.611012
2004-04-01,45.541744
2004-05-01,45.299881
2004-06-01,45.595791
2004-07-01,46.148273
2004-08-01,47.454159
2004-09-01,47.607136
2004-10-01,48.078117
2004-11-01,47.127182
2004-12-01,47.677299
2005-01-01,48.092625
2005-02-01,47.434502
2005-03-01,47.243179
2005-04-01,48.432034
2005-05-01,49.322372
2005-06-01,49.558270
2005-07-01,48.474487
2005-08-01,49.444214
2005-09-01,48.577808
2005-10-01,47.975777
2005-11-01,48.275818
2005-12-01,48.935146
2006-01-01,48.591072
2006-02-01,48.540783
2006-03-01,47.881653
2006-04-01,47.581371
2006-05-01,47.530579
2006-06-01,47.639690
2006-07-01,48.438778
2006-08-01,49.293007
2006-09-01,49.888210
2006-10-01,50.156895
2006-11-01,50.814629
2006-12-01,50.166481
2007-01-01,49.965637
2007-02-01,50.992435
2007-03-01,50.922012
2007-04-01,51.230801
2007-05-01,50.516922
2007-06-01,50.280670
2007-07-01,51.415436
2007-08-01,52.578976
2007-09-01,52.625404
2007-10-01,53.192142
2007-11-01,55.345173
2007-12-01,55.373142
2008-01-01,57.231438
2008-02-01,57.940697
2008-03-01,58.715488
2008-04-01,57.296143
2008-05-01,56.277702
2008-06-01,56.922638
2008-07-01,57.332760
2008-08-01,58.208065
2008-09-01,58.126385
2008-10-01,57.624825
2008-11-01,62.092915
2008-12-01,65.294594
2009-01-01,62.756447
2009-02-01,62.295216
2009-03-01,64.359497
2009-04-01,62.592720
2009-05-01,61.292515
2009-06-01,60.950993
2009-07-01,61.457912
2009-08-01,61.927124
2009-09-01,62.623405
2009-10-01,62.537003
2009-11-01,63.798485
2009-12-01,60.989555
2010-01-01,62.435123
2010-02-01,62.642307
2010-03-01,61.980309
2010-04-01,63.004623
2010-05-01,64.852776
2010-06-01,66.829620
2010-07-01,67.437477
2010-08-01,69.700760
2010-09-01,69.698624
2010-10-01,69.693672
2010-11-01,69.067703
2010-12-01,66.698021
2011-01-01,66.683762
2011-02-01,66.544823
2011-03-01,66.441994
2011-04-01,67.665398
2011-05-01,69.360771
2011-06-01,69.010902
2011-07-01,71.198219
2011-08-01,74.509918
2011-09-01,76.176697
2011-10-01,75.196739
2011-11-01,75.632751
2011-12-01,77.136055
2012-01-01,77.800995
2012-02-01,76.945305
2012-03-01,75.720940
2012-04-01,77.620872
2012-05-01,79.848236
2012-06-01,79.517464
2012-07-01,80.631607
2012-08-01,80.536964
2012-09-01,80.256577
2012-10-01,79.938705
2012-11-01,80.721367
2012-12-01,79.962379
2013-01-01,78.928345
2013-02-01,79.822174
2013-03-01,80.051163
2013-04-01,81.272118
2013-05-01,78.748611
2013-06-01,76.743568
2013-07-01,76.472900
2013-08-01,75.385040
2013-09-01,76.776810
2013-10-01,77.373970
2013-11-01,76.695946
2013-12-01,75.092468
2014-01-01,77.392761
2014-02-01,77.669434
2014-03-01,77.233681
2014-04-01,77.819305
2014-05-01,79.239861
2014-06-01,79.068130
