date,value
2002-07-01,40.791779
2002-08-01,41.820045
2002-09-01,43.432102
2002-10-01,42.888790
2002-11-01,41.992798
2002-12-01,43.482563
2003-01-01,43.149441
2003-02-01,44.100433
2003-03-01,43.932850
2003-04-01,43.993431
2003-05-01,45.661194
2003-06-01,45.345402
2003-07-01,43.069023
2003-08-01,43.374840
2003-09-01,45.532921
2003-10-01,44.865250
2003-11-01,44.875370
2003-12-01,45.790890
2004-01-01,46.255810
2004-02-01,47.001434
2004-03-01,47.610996
2004-04-01,45.541718
2004-05-01,45.299900
2004-06-01,45.595798
2004-07-01,46.148319
2004-08-01,47.454159
2004-09-01,47.607178
2004-10-01,48.078125
2004-11-01,47.127163
2004-12-01,47.677319
2005-01-01,48.092632
2005-02-01,47.434536
2005-03-01,47.243198
2005-04-01,48.432034
2005-05-01,49.322327
2005-06-01,49.558254
2005-07-01,48.474480
2005-08-01,49.444172
2005-09-01,48.577782
2005-10-01,47.975784
2005-11-01,48.275791
2005-12-01,48.935215
2006-01-01,48.591080
2006-02-01,48.540775
2006-03-01,47.881683
2006-04-01,47.581360
2006-05-01,47.530556
2006-06-01,47.639698
2006-07-01,48.438774
2006-08-01,49.292984
2006-09-01,49.888245
2006-10-01,50.156879
2006-11-01,50.814659
2006-12-01,50.166481
2007-01-01,49.965637
2007-02-01,50.992451
2007-03-01,50.921974
2007-04-01,51.230843
2007-05-01,50.516914
2007-06-01,50.280693
2007-07-01,51.415440
2007-08-01,52.578979
2007-09-01,52.625401
2007-10-01,53.192127
2007-11-01,55.345177
2007-12-01,55.373112
2008-01-01,57.231400
2008-02-01,57.940685
2008-03-01,58.715542
2008-04-01,57.296131
2008-05-01,56.277721
2008-06-01,56.922604
2008-07-01,57.332859
2008-08-01,58.208031
2008-09-01,58.126396
2008-10-01,57.624809
2008-11-01,62.092934
2008-12-01,65.294525
2009-01-01,62.756481
2009-02-01,62.295254
2009-03-01,64.359543
2009-04-01,62.592701
2009-05-01,61.292465
2009-06-01,60.950962
2009-07-01,61.457905
2009-08-01,61.927078
2009-09-01,62.623333
2009-10-01,62.537018
2009-11-01,63.798450
2009-12-01,60.989548
2010-01-01,62.435097
2010-02-01,62.642349
2010-03-01,61.980278
2010-04-01,63.004662
2010-05-01,64.852730
2010-06-01,66.829636
2010-07-01,67.437538
2010-08-01,69.700729
2010-09-01,69.698631
2010-10-01,69.693626
2010-11-01,69.067688
2010-12-01,66.698044
2011-01-01,66.683853
2011-02-01,66.544907
2011-03-01,66.441994
2011-04-01,67.665321
2011-05-01,69.360771
2011-06-01,69.010895
2011-07-01,71.198242
2011-08-01,74.509895
2011-09-01,76.176735
2011-10-01,75.196762
2011-11-01,75.632790
2011-12-01,77.136063
2012-01-01,77.800987
2012-02-01,76.945328
2012-03-01,75.720940
2012-04-01,77.620857
2012-05-01,79.848274
2012-06-01,79.517441
2012-07-01,80.631599
2012-08-01,80.537003
2012-09-01,80.256531
2012-10-01,79.938675
2012-11-01,80.721428
2012-12-01,79.962379
2013-01-01,78.928329
2013-02-01,79.822182
2013-03-01,80.051086
2013-04-01,81.272079
2013-05-01,78.748604
2013-06-01,76.743523
2013-07-01,76.472923
2013-08-01,75.385002
2013-09-01,76.776810
2013-10-01,77.373947
2013-11-01,76.695885
2013-12-01,75.092499
2014-01-01,77.392792
2014-02-01,77.669418
2014-03-01,77.233696
2014-04-01,77.819344
2014-05-01,79.239853
2014-06-01,79.068085
2014-07-01,78.893700
2014-08-01,80.377129
2014-09-01,79.533600
2014-10-01,80.755440
2014-11-01,81.796112
2014-12-01,81.901985
2015-01-01,85.425591
2015-02-01,83.314095
2015-03-01,84.027412
2015-04-01,83.495453
2015-05-01,83.147850
2015-06-01,81.791817
2015-07-01,83.033707
2015-08-01,83.099335
2015-09-01,84.411644
2015-10-01,83.873962
2015-11-01,83.515274
2015-12-01,83.136932
2016-01-01,85.908447
2016-02-01,87.185043
2016-03-01,87.127373
2016-04-01,86.991348
2016-05-01,86.905060
2016-06-01,89.588326
2016-07-01,89.809113
2016-08-01,88.900795
2016-09-01,89.111870
2016-10-01,87.779907
2016-11-01,84.069260
2016-12-01,83.969650
2017-01-01,84.153893
2017-02-01,84.762825
2017-03-01,84.831131
2017-04-01,85.771713
2017-05-01,86.480835
2017-06-01,86.040199
2017-07-01,86.362663
2017-08-01,87.621483
2017-09-01,86.358353
2017-10-01,86.195168
2017-11-01,85.954475
2017-12-01,86.113312
2018-01-01,84.261635
2018-02-01,83.475670
2018-03-01,84.440453
2018-04-01,83.362556
2018-05-01,84.184639
2018-06-01,84.350822
2018-07-01,83.905632
2018-08-01,84.756462
2018-09-01,83.735130
2018-10-01,83.481323
2018-11-01,84.591698
2018-12-01,86.963867
2019-01-01,87.531357
2019-02-01,87.071411
2019-03-01,89.383278
2019-04-01,88.919815
2019-05-01,91.630585
2019-06-01,92.745834
2019-07-01,92.781334
2019-08-01,96.447731
2019-09-01,95.303780
2019-10-01,95.482857
2019-11-01,94.826721
2019-12-01,93.946648
2020-01-01,97.202621
2020-02-01,100.081490
2020-03-01,103.807213
2020-04-01,104.092972
2020-05-01,104.433784
2020-06-01,104.478424
2020-07-01,105.370758
2020-08-01,104.348816
2020-09-01,104.690887
2020-10-01,103.245323
2020-11-01,103.594635
2020-12-01,103.347626
2021-01-01,102.218979
2021-02-01,99.803200
2021-03-01,97.422188
2021-04-01,98.397621
2021-05-01,98.815674
2021-06-01,99.826149
2021-07-01,101.812965
2021-08-01,101.411339
2021-09-01,99.791725
2021-10-01,99.349693
2021-11-01,100.434708
2021-12-01,99.908409
2022-01-01,97.797310
2022-02-01,97.499878
2022-03-01,93.540482
2022-04-01,89.585335
2022-05-01,90.139351
2022-06-01,89.361046
2022-07-01,92.007484
2022-08-01,88.461601
2022-09-01,84.272995
2022-10-01,83.047623
2022-11-01,86.047562
2022-12-01,84.767097
2023-01-01,87.802704
2023-02-01,84.930862
2023-03-01,88.091232
2023-04-01,88.808945
2023-05-01,87.531586
2023-06-01,86.432838
2023-07-01,85.869568
2023-08-01,85.241951
2023-09-01,82.566391
2023-10-01,80.974724
2023-11-01,84.662697
2023-12-01,87.856384
2024-01-01,87.920181
2024-02-01,86.089134
2024-03-01,86.720329
2024-04-01,84.006187
2024-05-01,85.518440
2024-06-01,86.559174
2024-07-01,89.066994
2024-08-01,90.265625
2024-09-01,91.513542
2024-10-01,88.413635
2024-11-01,89.316299
2024-12-01,87.299164
2025-01-01,87.837410
2025-02-01,90.296593
2025-03-01,90.605370
2025-04-01,91.562263
2025-05-01,90.427254
2025-06-01,91.875847
2025-07-01,91.330185
2025-08-01,92.835457
2025-09-01,93.439903
2025-10-01,94.104507
2025-11-01,95.034386
2025-12-01,94.310997
2026-01-01,94.095230
2026-02-01,96.419365
2026-03-01,94.182243
2026-04-01,94.040657
