date,value
2007-01-01,81.318718
2007-02-01,81.643433
2007-03-01,81.956192
2007-04-01,82.260712
2007-05-01,82.646141
2007-06-01,83.007240
2007-07-01,83.314438
2007-08-01,83.862526
2007-09-01,84.136826
2007-10-01,84.463608
2007-11-01,84.974380
2007-12-01,85.147087
2008-01-01,85.745323
2008-02-01,85.908882
2008-03-01,86.179771
2008-04-01,86.254112
2008-05-01,86.266640
2008-06-01,86.428299
2008-07-01,86.636589
2008-08-01,86.742966
2008-09-01,87.011185
2008-10-01,87.181046
2008-11-01,87.489578
2008-12-01,87.564842
2009-01-01,87.517250
2009-02-01,87.464096
2009-03-01,87.563354
2009-04-01,87.611824
2009-05-01,87.570435
2009-06-01,87.622932
2009-07-01,87.620560
2009-08-01,87.658760
2009-09-01,87.657944
2009-10-01,87.699318
2009-11-01,87.710426
2009-12-01,87.705681
2010-01-01,87.729523
2010-02-01,87.731133
2010-03-01,87.721573
2010-04-01,87.715981
2010-05-01,87.728745
2010-06-01,87.757370
2010-07-01,87.739059
2010-08-01,87.761383
2010-09-01,87.784470
2010-10-01,87.783661
2010-11-01,87.782875
2010-12-01,87.813942
2011-01-01,87.798027
2011-02-01,87.805992
2011-03-01,87.821129
2011-04-01,87.868912
2011-05-01,87.860176
2011-06-01,87.875298
2011-07-01,87.825867
2011-08-01,87.861725
2011-09-01,87.873695
2011-10-01,87.862503
2011-11-01,87.849823
2011-12-01,87.872910
2012-01-01,87.856987
2012-02-01,87.848961
2012-03-01,87.841011
2012-04-01,87.841011
2012-05-01,87.864937
2012-06-01,87.856987
2012-07-01,87.856987
2012-08-01,87.872910
2012-09-01,87.865723
2012-10-01,87.859383
2012-11-01,87.867317
2012-12-01,87.900826
2013-01-01,87.876892
2013-02-01,87.871300
2013-03-01,87.880096
2013-04-01,87.896027
2013-05-01,87.888031
2013-06-01,87.872108
2013-07-01,87.896027
2013-08-01,87.896027
2013-09-01,87.903999
2013-10-01,87.888031
2013-11-01,87.888031
2013-12-01,87.897636
2014-01-01,87.889633
2014-02-01,87.905579
2014-03-01,87.913544
2014-04-01,87.913544
2014-05-01,87.913544
2014-06-01,87.913544
2014-07-01,87.905579
2014-08-01,87.913544
2014-09-01,87.897636
2014-10-01,87.913544
2014-11-01,87.905579
2014-12-01,87.897636
2015-01-01,87.905579
2015-02-01,87.921555
2015-03-01,87.913544
2015-04-01,87.921555
2015-05-01,87.921555
2015-06-01,87.929504
2015-07-01,87.913544
2015-08-01,87.921555
2015-09-01,87.946274
2015-10-01,87.921547
2015-11-01,87.911156
2015-12-01,87.900826
2016-01-01,87.964600
2016-02-01,87.995705
2016-03-01,88.027657
2016-04-01,88.075439
2016-05-01,88.069092
2016-06-01,88.157707
2016-07-01,88.159294
2016-08-01,88.159286
2016-09-01,88.217621
2016-10-01,88.252014
2016-11-01,88.192810
2016-12-01,88.262413
2017-01-01,88.310425
2017-02-01,88.350403
2017-03-01,88.361626
2017-04-01,88.359245
2017-05-01,88.408165
2017-06-01,88.477119
2017-07-01,88.566162
2017-08-01,88.627953
2017-09-01,88.695465
2017-10-01,88.730850
2017-11-01,88.779129
2017-12-01,88.854027
2018-01-01,88.966896
2018-02-01,88.974930
2018-03-01,89.123543
2018-04-01,89.206802
2018-05-01,89.346764
2018-06-01,89.482910
2018-07-01,89.597328
2018-08-01,89.755745
2018-09-01,89.880287
2018-10-01,90.036789
2018-11-01,90.205002
2018-12-01,90.385941
2019-01-01,90.607170
2019-02-01,90.753326
2019-03-01,90.954842
2019-04-01,91.127960
2019-05-01,91.349281
2019-06-01,91.565262
2019-07-01,91.713661
2019-08-01,91.921318
2019-09-01,92.052818
2019-10-01,92.297905
2019-11-01,92.361359
2019-12-01,92.519478
2020-01-01,92.661911
2020-02-01,92.864067
2020-03-01,93.250404
2020-04-01,93.270599
2020-05-01,93.246193
2020-06-01,93.263908
2020-07-01,93.263908
2020-08-01,93.260506
2020-09-01,93.255424
2020-10-01,93.266373
2020-11-01,93.247040
2020-12-01,93.265594
2021-01-01,93.257118
2021-02-01,93.257118
2021-03-01,93.248711
2021-04-01,93.248711
2021-05-01,93.248711
2021-06-01,93.231827
2021-07-01,93.231827
2021-08-01,93.214951
2021-09-01,93.214951
2021-10-01,93.189674
2021-11-01,93.147438
2021-12-01,93.172791
2022-01-01,93.096840
2022-02-01,93.063095
2022-03-01,93.029335
2022-04-01,93.002327
2022-05-01,93.063965
2022-06-01,92.993843
2022-07-01,93.075829
2022-08-01,93.195122
2022-09-01,93.221428
2022-10-01,93.366615
2022-11-01,93.683121
2022-12-01,94.044594
2023-01-01,94.352577
2023-02-01,94.627281
2023-03-01,95.109268
2023-04-01,95.403847
2023-05-01,95.714203
2023-06-01,96.168701
2023-07-01,96.537590
2023-08-01,97.000206
2023-09-01,97.380119
2023-10-01,97.818314
2023-11-01,98.314369
2023-12-01,98.788048
2024-01-01,99.182747
