date,value
1993-01-01,24.113256
1993-02-01,24.370508
1993-03-01,24.916388
1993-04-01,24.278839
1993-05-01,24.933628
1993-06-01,25.023586
1993-07-01,24.902092
1993-08-01,25.856535
1993-09-01,25.668411
1993-10-01,26.174797
1993-11-01,25.895401
1993-12-01,26.213335
1994-01-01,27.127527
1994-02-01,26.336386
1994-03-01,25.232851
1994-04-01,25.515778
1994-05-01,25.922470
1994-06-01,25.328476
1994-07-01,26.147264
1994-08-01,27.144018
1994-09-01,26.458502
1994-10-01,27.210625
1994-11-01,26.127211
1994-12-01,26.317469
1995-01-01,27.201946
1995-02-01,28.312019
1995-03-01,29.100460
1995-04-01,29.962498
1995-05-01,31.151194
1995-06-01,31.781393
1995-07-01,32.803631
1995-08-01,32.949696
1995-09-01,34.345963
1995-10-01,34.245033
1995-11-01,35.768238
1995-12-01,36.331013
1996-01-01,37.623592
1996-02-01,37.743599
1996-03-01,38.393475
1996-04-01,38.810822
1996-05-01,39.691830
1996-06-01,40.041985
1996-07-01,38.242645
1996-08-01,38.979153
1996-09-01,41.157021
1996-10-01,42.487694
1996-11-01,45.589455
1996-12-01,44.504536
1997-01-01,47.254284
1997-02-01,47.706310
1997-03-01,45.601360
1997-04-01,48.456181
1997-05-01,51.518963
1997-06-01,53.636520
1997-07-01,57.887989
1997-08-01,54.889183
1997-09-01,57.528805
1997-10-01,56.119198
1997-11-01,58.290802
1997-12-01,59.402515
1998-01-01,60.167496
1998-02-01,64.336784
1998-03-01,67.475334
1998-04-01,68.338425
1998-05-01,66.919106
1998-06-01,69.768105
1998-07-01,68.825279
1998-08-01,59.108574
1998-09-01,62.870197
1998-10-01,67.967789
1998-11-01,71.752365
1998-12-01,76.446548
1999-01-01,79.139412
1999-02-01,76.601517
1999-03-01,79.778053
1999-04-01,82.807579
1999-05-01,80.914093
1999-06-01,85.394989
1999-07-01,82.745911
1999-08-01,82.317345
1999-09-01,80.478630
1999-10-01,85.635490
1999-11-01,87.061462
1999-12-01,92.033501
2000-01-01,87.451393
2000-02-01,86.119873
2000-03-01,94.466125
2000-04-01,91.148460
2000-05-01,89.715302
2000-06-01,91.481079
2000-07-01,90.044632
2000-08-01,95.928291
2000-09-01,90.665375
2000-10-01,90.241234
2000-11-01,83.504471
2000-12-01,83.068054
2001-01-01,86.761192
2001-02-01,78.485252
2001-03-01,74.087166
2001-04-01,80.417145
2001-05-01,79.966362
2001-06-01,78.060837
2001-07-01,77.264938
2001-08-01,72.680634
2001-09-01,66.747665
2001-10-01,67.616859
2001-11-01,72.889442
2001-12-01,73.300507
2002-01-01,72.582260
2002-02-01,71.280396
2002-03-01,73.651886
2002-04-01,69.368645
2002-05-01,68.957031
2002-06-01,63.867489
2002-07-01,58.833477
2002-08-01,59.233616
2002-09-01,53.022793
2002-10-01,57.385742
2002-11-01,60.925346
2002-12-01,57.478821
2003-01-01,56.065163
2003-02-01,55.309425
2003-03-01,55.427799
2003-04-01,60.117661
2003-05-01,63.414268
2003-06-01,64.089722
2003-07-01,65.245132
2003-08-01,66.590836
2003-09-01,65.864578
2003-10-01,69.390121
2003-11-01,70.147911
2003-12-01,73.677284
2004-01-01,75.133881
2004-02-01,76.153458
2004-03-01,75.144791
2004-04-01,73.722946
2004-05-01,74.985313
2004-06-01,76.372643
2004-07-01,73.912048
2004-08-01,74.092079
2004-09-01,74.835732
2004-10-01,75.799988
2004-11-01,79.174423
2004-12-01,81.559196
2005-01-01,79.730598
2005-02-01,81.397255
2005-03-01,79.908287
2005-04-01,78.411209
2005-05-01,80.937943
2005-06-01,81.060562
2005-07-01,84.162071
2005-08-01,83.373108
2005-09-01,84.042191
2005-10-01,82.054512
2005-11-01,85.661026
2005-12-01,85.497101
2006-01-01,87.550255
2006-02-01,88.051529
2006-03-01,89.504707
2006-04-01,90.635345
2006-05-01,87.905327
2006-06-01,88.134605
2006-07-01,88.529289
2006-08-01,90.461189
2006-09-01,92.903770
2006-10-01,95.831787
2006-11-01,97.737442
2006-12-01,99.044312
2007-01-01,100.533997
2007-02-01,98.561752
2007-03-01,99.704010
2007-04-01,104.120453
2007-05-01,107.652214
2007-06-01,106.078293
2007-07-01,102.756920
2007-08-01,104.075584
2007-09-01,108.104805
2007-10-01,109.571396
2007-11-01,105.327461
2007-12-01,104.141426
2008-01-01,97.844872
2008-02-01,95.316330
2008-03-01,94.464005
2008-04-01,98.966370
2008-05-01,100.462433
2008-06-01,92.066162
2008-07-01,91.238831
2008-08-01,92.648857
2008-09-01,83.923775
2008-10-01,70.060699
2008-11-01,65.184013
2008-12-01,65.822556
2009-01-01,60.417580
2009-02-01,53.925774
2009-03-01,58.418362
2009-04-01,64.222031
2009-05-01,67.975998
2009-06-01,67.931511
2009-07-01,72.999557
2009-08-01,75.696121
2009-09-01,78.380104
2009-10-01,76.873245
2009-11-01,81.609146
2009-12-01,83.167961
2010-01-01,80.145447
2010-02-01,82.645561
2010-03-01,87.676979
2010-04-01,89.033356
2010-05-01,81.959259
2010-06-01,77.718582
2010-07-01,83.026848
2010-08-01,79.292252
2010-09-01,86.393250
2010-10-01,89.693642
2010-11-01,89.693642
2010-12-01,95.689865
2011-01-01,97.919456
2011-02-01,101.320915
2011-03-01,101.333076
2011-04-01,104.267815
2011-05-01,103.098534
2011-06-01,101.359276
2011-07-01,99.331635
2011-08-01,93.870819
2011-09-01,87.354240
2011-10-01,96.888702
2011-11-01,96.494987
2011-12-01,97.503189
2012-01-01,102.024834
2012-02-01,106.453262
2012-03-01,109.877182
2012-04-01,109.143669
2012-05-01,102.588997
2012-06-01,106.752159
2012-07-01,108.014992
2012-08-01,110.721062
2012-09-01,113.527954
2012-10-01,111.461952
2012-11-01,112.092758
2012-12-01,113.094254
2013-01-01,118.883553
2013-02-01,120.400429
2013-03-01,124.972198
2013-04-01,127.373154
2013-05-01,130.380402
2013-06-01,128.640564
2013-07-01,135.288284
2013-08-01,131.230652
2013-09-01,135.383606
2013-10-01,141.652878
2013-11-01,145.851089
2013-12-01,149.632523
2014-01-01,144.358246
2014-02-01,150.928787
2014-03-01,152.180847
2014-04-01,153.238724
2014-05-01,156.794830
2014-06-01,160.031830
2014-07-01,157.881409
2014-08-01,164.111969
2014-09-01,161.847794
2014-10-01,165.659515
2014-11-01,170.210449
2014-12-01,169.778671
2015-01-01,164.748322
2015-02-01,174.007828
2015-03-01,171.274963
2015-04-01,172.959229
2015-05-01,175.182877
2015-06-01,171.624512
2015-07-01,175.501389
2015-08-01,164.804596
2015-09-01,160.599457
2015-10-01,174.259995
2015-11-01,174.896927
2015-12-01,171.874268
2016-01-01,163.317230
2016-02-01,163.182343
2016-03-01,174.158951
2016-04-01,174.845322
2016-05-01,177.819778
2016-06-01,178.437851
2016-07-01,184.945648
2016-08-01,185.167160
2016-09-01,185.177887
2016-10-01,181.967484
2016-11-01,188.670837
2016-12-01,192.495544
2017-01-01,195.940216
2017-02-01,203.638992
2017-03-01,203.893524
2017-04-01,205.917404
2017-05-01,208.823547
2017-06-01,210.154755
2017-07-01,214.474289
2017-08-01,215.100082
2017-09-01,219.434219
2017-10-01,224.604980
2017-11-01,231.470245
2017-12-01,234.277496
2018-01-01,247.481201
2018-02-01,238.482620
2018-03-01,231.945694
2018-04-01,233.144485
2018-05-01,238.812027
2018-06-01,240.185349
2018-07-01,249.083420
2018-08-01,257.034149
2018-09-01,258.562347
2018-10-01,240.694595
2018-11-01,245.159241
2018-12-01,223.573395
2019-01-01,241.473877
2019-02-01,249.301437
2019-03-01,253.813934
2019-04-01,264.182861
2019-05-01,247.335602
2019-06-01,264.546814
2019-07-01,268.546661
2019-08-01,264.050262
2019-09-01,269.188141
2019-10-01,275.138428
2019-11-01,285.097931
2019-12-01,293.381561
2020-01-01,293.263123
2020-02-01,270.046692
2020-03-01,236.325668
2020-04-01,266.335175
2020-05-01,279.024750
2020-06-01,283.973175
2020-07-01,300.696930
2020-08-01,321.684509
2020-09-01,309.639496
2020-10-01,301.919128
2020-11-01,334.760803
2020-12-01,347.163208
2021-01-01,343.625458
2021-02-01,353.180145
2021-03-01,369.214264
2021-04-01,388.749542
2021-05-01,391.302094
2021-06-01,400.078003
2021-07-01,409.844940
2021-08-01,422.041870
2021-09-01,402.372406
2021-10-01,430.604279
2021-11-01,427.144501
2021-12-01,446.898926
2022-01-01,423.328888
2022-02-01,410.833496
2022-03-01,426.276886
2022-04-01,388.862976
2022-05-01,389.740753
2022-06-01,357.602539
2022-07-01,390.533264
2022-08-01,374.598755
2022-09-01,339.968719
2022-10-01,367.599762
2022-11-01,388.035187
2022-12-01,365.673401
2023-01-01,388.669647
2023-02-01,378.897491
2023-03-01,392.946167
2023-04-01,399.223389
2023-05-01,401.066345
2023-06-01,427.055298
2023-07-01,441.034241
2023-08-01,433.866547
2023-09-01,413.286285
2023-10-01,404.314423
2023-11-01,441.246063
2023-12-01,461.391266
2024-01-01,468.739655
2024-02-01,493.201660
2024-03-01,509.330383
2024-04-01,488.794342
2024-05-01,513.517517
2024-06-01,531.634399
2024-07-01,538.071960
2024-08-01,550.644348
2024-09-01,562.210449
2024-10-01,557.193481
2024-11-01,590.420898
2024-12-01,576.215210
2025-01-01,591.690308
