date,value
2012-05-04,2.172226
2012-05-11,2.110084
2012-05-18,2.059672
2012-05-25,2.059672
2012-05-28,2.092480
2012-05-29,2.122087
2012-05-30,2.114885
2012-05-31,2.108483
2012-06-01,2.109283
2012-06-04,2.050870
2012-06-05,2.050870
2012-06-06,2.050071
2012-06-07,2.040468
2012-06-08,2.026865
2012-06-11,2.054871
2012-06-12,2.041268
2012-06-13,2.074076
2012-06-14,2.059672
2012-06-15,2.066874
2012-06-18,2.077276
2012-06-19,2.059672
2012-06-20,2.056472
2012-06-21,2.025264
2012-06-25,1.982854
2012-06-26,1.985255
2012-06-27,1.978854
2012-06-28,1.962050
2012-06-29,1.990057
2012-07-02,1.994057
2012-07-03,1.996458
2012-07-04,1.994057
2012-07-05,1.968451
2012-07-06,2.002859
2012-07-09,1.958049
2012-07-10,1.950847
2012-07-11,1.966051
2012-07-12,1.985255
2012-07-13,1.986855
2012-07-16,1.946847
2012-07-17,1.958049
2012-07-18,1.958049
2012-07-19,1.966851
2012-07-20,1.946847
2012-07-23,1.922841
2012-07-24,1.926842
2012-07-25,1.914839
2012-07-26,1.906037
2012-07-27,1.908438
2012-07-30,1.902036
2012-07-31,1.897235
2012-08-01,1.911638
2012-08-02,1.897235
2012-08-03,1.908438
2012-08-06,1.933244
2012-08-07,1.935644
2012-08-08,1.937245
2012-08-09,1.956449
2012-08-10,1.950847
2012-08-13,1.914039
2012-08-14,1.910838
2012-08-15,1.893234
2012-08-16,1.887633
2012-08-17,1.879631
2012-08-20,1.869229
2012-08-21,1.876430
2012-08-22,1.862827
2012-08-23,1.871629
2012-08-24,1.853225
2012-08-27,1.814816
2012-08-28,1.814816
2012-08-29,1.802814
2012-08-30,1.794812
2012-08-31,1.794812
2012-09-03,1.806014
2012-09-04,1.786810
2012-09-05,1.786010
2012-09-06,1.803614
2012-09-07,1.886033
2012-09-10,1.892434
2012-09-11,1.878031
2012-09-12,1.887633
2012-09-13,1.869229
2012-09-14,1.882032
2012-09-17,1.838021
2012-09-18,1.815616
2012-09-19,1.822819
2012-09-20,1.783609
2012-09-21,1.782809
2012-09-24,1.798813
2012-09-25,1.796412
2012-09-26,1.777208
2012-09-27,1.828419
2012-09-28,1.870829
2012-10-08,1.842823
2012-10-09,1.885232
2012-10-10,1.885232
2012-10-11,1.872429
2012-10-12,1.870829
2012-10-15,1.864428
2012-10-16,1.865228
2012-10-17,1.872429
2012-10-18,1.895635
2012-10-19,1.895635
2012-10-22,1.902836
2012-10-23,1.881231
2012-10-24,1.878031
2012-10-25,1.862827
2012-10-26,1.821218
2012-10-29,1.812416
2012-10-30,1.816417
2012-10-31,1.829220
2012-11-01,1.867628
2012-11-02,1.871629
2012-11-05,1.866828
2012-11-06,1.859626
2012-11-07,1.858026
2012-11-08,1.824418
2012-11-09,1.819617
2012-11-12,1.826019
2012-11-13,1.798012
2012-11-14,1.802814
2012-11-15,1.781209
2012-11-16,1.764405
2012-11-19,1.764405
2012-11-20,1.759604
2012-11-21,1.781209
2012-11-22,1.770806
2012-11-23,1.780408
2012-11-26,1.769206
2012-11-27,1.750002
2012-11-28,1.730797
2012-11-29,1.724395
2012-11-30,1.732398
2012-12-03,1.716394
2012-12-04,1.729997
2012-12-05,1.790811
2012-12-06,1.788410
2012-12-07,1.824418
2012-12-10,1.841222
2012-12-11,1.835621
2012-12-12,1.839622
2012-12-13,1.825219
2012-12-14,1.917240
2012-12-17,1.922841
2012-12-18,1.893234
2012-12-19,1.898035
2012-12-20,1.910838
2012-12-21,1.902836
2012-12-24,1.904437
2012-12-25,1.957249
2012-12-26,1.962850
2012-12-27,1.958849
2012-12-28,1.987656
2012-12-31,2.019663
2013-01-04,2.024464
2013-01-07,2.027665
2013-01-08,2.018863
2013-01-09,2.017263
2013-01-10,2.022064
2013-01-11,1.991657
2013-01-14,2.062073
2013-01-15,2.074076
2013-01-16,2.058872
2013-01-17,2.046069
2013-01-18,2.076476
2013-01-21,2.083678
2013-01-22,2.080477
2013-01-23,2.084478
2013-01-24,2.070875
2013-01-25,2.061273
2013-01-28,2.117285
2013-01-29,2.133289
2013-01-30,2.145292
2013-01-31,2.150893
2013-02-01,2.192503
2013-02-04,2.196504
2013-02-05,2.212508
2013-02-06,2.218909
2013-02-07,2.208507
2013-02-08,2.215708
2013-02-18,2.182901
2013-02-19,2.147692
2013-02-20,2.157295
2013-02-21,2.080477
2013-02-22,2.074076
2013-02-25,2.077276
2013-02-26,2.046870
2013-02-27,2.066074
2013-02-28,2.135690
2013-03-01,2.133289
2013-03-04,2.032466
2013-03-05,2.090880
2013-03-06,2.113285
2013-03-07,2.087679
2013-03-08,2.084478
2013-03-11,2.070075
2013-03-12,2.040468
2013-03-13,2.018063
2013-03-14,2.022064
2013-03-15,2.023664
2013-03-18,2.002059
2013-03-19,2.019663
2013-03-20,2.081277
2013-03-21,2.086879
2013-03-22,2.092480
2013-03-25,2.089279
2013-03-26,2.054871
2013-03-27,2.059672
2013-03-28,1.995657
2013-03-29,1.990057
2013-04-01,1.986855
2013-04-02,1.990057
2013-04-03,1.986056
2013-04-08,1.976454
2013-04-09,1.988456
2013-04-10,1.988456
2013-04-11,1.979654
2013-04-12,1.973253
2013-04-15,1.953248
2013-04-16,1.965251
2013-04-17,1.970052
2013-04-18,1.974053
2013-04-19,2.030066
2013-04-22,2.023664
2013-04-23,1.962050
2013-04-24,1.995657
2013-04-25,1.974853
2013-04-26,1.956449
2013-05-02,1.958049
2013-05-03,1.993257
2013-05-06,2.016463
2013-05-07,2.021264
2013-05-08,2.034066
2013-05-09,2.023664
2013-05-10,2.031666
2013-05-13,2.023664
2013-05-14,1.994057
2013-05-15,2.003660
2013-05-16,2.044469
2013-05-17,2.079677
2013-05-20,2.091680
2013-05-21,2.091680
2013-05-22,2.094080
2013-05-23,2.071675
2013-05-24,2.082877
2013-05-27,2.078076
2013-05-28,2.121286
2013-05-29,2.114085
2013-05-30,2.108483
2013-05-31,2.084478
2013-06-03,2.088479
2013-06-04,2.058072
2013-06-05,2.052471
2013-06-06,2.032466
2013-06-07,1.995657
2013-06-13,1.934043
2013-06-14,1.947647
2013-06-17,1.935644
2013-06-18,1.948447
2013-06-19,1.937245
2013-06-20,1.876430
2013-06-21,1.867628
2013-06-24,1.753202
2013-06-25,1.754002
2013-06-26,1.750002
2013-06-27,1.750802
2013-06-28,1.782809
2013-07-01,1.790011
2013-07-02,1.795612
2013-07-03,1.791611
2013-07-04,1.804414
2013-07-05,1.810815
2013-07-08,1.762004
2013-07-09,1.758003
2013-07-10,1.806814
2013-07-11,1.897235
2013-07-12,1.850024
2013-07-15,1.876430
2013-07-16,1.887633
2013-07-17,1.859626
2013-07-18,1.830820
2013-07-19,1.780408
2013-07-22,1.791611
2013-07-23,1.847624
2013-07-24,1.834020
2013-07-25,1.829220
2013-07-26,1.812416
2013-07-29,1.777208
2013-07-30,1.787610
2013-07-31,1.791611
2013-08-01,1.838822
2013-08-02,1.835621
2013-08-05,1.862027
2013-08-06,1.874030
2013-08-07,1.861227
2013-08-08,1.862027
2013-08-09,1.870029
2013-08-12,1.926042
2013-08-13,1.926042
2013-08-14,1.922041
2013-08-15,1.899636
2013-08-16,1.886033
2013-08-19,1.902036
2013-08-20,1.888433
2013-08-21,1.888433
2013-08-22,1.882032
2013-08-23,1.870029
2013-08-26,1.911638
2013-08-27,1.911638
2013-08-28,1.902836
2013-08-29,1.897235
2013-08-30,1.894034
2013-09-02,1.895635
2013-09-03,1.924441
2013-09-04,1.923642
2013-09-05,1.915639
2013-09-06,1.926842
2013-09-09,1.998058
2013-09-10,2.024464
2013-09-11,2.033266
2013-09-12,2.053271
2013-09-13,2.038067
2013-09-16,2.027665
2013-09-17,1.987656
2013-09-18,1.990057
2013-09-23,2.018063
2013-09-24,1.998859
2013-09-25,1.986855
2013-09-26,1.954048
2013-09-27,1.961250
2013-09-30,1.974053
2013-10-08,2.002059
2013-10-09,2.004460
2013-10-10,1.986855
2013-10-11,2.018863
2013-10-14,2.019663
2013-10-15,2.017263
2013-10-16,1.982054
2013-10-17,1.971653
2013-10-18,1.981254
2013-10-21,2.023664
2013-10-22,2.001259
2013-10-23,1.979654
2013-10-24,1.963650
2013-10-25,1.932443
2013-10-28,1.934844
2013-10-29,1.937245
2013-10-30,1.964450
2013-10-31,1.945246
2013-11-01,1.953248
2013-11-04,1.947647
2013-11-05,1.947647
2013-11-06,1.925242
2013-11-07,1.917240
2013-11-08,1.888433
2013-11-11,1.890833
2013-11-12,1.910038
2013-11-13,1.874030
2013-11-14,1.879631
2013-11-15,1.918840
2013-11-18,1.982054
2013-11-19,1.973253
2013-11-20,1.982054
2013-11-21,1.972452
2013-11-22,1.961250
2013-11-25,1.950847
2013-11-26,1.950047
2013-11-27,1.972452
2013-11-28,1.993257
2013-11-29,1.994858
2013-12-02,1.976454
2013-12-03,1.994057
2013-12-04,2.019663
2013-12-05,2.019663
2013-12-06,2.006060
2013-12-09,2.005260
2013-12-10,2.004460
2013-12-11,1.973253
2013-12-12,1.969252
2013-12-13,1.968451
2013-12-16,1.936445
2013-12-17,1.924441
2013-12-18,1.926042
2013-12-19,1.907638
2013-12-20,1.866828
2013-12-23,1.866828
2013-12-24,1.869229
2013-12-25,1.878831
2013-12-26,1.853225
2013-12-27,1.878031
2013-12-30,1.879631
2013-12-31,1.901236
2014-01-02,1.894835
2014-01-03,1.874030
2014-01-06,1.829220
2014-01-07,1.830020
2014-01-08,1.828419
2014-01-09,1.817217
2014-01-10,1.804414
2014-01-13,1.791611
2014-01-14,1.803614
2014-01-15,1.803614
2014-01-16,1.804414
2014-01-17,1.778808
2014-01-20,1.770006
2014-01-21,1.784729
2014-01-22,1.833805
2014-01-23,1.823990
2014-01-24,1.833805
2014-01-27,1.810085
2014-01-28,1.811721
2014-01-29,1.817446
2014-01-30,1.792090
2014-02-07,1.803541
2014-02-10,1.855889
2014-02-11,1.864886
2014-02-12,1.868158
2014-02-13,1.863250
2014-02-14,1.869794
2014-02-17,1.882881
2014-02-18,1.860797
2014-02-19,1.885334
2014-02-20,1.868976
2014-02-21,1.847710
2014-02-24,1.805995
2014-02-25,1.759373
2014-02-26,1.761827
2014-02-27,1.757737
2014-02-28,1.775732
2014-03-03,1.782275
2014-03-04,1.778185
2014-03-05,1.762645
2014-03-06,1.771642
2014-03-07,1.765916
2014-03-10,1.711115
2014-03-11,1.718476
2014-03-12,1.720112
2014-03-13,1.747104
2014-03-14,1.732381
2014-03-17,1.745468
2014-03-18,1.743832
2014-03-19,1.733199
2014-03-20,1.702935
2014-03-21,1.765916
2014-03-24,1.774096
2014-03-25,1.771642
2014-03-26,1.771642
2014-03-27,1.759373
2014-03-28,1.758555
2014-03-31,1.751194
2014-04-01,1.761009
2014-04-02,1.774914
2014-04-03,1.762645
2014-04-04,1.783911
2014-04-08,1.826444
2014-04-09,1.823172
2014-04-10,1.852617
2014-04-11,1.851799
2014-04-14,1.850981
2014-04-15,1.818264
2014-04-16,1.818264
2014-04-17,1.814992
2014-04-18,1.811721
2014-04-21,1.779003
2014-04-22,1.791273
2014-04-23,1.786365
2014-04-24,1.789636
2014-04-25,1.767552
2014-04-28,1.743014
2014-04-29,1.758555
2014-04-30,1.757737
2014-05-05,1.758555
2014-05-06,1.756101
2014-05-07,1.744650
2014-05-08,1.741378
2014-05-09,1.740561
2014-05-12,1.775732
2014-05-13,1.770824
2014-05-14,1.770824
2014-05-15,1.751194
2014-05-16,1.750376
2014-05-19,1.726656
2014-05-20,1.725020
2014-05-21,1.741378
2014-05-22,1.736470
2014-05-23,1.756101
2014-05-26,1.761827
2014-05-27,1.756101
2014-05-28,1.774096
2014-05-29,1.763463
2014-05-30,1.761827
2014-06-03,1.756101
2014-06-04,1.740561
2014-06-05,1.761009
2014-06-06,1.746286
2014-06-09,1.744650
2014-06-10,1.768370
2014-06-11,1.765098
2014-06-12,1.763463
2014-06-13,1.783093
2014-06-16,1.794544
2014-06-17,1.779821
2014-06-18,1.771642
2014-06-19,1.746286
2014-06-20,1.752830
2014-06-23,1.750376
2014-06-24,1.765098
2014-06-25,1.759373
2014-06-26,1.767552
2014-06-27,1.770824
2014-06-30,1.782275
2014-07-01,1.783093
2014-07-02,1.791273
2014-07-03,1.797816
2014-07-04,1.797816
2014-07-07,1.796180
2014-07-08,1.798634
2014-07-09,1.775732
2014-07-10,1.774096
2014-07-11,1.779003
2014-07-14,1.803541
2014-07-15,1.801087
2014-07-16,1.800269
2014-07-17,1.792908
2014-07-18,1.801905
2014-07-21,1.801087
2014-07-22,1.822354
2014-07-23,1.825626
2014-07-24,1.864886
2014-07-25,1.886152
2014-07-28,1.936865
2014-07-29,1.941772
2014-07-30,1.935228
2014-07-31,1.961402
2014-08-01,1.937682
2014-08-04,1.979397
2014-08-05,1.973671
2014-08-06,1.961402
2014-08-07,1.940136
2014-08-08,1.940954
2014-08-11,1.967946
2014-08-12,1.959766
2014-08-13,1.965492
2014-08-14,1.941772
2014-08-15,1.966310
2014-08-18,1.972853
2014-08-19,1.974489
2014-08-20,1.967128
2014-08-21,1.959766
2014-08-22,1.969582
2014-08-25,1.952405
2014-08-26,1.940136
2014-08-27,1.939318
2014-08-28,1.930321
2014-08-29,1.949133
2014-09-01,1.958130
2014-09-02,1.987576
2014-09-03,2.006389
2014-09-04,2.025201
2014-09-05,2.044832
2014-09-09,2.039924
2014-09-10,2.026837
2014-09-11,2.015386
2014-09-12,2.031744
2014-09-15,2.026019
2014-09-16,1.990848
2014-09-17,1.997391
2014-09-18,2.005570
2014-09-19,2.021929
2014-09-22,1.979397
2014-09-23,1.999845
2014-09-24,2.038288
2014-09-25,2.027655
2014-09-26,2.028473
2014-09-29,2.037470
2014-09-30,2.037470
2014-10-08,2.059554
2014-10-09,2.060372
2014-10-10,2.050557
2014-10-13,2.039106
2014-10-14,2.031744
2014-10-15,2.044832
2014-10-16,2.037470
2014-10-17,2.028473
2014-10-20,2.037470
2014-10-21,2.024383
2014-10-22,2.013750
2014-10-23,1.991666
2014-10-24,1.990030
2014-10-27,1.971217
2014-10-28,2.010478
2014-10-29,2.035834
2014-10-30,2.048103
2014-10-31,2.089000
2014-11-03,2.084910
2014-11-04,2.083274
2014-11-05,2.080820
2014-11-06,2.081638
2014-11-07,2.077549
2014-11-10,2.135622
2014-11-11,2.121717
2014-11-12,2.152798
2014-11-13,2.140530
2014-11-14,2.142983
2014-11-17,2.133986
2014-11-18,2.111084
2014-11-19,2.104540
2014-11-20,2.107812
2014-11-21,2.147891
2014-11-24,2.209236
2014-11-25,2.232138
2014-11-26,2.256676
2014-11-27,2.277124
2014-11-28,2.331108
2014-12-01,2.333561
2014-12-02,2.425988
2014-12-03,2.452162
2014-12-04,2.601026
2014-12-05,2.585485
2014-12-08,2.709810
2014-12-09,2.560129
2014-12-10,2.652555
2014-12-11,2.623928
2014-12-12,2.632107
2014-12-15,2.662370
2014-12-16,2.724534
2014-12-17,2.771156
2014-12-18,2.767884
2014-12-19,2.808780
2014-12-22,2.789150
2014-12-23,2.732713
2014-12-24,2.656645
2014-12-25,2.753161
2014-12-26,2.860310
2014-12-29,2.846405
2014-12-30,2.846405
2014-12-31,2.923291
2015-01-05,3.016535
2015-01-06,2.996087
2015-01-07,2.995269
2015-01-08,2.929835
2015-01-09,2.908569
2015-01-12,2.899571
2015-01-13,2.893845
2015-01-14,2.887302
2015-01-15,2.969095
2015-01-16,2.995269
2015-01-19,2.695906
2015-01-20,2.795938
2015-01-21,2.924078
2015-01-22,2.929039
2015-01-23,2.943092
2015-01-26,2.971200
2015-01-27,2.941439
