date,value
2020-09-28,1.439920
2020-09-30,1.443800
2020-10-09,1.451580
2020-10-16,1.433000
2020-10-23,1.375980
2020-10-30,1.410830
2020-11-06,1.444670
2020-11-13,1.439300
2020-11-16,1.465000
2020-11-17,1.436000
2020-11-18,1.424000
2020-11-19,1.438000
2020-11-20,1.435000
2020-11-23,1.422000
2020-11-24,1.416000
2020-11-25,1.393000
2020-11-26,1.390000
2020-11-27,1.392000
2020-11-30,1.391000
2020-12-01,1.409000
2020-12-02,1.414000
2020-12-03,1.417000
2020-12-04,1.411000
2020-12-07,1.412000
2020-12-08,1.408000
2020-12-09,1.380000
2020-12-10,1.383000
2020-12-11,1.396000
2020-12-14,1.413000
2020-12-15,1.406000
2020-12-16,1.388000
2020-12-17,1.406000
2020-12-18,1.403000
2020-12-21,1.430000
2020-12-22,1.403000
2020-12-23,1.417000
2020-12-24,1.393000
2020-12-25,1.394000
2020-12-28,1.380000
2020-12-29,1.381000
2020-12-30,1.403000
2020-12-31,1.434000
2021-01-04,1.464000
2021-01-05,1.468000
2021-01-06,1.458000
2021-01-07,1.429000
2021-01-08,1.423000
2021-01-11,1.437000
2021-01-12,1.450000
2021-01-13,1.454000
2021-01-14,1.498000
2021-01-15,1.492000
2021-01-18,1.526000
2021-01-19,1.492000
2021-01-20,1.524000
2021-01-21,1.526000
2021-01-22,1.536000
2021-01-25,1.542000
2021-01-26,1.524000
2021-01-27,1.503000
2021-01-28,1.469000
2021-01-29,1.467000
2021-02-01,1.467000
2021-02-02,1.478000
2021-02-03,1.456000
2021-02-04,1.435000
2021-02-05,1.414000
2021-02-08,1.425000
2021-02-09,1.472000
2021-02-10,1.478000
2021-02-18,1.476000
2021-02-19,1.472000
2021-02-22,1.433000
2021-02-23,1.433000
2021-02-24,1.409000
2021-02-25,1.393000
2021-02-26,1.368000
2021-03-01,1.400000
2021-03-02,1.392000
2021-03-03,1.400000
2021-03-04,1.366000
2021-03-05,1.370000
2021-03-08,1.316000
2021-03-09,1.269000
2021-03-10,1.272000
2021-03-11,1.304000
2021-03-12,1.298000
2021-03-15,1.260000
2021-03-16,1.258000
2021-03-17,1.271000
2021-03-18,1.277000
2021-03-19,1.266000
2021-03-22,1.280000
2021-03-23,1.273000
2021-03-24,1.258000
2021-03-25,1.259000
2021-03-26,1.293000
2021-03-29,1.286000
2021-03-30,1.286000
2021-03-31,1.284000
2021-04-01,1.303000
2021-04-02,1.338000
2021-04-06,1.335000
2021-04-07,1.339000
2021-04-08,1.330000
2021-04-09,1.309000
2021-04-12,1.282000
2021-04-13,1.280000
2021-04-14,1.290000
2021-04-15,1.300000
2021-04-16,1.315000
2021-04-19,1.336000
2021-04-20,1.330000
2021-04-21,1.325000
2021-04-22,1.345000
2021-04-23,1.352000
2021-04-26,1.352000
2021-04-27,1.352000
2021-04-28,1.361000
2021-04-29,1.363000
2021-04-30,1.364000
2021-05-06,1.348000
2021-05-07,1.304000
2021-05-10,1.294000
2021-05-11,1.294000
2021-05-12,1.310000
2021-05-13,1.313000
2021-05-14,1.341000
2021-05-17,1.367000
2021-05-18,1.359000
2021-05-19,1.365000
2021-05-20,1.369000
2021-05-21,1.354000
2021-05-24,1.371000
2021-05-25,1.408000
2021-05-26,1.404000
2021-05-27,1.437000
2021-05-28,1.430000
2021-05-31,1.484000
2021-06-01,1.502000
2021-06-02,1.469000
2021-06-03,1.456000
2021-06-04,1.475000
2021-06-07,1.475000
2021-06-08,1.465000
2021-06-09,1.472000
2021-06-10,1.498000
2021-06-11,1.493000
2021-06-15,1.499000
2021-06-16,1.453000
2021-06-17,1.528000
2021-06-18,1.550000
2021-06-21,1.584000
2021-06-22,1.580000
2021-06-23,1.588000
2021-06-24,1.561000
2021-06-25,1.595000
2021-06-28,1.618000
2021-06-29,1.621000
2021-06-30,1.648000
2021-07-01,1.633000
2021-07-02,1.594000
2021-07-05,1.640000
2021-07-06,1.591000
2021-07-07,1.624000
2021-07-08,1.670000
2021-07-09,1.644000
2021-07-12,1.660000
2021-07-13,1.654000
2021-07-14,1.616000
2021-07-15,1.617000
2021-07-16,1.584000
2021-07-19,1.573000
2021-07-20,1.577000
2021-07-21,1.623000
2021-07-22,1.638000
2021-07-23,1.627000
2021-07-26,1.616000
2021-07-27,1.605000
2021-07-28,1.574000
2021-07-29,1.651000
2021-07-30,1.651000
2021-08-02,1.657000
2021-08-03,1.621000
2021-08-04,1.665000
2021-08-05,1.664000
2021-08-06,1.650000
2021-08-09,1.631000
2021-08-10,1.647000
2021-08-11,1.639000
2021-08-12,1.646000
2021-08-13,1.611000
2021-08-16,1.607000
2021-08-17,1.566000
2021-08-18,1.565000
2021-08-19,1.603000
2021-08-20,1.590000
2021-08-23,1.621000
2021-08-24,1.636000
2021-08-25,1.601000
2021-08-26,1.555000
2021-08-27,1.538000
2021-08-30,1.527000
2021-08-31,1.491000
2021-09-01,1.480000
2021-09-02,1.456000
2021-09-03,1.457000
2021-09-06,1.493000
2021-09-07,1.494000
2021-09-08,1.467000
2021-09-09,1.454000
2021-09-10,1.482000
2021-09-13,1.438000
2021-09-14,1.452000
2021-09-15,1.437000
2021-09-16,1.402000
2021-09-17,1.413000
2021-09-22,1.410000
2021-09-23,1.419000
2021-09-24,1.428000
2021-09-27,1.424000
2021-09-28,1.407000
2021-09-29,1.399000
2021-09-30,1.423000
2021-10-08,1.417000
2021-10-11,1.404000
2021-10-12,1.371000
2021-10-13,1.395000
2021-10-14,1.398000
2021-10-15,1.418000
2021-10-18,1.405000
2021-10-19,1.420000
2021-10-20,1.424000
2021-10-21,1.415000
2021-10-22,1.423000
2021-10-25,1.434000
2021-10-26,1.429000
2021-10-27,1.412000
2021-10-28,1.412000
2021-10-29,1.450000
2021-11-01,1.459000
2021-11-02,1.460000
2021-11-03,1.454000
2021-11-04,1.466000
2021-11-05,1.453000
2021-11-08,1.454000
2021-11-09,1.476000
2021-11-10,1.475000
2021-11-11,1.493000
2021-11-12,1.497000
2021-11-15,1.486000
2021-11-16,1.475000
2021-11-17,1.491000
2021-11-18,1.479000
2021-11-19,1.501000
2021-11-22,1.533000
2021-11-23,1.532000
2021-11-24,1.527000
2021-11-25,1.524000
2021-11-26,1.515000
2021-11-29,1.531000
2021-11-30,1.530000
2021-12-01,1.511000
2021-12-02,1.483000
2021-12-03,1.499000
2021-12-06,1.462000
2021-12-07,1.447000
2021-12-08,1.468000
2021-12-09,1.489000
2021-12-10,1.499000
2021-12-13,1.495000
2021-12-14,1.493000
2021-12-15,1.475000
2021-12-16,1.478000
2021-12-17,1.452000
2021-12-20,1.421000
2021-12-21,1.431000
2021-12-22,1.428000
2021-12-23,1.430000
2021-12-24,1.415000
2021-12-27,1.411000
2021-12-28,1.422000
2021-12-29,1.410000
2021-12-30,1.430000
2021-12-31,1.452000
2022-01-04,1.420000
2022-01-05,1.384000
2022-01-06,1.375000
2022-01-07,1.358000
2022-01-10,1.372000
2022-01-11,1.344000
2022-01-12,1.366000
2022-01-13,1.348000
2022-01-14,1.366000
2022-01-17,1.391000
2022-01-18,1.395000
2022-01-19,1.378000
2022-01-20,1.362000
2022-01-21,1.344000
2022-01-24,1.362000
2022-01-25,1.327000
2022-01-26,1.326000
2022-01-27,1.291000
2022-01-28,1.283000
2022-02-07,1.284000
2022-02-08,1.256000
2022-02-09,1.260000
2022-02-10,1.238000
2022-02-11,1.217000
2022-02-14,1.220000
2022-02-15,1.250000
2022-02-16,1.245000
2022-02-17,1.255000
2022-02-18,1.252000
2022-02-21,1.241000
2022-02-22,1.231000
2022-02-23,1.279000
2022-02-24,1.266000
2022-02-25,1.290000
2022-02-28,1.297000
2022-03-01,1.290000
2022-03-02,1.281000
2022-03-03,1.260000
2022-03-04,1.254000
2022-03-07,1.217000
2022-03-08,1.183000
2022-03-09,1.184000
2022-03-10,1.201000
2022-03-11,1.212000
2022-03-14,1.174000
2022-03-15,1.142000
2022-03-16,1.172000
2022-03-17,1.189000
2022-03-18,1.190000
2022-03-21,1.200000
2022-03-22,1.181000
2022-03-23,1.191000
2022-03-24,1.182000
2022-03-25,1.153000
2022-03-28,1.136000
2022-03-29,1.125000
2022-03-30,1.158000
2022-03-31,1.137000
2022-04-01,1.135000
2022-04-06,1.103000
2022-04-07,1.081000
2022-04-08,1.072000
2022-04-11,1.032000
2022-04-12,1.038000
2022-04-13,1.006000
2022-04-14,1.017000
2022-04-15,1.017000
2022-04-18,1.047000
2022-04-19,1.030000
2022-04-20,1.013000
2022-04-21,1.001000
2022-04-22,0.983000
2022-04-25,0.924000
2022-04-26,0.909000
2022-04-27,0.945000
2022-04-28,0.941000
2022-04-29,0.986000
2022-05-05,0.994000
2022-05-06,0.984000
2022-05-09,0.987000
2022-05-10,1.014000
2022-05-11,1.045000
2022-05-12,1.056000
2022-05-13,1.055000
2022-05-16,1.038000
2022-05-17,1.052000
2022-05-18,1.057000
2022-05-19,1.080000
2022-05-20,1.089000
2022-05-23,1.089000
2022-05-24,1.041000
2022-05-25,1.049000
2022-05-26,1.048000
2022-05-27,1.036000
2022-05-30,1.044000
2022-05-31,1.078000
2022-06-01,1.078000
2022-06-02,1.126000
2022-06-06,1.169000
2022-06-07,1.160000
2022-06-08,1.158000
2022-06-09,1.128000
2022-06-10,1.149000
2022-06-13,1.134000
2022-06-14,1.117000
2022-06-15,1.111000
2022-06-16,1.126000
2022-06-17,1.143000
2022-06-20,1.143000
2022-06-21,1.131000
2022-06-22,1.110000
2022-06-23,1.132000
2022-06-24,1.152000
2022-06-27,1.152000
