date,value
2004-01-02,1011.347000
2004-01-05,1060.801000
2004-01-06,1075.656000
2004-01-07,1086.303000
2004-01-08,1102.662000
2004-01-09,1081.785000
2004-01-12,1116.799000
2004-01-13,1102.341000
2004-01-14,1079.720000
2004-01-15,1073.977000
2004-01-16,1083.652000
2004-01-29,1100.604000
2004-01-30,1067.553000
2004-02-02,1091.729000
2004-02-03,1102.954000
2004-02-04,1128.443000
2004-02-05,1127.897000
2004-02-06,1122.084000
2004-02-09,1134.611000
2004-02-10,1120.961000
2004-02-11,1110.061000
2004-02-12,1094.112000
2004-02-13,1096.362000
2004-02-16,1123.748000
2004-02-17,1123.618000
2004-02-18,1129.275000
2004-02-19,1122.380000
2004-02-20,1124.661000
2004-02-23,1093.137000
2004-02-24,1093.102000
2004-02-25,1070.362000
2004-02-26,1079.897000
2004-02-27,1088.725000
2004-03-01,1094.242000
2004-03-02,1093.391000
2004-03-03,1072.639000
2004-03-04,1078.348000
2004-03-05,1071.581000
2004-03-08,1057.102000
2004-03-09,1061.159000
2004-03-10,1091.097000
2004-03-11,1095.564000
2004-03-12,1099.081000
2004-03-15,1131.675000
2004-03-16,1135.571000
2004-03-17,1135.167000
2004-03-18,1111.849000
2004-03-19,1129.775000
2004-03-22,1134.787000
2004-03-23,1121.332000
2004-03-24,1115.512000
2004-03-25,1115.239000
2004-03-26,1112.782000
2004-03-29,1101.659000
2004-03-30,1101.271000
2004-03-31,1108.540000
2004-04-01,1123.435000
2004-04-02,1127.805000
2004-04-05,1118.273000
2004-04-06,1123.856000
2004-04-07,1117.440000
2004-04-08,1112.839000
2004-04-09,1088.157000
2004-04-12,1080.080000
2004-04-13,1072.726000
2004-04-14,1065.682000
2004-04-15,1055.889000
2004-04-16,1071.228000
2004-04-19,1054.738000
2004-04-20,1052.244000
2004-04-21,1043.533000
2004-04-22,1050.757000
2004-04-23,1034.409000
2004-04-26,1038.999000
2004-04-27,1031.217000
2004-04-28,1029.806000
2004-04-29,1016.513000
2004-04-30,1025.954000
2004-05-10,996.164000
2004-05-11,1003.898000
2004-05-12,1025.020000
2004-05-13,1020.998000
2004-05-14,997.947000
2004-05-17,981.737000
2004-05-18,989.207000
2004-05-19,988.922000
2004-05-20,985.931000
2004-05-21,994.450000
2004-05-24,991.847000
2004-05-25,978.595000
2004-05-26,984.998000
2004-05-27,1003.286000
2004-05-28,995.637000
2004-05-31,1001.194000
2004-06-01,1014.174000
2004-06-02,1001.687000
2004-06-03,986.446000
2004-06-04,986.225000
2004-06-07,973.220000
2004-06-08,954.770000
2004-06-09,941.304000
2004-06-10,944.254000
2004-06-11,942.862000
2004-06-14,924.594000
2004-06-15,942.679000
2004-06-16,947.163000
2004-06-17,926.036000
2004-06-18,910.187000
2004-06-21,909.046000
2004-06-22,918.798000
2004-06-23,912.853000
2004-06-24,906.417000
2004-06-25,891.790000
2004-06-28,883.755000
2004-06-29,901.048000
2004-06-30,897.707000
2004-07-01,925.001000
2004-07-02,926.617000
2004-07-05,928.666000
2004-07-06,931.883000
2004-07-07,923.864000
2004-07-08,927.035000
2004-07-09,923.202000
2004-07-12,904.553000
2004-07-13,906.966000
2004-07-14,912.191000
2004-07-15,925.678000
2004-07-16,946.178000
2004-07-19,947.424000
2004-07-20,939.225000
2004-07-21,940.508000
2004-07-22,913.138000
2004-07-23,915.043000
2004-07-26,903.751000
2004-07-27,903.321000
2004-07-28,906.054000
2004-07-29,918.792000
2004-07-30,906.265000
2004-08-02,900.018000
2004-08-03,893.301000
2004-08-04,923.019000
2004-08-05,909.077000
2004-08-06,911.555000
2004-08-09,920.755000
2004-08-10,926.537000
2004-08-11,914.606000
2004-08-12,907.827000
2004-08-13,907.001000
2004-08-16,904.008000
2004-08-17,910.860000
2004-08-18,911.846000
2004-08-19,903.316000
2004-08-20,904.827000
2004-08-23,889.658000
2004-08-24,897.767000
2004-08-25,894.368000
2004-08-26,892.098000
2004-08-27,883.704000
2004-08-30,882.046000
2004-08-31,895.783000
2004-09-01,880.542000
2004-09-02,881.567000
2004-09-03,879.417000
2004-09-06,874.691000
2004-09-07,877.773000
2004-09-08,864.590000
2004-09-09,848.455000
2004-09-10,851.969000
2004-09-13,834.104000
2004-09-14,860.097000
2004-09-15,892.769000
2004-09-16,903.403000
2004-09-17,932.315000
2004-09-20,965.109000
2004-09-21,955.001000
2004-09-22,933.101000
2004-09-23,967.323000
2004-09-24,951.091000
2004-09-27,946.137000
2004-09-28,947.773000
2004-09-29,936.462000
2004-09-30,924.355000
2004-10-08,936.008000
2004-10-11,923.217000
2004-10-12,902.718000
2004-10-13,901.970000
2004-10-14,876.818000
2004-10-15,879.718000
2004-10-18,882.663000
2004-10-19,884.929000
2004-10-20,879.385000
2004-10-21,864.307000
2004-10-22,878.740000
2004-10-25,865.653000
2004-10-26,875.855000
2004-10-27,884.850000
2004-10-28,882.912000
2004-10-29,870.790000
2004-11-01,862.827000
2004-11-02,862.246000
2004-11-03,877.530000
2004-11-04,860.814000
2004-11-05,862.261000
2004-11-08,864.340000
2004-11-09,864.565000
2004-11-10,897.765000
2004-11-11,894.112000
2004-11-12,898.166000
2004-11-15,906.985000
2004-11-16,906.734000
2004-11-17,896.105000
2004-11-18,900.816000
2004-11-19,906.991000
2004-11-22,905.841000
2004-11-23,893.285000
2004-11-24,889.118000
2004-11-25,890.777000
2004-11-26,889.083000
2004-11-29,879.258000
2004-11-30,879.308000
2004-12-01,875.397000
2004-12-02,871.125000
2004-12-03,871.558000
2004-12-06,874.998000
2004-12-07,868.292000
2004-12-08,868.904000
2004-12-09,878.716000
2004-12-10,868.427000
2004-12-13,865.762000
2004-12-14,862.056000
2004-12-15,867.604000
2004-12-16,866.998000
2004-12-17,857.251000
2004-12-20,845.678000
2004-12-21,845.382000
2004-12-22,865.077000
2004-12-23,850.700000
2004-12-24,851.775000
2004-12-27,848.194000
2004-12-28,848.630000
2004-12-29,843.781000
2004-12-30,843.529000
2004-12-31,842.728000
2005-01-04,827.071000
2005-01-05,831.428000
2005-01-06,822.499000
2005-01-07,823.616000
2005-01-10,832.986000
2005-01-11,837.861000
2005-01-12,837.244000
2005-01-13,834.221000
2005-01-14,829.042000
2005-01-17,811.554000
2005-01-18,817.309000
2005-01-19,810.989000
2005-01-20,805.081000
2005-01-21,831.847000
2005-01-24,842.414000
2005-01-25,841.640000
2005-01-26,834.669000
2005-01-27,821.705000
2005-01-28,820.689000
2005-01-31,813.753000
2005-02-01,817.872000
2005-02-02,860.504000
2005-02-03,848.486000
2005-02-04,872.884000
2005-02-16,875.460000
2005-02-17,870.085000
2005-02-18,856.212000
2005-02-21,874.021000
2005-02-22,887.070000
2005-02-23,877.914000
2005-02-24,877.345000
2005-02-25,878.503000
2005-02-28,868.886000
2005-03-01,866.258000
2005-03-02,855.879000
2005-03-03,861.688000
2005-03-04,859.489000
2005-03-07,863.704000
2005-03-08,876.344000
2005-03-09,869.403000
2005-03-10,851.531000
2005-03-11,853.898000
2005-03-14,857.614000
2005-03-15,840.955000
2005-03-16,832.823000
2005-03-17,826.683000
2005-03-18,821.028000
2005-03-21,823.129000
2005-03-22,808.104000
2005-03-23,801.981000
2005-03-24,808.180000
2005-03-25,806.425000
2005-03-28,805.556000
2005-03-29,802.739000
2005-03-30,790.580000
2005-03-31,795.667000
2005-04-01,822.910000
2005-04-04,808.591000
2005-04-05,801.885000
2005-04-06,816.879000
2005-04-07,824.609000
2005-04-08,838.056000
2005-04-11,830.908000
2005-04-12,818.467000
2005-04-13,835.628000
2005-04-14,826.005000
2005-04-15,817.094000
2005-04-18,806.389000
2005-04-19,809.361000
2005-04-20,798.517000
2005-04-21,793.445000
2005-04-22,794.819000
2005-04-25,790.749000
2005-04-26,792.303000
2005-04-27,782.432000
2005-04-28,793.878000
2005-04-29,789.732000
2005-05-09,775.321000
2005-05-10,779.099000
2005-05-11,771.586000
2005-05-12,753.875000
2005-05-13,757.304000
2005-05-16,747.871000
2005-05-17,750.711000
2005-05-18,752.662000
2005-05-19,754.785000
2005-05-20,753.071000
2005-05-23,737.741000
2005-05-24,737.350000
2005-05-25,737.538000
2005-05-26,728.697000
2005-05-27,724.522000
2005-05-30,729.067000
2005-05-31,730.997000
2005-06-01,719.025000
2005-06-02,701.373000
2005-06-03,700.434000
2005-06-06,717.213000
2005-06-07,713.620000
2005-06-08,772.134000
2005-06-09,778.577000
2005-06-10,766.663000
2005-06-13,759.917000
2005-06-14,754.548000
2005-06-15,745.216000
2005-06-16,757.392000
2005-06-17,762.178000
2005-06-20,780.291000
2005-06-21,770.295000
2005-06-22,774.150000
2005-06-23,768.331000
2005-06-24,772.319000
2005-06-27,782.382000
2005-06-28,775.634000
2005-06-29,772.020000
2005-06-30,758.717000
2005-07-01,748.046000
2005-07-04,747.086000
2005-07-05,741.205000
2005-07-06,734.768000
2005-07-07,735.554000
2005-07-08,727.556000
2005-07-11,726.905000
2005-07-12,753.060000
2005-07-13,748.550000
2005-07-14,753.639000
2005-07-15,748.519000
2005-07-18,746.921000
2005-07-19,747.485000
2005-07-20,753.546000
2005-07-21,756.981000
2005-07-22,768.724000
2005-07-25,764.647000
2005-07-26,780.753000
2005-07-27,792.489000
2005-07-28,789.853000
2005-07-29,788.632000
2005-08-01,789.996000
2005-08-02,797.348000
2005-08-03,797.744000
2005-08-04,795.145000
2005-08-05,812.329000
2005-08-08,812.722000
2005-08-09,814.611000
2005-08-10,822.164000
2005-08-11,832.238000
2005-08-12,822.329000
2005-08-15,839.512000
2005-08-16,828.229000
2005-08-17,833.838000
2005-08-18,814.291000
2005-08-19,817.685000
2005-08-22,823.083000
2005-08-23,818.053000
2005-08-24,825.453000
2005-08-25,823.576000
2005-08-26,822.197000
2005-08-29,811.312000
2005-08-30,809.063000
2005-08-31,816.755000
2005-09-01,827.900000
2005-09-02,829.463000
2005-09-05,829.341000
2005-09-06,815.753000
