date,value
2020-01-02,1019.723000
2020-01-03,1024.482000
2020-01-06,1027.277000
2020-01-07,1043.083000
2020-01-08,1051.160000
2020-01-09,1078.312000
2020-01-10,1076.438000
2020-01-13,1105.848000
2020-01-14,1118.306000
2020-01-15,1114.766000
2020-01-16,1154.303000
2020-01-17,1238.664000
2020-01-20,1240.509000
2020-01-21,1195.014000
2020-01-22,1244.525000
2020-01-23,1202.102000
2020-02-03,1030.550000
2020-02-04,1153.232000
2020-02-05,1203.613000
2020-02-06,1238.757000
2020-02-07,1307.757000
2020-02-10,1322.250000
2020-02-11,1283.572000
2020-02-12,1348.702000
2020-02-13,1360.709000
2020-02-14,1327.224000
2020-02-17,1381.553000
2020-02-18,1399.384000
2020-02-19,1373.444000
2020-02-20,1348.338000
2020-02-21,1346.863000
2020-02-24,1351.710000
2020-02-25,1367.368000
2020-02-26,1288.242000
2020-02-27,1264.941000
2020-02-28,1191.055000
2020-03-02,1252.624000
2020-03-03,1285.034000
2020-03-04,1255.723000
2020-03-05,1264.788000
2020-03-06,1243.373000
2020-03-09,1171.859000
2020-03-10,1216.328000
2020-03-11,1184.710000
2020-03-12,1167.065000
2020-03-13,1175.282000
2020-03-16,1115.084000
2020-03-17,1131.547000
2020-03-18,1115.019000
2020-03-19,1128.973000
2020-03-20,1127.369000
2020-03-23,1039.884000
2020-03-24,1060.843000
2020-03-25,1101.319000
2020-03-26,1095.338000
2020-03-27,1084.505000
2020-03-30,1035.827000
2020-03-31,1029.749000
2020-04-01,1037.927000
2020-04-02,1094.826000
2020-04-03,1080.530000
2020-04-07,1111.654000
2020-04-08,1104.145000
2020-04-09,1101.281000
2020-04-10,1058.440000
2020-04-13,1042.145000
2020-04-14,1073.217000
2020-04-15,1088.203000
2020-04-16,1091.933000
2020-04-17,1117.070000
2020-04-20,1133.361000
2020-04-21,1119.229000
2020-04-22,1135.849000
2020-04-23,1149.716000
2020-04-24,1144.153000
2020-04-27,1138.100000
2020-04-28,1113.513000
2020-04-29,1102.698000
2020-04-30,1166.348000
2020-05-06,1247.513000
2020-05-07,1224.105000
2020-05-08,1240.246000
2020-05-11,1226.061000
2020-05-12,1233.592000
2020-05-13,1247.034000
2020-05-14,1242.169000
2020-05-15,1270.481000
2020-05-18,1254.299000
2020-05-19,1324.418000
2020-05-20,1306.998000
2020-05-21,1251.931000
2020-05-22,1230.659000
2020-05-25,1212.087000
2020-05-26,1272.661000
2020-05-27,1253.272000
2020-05-28,1232.220000
2020-05-29,1246.111000
2020-06-01,1300.741000
2020-06-02,1305.637000
2020-06-03,1294.280000
2020-06-04,1299.803000
2020-06-05,1297.306000
2020-06-08,1280.053000
