date,value
1999-12-30,1000.000000
2000-01-04,1031.450000
2000-01-05,1034.920000
2000-01-06,1077.000000
2000-01-07,1118.390000
2000-01-10,1141.900000
2000-01-11,1095.640000
2000-01-12,1065.600000
2000-01-13,1056.430000
2000-01-14,1045.490000
2000-01-17,1064.580000
2000-01-18,1061.100000
2000-01-19,1074.780000
2000-01-20,1094.970000
2000-01-21,1098.510000
2000-01-24,1114.430000
2000-01-25,1113.420000
2000-01-26,1116.930000
2000-01-27,1138.490000
2000-01-28,1162.310000
2000-02-14,1268.620000
2000-02-15,1275.710000
2000-02-16,1301.560000
2000-02-17,1255.930000
2000-02-18,1279.820000
2000-02-21,1285.550000
2000-02-22,1246.520000
2000-02-23,1212.840000
2000-02-24,1247.800000
2000-02-25,1246.800000
2000-02-28,1303.920000
2000-02-29,1305.140000
2000-03-01,1296.820000
2000-03-02,1306.000000
2000-03-03,1323.200000
2000-03-06,1271.110000
2000-03-07,1284.810000
2000-03-08,1309.150000
2000-03-09,1310.650000
2000-03-10,1291.150000
2000-03-13,1310.370000
2000-03-14,1283.000000
2000-03-15,1284.870000
2000-03-16,1225.340000
2000-03-17,1267.880000
2000-03-20,1301.370000
2000-03-21,1309.430000
2000-03-22,1320.440000
2000-03-23,1342.450000
2000-03-24,1330.310000
2000-03-27,1368.210000
2000-03-28,1378.010000
2000-03-29,1373.140000
2000-03-30,1389.230000
2000-03-31,1378.200000
2000-04-03,1374.250000
2000-04-04,1344.520000
2000-04-05,1354.340000
2000-04-06,1382.740000
2000-04-07,1391.900000
2000-04-10,1398.260000
2000-04-11,1396.630000
2000-04-12,1383.330000
2000-04-13,1397.770000
2000-04-14,1396.640000
2000-04-17,1365.890000
2000-04-18,1379.220000
2000-04-19,1390.780000
2000-04-20,1400.600000
2000-04-21,1394.620000
2000-04-24,1388.290000
2000-04-25,1385.890000
2000-04-26,1386.680000
2000-04-27,1370.340000
2000-04-28,1395.980000
2000-05-08,1396.550000
2000-05-09,1373.830000
2000-05-10,1332.030000
2000-05-11,1307.870000
2000-05-12,1305.870000
2000-05-15,1290.830000
2000-05-16,1307.590000
2000-05-17,1308.660000
2000-05-18,1335.530000
2000-05-19,1353.100000
2000-05-22,1387.530000
2000-05-23,1389.340000
2000-05-24,1407.090000
2000-05-25,1426.490000
2000-05-26,1426.710000
2000-05-29,1441.470000
2000-05-30,1426.420000
2000-05-31,1435.260000
2000-06-01,1442.410000
2000-06-02,1450.630000
2000-06-05,1439.320000
2000-06-06,1462.000000
2000-06-07,1467.080000
2000-06-08,1456.930000
2000-06-09,1439.730000
2000-06-12,1445.660000
2000-06-13,1463.240000
2000-06-14,1458.190000
2000-06-15,1465.070000
2000-06-16,1454.700000
2000-06-19,1449.240000
2000-06-20,1438.280000
2000-06-21,1454.940000
2000-06-22,1455.690000
2000-06-23,1474.150000
2000-06-26,1484.330000
2000-06-27,1480.870000
2000-06-28,1484.240000
2000-06-29,1478.570000
2000-06-30,1470.530000
2000-07-03,1445.670000
2000-07-04,1456.320000
2000-07-05,1455.660000
2000-07-06,1450.850000
2000-07-07,1470.260000
2000-07-10,1479.740000
2000-07-11,1491.110000
2000-07-12,1497.080000
2000-07-13,1501.240000
2000-07-14,1506.210000
2000-07-17,1497.720000
2000-07-18,1507.130000
2000-07-19,1509.910000
2000-07-20,1506.490000
2000-07-21,1509.920000
2000-07-24,1503.500000
2000-07-25,1508.230000
2000-07-26,1519.680000
2000-07-27,1520.790000
2000-07-28,1524.030000
2000-07-31,1532.830000
2000-08-01,1536.370000
2000-08-02,1537.880000
2000-08-03,1542.500000
2000-08-04,1533.470000
2000-08-07,1542.250000
2000-08-08,1551.940000
2000-08-09,1560.010000
2000-08-10,1562.550000
2000-08-11,1559.920000
2000-08-14,1568.960000
2000-08-15,1568.420000
2000-08-16,1572.490000
2000-08-17,1574.400000
2000-08-18,1575.150000
2000-08-21,1585.210000
2000-08-22,1559.410000
2000-08-23,1547.450000
2000-08-24,1557.990000
2000-08-25,1570.440000
2000-08-28,1581.550000
2000-08-29,1585.030000
2000-08-30,1565.530000
2000-08-31,1525.190000
2000-09-01,1510.900000
2000-09-04,1521.420000
2000-09-05,1491.170000
2000-09-06,1464.600000
2000-09-07,1482.710000
2000-09-08,1489.390000
2000-09-11,1498.530000
2000-09-12,1507.160000
2000-09-13,1514.500000
2000-09-14,1508.030000
2000-09-15,1507.830000
