date,value
2021-12-13,15340.480000
2021-12-14,15081.040000
2021-12-15,14967.780000
2021-12-16,14953.370000
2021-12-17,14638.260000
2021-12-20,14709.190000
2021-12-21,15088.600000
2021-12-22,15106.160000
2021-12-23,14968.210000
2021-12-24,14808.150000
2021-12-27,15245.240000
2021-12-28,15391.590000
2021-12-29,15159.950000
2021-12-30,15348.380000
2021-12-31,15444.290000
2022-01-04,15719.880000
2022-01-05,15803.780000
2022-01-06,15699.140000
2022-01-07,16059.530000
2022-01-10,16311.970000
2022-01-11,15876.430000
2022-01-12,15803.300000
2022-01-13,15405.900000
2022-01-14,15103.320000
2022-01-17,15042.870000
2022-01-18,15249.720000
2022-01-19,15491.120000
2022-01-20,15770.220000
2022-01-21,15286.090000
2022-01-24,15178.560000
2022-01-25,14715.990000
2022-01-26,14646.140000
2022-01-27,14143.070000
2022-01-28,14199.970000
2022-02-07,14486.800000
2022-02-08,14511.800000
2022-02-09,14732.670000
2022-02-10,14363.060000
2022-02-11,14580.040000
2022-02-14,14186.270000
2022-02-15,14158.800000
2022-02-16,14541.040000
2022-02-17,14426.140000
2022-02-18,14517.830000
2022-02-21,14679.120000
2022-02-22,14459.200000
2022-02-23,14429.470000
2022-02-24,13889.860000
2022-02-25,14215.570000
2022-02-28,13725.620000
2022-03-01,13729.210000
2022-03-02,13652.090000
2022-03-04,13423.790000
2022-03-07,13057.320000
2022-03-08,12603.760000
2022-03-09,12290.370000
2022-03-10,12284.580000
2022-03-11,12251.360000
2022-03-14,11965.200000
2022-03-15,11177.580000
2022-03-16,11421.250000
2022-03-17,12128.400000
2022-03-18,12141.040000
2022-03-21,12131.610000
2022-03-22,12275.290000
2022-03-24,12113.920000
2022-03-25,12049.770000
2022-03-28,11976.380000
2022-03-29,11703.640000
2022-03-30,12199.970000
2022-04-01,12580.450000
2022-04-06,12907.190000
2022-04-07,12858.940000
2022-04-08,12630.360000
2022-04-11,12325.170000
2022-04-12,12675.120000
2022-04-13,12347.940000
2022-04-15,12799.030000
2022-04-18,12712.240000
2022-04-19,12590.180000
2022-04-20,12624.810000
2022-04-21,12168.950000
2022-04-22,12423.910000
2022-04-25,11794.250000
2022-04-26,11473.610000
2022-04-27,11681.710000
2022-04-28,11671.190000
2022-04-29,12394.830000
2022-05-06,12273.130000
2022-05-10,12297.330000
2022-05-11,12226.900000
2022-05-12,12337.940000
2022-05-13,12217.930000
2022-05-16,12365.900000
2022-05-17,12289.310000
2022-05-18,12275.950000
2022-05-19,12248.620000
2022-05-20,12518.600000
2022-05-23,12386.120000
2022-05-24,11892.940000
2022-05-25,11985.000000
2022-05-26,12052.930000
2022-05-27,12046.130000
2022-05-30,12170.740000
2022-05-31,12438.760000
2022-06-01,12712.000000
2022-06-02,12620.110000
2022-06-06,12791.200000
2022-06-07,12713.670000
2022-06-08,12546.620000
2022-06-09,12165.230000
2022-06-10,12160.890000
2022-06-13,11918.860000
2022-06-14,11957.150000
2022-06-15,12186.970000
2022-06-16,12145.010000
2022-06-17,12333.970000
2022-06-20,13142.990000
2022-06-21,13323.490000
2022-06-22,13020.170000
2022-06-23,12984.700000
2022-06-24,13749.650000
2022-06-27,13649.800000
2022-06-28,13877.910000
2022-06-29,13783.790000
2022-06-30,14272.340000
2022-07-01,14319.670000
2022-07-04,14214.790000
2022-07-05,13845.740000
2022-07-06,13676.410000
2022-07-07,13446.250000
2022-07-08,13551.700000
2022-07-11,13759.310000
2022-07-12,13663.710000
2022-07-13,13539.350000
2022-07-14,12865.470000
2022-07-15,12412.340000
2022-07-18,12542.830000
2022-07-19,12427.160000
2022-07-20,12424.760000
2022-07-21,12177.340000
2022-07-22,12214.810000
2022-07-25,12548.850000
2022-07-26,12801.250000
2022-07-27,12867.310000
2022-07-28,13130.380000
2022-07-29,12849.210000
2022-08-01,12827.880000
2022-08-02,12378.980000
2022-08-03,12186.410000
2022-08-04,12228.080000
2022-08-05,12338.690000
2022-08-08,12279.800000
2022-08-09,12336.150000
2022-08-10,12458.260000
2022-08-11,12852.080000
2022-08-12,12625.260000
2022-08-15,12704.370000
2022-08-16,12699.310000
2022-08-17,12696.850000
2022-08-18,12735.380000
2022-08-19,12397.380000
2022-08-22,12639.460000
2022-08-23,12520.140000
2022-08-24,12095.030000
2022-08-25,12229.570000
2022-08-26,11983.040000
2022-08-29,12143.180000
2022-08-30,12334.080000
2022-08-31,12095.220000
2022-09-01,12182.830000
2022-09-02,12051.050000
2022-09-05,12059.330000
2022-09-06,12150.190000
2022-09-07,12202.340000
2022-09-08,11977.850000
2022-09-09,12261.320000
2022-09-13,12302.600000
2022-09-14,12130.850000
2022-09-15,12168.790000
2022-09-16,11814.770000
2022-09-19,11532.020000
2022-09-20,11489.210000
2022-09-21,11384.630000
2022-09-22,11158.260000
2022-09-23,11279.050000
2022-09-26,11428.320000
2022-09-27,11806.820000
2022-09-28,11987.960000
2022-09-29,11745.830000
2022-09-30,11463.060000
2022-10-10,11034.270000
2022-10-11,11062.530000
2022-10-12,11270.820000
2022-10-13,11299.130000
2022-10-14,11373.640000
2022-10-17,11552.190000
2022-10-18,11450.590000
2022-10-19,11082.590000
2022-10-20,10863.520000
2022-10-21,10767.050000
2022-10-24,10427.670000
2022-10-25,10368.900000
2022-10-26,10423.460000
2022-10-27,10375.750000
2022-10-28,10058.240000
2022-10-31,9824.690000
2022-11-01,10240.240000
2022-11-02,10408.500000
2022-11-03,10430.750000
2022-11-04,10616.370000
2022-11-07,10678.510000
2022-11-08,10722.840000
2022-11-09,10679.100000
2022-11-10,10629.490000
2022-11-11,11020.700000
2022-11-14,11381.410000
2022-11-15,11374.910000
2022-11-16,11316.170000
2022-11-17,11357.720000
2022-11-18,11217.720000
2022-11-21,11066.840000
2022-11-22,10867.200000
2022-11-23,10779.720000
2022-11-24,11082.290000
2022-11-25,11234.370000
2022-11-28,11113.500000
2022-11-29,11701.070000
2022-11-30,11541.670000
2022-12-01,11688.520000
2022-12-02,11645.130000
2022-12-05,12043.240000
2022-12-06,11943.320000
2022-12-07,11902.940000
2022-12-08,11956.630000
2022-12-09,12465.130000
2022-12-12,12156.300000
2022-12-13,12283.130000
