date,value
2014-08-29,99.987000
2014-09-01,100.000000
2014-09-02,100.033997
2014-09-03,100.047997
2014-09-04,100.017998
2014-09-05,100.000000
2014-09-09,99.986000
2014-09-10,99.990997
2014-09-11,100.013000
2014-09-12,100.022003
2014-09-15,100.000000
2014-09-16,99.994003
2014-09-17,99.987999
2014-09-18,100.004997
2014-09-19,100.004997
2014-09-22,99.997002
2014-09-23,99.987999
2014-09-24,99.959999
2014-09-25,99.960999
2014-09-26,100.011002
2014-09-29,100.080002
2014-09-30,100.148003
2014-10-08,100.028000
2014-10-09,100.044998
2014-10-10,100.013000
2014-10-13,100.013000
2014-10-14,100.031998
2014-10-15,100.032997
2014-10-16,100.031998
2014-10-17,100.039001
2014-10-20,100.012001
2014-10-21,100.000000
2014-10-22,99.988998
2014-10-23,99.991997
2014-10-24,99.989998
2014-10-27,99.998001
2014-10-28,100.016998
2014-10-29,100.019997
2014-10-30,100.017998
2014-10-31,100.028000
2014-11-03,100.012001
2014-11-04,100.012001
2014-11-05,100.007004
2014-11-06,100.010002
2014-11-07,100.022003
2014-11-10,100.000000
2014-11-11,100.007004
2014-11-12,100.007004
2014-11-13,100.009003
2014-11-14,100.021004
2014-11-17,100.000000
2014-11-18,99.994003
2014-11-19,99.977997
2014-11-20,99.977997
2014-11-21,99.932999
2014-11-24,99.703003
2014-11-25,99.838997
2014-11-26,99.942001
2014-11-27,99.999001
2014-11-28,100.028000
2014-12-01,99.990997
2014-12-02,99.994003
2014-12-03,100.000999
2014-12-04,100.007004
2014-12-05,100.017998
2014-12-08,100.000999
2014-12-09,100.001999
2014-12-10,99.996002
2014-12-11,100.004997
2014-12-12,99.999001
2014-12-15,99.978996
2014-12-16,99.950996
2014-12-17,99.912003
2014-12-18,99.935997
2014-12-19,99.967003
2014-12-22,99.967003
2014-12-23,100.000000
2014-12-24,100.019997
2014-12-25,100.022003
2014-12-26,100.025002
2014-12-29,100.004997
2014-12-30,100.022003
2014-12-31,100.044998
2015-01-05,99.996002
2015-01-06,99.996002
2015-01-07,99.999001
2015-01-08,100.004997
2015-01-09,100.005997
2015-01-12,99.980003
2015-01-13,99.992996
2015-01-14,100.003998
2015-01-15,100.000000
2015-01-16,100.019997
2015-01-19,100.016998
2015-01-20,100.028999
2015-01-21,100.028999
2015-01-22,100.038002
2015-01-23,100.047997
2015-01-26,100.023003
2015-01-27,100.031998
2015-01-28,100.014000
2015-01-29,100.016998
2015-01-30,99.996002
2015-02-02,99.973000
2015-02-03,99.988998
2015-02-04,100.001999
2015-02-05,100.011002
2015-02-06,100.016998
2015-02-09,99.987999
2015-02-10,99.773003
2015-02-11,99.998001
2015-02-12,100.008003
2015-02-13,100.100998
2015-02-16,100.137001
2015-02-17,100.114998
