date,value
2012-09-12,17.334015
2012-09-13,17.334015
2012-09-14,17.367086
2012-09-17,17.406767
2012-09-18,17.400154
2012-09-19,17.625015
2012-09-20,17.591944
2012-09-21,17.598557
2012-09-24,17.730827
2012-09-25,17.558874
2012-09-26,17.459675
2012-09-27,17.730827
2012-09-28,17.717535
2012-10-01,17.724213
2012-10-02,17.757284
2012-10-03,17.803576
2012-10-04,17.902779
2012-10-05,17.848553
2012-10-08,17.882940
2012-10-09,17.835325
2012-10-10,17.816803
2012-10-11,17.869715
2012-10-12,17.823416
2012-10-15,17.843260
2012-10-16,17.823416
2012-10-17,17.730827
2012-10-18,17.777056
2012-10-19,17.750008
2012-10-22,17.611784
2012-10-23,17.565489
2012-10-24,17.591284
2012-10-25,17.480501
2012-10-26,17.591944
2012-10-31,17.632286
2012-11-01,17.664692
2012-11-02,17.552265
2012-11-05,17.677258
2012-11-06,17.724213
2012-11-07,17.664692
2012-11-08,17.704370
2012-11-09,17.724213
2012-11-12,17.710989
2012-11-13,17.618397
2012-11-14,17.519196
2012-11-15,17.558874
2012-11-16,17.558874
2012-11-19,17.585333
2012-11-20,17.591881
2012-11-21,17.638237
2012-11-23,17.671307
2012-11-26,17.810188
2012-11-27,17.744055
2012-11-28,17.763895
2012-11-29,17.744055
2012-11-30,17.631626
2012-12-03,17.671307
2012-12-04,17.757284
2012-12-05,17.744055
2012-12-06,17.758606
2012-12-07,17.840611
2012-12-10,17.823416
2012-12-11,17.744055
2012-12-12,17.914684
2012-12-13,17.916006
2012-12-14,17.944645
2012-12-17,17.970240
2012-12-18,18.094568
2012-12-19,18.147482
2012-12-20,18.286366
2012-12-21,18.233456
2012-12-24,18.068111
2012-12-26,18.087961
2012-12-27,18.087961
2012-12-28,18.061502
2012-12-31,18.266525
2013-01-02,18.471539
2013-01-03,18.478153
2013-01-04,18.597202
2013-01-07,18.742697
2013-01-08,18.808832
2013-01-09,18.861738
2013-01-10,18.927872
2013-01-11,18.994009
2013-01-14,18.907963
2013-01-15,18.908033
2013-01-16,18.927872
2013-01-17,18.941103
2013-01-18,19.040234
2013-01-22,18.967554
2013-01-23,18.980783
2013-01-24,18.980783
2013-01-25,19.034615
2013-01-28,19.073374
2013-01-29,19.327995
2013-01-30,19.192415
2013-01-31,19.331297
2013-02-01,19.490023
2013-02-04,19.377590
2013-02-05,19.417274
2013-02-06,19.430496
2013-02-07,19.377590
2013-02-08,19.500605
2013-02-11,19.529701
2013-02-12,19.529701
2013-02-13,19.536314
2013-02-14,19.377659
2013-02-15,19.404049
2013-02-19,19.417274
2013-02-20,19.351004
2013-02-21,19.316217
2013-02-22,19.377590
2013-02-25,19.212257
2013-02-26,19.245325
2013-02-27,19.384205
2013-02-28,19.212257
2013-03-01,19.245325
2013-03-04,19.179192
2013-03-05,19.278391
2013-03-06,19.205645
2013-03-07,19.318069
2013-03-08,19.370977
2013-03-11,19.456957
2013-03-12,19.542864
2013-03-13,19.536314
2013-03-14,19.556158
2013-03-15,19.507017
2013-03-18,19.582544
2013-03-19,19.476797
2013-03-20,19.502060
2013-03-21,19.443729
2013-03-22,19.490023
2013-03-25,19.430496
2013-03-26,19.503248
2013-03-27,19.470184
2013-03-28,19.417274
2013-04-01,19.417274
2013-04-02,19.622292
2013-04-03,19.542933
2013-04-04,19.623611
2013-04-05,19.609068
2013-04-08,19.648811
2013-04-09,19.833862
2013-04-10,19.820696
2013-04-11,19.833923
2013-04-12,19.688427
2013-04-15,19.450344
2013-04-16,19.714880
2013-04-17,19.523092
2013-04-18,19.443729
2013-04-19,19.576004
2013-04-22,19.628906
2013-04-23,19.728106
2013-04-24,19.781015
2013-04-25,19.820696
2013-04-26,19.840544
2013-04-29,19.966196
2013-04-30,20.038944
2013-05-01,20.039207
2013-05-02,20.177828
2013-05-03,20.263805
2013-05-06,20.257189
2013-05-07,20.316710
2013-05-08,20.402687
2013-05-09,20.303482
2013-05-10,20.428480
2013-05-13,20.574638
2013-05-14,20.746593
2013-05-15,20.673845
2013-05-16,20.641306
2013-05-17,20.751881
2013-05-20,20.819338
2013-05-21,20.878862
2013-05-22,20.845795
2013-05-23,20.828199
2013-05-24,20.865627
2013-05-28,20.759815
2013-05-29,20.859022
2013-05-30,21.163240
2013-05-31,21.090494
2013-06-03,21.361643
2013-06-04,21.305433
2013-06-05,20.997898
2013-06-06,21.103718
2013-06-07,21.196310
2013-06-10,21.103718
2013-06-11,21.130169
2013-06-12,20.852406
2013-06-13,21.024355
2013-06-14,20.713520
2013-06-17,20.432516
2013-06-18,20.277027
2013-06-19,20.144758
2013-06-20,19.879623
2013-06-21,20.058784
2013-06-24,19.073374
2013-06-25,19.205645
2013-06-26,19.432224
2013-06-27,19.389324
2013-06-28,19.434069
2013-07-01,19.275209
2013-07-02,19.374496
2013-07-03,19.420832
2013-07-05,19.467165
2013-07-08,19.460545
2013-07-09,19.506878
2013-07-10,19.493647
2013-07-11,19.884174
2013-07-12,19.945074
2013-07-15,20.129091
2013-07-16,20.552719
2013-07-17,20.797632
2013-07-18,20.837345
2013-07-19,20.731441
2013-07-22,20.896919
2013-07-23,20.791018
2013-07-24,20.685106
2013-07-25,20.810873
2013-07-26,20.850590
2013-07-29,20.652012
2013-07-30,20.711578
2013-07-31,20.731441
2013-08-01,20.949871
2013-08-02,20.969732
2013-08-05,20.903536
2013-08-06,20.731441
2013-08-07,20.956495
2013-08-08,21.115355
2013-08-09,20.976353
2013-08-12,20.982975
2013-08-13,21.013552
2013-08-14,21.022686
2013-08-15,20.949871
2013-08-16,20.936634
2013-08-19,20.936634
2013-08-20,21.002827
2013-08-21,21.016069
2013-08-22,21.128595
2013-08-23,21.181547
2013-08-26,20.982975
2013-08-27,20.473295
2013-08-28,20.215141
2013-08-29,20.261475
2013-08-30,20.274708
2013-09-03,20.115849
2013-09-04,20.036423
2013-09-05,19.917273
2013-09-06,19.791508
2013-09-09,19.857700
2013-09-10,20.479906
2013-09-11,20.532866
2013-09-12,20.499767
2013-09-13,20.380617
2013-09-16,20.777769
2013-09-17,20.744680
2013-09-18,21.082258
2013-09-19,20.930017
2013-09-20,20.850590
2013-09-23,20.963116
2013-09-24,20.903605
2013-09-25,20.850590
2013-09-26,20.877064
2013-09-27,20.830727
2013-09-30,20.857208
2013-10-01,20.936634
2013-10-02,21.042545
2013-10-03,21.016069
2013-10-04,21.108738
2013-10-07,21.062403
2013-10-08,20.923399
2013-10-09,21.035919
2013-10-10,21.121973
2013-10-11,20.936634
2013-10-14,21.155071
2013-10-15,21.049164
2013-10-16,21.234503
2013-10-17,21.519127
2013-10-18,21.406603
2013-10-21,21.439699
2013-10-22,21.462864
2013-10-23,21.320549
