date,value
1996-10-08,590.000000
1996-10-09,583.000000
1996-10-10,585.000000
1996-10-11,584.000000
1996-10-14,584.000000
1996-10-15,579.000000
1996-10-16,561.000000
1996-10-17,570.000000
1996-10-18,570.000000
1996-10-21,557.000000
1996-10-22,557.000000
1996-10-23,561.000000
1996-10-24,561.000000
1996-10-25,560.000000
1996-10-28,562.000000
1996-10-29,570.000000
1996-10-30,570.000000
1996-10-31,571.000000
1996-11-01,574.000000
1996-11-04,582.000000
1996-11-05,584.000000
1996-11-06,580.000000
1996-11-07,583.000000
1996-11-08,579.000000
1996-11-11,588.000000
1996-11-12,593.000000
1996-11-13,597.000000
1996-11-14,605.000000
1996-11-15,603.000000
1996-11-18,609.000000
1996-11-19,607.000000
1996-11-20,603.000000
1996-11-21,603.000000
1996-11-22,607.000000
1996-11-25,607.000000
1996-11-26,611.000000
1996-11-27,604.000000
1996-11-28,604.000000
1996-11-29,617.000000
1996-12-02,629.000000
1996-12-03,636.000000
1996-12-04,629.000000
1996-12-05,637.000000
1996-12-06,627.000000
1996-12-09,627.000000
1996-12-10,632.000000
1996-12-11,609.000000
1996-12-12,593.000000
1996-12-13,600.000000
1996-12-16,600.000000
1996-12-17,613.000000
1996-12-18,618.000000
1996-12-19,626.000000
1996-12-20,628.000000
1996-12-23,638.000000
1996-12-24,642.000000
1996-12-26,650.000000
1996-12-27,650.000000
1996-12-30,649.000000
1997-01-03,652.000000
1997-01-06,657.000000
1997-01-07,664.000000
1997-01-08,665.000000
1997-01-09,672.000000
1997-01-10,671.000000
1997-01-13,674.000000
1997-01-14,688.000000
1997-01-15,692.000000
1997-01-16,686.000000
1997-01-17,681.000000
1997-01-20,687.000000
1997-01-21,687.000000
1997-01-22,680.000000
1997-01-23,677.000000
1997-01-24,662.000000
1997-01-27,657.000000
1997-01-28,666.000000
1997-01-29,677.000000
1997-01-30,689.000000
1997-01-31,693.000000
1997-02-03,706.000000
1997-02-04,708.000000
1997-02-05,699.000000
1997-02-06,698.000000
1997-02-07,703.000000
1997-02-10,707.000000
1997-02-11,708.000000
1997-02-12,718.000000
1997-02-13,725.000000
1997-02-14,726.000000
1997-02-17,734.000000
1997-02-18,732.000000
1997-02-19,730.000000
1997-02-20,727.000000
1997-02-21,741.000000
1997-02-24,759.000000
1997-02-25,753.000000
1997-02-26,742.000000
1997-02-27,724.000000
1997-02-28,718.000000
1997-03-03,717.000000
1997-03-04,721.000000
1997-03-05,721.000000
1997-03-06,720.000000
1997-03-07,730.000000
1997-03-10,742.000000
1997-03-11,727.000000
1997-03-12,718.000000
1997-03-13,709.000000
1997-03-14,712.000000
1997-03-17,703.000000
1997-03-18,707.000000
1997-03-19,709.000000
1997-03-20,724.000000
1997-03-21,730.000000
1997-03-24,742.000000
1997-03-25,745.000000
1997-03-26,739.000000
1997-03-31,706.000000
1997-04-01,715.000000
1997-04-02,729.000000
1997-04-03,718.000000
1997-04-04,722.000000
1997-04-07,722.000000
1997-04-08,717.000000
1997-04-09,713.000000
1997-04-10,706.000000
1997-04-11,686.000000
1997-04-14,690.000000
1997-04-15,707.000000
1997-04-16,716.000000
1997-04-17,709.000000
1997-04-18,704.000000
1997-04-21,698.000000
1997-04-22,715.000000
1997-04-23,722.000000
1997-04-24,710.000000
1997-04-25,716.000000
1997-04-28,717.000000
1997-04-29,729.000000
1997-04-30,723.000000
1997-05-02,732.000000
1997-05-05,738.000000
1997-05-06,734.000000
1997-05-07,725.000000
1997-05-08,727.000000
1997-05-09,724.000000
1997-05-12,727.000000
1997-05-13,729.000000
1997-05-14,735.000000
1997-05-15,743.000000
1997-05-16,743.000000
1997-05-19,745.000000
1997-05-20,754.000000
1997-05-21,765.000000
1997-05-22,765.000000
1997-05-23,768.000000
1997-05-26,769.000000
1997-05-27,765.000000
1997-05-28,760.000000
1997-05-29,767.000000
1997-05-30,778.000000
1997-06-02,792.000000
1997-06-03,789.000000
1997-06-04,790.000000
1997-06-05,789.000000
1997-06-06,803.000000
1997-06-10,806.000000
1997-06-11,804.000000
1997-06-12,815.000000
1997-06-13,813.000000
1997-06-17,801.000000
1997-06-18,817.000000
1997-06-19,826.000000
1997-06-20,823.000000
1997-06-23,814.000000
1997-06-24,825.000000
1997-06-25,820.000000
1997-06-26,812.000000
1997-06-27,810.000000
1997-06-30,809.000000
1997-07-01,818.000000
1997-07-02,824.000000
1997-07-03,831.000000
1997-07-04,838.000000
1997-07-07,842.000000
1997-07-08,846.000000
1997-07-10,846.000000
1997-07-11,851.000000
1997-07-14,836.000000
1997-07-15,808.000000
1997-07-16,826.000000
1997-07-17,815.000000
1997-07-18,802.000000
1997-07-21,791.000000
1997-07-22,814.000000
1997-07-23,822.000000
1997-07-24,836.000000
1997-07-25,841.000000
1997-07-28,852.000000
1997-07-29,849.000000
1997-07-30,847.000000
1997-07-31,850.000000
1997-08-01,841.000000
1997-08-04,833.000000
1997-08-05,839.000000
1997-08-06,857.000000
1997-08-07,850.000000
1997-08-08,851.000000
1997-08-11,853.000000
1997-08-12,841.000000
1997-08-13,837.000000
1997-08-14,841.000000
1997-08-15,839.000000
1997-08-19,850.000000
1997-08-20,867.000000
1997-08-21,862.000000
1997-08-22,844.000000
1997-08-25,847.000000
1997-08-26,847.000000
1997-08-27,862.000000
1997-08-28,865.000000
1997-08-29,833.000000
1997-09-01,810.000000
1997-09-02,827.000000
1997-09-03,834.000000
1997-09-04,832.000000
1997-09-05,832.000000
1997-09-08,832.000000
1997-09-09,832.000000
1997-09-10,808.000000
1997-09-11,797.000000
1997-09-12,816.000000
1997-09-15,801.000000
1997-09-16,821.000000
1997-09-17,822.000000
1997-09-18,821.000000
1997-09-19,812.000000
1997-09-22,808.000000
1997-09-23,809.000000
1997-09-24,817.000000
1997-09-25,818.000000
1997-09-26,826.000000
1997-09-29,826.000000
1997-09-30,823.000000
1997-10-01,832.000000
1997-10-02,835.000000
1997-10-03,834.000000
1997-10-06,838.000000
1997-10-07,843.000000
1997-10-08,831.000000
1997-10-09,834.000000
1997-10-10,825.000000
1997-10-13,821.000000
1997-10-14,827.000000
1997-10-15,833.000000
1997-10-16,829.000000
1997-10-17,822.000000
1997-10-20,843.000000
1997-10-21,858.000000
1997-10-22,863.000000
1997-10-23,821.000000
1997-10-24,786.000000
1997-10-27,678.000000
1997-10-28,720.000000
1997-10-29,695.000000
1997-10-30,631.000000
1997-10-31,660.000000
1997-11-03,687.000000
1997-11-04,706.000000
1997-11-05,681.000000
1997-11-06,686.000000
1997-11-07,651.000000
1997-11-10,614.000000
1997-11-11,606.000000
1997-11-12,576.000000
1997-11-13,593.000000
1997-11-14,606.000000
1997-11-17,610.000000
1997-11-18,599.000000
1997-11-19,621.000000
1997-11-20,630.000000
1997-11-21,650.000000
1997-11-24,622.000000
1997-11-25,633.000000
1997-11-26,649.000000
1997-11-27,659.000000
1997-11-28,656.000000
1997-12-01,680.000000
1997-12-02,689.000000
1997-12-03,705.000000
1997-12-04,713.000000
1997-12-05,724.000000
1997-12-09,704.000000
1997-12-10,673.000000
1997-12-11,663.000000
1997-12-12,653.000000
1997-12-15,673.000000
1997-12-16,675.000000
1997-12-17,669.000000
1997-12-18,656.000000
1997-12-19,645.000000
