date,value
1992-11-23,1455.000000
1992-11-24,1458.400024
1992-11-25,1467.900024
1992-11-26,1459.000000
1992-11-27,1458.900024
1992-11-30,1456.400024
1992-12-01,1452.300049
1992-12-02,1446.800049
1992-12-03,1442.099976
1992-12-04,1443.199951
1992-12-07,1454.300049
1992-12-08,1480.300049
1992-12-09,1494.900024
1992-12-10,1515.099976
1992-12-11,1513.300049
1992-12-14,1525.900024
1992-12-15,1522.300049
1992-12-16,1508.500000
1992-12-17,1512.000000
1992-12-18,1529.400024
1992-12-21,1551.699951
1992-12-22,1543.500000
1992-12-23,1536.400024
1992-12-24,1547.599976
1992-12-29,1553.500000
1992-12-30,1552.300049
1992-12-31,1564.699951
1993-01-04,1576.099976
1993-01-05,1579.900024
1993-01-06,1554.800049
1993-01-07,1542.099976
1993-01-08,1510.400024
1993-01-11,1523.599976
1993-01-12,1517.900024
1993-01-13,1502.199951
1993-01-14,1515.400024
1993-01-15,1534.099976
1993-01-18,1538.300049
1993-01-19,1527.599976
1993-01-20,1530.900024
1993-01-21,1528.400024
1993-01-22,1533.000000
1993-01-25,1532.800049
1993-01-26,1539.099976
1993-01-27,1544.400024
1993-01-28,1536.099976
1993-01-29,1536.500000
1993-02-01,1538.300049
1993-02-02,1538.300049
1993-02-03,1538.500000
1993-02-04,1540.000000
1993-02-05,1552.500000
1993-02-08,1568.500000
1993-02-09,1595.099976
1993-02-10,1602.000000
1993-02-11,1610.099976
1993-02-12,1614.300049
1993-02-15,1607.199951
1993-02-16,1623.900024
1993-02-17,1612.800049
1993-02-18,1618.400024
1993-02-19,1604.300049
1993-02-22,1615.699951
1993-02-23,1619.500000
1993-02-24,1615.199951
1993-02-25,1617.000000
1993-02-26,1620.199951
1993-03-01,1652.800049
1993-03-02,1658.000000
1993-03-03,1637.300049
1993-03-04,1633.900024
1993-03-05,1623.599976
1993-03-08,1626.500000
1993-03-09,1644.099976
1993-03-10,1658.599976
1993-03-11,1672.800049
1993-03-12,1671.900024
1993-03-15,1635.300049
1993-03-16,1669.199951
1993-03-17,1687.099976
1993-03-18,1681.599976
1993-03-19,1689.699951
1993-03-22,1674.900024
1993-03-23,1670.000000
1993-03-24,1673.699951
1993-03-25,1670.699951
1993-03-26,1685.599976
1993-03-29,1686.300049
1993-03-30,1687.199951
1993-03-31,1674.500000
1993-04-01,1676.400024
1993-04-02,1692.300049
1993-04-05,1678.699951
1993-04-06,1665.900024
1993-04-07,1662.000000
1993-04-08,1674.300049
1993-04-13,1699.199951
1993-04-14,1714.699951
1993-04-15,1713.400024
1993-04-16,1713.400024
1993-04-19,1705.500000
1993-04-20,1712.699951
1993-04-21,1702.400024
1993-04-22,1714.400024
1993-04-23,1710.900024
1993-04-26,1716.000000
1993-04-27,1709.099976
1993-04-28,1709.199951
1993-04-29,1684.000000
1993-04-30,1685.199951
1993-05-03,1668.699951
1993-05-04,1668.099976
1993-05-05,1678.500000
1993-05-06,1696.000000
1993-05-07,1688.500000
1993-05-10,1673.900024
1993-05-11,1689.500000
1993-05-12,1698.300049
1993-05-13,1696.199951
1993-05-14,1698.900024
1993-05-17,1686.199951
1993-05-18,1676.400024
1993-05-19,1680.199951
1993-05-20,1682.099976
1993-05-21,1695.099976
1993-05-24,1683.699951
1993-05-25,1698.199951
1993-05-26,1719.500000
1993-05-27,1753.400024
1993-05-28,1762.500000
1993-05-31,1737.400024
1993-06-01,1732.800049
1993-06-02,1742.599976
1993-06-03,1741.199951
1993-06-04,1739.800049
1993-06-07,1736.900024
1993-06-08,1721.900024
1993-06-09,1708.699951
1993-06-10,1713.599976
1993-06-11,1715.099976
1993-06-15,1726.500000
1993-06-16,1726.000000
1993-06-17,1728.000000
1993-06-18,1730.500000
1993-06-21,1726.800049
1993-06-22,1715.900024
1993-06-23,1697.699951
1993-06-24,1698.400024
1993-06-25,1699.099976
1993-06-28,1714.599976
1993-06-29,1716.800049
1993-06-30,1734.599976
1993-07-01,1752.300049
1993-07-02,1764.000000
1993-07-05,1759.599976
1993-07-06,1757.300049
1993-07-07,1765.699951
1993-07-08,1775.800049
1993-07-09,1776.900024
1993-07-12,1797.500000
1993-07-13,1799.900024
1993-07-14,1801.300049
1993-07-15,1802.699951
1993-07-16,1796.800049
1993-07-19,1794.300049
1993-07-20,1803.800049
1993-07-21,1815.400024
1993-07-22,1799.500000
1993-07-23,1804.400024
1993-07-26,1792.500000
1993-07-27,1810.300049
1993-07-28,1814.300049
1993-07-29,1824.099976
1993-07-30,1837.099976
1993-08-02,1846.699951
1993-08-03,1847.099976
1993-08-04,1853.199951
1993-08-05,1857.000000
1993-08-06,1836.000000
1993-08-09,1837.199951
1993-08-10,1852.099976
1993-08-11,1853.800049
1993-08-12,1868.199951
1993-08-13,1852.599976
1993-08-16,1867.199951
1993-08-17,1881.099976
1993-08-18,1891.300049
1993-08-19,1924.000000
1993-08-20,1923.900024
1993-08-23,1929.500000
1993-08-24,1919.500000
1993-08-25,1916.900024
1993-08-26,1937.400024
1993-08-27,1946.800049
1993-08-30,1955.000000
1993-08-31,1961.599976
1993-09-01,1977.300049
1993-09-02,1968.500000
1993-09-03,1953.000000
1993-09-06,1919.500000
1993-09-07,1923.599976
1993-09-08,1895.699951
1993-09-09,1888.300049
1993-09-10,1896.599976
1993-09-13,1893.800049
1993-09-14,1870.099976
1993-09-15,1859.099976
1993-09-16,1856.500000
1993-09-17,1879.699951
1993-09-20,1878.400024
1993-09-21,1880.699951
1993-09-22,1874.699951
1993-09-23,1884.500000
1993-09-24,1902.300049
1993-09-27,1897.699951
1993-09-28,1896.900024
1993-09-29,1906.800049
1993-09-30,1919.800049
1993-10-01,1928.800049
1993-10-04,1932.500000
1993-10-05,1955.599976
1993-10-06,1975.199951
1993-10-07,1976.500000
1993-10-08,1981.400024
1993-10-11,1994.099976
1993-10-12,1982.000000
1993-10-13,1993.000000
1993-10-14,2017.300049
1993-10-15,2029.900024
1993-10-18,2041.300049
1993-10-19,2030.800049
1993-10-20,2006.199951
1993-10-21,2014.099976
1993-10-22,2015.400024
1993-10-25,2001.300049
1993-10-26,2011.699951
1993-10-27,2025.599976
1993-10-28,2033.900024
1993-10-29,2070.600098
1993-11-01,2091.699951
1993-11-02,2084.100098
1993-11-03,2065.699951
1993-11-04,2058.800049
1993-11-05,2037.099976
1993-11-08,2009.699951
1993-11-09,2005.500000
1993-11-10,1997.500000
1993-11-11,2007.400024
1993-11-12,2029.500000
1993-11-15,2022.199951
1993-11-16,2023.000000
1993-11-17,2044.300049
1993-11-18,2048.600098
1993-11-19,2022.900024
1993-11-22,1988.900024
1993-11-23,1950.199951
1993-11-24,1972.599976
1993-11-25,1982.599976
1993-11-26,1986.099976
1993-11-29,1952.800049
1993-11-30,1953.699951
1993-12-01,1949.000000
1993-12-02,1993.500000
1993-12-03,1991.900024
1993-12-06,1998.900024
1993-12-07,2019.099976
1993-12-08,2044.599976
1993-12-09,2041.300049
1993-12-10,2030.900024
1993-12-13,2039.599976
1993-12-14,2028.900024
1993-12-15,2011.300049
1993-12-16,2016.900024
1993-12-17,2023.699951
1993-12-20,2018.699951
1993-12-21,2007.500000
1993-12-22,1992.099976
1993-12-23,2009.199951
1993-12-24,2031.400024
1993-12-29,2069.800049
1993-12-30,2095.800049
1993-12-31,2113.600098
1994-01-04,2115.399902
1994-01-05,2132.000000
1994-01-06,2138.699951
1994-01-07,2124.000000
1994-01-10,2135.800049
1994-01-11,2143.199951
1994-01-12,2131.100098
1994-01-13,2112.800049
1994-01-14,2141.800049
1994-01-17,2175.300049
1994-01-18,2167.500000
1994-01-19,2183.399902
1994-01-20,2199.600098
1994-01-21,2182.699951
1994-01-24,2156.699951
1994-01-25,2154.100098
1994-01-27,2181.399902
1994-01-28,2191.699951
1994-01-31,2244.399902
1994-02-01,2244.199951
1994-02-02,2245.199951
1994-02-03,2275.600098
1994-02-04,2266.300049
1994-02-07,2215.199951
1994-02-08,2239.000000
1994-02-09,2203.000000
1994-02-10,2166.100098
1994-02-11,2173.199951
1994-02-14,2170.899902
1994-02-15,2165.699951
1994-02-16,2179.100098
1994-02-17,2170.100098
1994-02-18,2152.600098
1994-02-21,2108.699951
1994-02-22,2134.100098
1994-02-23,2150.300049
1994-02-24,2127.699951
1994-02-25,2079.000000
1994-02-28,2112.000000
1994-03-01,2112.000000
1994-03-02,2084.199951
1994-03-03,2082.399902
1994-03-04,2048.100098
1994-03-07,2077.000000
1994-03-08,2103.600098
1994-03-09,2081.300049
1994-03-10,2088.100098
1994-03-11,2084.000000
1994-03-14,2110.800049
1994-03-15,2102.699951
1994-03-16,2104.300049
1994-03-17,2095.500000
1994-03-18,2093.699951
1994-03-21,2069.300049
1994-03-22,2070.300049
1994-03-23,2110.500000
1994-03-24,2098.899902
1994-03-25,2078.500000
1994-03-28,2035.699951
1994-03-29,2027.800049
1994-03-30,2021.500000
1994-03-31,1980.099976
1994-04-05,1980.599976
1994-04-06,2014.400024
1994-04-07,2016.500000
1994-04-08,2011.199951
1994-04-11,2005.699951
1994-04-12,2026.800049
1994-04-13,2048.100098
1994-04-14,2027.900024
1994-04-15,2013.900024
1994-04-18,2030.800049
1994-04-19,1997.000000
1994-04-20,1982.099976
1994-04-21,1966.800049
1994-04-22,1979.300049
1994-04-26,2006.800049
1994-04-27,1997.800049
1994-04-28,2007.900024
1994-04-29,2004.199951
1994-05-02,1986.300049
1994-05-03,1983.599976
1994-05-04,1958.199951
1994-05-05,1928.699951
1994-05-06,1944.800049
1994-05-09,1948.300049
1994-05-10,1946.599976
1994-05-11,1974.099976
1994-05-12,1981.800049
1994-05-13,2010.800049
1994-05-16,2051.800049
1994-05-17,2036.199951
1994-05-18,2047.400024
1994-05-19,2032.000000
1994-05-20,2043.800049
1994-05-23,2060.699951
1994-05-24,2072.100098
1994-05-25,2045.400024
1994-05-26,2035.400024
1994-05-27,2041.900024
1994-05-30,2032.500000
1994-05-31,2021.199951
1994-06-01,2036.500000
1994-06-02,2015.699951
1994-06-03,2017.199951
1994-06-06,2011.199951
1994-06-07,2008.800049
1994-06-08,2018.400024
1994-06-09,2015.599976
1994-06-10,2009.900024
1994-06-14,2017.800049
1994-06-15,2015.400024
1994-06-16,1996.500000
1994-06-17,1991.900024
1994-06-20,1964.400024
1994-06-21,1934.900024
1994-06-22,1953.300049
1994-06-23,1966.599976
1994-06-24,1962.000000
1994-06-27,1901.300049
1994-06-28,1916.800049
1994-06-29,1917.300049
1994-06-30,1931.099976
1994-07-01,1907.800049
1994-07-04,1929.900024
1994-07-05,1945.300049
1994-07-06,1931.699951
1994-07-07,1902.300049
1994-07-08,1905.500000
1994-07-11,1902.199951
1994-07-12,1915.000000
1994-07-13,1921.099976
1994-07-14,1951.800049
1994-07-15,2002.000000
1994-07-18,2015.599976
1994-07-19,2020.900024
1994-07-20,2021.599976
1994-07-21,1991.199951
1994-07-22,1994.099976
1994-07-25,1990.699951
1994-07-26,1983.199951
1994-07-27,1982.199951
1994-07-28,1982.300049
1994-07-29,2003.500000
1994-08-01,2025.400024
1994-08-02,2030.300049
1994-08-03,2016.199951
1994-08-04,2028.800049
1994-08-05,2037.000000
1994-08-08,2025.400024
1994-08-09,2031.900024
1994-08-10,2021.699951
1994-08-11,2006.900024
1994-08-12,1996.099976
1994-08-15,2000.199951
1994-08-16,1983.500000
1994-08-17,2003.500000
1994-08-18,2011.099976
1994-08-19,2004.599976
1994-08-22,2007.400024
1994-08-23,1995.000000
1994-08-24,2005.500000
1994-08-25,2022.500000
1994-08-26,2021.599976
1994-08-29,2057.500000
1994-08-30,2059.800049
1994-08-31,2063.899902
1994-09-01,2047.599976
1994-09-02,2049.199951
1994-09-05,2036.500000
1994-09-06,2044.699951
1994-09-07,2043.300049
1994-09-08,2027.199951
1994-09-09,2007.800049
1994-09-12,1970.300049
1994-09-13,1983.500000
1994-09-14,1990.800049
1994-09-15,1992.699951
1994-09-16,2001.900024
1994-09-19,1991.400024
1994-09-20,1986.400024
1994-09-21,1966.699951
1994-09-22,1967.800049
1994-09-23,1966.099976
1994-09-26,1968.199951
1994-09-27,1952.300049
1994-09-28,1953.099976
1994-09-29,1970.599976
1994-09-30,1967.699951
1994-10-03,1970.699951
1994-10-04,1937.199951
1994-10-05,1919.900024
1994-10-06,1916.500000
1994-10-07,1906.500000
1994-10-10,1928.800049
1994-10-11,1936.199951
1994-10-12,1935.699951
1994-10-13,1931.199951
1994-10-14,1938.400024
1994-10-17,1947.699951
1994-10-18,1937.400024
1994-10-19,1948.699951
1994-10-20,1951.000000
1994-10-21,1969.699951
1994-10-24,1972.099976
1994-10-25,1956.599976
1994-10-26,1952.000000
1994-10-27,1967.199951
1994-10-28,1957.400024
1994-10-31,1980.900024
1994-11-01,1965.199951
1994-11-02,1949.599976
1994-11-03,1947.699951
1994-11-04,1938.300049
1994-11-07,1916.900024
1994-11-08,1905.099976
1994-11-09,1921.099976
1994-11-10,1909.800049
1994-11-11,1890.500000
1994-11-14,1864.800049
1994-11-15,1879.300049
1994-11-16,1877.900024
1994-11-17,1860.400024
1994-11-18,1862.599976
1994-11-21,1849.800049
1994-11-22,1818.800049
1994-11-23,1800.699951
1994-11-24,1829.099976
1994-11-25,1854.199951
1994-11-28,1854.800049
1994-11-29,1834.199951
1994-11-30,1833.800049
1994-12-01,1845.300049
1994-12-02,1824.400024
1994-12-05,1844.199951
1994-12-06,1839.400024
1994-12-07,1817.300049
1994-12-08,1823.900024
1994-12-09,1800.300049
1994-12-12,1790.400024
1994-12-13,1801.400024
1994-12-14,1811.000000
1994-12-15,1841.300049
1994-12-16,1844.800049
1994-12-19,1847.500000
1994-12-20,1846.199951
1994-12-21,1852.900024
1994-12-22,1854.800049
1994-12-23,1856.699951
1994-12-28,1884.000000
1994-12-29,1879.599976
1994-12-30,1857.400024
1995-01-03,1849.099976
1995-01-04,1830.000000
1995-01-05,1814.800049
1995-01-06,1813.300049
1995-01-09,1805.400024
1995-01-10,1804.099976
1995-01-11,1808.300049
1995-01-12,1810.900024
1995-01-13,1806.500000
1995-01-16,1827.800049
1995-01-17,1829.500000
1995-01-18,1838.199951
1995-01-19,1844.099976
1995-01-20,1827.000000
1995-01-23,1810.699951
1995-01-24,1813.400024
1995-01-25,1802.199951
1995-01-27,1814.800049
1995-01-30,1810.699951
1995-01-31,1784.699951
1995-02-01,1789.699951
1995-02-02,1814.400024
1995-02-03,1805.400024
1995-02-06,1821.400024
1995-02-07,1803.699951
1995-02-08,1782.300049
1995-02-09,1792.599976
1995-02-10,1805.099976
1995-02-13,1805.599976
1995-02-14,1793.599976
1995-02-15,1802.400024
1995-02-16,1821.300049
1995-02-17,1817.099976
1995-02-20,1813.599976
1995-02-21,1817.400024
1995-02-22,1841.199951
1995-02-23,1855.400024
1995-02-24,1872.199951
1995-02-27,1853.800049
1995-02-28,1881.099976
1995-03-01,1878.099976
1995-03-02,1876.900024
1995-03-03,1862.500000
1995-03-06,1851.099976
1995-03-07,1850.400024
1995-03-08,1840.800049
1995-03-09,1835.199951
1995-03-10,1827.099976
1995-03-13,1843.300049
1995-03-14,1843.599976
1995-03-15,1863.400024
1995-03-16,1868.199951
1995-03-17,1880.000000
1995-03-20,1864.000000
1995-03-21,1874.500000
1995-03-22,1852.099976
1995-03-23,1851.300049
1995-03-24,1857.500000
1995-03-27,1869.699951
1995-03-28,1861.300049
1995-03-29,1855.400024
1995-03-30,1847.199951
1995-03-31,1867.099976
1995-04-03,1859.099976
1995-04-04,1896.300049
1995-04-05,1940.900024
1995-04-06,1939.099976
1995-04-07,1943.599976
1995-04-10,1943.400024
1995-04-11,1953.699951
1995-04-12,1971.599976
1995-04-13,1980.599976
1995-04-18,2000.199951
1995-04-19,1999.500000
1995-04-20,1984.000000
1995-04-21,1957.900024
1995-04-24,1955.099976
1995-04-26,1965.199951
1995-04-27,1989.000000
1995-04-28,2006.500000
1995-05-01,1997.400024
1995-05-02,1983.300049
1995-05-03,1995.800049
1995-05-04,2024.500000
1995-05-05,2024.400024
1995-05-08,2025.300049
1995-05-09,2037.599976
1995-05-10,2016.199951
1995-05-11,1997.099976
1995-05-12,1999.000000
1995-05-15,2009.500000
1995-05-16,2004.699951
1995-05-17,2002.900024
1995-05-18,1981.099976
1995-05-19,1957.099976
1995-05-22,1971.099976
1995-05-23,1997.300049
1995-05-24,2001.099976
1995-05-25,2008.900024
1995-05-26,1985.699951
1995-05-29,1976.099976
1995-05-30,1983.300049
1995-05-31,1981.400024
1995-06-01,1983.199951
1995-06-02,1968.900024
1995-06-05,1976.400024
1995-06-06,1986.199951
1995-06-07,1982.099976
1995-06-08,1964.199951
1995-06-09,1951.000000
1995-06-13,1945.699951
1995-06-14,1933.699951
1995-06-15,1928.300049
1995-06-16,1940.199951
1995-06-19,1938.699951
1995-06-20,1934.000000
1995-06-21,1939.599976
1995-06-22,1954.300049
1995-06-23,1992.400024
1995-06-26,1999.300049
1995-06-27,1991.900024
1995-06-28,2000.500000
1995-06-29,1999.199951
1995-06-30,1981.000000
1995-07-03,1970.099976
1995-07-04,1980.000000
1995-07-05,1990.500000
1995-07-06,1989.099976
1995-07-07,2014.400024
1995-07-10,2048.699951
1995-07-11,2059.899902
1995-07-12,2063.100098
1995-07-13,2089.000000
1995-07-14,2081.100098
1995-07-17,2070.699951
1995-07-18,2078.000000
1995-07-19,2058.000000
1995-07-20,2045.300049
1995-07-21,2092.500000
1995-07-24,2090.800049
1995-07-25,2087.500000
1995-07-26,2104.000000
1995-07-27,2088.000000
1995-07-28,2087.800049
1995-07-31,2083.300049
1995-08-01,2087.600098
1995-08-02,2107.000000
1995-08-03,2108.199951
1995-08-04,2119.899902
1995-08-07,2118.699951
1995-08-08,2112.899902
1995-08-09,2116.500000
1995-08-10,2105.600098
1995-08-11,2094.699951
1995-08-14,2083.600098
1995-08-15,2098.899902
1995-08-16,2089.800049
1995-08-17,2075.199951
1995-08-18,2064.199951
1995-08-21,2071.199951
1995-08-22,2067.500000
1995-08-23,2063.600098
1995-08-24,2074.199951
1995-08-25,2078.699951
1995-08-28,2090.000000
1995-08-29,2087.100098
1995-08-30,2094.899902
1995-08-31,2094.300049
1995-09-01,2094.399902
1995-09-04,2084.000000
1995-09-05,2083.899902
1995-09-06,2107.800049
1995-09-07,2101.899902
1995-09-08,2098.500000
1995-09-11,2103.000000
1995-09-12,2104.399902
1995-09-13,2121.699951
1995-09-14,2109.699951
1995-09-15,2124.100098
1995-09-18,2123.600098
1995-09-19,2121.399902
1995-09-20,2120.000000
1995-09-21,2105.800049
1995-09-22,2096.300049
1995-09-25,2088.100098
1995-09-26,2085.600098
1995-09-27,2083.699951
1995-09-28,2075.100098
1995-09-29,2091.300049
1995-10-02,2094.300049
1995-10-03,2088.399902
1995-10-04,2059.899902
1995-10-05,2059.300049
1995-10-06,2054.100098
1995-10-09,2047.199951
1995-10-10,2018.199951
1995-10-11,2024.199951
1995-10-12,2033.699951
1995-10-13,2055.500000
1995-10-16,2067.000000
1995-10-17,2064.899902
1995-10-18,2067.100098
1995-10-19,2068.399902
1995-10-20,2062.399902
1995-10-23,2044.900024
1995-10-24,2037.699951
1995-10-25,2048.399902
1995-10-26,2043.300049
1995-10-27,2024.400024
1995-10-30,2024.000000
1995-10-31,2029.699951
1995-11-01,2010.599976
1995-11-02,2013.400024
1995-11-03,2046.500000
1995-11-06,2062.199951
1995-11-07,2065.399902
1995-11-08,2065.399902
1995-11-09,2085.500000
1995-11-10,2078.699951
1995-11-13,2074.199951
1995-11-14,2077.500000
1995-11-15,2062.899902
1995-11-16,2059.500000
1995-11-17,2072.000000
1995-11-20,2078.300049
1995-11-21,2092.899902
1995-11-22,2101.300049
1995-11-23,2105.100098
1995-11-24,2106.000000
1995-11-27,2112.800049
1995-11-28,2110.100098
1995-11-29,2115.000000
1995-11-30,2113.199951
1995-12-01,2119.100098
1995-12-04,2160.800049
1995-12-05,2160.899902
1995-12-06,2155.399902
1995-12-07,2155.500000
1995-12-08,2142.699951
1995-12-11,2161.500000
1995-12-12,2171.199951
1995-12-13,2182.100098
1995-12-14,2179.699951
1995-12-15,2176.500000
1995-12-18,2162.600098
1995-12-19,2137.300049
1995-12-20,2154.500000
1995-12-21,2157.199951
1995-12-22,2160.199951
1995-12-27,2154.500000
1995-12-28,2153.199951
1995-12-29,2154.899902
