date,value
1996-03-18,4.350106
1996-03-19,4.376468
1996-03-20,4.376468
1996-03-21,4.376468
1996-03-22,4.376468
1996-03-25,4.376468
1996-03-26,4.376468
1996-03-27,4.376468
1996-03-28,4.376468
1996-03-29,4.402834
1996-04-01,4.402834
1996-04-02,4.429199
1996-04-03,4.429199
1996-04-04,4.429199
1996-04-08,4.429199
1996-04-09,4.429199
1996-04-10,4.481926
1996-04-11,4.429199
1996-04-12,4.429199
1996-04-15,4.429199
1996-04-16,4.481926
1996-04-17,4.534656
1996-04-18,4.481926
1996-04-19,4.534656
1996-04-22,4.534656
1996-04-23,4.534656
1996-04-24,4.534656
1996-04-25,4.534656
1996-04-26,4.561019
1996-04-29,4.587382
1996-04-30,4.561019
1996-05-01,4.534656
1996-05-02,4.481926
1996-05-03,4.508289
1996-05-06,4.508289
1996-05-07,4.508289
1996-05-08,4.508289
1996-05-09,4.508289
1996-05-10,4.508289
1996-05-13,4.508289
1996-05-14,4.508289
1996-05-15,4.534656
1996-05-16,4.587382
1996-05-17,4.613748
1996-05-20,4.587382
1996-05-21,4.613748
1996-05-22,4.587382
1996-05-23,4.587382
1996-05-24,4.587382
1996-05-28,4.613748
1996-05-29,4.587382
1996-05-30,4.534656
1996-05-31,4.534656
1996-06-03,4.561019
1996-06-04,4.561019
1996-06-05,4.561019
1996-06-06,4.561019
1996-06-07,4.561019
1996-06-10,4.534656
1996-06-11,4.534656
1996-06-12,4.534656
1996-06-13,4.534656
1996-06-14,4.534656
1996-06-17,4.455563
1996-06-18,4.455563
1996-06-19,4.455563
1996-06-20,4.455563
1996-06-21,4.481926
1996-06-24,4.481926
1996-06-25,4.481926
1996-06-26,4.455563
1996-06-27,4.455563
1996-06-28,4.455563
1996-07-01,4.481926
1996-07-02,4.534656
1996-07-03,4.534656
1996-07-05,4.534656
1996-07-08,4.508289
1996-07-09,4.587382
1996-07-10,4.534656
1996-07-11,4.455563
1996-07-12,4.455563
1996-07-15,4.508289
1996-07-16,4.323741
1996-07-17,4.402834
1996-07-18,4.376468
1996-07-19,4.376468
1996-07-22,4.376468
1996-07-23,4.376468
1996-07-24,4.376468
1996-07-25,4.376468
1996-07-26,4.376468
1996-07-29,4.376468
1996-07-30,4.376468
1996-07-31,4.376468
1996-08-01,4.376468
1996-08-02,4.429199
1996-08-05,4.429199
1996-08-06,4.429199
1996-08-07,4.429199
1996-08-08,4.455563
1996-08-09,4.429199
1996-08-12,4.429199
1996-08-13,4.429199
1996-08-14,4.429199
1996-08-15,4.429199
1996-08-16,4.534656
1996-08-19,4.534656
1996-08-20,4.534656
1996-08-21,4.534656
1996-08-22,4.534656
1996-08-23,4.534656
1996-08-26,4.552016
1996-08-27,4.578479
1996-08-28,4.578479
1996-08-29,4.499086
1996-08-30,4.499086
1996-09-03,4.446156
1996-09-04,4.499086
1996-09-05,4.499086
1996-09-06,4.499086
1996-09-09,4.525549
1996-09-10,4.525549
1996-09-11,4.525549
1996-09-12,4.552016
1996-09-13,4.525549
1996-09-16,4.631412
1996-09-17,4.631412
1996-09-18,4.631412
1996-09-19,4.631412
1996-09-20,4.631412
1996-09-23,4.631412
1996-09-24,4.631412
1996-09-25,4.631412
1996-09-26,4.631412
1996-09-27,4.631412
1996-09-30,4.684340
1996-10-01,4.710806
1996-10-02,4.710806
1996-10-03,4.763736
1996-10-04,4.843133
1996-10-07,4.843133
1996-10-08,4.843133
1996-10-09,4.816669
1996-10-10,4.843133
1996-10-11,4.816669
1996-10-14,4.869597
1996-10-15,4.843133
1996-10-16,4.896063
1996-10-17,4.896063
1996-10-18,4.922528
1996-10-21,4.948995
1996-10-22,4.975459
1996-10-23,5.001925
1996-10-24,5.001925
1996-10-25,5.001925
1996-10-28,4.975459
1996-10-29,4.975459
1996-10-30,5.081321
1996-10-31,5.081321
1996-11-01,5.081321
1996-11-04,5.081321
1996-11-05,5.107785
1996-11-06,5.240111
1996-11-07,5.240111
1996-11-08,5.187181
1996-11-11,5.240111
1996-11-12,5.266577
1996-11-13,5.240111
1996-11-14,5.266577
1996-11-15,5.266577
1996-11-18,5.293042
1996-11-19,5.293042
1996-11-20,5.319507
1996-11-21,5.372438
1996-11-22,5.345972
1996-11-25,5.319507
1996-11-26,5.425366
1996-11-27,5.372438
1996-11-29,5.372438
1996-12-02,5.372438
1996-12-03,5.345972
1996-12-04,5.240111
1996-12-05,5.266577
1996-12-06,5.160716
1996-12-09,5.213646
1996-12-10,5.266577
1996-12-11,5.134249
1996-12-12,5.054855
1996-12-13,5.028389
1996-12-16,5.028389
1996-12-17,5.001925
1996-12-18,5.028389
1996-12-19,5.054855
1996-12-20,5.134249
1996-12-23,5.144009
1996-12-24,5.170524
1996-12-26,5.117492
1996-12-27,5.197040
1996-12-30,5.223555
1996-12-31,5.197040
1997-01-02,5.170524
1997-01-03,5.223555
1997-01-06,5.250070
1997-01-07,5.250070
1997-01-08,5.329616
1997-01-09,5.329616
1997-01-10,5.382645
1997-01-13,5.382645
1997-01-14,5.409163
1997-01-15,5.462194
1997-01-16,5.462194
1997-01-17,5.541742
1997-01-20,5.541742
1997-01-21,5.515224
1997-01-22,5.488710
1997-01-23,5.435679
1997-01-24,5.382645
1997-01-27,5.356133
1997-01-28,5.462194
1997-01-29,5.462194
1997-01-30,5.462194
1997-01-31,5.462194
1997-02-03,5.515224
1997-02-04,5.488710
1997-02-05,5.515224
1997-02-06,5.409163
1997-02-07,5.435679
1997-02-10,5.435679
1997-02-11,5.435679
1997-02-12,5.488710
1997-02-13,5.515224
1997-02-14,5.568257
1997-02-18,5.541742
1997-02-19,5.515224
1997-02-20,5.541742
1997-02-21,5.515224
1997-02-24,5.515224
1997-02-25,5.568257
1997-02-26,5.462194
1997-02-27,5.462194
1997-02-28,5.409163
1997-03-03,5.356133
1997-03-04,5.356133
1997-03-05,5.409163
1997-03-06,5.435679
1997-03-07,5.488710
1997-03-10,5.541742
1997-03-11,5.541742
1997-03-12,5.568257
1997-03-13,5.462194
1997-03-14,5.462194
1997-03-17,5.356133
1997-03-18,5.356133
1997-03-19,5.329616
1997-03-20,5.223555
1997-03-21,5.276585
1997-03-24,5.382645
1997-03-25,5.356133
1997-03-26,5.356133
1997-03-27,5.276585
1997-03-31,5.090978
1997-04-01,5.144009
1997-04-02,5.090978
1997-04-03,5.037946
1997-04-04,5.064463
1997-04-07,5.064463
1997-04-08,5.037946
1997-04-09,5.037946
1997-04-10,5.037946
1997-04-11,4.852337
1997-04-14,4.878853
1997-04-15,4.958398
1997-04-16,5.037946
1997-04-17,5.037946
1997-04-18,5.064463
1997-04-21,5.064463
1997-04-22,5.090978
1997-04-23,5.090978
1997-04-24,5.117492
1997-04-25,5.144009
1997-04-28,5.064463
1997-04-29,5.090978
1997-04-30,5.170524
1997-05-01,5.223555
1997-05-02,5.409163
1997-05-05,5.462194
1997-05-06,5.409163
1997-05-07,5.462194
1997-05-08,5.462194
1997-05-09,5.488710
1997-05-12,5.462194
1997-05-13,5.541742
1997-05-14,5.515224
1997-05-15,5.515224
1997-05-16,5.568257
1997-05-19,5.568257
1997-05-20,5.541742
1997-05-21,5.647803
1997-05-22,5.674320
1997-05-23,5.700834
1997-05-27,5.727351
1997-05-28,5.621286
1997-05-29,5.674320
1997-05-30,5.621286
1997-06-02,5.753863
1997-06-03,5.833410
1997-06-04,5.806897
1997-06-05,5.753863
1997-06-06,5.753863
1997-06-09,5.806897
1997-06-10,5.806897
1997-06-11,5.780380
1997-06-12,5.806897
1997-06-13,5.886443
1997-06-16,5.886443
1997-06-17,5.886443
1997-06-18,5.806897
1997-06-19,5.859926
1997-06-20,5.780380
1997-06-23,5.780380
1997-06-24,5.700834
1997-06-25,5.780380
1997-06-26,5.859926
1997-06-27,5.780380
1997-06-30,5.674320
1997-07-01,5.700834
1997-07-02,5.859926
1997-07-03,5.965990
1997-07-07,5.859926
1997-07-08,5.886443
1997-07-09,5.939474
1997-07-10,5.939474
1997-07-11,5.965990
1997-07-14,5.992504
1997-07-15,6.045536
1997-07-16,6.045536
1997-07-17,6.098566
1997-07-18,6.072052
1997-07-21,5.939474
1997-07-22,5.965990
1997-07-23,6.072052
1997-07-24,6.045536
1997-07-25,6.072052
1997-07-28,6.098566
1997-07-29,6.072052
1997-07-30,6.125082
1997-07-31,6.151597
1997-08-01,6.098566
1997-08-04,6.045536
1997-08-05,6.098566
1997-08-06,6.178113
1997-08-07,6.178113
1997-08-08,6.045536
1997-08-11,6.045536
1997-08-12,6.045536
1997-08-13,5.965990
1997-08-14,6.019022
1997-08-15,5.886443
1997-08-18,5.780380
1997-08-19,5.939474
1997-08-20,5.939474
1997-08-21,5.912959
1997-08-22,5.859926
1997-08-25,5.905668
1997-08-26,5.825135
1997-08-27,5.825135
1997-08-28,5.798294
1997-08-29,5.771449
1997-09-02,5.851981
1997-09-03,5.878826
1997-09-04,5.878826
1997-09-05,5.959358
1997-09-08,5.905668
1997-09-09,5.905668
1997-09-10,5.878826
1997-09-11,5.771449
1997-09-12,5.798294
1997-09-15,5.825135
1997-09-16,5.932513
1997-09-17,5.905668
1997-09-18,6.013047
1997-09-19,6.066732
1997-09-22,6.066732
1997-09-23,6.039889
1997-09-24,6.120421
1997-09-25,6.066732
1997-09-26,6.147264
1997-09-29,6.093576
1997-09-30,6.093576
1997-10-01,6.120421
1997-10-02,6.227796
1997-10-03,6.174108
1997-10-06,6.227796
1997-10-07,6.254641
1997-10-08,6.254641
1997-10-09,6.227796
1997-10-10,6.174108
1997-10-13,6.200953
1997-10-14,6.174108
1997-10-15,6.174108
1997-10-16,6.120421
1997-10-17,6.120421
1997-10-20,6.093576
1997-10-21,6.093576
1997-10-22,6.200953
1997-10-23,6.174108
1997-10-24,6.066732
1997-10-27,5.664074
1997-10-28,5.717761
1997-10-29,5.851981
1997-10-30,5.744606
1997-10-31,5.744606
1997-11-03,5.851981
1997-11-04,5.905668
1997-11-05,5.905668
1997-11-06,5.959358
1997-11-07,5.825135
1997-11-10,5.825135
1997-11-11,5.798294
1997-11-12,5.664074
1997-11-13,5.744606
1997-11-14,5.717761
1997-11-17,5.825135
1997-11-18,5.825135
1997-11-19,5.851981
1997-11-20,5.851981
1997-11-21,5.878826
1997-11-24,5.744606
1997-11-25,5.717761
1997-11-26,5.664074
1997-11-28,5.583540
1997-12-01,5.771449
1997-12-02,5.851981
1997-12-03,5.851981
1997-12-04,5.798294
1997-12-05,5.744606
1997-12-08,5.851981
1997-12-09,5.851981
1997-12-10,5.825135
1997-12-11,5.744606
1997-12-12,5.771449
1997-12-15,5.798294
1997-12-16,5.717761
1997-12-17,5.690915
1997-12-18,5.690915
1997-12-19,5.690915
1997-12-22,5.664074
1997-12-23,5.640326
1997-12-24,5.640326
1997-12-26,5.613336
1997-12-29,5.613336
1997-12-30,5.775260
1997-12-31,5.748273
1998-01-02,5.829236
1998-01-05,5.829236
1998-01-06,5.748273
1998-01-07,5.721284
1998-01-08,5.721284
1998-01-09,5.451415
1998-01-12,5.343465
1998-01-13,5.451415
1998-01-14,5.559362
1998-01-15,5.451415
1998-01-16,5.505390
1998-01-20,5.559362
1998-01-21,5.559362
1998-01-22,5.478399
1998-01-23,5.451415
1998-01-26,5.532375
1998-01-27,5.775260
1998-01-28,5.748273
1998-01-29,5.721284
1998-01-30,5.694300
1998-02-02,5.721284
1998-02-03,5.721284
1998-02-04,5.748273
1998-02-05,5.802246
1998-02-06,5.829236
1998-02-09,5.856221
1998-02-10,5.937183
1998-02-11,5.937183
1998-02-12,5.991159
1998-02-13,5.991159
1998-02-17,5.991159
1998-02-18,5.991159
1998-02-19,5.991159
1998-02-20,5.991159
1998-02-23,5.991159
1998-02-24,5.991159
1998-02-25,6.099107
1998-02-26,6.180068
1998-02-27,6.234044
1998-03-02,6.099107
1998-03-03,6.099107
1998-03-04,6.153081
1998-03-05,6.099107
1998-03-06,6.153081
1998-03-09,6.261030
1998-03-10,6.288018
1998-03-11,6.422952
1998-03-12,6.395967
1998-03-13,6.530903
1998-03-16,6.503915
1998-03-17,6.503915
1998-03-18,6.449939
1998-03-19,6.530903
1998-03-20,6.530903
1998-03-23,6.530903
1998-03-24,6.584876
1998-03-25,6.584876
1998-03-26,6.665838
1998-03-27,6.638851
1998-03-30,6.638851
1998-03-31,6.584876
1998-04-01,6.584876
1998-04-02,6.584876
1998-04-03,6.584876
1998-04-06,6.638851
1998-04-07,6.638851
1998-04-08,6.503915
1998-04-09,6.557889
1998-04-13,6.503915
1998-04-14,6.584876
1998-04-15,6.638851
1998-04-16,6.638851
1998-04-17,6.611863
1998-04-20,6.746800
1998-04-21,6.746800
1998-04-22,6.638851
1998-04-23,6.692824
1998-04-24,6.611863
1998-04-27,6.395967
1998-04-28,6.557889
1998-04-29,6.557889
1998-04-30,6.584876
1998-05-01,6.584876
1998-05-04,6.692824
1998-05-05,6.638851
1998-05-06,6.638851
1998-05-07,6.557889
1998-05-08,6.638851
1998-05-11,6.638851
1998-05-12,6.638851
1998-05-13,6.638851
1998-05-14,6.584876
1998-05-15,6.557889
1998-05-18,6.557889
1998-05-19,6.611863
1998-05-20,6.557889
1998-05-21,6.611863
1998-05-22,6.611863
1998-05-26,6.719812
1998-05-27,6.422952
1998-05-28,6.503915
1998-05-29,6.476928
1998-06-01,6.503915
1998-06-02,6.503915
1998-06-03,6.530903
1998-06-04,6.476928
1998-06-05,6.476928
1998-06-08,6.449939
1998-06-09,6.557889
1998-06-10,6.395967
1998-06-11,6.315002
1998-06-12,6.126094
1998-06-15,6.045134
1998-06-16,6.099107
1998-06-17,6.126094
1998-06-18,6.099107
1998-06-19,6.072120
1998-06-22,5.991159
1998-06-23,5.991159
1998-06-24,6.153081
1998-06-25,6.207055
1998-06-26,6.180068
1998-06-29,6.180068
1998-06-30,6.341990
1998-07-01,6.261030
1998-07-02,6.261030
1998-07-06,6.234044
1998-07-07,6.234044
1998-07-08,6.288018
1998-07-09,6.288018
1998-07-10,6.288018
1998-07-13,6.288018
1998-07-14,6.234044
1998-07-15,6.288018
1998-07-16,6.207055
1998-07-17,6.207055
1998-07-20,6.234044
1998-07-21,6.234044
1998-07-22,6.180068
1998-07-23,6.180068
1998-07-24,6.045134
1998-07-27,6.045134
1998-07-28,5.937183
1998-07-29,5.991159
1998-07-30,5.883209
1998-07-31,5.883209
1998-08-03,5.748273
1998-08-04,5.667312
1998-08-05,5.559362
1998-08-06,5.532375
1998-08-07,5.478399
1998-08-10,5.478399
1998-08-11,5.262504
1998-08-12,5.397442
1998-08-13,5.397442
1998-08-14,5.316477
1998-08-17,5.262504
1998-08-18,5.451415
1998-08-19,5.397442
1998-08-20,5.424426
1998-08-21,5.154555
1998-08-24,5.127566
1998-08-25,5.249445
1998-08-26,5.106797
1998-08-27,4.678854
1998-08-28,4.707384
1998-08-31,4.564736
1998-09-01,4.707384
1998-09-02,4.821502
1998-09-03,4.735914
1998-09-04,4.907090
1998-09-08,5.135328
1998-09-09,5.106797
1998-09-10,4.964152
1998-09-11,5.021209
1998-09-14,5.192387
1998-09-15,5.163858
1998-09-16,5.135328
1998-09-17,4.992680
1998-09-18,4.850032
1998-09-21,4.878560
1998-09-22,4.964152
1998-09-23,5.106797
1998-09-24,5.078268
1998-09-25,4.878560
1998-09-28,4.992680
1998-09-29,4.992680
1998-09-30,4.764443
1998-10-01,4.536206
1998-10-02,4.507678
1998-10-05,4.507678
1998-10-06,4.507678
1998-10-07,4.564736
1998-10-08,4.564736
1998-10-09,4.593265
1998-10-12,4.707384
1998-10-13,4.564736
1998-10-14,4.707384
1998-10-15,4.821502
1998-10-16,4.992680
1998-10-19,4.907090
1998-10-20,4.964152
1998-10-21,4.907090
1998-10-22,4.935619
1998-10-23,4.878560
1998-10-26,4.935619
1998-10-27,5.049738
1998-10-28,5.021209
1998-10-29,4.992680
1998-10-30,5.192387
1998-11-02,5.392093
1998-11-03,5.363564
1998-11-04,5.420624
1998-11-05,5.335036
1998-11-06,5.363564
1998-11-09,5.363564
1998-11-10,5.306506
1998-11-11,5.249445
1998-11-12,5.249445
1998-11-13,5.192387
1998-11-16,5.277977
1998-11-17,5.249445
1998-11-18,5.277977
1998-11-19,5.363564
1998-11-20,5.420624
1998-11-23,5.534742
1998-11-24,5.420624
1998-11-25,5.392093
1998-11-27,5.449152
1998-11-30,5.363564
1998-12-01,5.449152
1998-12-02,5.420624
1998-12-03,5.306506
1998-12-04,5.420624
1998-12-07,5.392093
1998-12-08,5.392093
1998-12-09,5.363564
1998-12-10,5.306506
1998-12-11,5.249445
1998-12-14,5.135328
1998-12-15,5.249445
1998-12-16,5.277977
1998-12-17,5.277977
1998-12-18,5.306506
1998-12-21,5.392093
1998-12-22,5.274002
1998-12-23,5.331327
1998-12-24,5.274002
1998-12-28,5.417316
1998-12-29,5.445981
1998-12-30,5.388654
1998-12-31,5.302666
1999-01-04,5.531971
1999-01-05,5.617959
1999-01-06,5.933251
1999-01-07,5.847263
1999-01-08,5.933251
1999-01-11,5.875926
1999-01-12,5.789937
1999-01-13,5.617959
1999-01-14,5.503308
1999-01-15,5.703948
1999-01-19,5.675284
1999-01-20,5.703948
1999-01-21,5.703948
1999-01-22,5.589295
1999-01-25,5.675284
1999-01-26,5.789937
1999-01-27,5.675284
1999-01-28,5.703948
1999-01-29,5.761275
1999-02-01,5.732611
1999-02-02,5.646622
1999-02-03,5.675284
1999-02-04,5.732611
1999-02-05,5.675284
1999-02-08,5.675284
1999-02-09,5.560632
1999-02-10,5.560632
1999-02-11,5.675284
1999-02-12,5.531971
1999-02-16,5.589295
1999-02-17,5.560632
1999-02-18,5.589295
1999-02-19,5.560632
1999-02-22,5.703948
1999-02-23,5.675284
1999-02-24,5.617959
1999-02-25,5.503308
1999-02-26,5.474643
1999-03-01,5.417316
1999-03-02,5.274002
1999-03-03,5.331327
1999-03-04,5.388654
1999-03-05,5.445981
1999-03-08,5.531971
1999-03-09,5.531971
1999-03-10,5.560632
1999-03-11,5.675284
1999-03-12,5.675284
1999-03-15,5.589295
1999-03-16,5.589295
1999-03-17,5.589295
1999-03-18,5.531971
1999-03-19,5.646622
1999-03-22,5.675284
1999-03-23,5.560632
1999-03-24,5.589295
1999-03-25,5.761275
1999-03-26,5.761275
1999-03-29,5.818600
1999-03-30,5.675284
1999-03-31,5.703948
1999-04-01,5.789937
1999-04-05,5.789937
1999-04-06,5.847263
1999-04-07,5.933251
1999-04-08,6.047905
1999-04-09,5.961916
1999-04-12,6.019242
1999-04-13,6.219884
1999-04-14,6.162558
1999-04-15,6.191219
1999-04-16,6.248547
1999-04-19,6.191219
1999-04-20,6.133894
1999-04-21,6.133894
1999-04-22,6.219884
1999-04-23,6.305873
1999-04-26,6.363199
1999-04-27,6.305873
1999-04-28,6.248547
1999-04-29,6.305873
1999-04-30,6.277212
1999-05-03,6.334536
1999-05-04,6.305873
1999-05-05,6.277212
1999-05-06,6.248547
1999-05-07,6.191219
1999-05-10,6.277212
1999-05-11,6.305873
1999-05-12,6.277212
1999-05-13,6.305873
1999-05-14,6.305873
1999-05-17,6.162558
1999-05-18,6.133894
1999-05-19,6.162558
1999-05-20,6.248547
1999-05-21,6.277212
1999-05-24,6.219884
1999-05-25,6.219884
1999-05-26,6.219884
1999-05-27,5.961916
1999-05-28,6.019242
1999-06-01,6.019242
1999-06-02,6.019242
1999-06-03,6.133894
1999-06-04,6.248547
1999-06-07,6.305873
1999-06-08,6.305873
1999-06-09,6.248547
1999-06-10,6.248547
1999-06-11,6.305873
1999-06-14,6.334536
1999-06-15,6.391860
1999-06-16,6.391860
1999-06-17,6.363199
1999-06-18,6.420525
1999-06-21,6.449187
1999-06-22,6.334536
1999-06-23,6.363199
1999-06-24,6.363199
1999-06-25,6.391860
1999-06-28,6.334536
1999-06-29,6.334536
1999-06-30,6.449187
1999-07-01,6.391860
1999-07-02,6.592502
1999-07-06,6.707153
1999-07-07,6.592502
1999-07-08,6.621167
1999-07-09,6.563839
1999-07-12,6.563839
1999-07-13,6.563839
1999-07-14,6.621167
1999-07-15,6.592502
1999-07-16,6.678492
1999-07-19,6.649827
1999-07-20,6.535176
1999-07-21,6.391860
1999-07-22,6.277212
1999-07-23,6.277212
1999-07-26,6.219884
1999-07-27,6.334536
1999-07-28,6.363199
1999-07-29,6.334536
1999-07-30,6.391860
1999-08-02,6.363199
1999-08-03,6.477849
1999-08-04,6.391860
1999-08-05,6.277212
1999-08-06,6.277212
1999-08-09,6.076568
1999-08-10,6.076568
1999-08-11,6.248547
1999-08-12,6.219884
1999-08-13,6.363199
1999-08-16,6.420525
1999-08-17,6.449187
1999-08-18,6.506514
1999-08-19,6.305873
1999-08-20,6.420525
1999-08-23,6.477849
1999-08-24,6.420525
1999-08-25,6.541682
1999-08-26,6.481939
1999-08-27,6.422198
1999-08-30,6.452067
1999-08-31,6.422198
1999-09-01,6.392328
1999-09-02,6.302715
1999-09-03,6.452067
1999-09-07,6.452067
1999-09-08,6.481939
1999-09-09,6.511811
1999-09-10,6.661162
1999-09-13,6.661162
1999-09-14,6.481939
1999-09-15,6.481939
1999-09-16,6.452067
1999-09-17,6.571552
1999-09-20,6.601421
1999-09-21,6.511811
1999-09-22,6.362455
1999-09-23,6.362455
1999-09-24,6.183230
1999-09-27,6.362455
1999-09-28,6.392328
1999-09-29,6.422198
1999-09-30,6.422198
1999-10-01,6.422198
1999-10-04,6.541682
1999-10-05,6.571552
1999-10-06,6.541682
1999-10-07,6.631293
1999-10-08,6.631293
1999-10-11,6.631293
1999-10-12,6.691033
1999-10-13,6.511811
1999-10-14,6.511811
1999-10-15,6.272844
1999-10-18,6.332585
1999-10-19,6.362455
1999-10-20,6.422198
