date,value
1979-06-29,1614.290161
1979-07-03,1598.729736
1979-07-04,1587.358643
1979-07-05,1579.877808
1979-07-06,1582.570923
1979-07-09,1582.271729
1979-07-10,1576.187012
1979-07-11,1559.230225
1979-07-12,1529.805054
1979-07-13,1533.495850
1979-07-16,1547.659546
1979-07-17,1556.936157
1979-07-18,1546.861816
1979-07-19,1548.457642
1979-07-20,1553.544800
1979-07-23,1542.073975
1979-07-24,1543.171265
1979-07-25,1552.846680
1979-07-26,1566.013062
1979-07-27,1573.992676
1979-07-30,1564.117798
1979-07-31,1554.143311
1979-08-01,1554.143311
1979-08-02,1556.936157
1979-08-03,1553.843994
1979-08-07,1551.948730
1979-08-08,1561.225220
1979-08-09,1562.521973
1979-08-10,1571.000244
1979-08-13,1578.082275
1979-08-14,1580.276611
1979-08-15,1596.635010
1979-08-16,1602.819458
1979-08-17,1615.088013
1979-08-20,1636.533447
1979-08-21,1653.091431
1979-08-22,1660.971313
1979-08-23,1657.779541
1979-08-24,1665.459717
1979-08-27,1674.436890
1979-08-28,1674.636475
1979-08-29,1674.237549
1979-08-30,1675.434326
1979-08-31,1690.994751
1979-09-04,1685.109863
1979-09-05,1657.579956
1979-09-06,1690.097168
1979-09-07,1720.918701
1979-09-10,1716.529785
1979-09-11,1711.342896
1979-09-12,1722.714111
1979-09-13,1714.634644
1979-09-14,1727.501831
1979-09-17,1724.509644
1979-09-18,1714.734375
1979-09-19,1717.527222
1979-09-20,1732.588989
1979-09-21,1736.478882
1979-09-24,1731.192505
1979-09-25,1732.489136
1979-09-26,1746.752808
1979-09-27,1754.333618
1979-09-28,1747.451294
1979-10-01,1749.046997
1979-10-02,1767.400513
1979-10-03,1775.978394
1979-10-04,1786.352173
1979-10-05,1800.116943
1979-10-09,1735.880737
1979-10-10,1685.209473
1979-10-11,1681.518921
1979-10-12,1670.646851
1979-10-15,1639.026978
1979-10-16,1613.192993
1979-10-17,1616.285034
1979-10-18,1635.336548
1979-10-19,1593.443237
1979-10-22,1533.396118
1979-10-23,1522.124756
1979-10-24,1534.493286
1979-10-25,1517.237183
1979-10-26,1523.920288
1979-10-29,1538.682617
1979-10-30,1552.248047
1979-10-31,1575.289307
1979-11-01,1599.328125
1979-11-02,1606.809082
1979-11-05,1596.535400
1979-11-06,1592.944580
1979-11-07,1574.491455
1979-11-08,1569.204712
1979-11-09,1583.967407
1979-11-12,1608.704468
1979-11-13,1610.998535
1979-11-14,1619.776245
1979-11-15,1628.553711
1979-11-16,1621.571533
1979-11-19,1624.364502
1979-11-20,1627.556396
1979-11-21,1620.274902
1979-11-23,1647.505615
1979-11-26,1677.928101
1979-11-27,1683.813110
1979-11-28,1690.695557
1979-11-29,1698.974609
1979-11-30,1695.283813
1979-12-03,1695.782715
1979-12-04,1712.340454
1979-12-05,1724.310059
1979-12-06,1742.164551
1979-12-07,1725.905884
1979-12-10,1722.115479
1979-12-11,1718.624512
1979-12-12,1751.341309
1979-12-13,1761.315918
1979-12-14,1739.072510
1979-12-17,1767.899048
1979-12-18,1779.369751
1979-12-19,1777.973389
1979-12-20,1783.359741
1979-12-21,1780.865967
1979-12-24,1782.761230
1979-12-26,1782.761230
1979-12-27,1794.032471
1979-12-28,1799.718140
1979-12-31,1808.595459
1980-01-02,1801.513428
1980-01-03,1784.855835
1980-01-04,1790.641113
1980-01-07,1809.493164
1980-01-08,1827.946167
1980-01-09,1849.291748
1980-01-10,1879.315308
1980-01-11,1893.878296
1980-01-14,1917.318481
