date,value
1990-11-09,1387.099976
1990-11-12,1407.500000
1990-11-13,1415.199951
1990-11-14,1410.300049
1990-11-15,1405.699951
1990-11-16,1395.199951
1990-11-19,1416.000000
1990-11-20,1405.800049
1990-11-21,1398.400024
1990-11-22,1388.800049
1990-11-23,1385.599976
1990-11-26,1353.699951
1990-11-27,1357.099976
1990-11-28,1366.599976
1990-11-29,1368.300049
1990-11-30,1384.900024
1990-12-03,1409.400024
1990-12-04,1403.099976
1990-12-05,1411.400024
1990-12-06,1450.300049
1990-12-07,1444.500000
1990-12-10,1426.199951
1990-12-11,1413.900024
1990-12-12,1419.900024
1990-12-13,1417.000000
1990-12-14,1407.599976
1990-12-17,1388.400024
1990-12-18,1393.400024
1990-12-19,1386.699951
1990-12-20,1371.199951
1990-12-21,1387.900024
1990-12-24,1387.400024
1990-12-27,1384.000000
1990-12-28,1383.099976
1991-01-03,1372.099976
1991-01-04,1371.699951
1991-01-07,1340.300049
1991-01-08,1326.400024
1991-01-09,1349.900024
1991-01-10,1331.500000
1991-01-11,1320.900024
1991-01-14,1287.599976
1991-01-15,1296.699951
1991-01-16,1289.400024
1991-01-17,1363.400024
1991-01-18,1354.000000
1991-01-21,1331.099976
1991-01-22,1336.800049
1991-01-23,1350.000000
1991-01-24,1387.800049
1991-01-25,1400.599976
1991-01-28,1413.900024
1991-01-29,1412.199951
1991-01-30,1438.599976
1991-01-31,1434.300049
1991-02-01,1448.099976
1991-02-04,1462.900024
1991-02-05,1472.500000
1991-02-06,1455.099976
1991-02-07,1463.300049
1991-02-08,1477.900024
1991-02-11,1515.699951
1991-02-12,1515.099976
1991-02-13,1540.000000
1991-02-14,1537.199951
1991-02-15,1558.900024
1991-02-18,1579.900024
1991-02-19,1574.000000
1991-02-20,1537.599976
1991-02-21,1560.599976
1991-02-22,1571.699951
1991-02-25,1603.199951
1991-02-26,1576.599976
1991-02-27,1589.500000
1991-02-28,1578.699951
1991-03-01,1559.000000
1991-03-04,1580.599976
1991-03-05,1592.000000
1991-03-06,1625.000000
1991-03-07,1623.500000
1991-03-08,1643.199951
1991-03-11,1622.000000
1991-03-12,1616.800049
1991-03-13,1591.699951
1991-03-14,1632.599976
1991-03-15,1629.300049
1991-03-18,1610.599976
1991-03-19,1586.699951
1991-03-20,1577.300049
1991-03-21,1599.800049
1991-03-22,1611.000000
1991-03-25,1615.699951
1991-03-26,1613.599976
1991-03-27,1650.599976
1991-03-28,1649.400024
1991-04-02,1653.099976
1991-04-03,1677.300049
1991-04-04,1676.900024
1991-04-05,1690.300049
1991-04-08,1693.900024
1991-04-09,1695.000000
1991-04-10,1671.099976
1991-04-11,1673.599976
1991-04-12,1688.699951
1991-04-15,1695.400024
1991-04-16,1665.300049
1991-04-17,1683.400024
1991-04-18,1676.500000
1991-04-19,1678.300049
1991-04-22,1656.099976
1991-04-23,1675.000000
1991-04-24,1670.599976
1991-04-25,1662.699951
1991-04-26,1662.599976
1991-04-29,1669.699951
1991-04-30,1659.500000
1991-05-02,1677.199951
1991-05-03,1664.199951
1991-05-06,1657.300049
1991-05-07,1665.800049
1991-05-08,1645.800049
1991-05-10,1661.900024
1991-05-13,1654.300049
1991-05-14,1653.300049
1991-05-15,1647.800049
1991-05-16,1654.800049
1991-05-17,1659.500000
1991-05-21,1675.900024
1991-05-22,1689.400024
1991-05-23,1692.400024
1991-05-24,1691.900024
1991-05-27,1710.000000
1991-05-28,1723.500000
1991-05-29,1717.099976
1991-05-30,1714.699951
1991-05-31,1740.800049
1991-06-03,1733.000000
1991-06-04,1723.199951
1991-06-05,1730.199951
1991-06-06,1723.599976
1991-06-07,1723.599976
1991-06-10,1712.599976
1991-06-11,1717.599976
1991-06-12,1699.000000
1991-06-13,1688.599976
1991-06-14,1710.900024
1991-06-17,1722.000000
1991-06-18,1723.500000
1991-06-19,1708.099976
1991-06-20,1706.199951
1991-06-21,1713.300049
1991-06-24,1693.400024
1991-06-25,1694.500000
1991-06-26,1686.500000
1991-06-27,1677.000000
1991-06-28,1664.300049
1991-07-01,1678.099976
1991-07-02,1688.500000
1991-07-03,1678.599976
1991-07-04,1684.099976
1991-07-05,1686.599976
1991-07-08,1671.599976
1991-07-09,1682.900024
1991-07-10,1703.599976
1991-07-11,1697.500000
1991-07-12,1716.300049
1991-07-15,1723.800049
1991-07-16,1730.500000
1991-07-17,1727.400024
1991-07-18,1733.300049
1991-07-19,1734.000000
1991-07-22,1728.300049
1991-07-23,1737.099976
1991-07-24,1723.099976
1991-07-25,1723.599976
1991-07-26,1719.000000
1991-07-29,1721.199951
1991-07-30,1725.300049
1991-07-31,1727.199951
1991-08-02,1731.599976
1991-08-05,1724.099976
1991-08-06,1716.900024
1991-08-07,1723.400024
1991-08-08,1723.000000
1991-08-09,1728.400024
1991-08-12,1722.099976
1991-08-13,1724.500000
1991-08-14,1733.599976
1991-08-15,1739.000000
1991-08-16,1726.199951
1991-08-19,1587.400024
1991-08-20,1630.599976
1991-08-21,1685.500000
1991-08-22,1701.300049
1991-08-23,1718.000000
1991-08-26,1726.199951
1991-08-27,1716.599976
1991-08-28,1725.800049
1991-08-29,1737.400024
1991-08-30,1736.599976
1991-09-02,1732.400024
1991-09-03,1731.199951
1991-09-04,1726.900024
1991-09-05,1727.800049
1991-09-06,1720.199951
1991-09-09,1715.400024
1991-09-10,1708.699951
1991-09-11,1713.000000
