date,value
1990-12-19,99.980000
1990-12-20,104.390000
1990-12-21,109.130000
1990-12-24,114.550000
1990-12-25,120.250000
1990-12-26,125.270000
1990-12-27,125.280000
1990-12-28,126.450000
1990-12-31,127.610000
1991-01-02,128.840000
1991-01-03,130.140000
1991-01-04,131.440000
1991-01-07,132.060000
1991-01-08,132.680000
1991-01-09,133.340000
1991-01-10,133.970000
1991-01-11,134.600000
1991-01-14,134.670000
1991-01-15,134.740000
1991-01-16,134.240000
1991-01-17,134.250000
1991-01-18,134.240000
1991-01-21,134.240000
1991-01-22,133.720000
1991-01-23,133.170000
1991-01-24,132.610000
1991-01-25,132.050000
1991-01-28,131.460000
1991-01-29,130.950000
1991-01-30,130.440000
1991-01-31,129.970000
1991-02-01,129.510000
1991-02-04,129.050000
1991-02-05,128.580000
1991-02-06,129.140000
1991-02-07,129.790000
1991-02-08,130.380000
1991-02-11,130.970000
1991-02-12,131.350000
1991-02-13,131.920000
1991-02-14,132.530000
1991-02-19,133.130000
1991-02-20,133.670000
1991-02-21,134.280000
1991-02-22,134.870000
1991-02-25,134.400000
1991-02-26,133.930000
1991-02-27,133.470000
1991-02-28,133.010000
1991-03-01,132.530000
1991-03-04,131.990000
1991-03-05,131.460000
1991-03-06,130.940000
1991-03-07,130.410000
1991-03-08,129.890000
1991-03-11,129.310000
1991-03-12,128.770000
1991-03-13,126.150000
1991-03-14,125.630000
1991-03-15,125.170000
1991-03-18,124.710000
1991-03-19,124.220000
1991-03-20,123.660000
1991-03-21,123.120000
1991-03-22,122.620000
1991-03-25,122.120000
1991-03-26,121.620000
1991-03-27,121.120000
1991-03-28,120.610000
1991-03-29,120.190000
1991-04-01,120.730000
1991-04-02,121.210000
1991-04-03,121.710000
1991-04-04,121.720000
1991-04-05,121.540000
1991-04-08,121.090000
1991-04-09,120.620000
1991-04-10,120.160000
1991-04-11,119.640000
1991-04-12,119.210000
1991-04-15,118.770000
1991-04-16,118.340000
1991-04-17,117.900000
1991-04-18,117.450000
1991-04-19,117.080000
1991-04-22,116.630000
1991-04-23,116.190000
1991-04-24,115.790000
1991-04-25,115.360000
1991-04-26,115.560000
1991-04-29,114.750000
1991-04-30,113.940000
1991-05-02,113.160000
1991-05-03,112.410000
1991-05-06,111.610000
1991-05-07,110.820000
1991-05-08,110.030000
1991-05-09,109.290000
1991-05-10,108.530000
1991-05-13,107.840000
1991-05-14,107.190000
1991-05-15,106.570000
1991-05-16,105.770000
1991-05-17,106.750000
1991-05-20,107.820000
1991-05-21,108.810000
1991-05-22,108.250000
1991-05-23,109.080000
1991-05-24,110.080000
1991-05-27,110.660000
1991-05-28,111.680000
1991-05-29,112.750000
1991-05-30,113.820000
1991-05-31,114.830000
1991-06-03,115.970000
1991-06-04,117.120000
1991-06-05,118.170000
1991-06-06,118.170000
1991-06-07,120.470000
1991-06-10,121.670000
1991-06-11,122.890000
1991-06-12,124.110000
1991-06-13,125.340000
1991-06-14,124.530000
1991-06-17,125.770000
1991-06-18,127.030000
1991-06-19,128.290000
1991-06-20,129.570000
1991-06-21,130.860000
1991-06-24,132.170000
1991-06-25,133.490000
1991-06-26,134.830000
1991-06-27,136.190000
1991-06-28,137.560000
1991-07-01,136.850000
1991-07-02,135.960000
1991-07-03,135.270000
1991-07-04,136.630000
1991-07-05,135.960000
1991-07-08,135.280000
1991-07-09,134.640000
1991-07-10,133.990000
1991-07-11,133.380000
1991-07-12,132.800000
1991-07-15,133.140000
1991-07-16,134.470000
1991-07-17,135.810000
1991-07-18,137.170000
1991-07-19,136.700000
1991-07-22,138.070000
1991-07-23,139.390000
1991-07-24,140.680000
1991-07-25,140.190000
1991-07-26,140.660000
1991-07-29,141.520000
1991-07-30,142.390000
1991-07-31,143.800000
1991-08-01,145.240000
1991-08-02,146.680000
1991-08-05,148.150000
1991-08-06,149.620000
1991-08-07,151.120000
1991-08-08,152.610000
1991-08-09,154.100000
1991-08-12,155.540000
1991-08-13,157.070000
1991-08-14,158.630000
1991-08-15,160.210000
1991-08-16,161.600000
1991-08-19,163.210000
1991-08-20,164.840000
1991-08-21,166.490000
1991-08-22,168.160000
1991-08-23,169.810000
1991-08-26,171.510000
1991-08-27,173.190000
1991-08-28,174.920000
1991-08-29,176.660000
1991-08-30,178.430000
1991-09-02,180.220000
1991-09-03,181.970000
1991-09-04,183.690000
1991-09-05,185.510000
1991-09-06,187.360000
1991-09-09,189.240000
1991-09-10,188.330000
1991-09-11,187.220000
1991-09-12,186.220000
1991-09-13,187.790000
1991-09-16,189.660000
1991-09-17,188.650000
1991-09-18,187.630000
1991-09-19,186.880000
1991-09-20,185.920000
1991-09-23,185.000000
1991-09-24,184.080000
1991-09-25,183.190000
1991-09-26,182.330000
1991-09-27,181.820000
1991-09-30,180.920000
1991-10-03,182.480000
1991-10-04,184.290000
1991-10-07,186.000000
1991-10-08,187.490000
1991-10-09,189.120000
1991-10-10,191.010000
1991-10-11,192.850000
1991-10-14,194.670000
1991-10-15,196.610000
1991-10-16,198.570000
1991-10-17,200.510000
1991-10-18,202.510000
1991-10-21,204.530000
1991-10-22,206.530000
1991-10-23,208.250000
1991-10-24,210.070000
1991-10-25,211.860000
1991-10-28,213.980000
1991-10-29,215.780000
1991-10-30,216.430000
1991-10-31,218.600000
1991-11-01,220.720000
1991-11-04,222.770000
1991-11-05,224.650000
1991-11-06,226.880000
1991-11-07,228.930000
1991-11-08,231.220000
1991-11-11,233.550000
1991-11-12,235.800000
1991-11-13,236.670000
1991-11-14,237.450000
1991-11-15,238.250000
1991-11-18,240.620000
1991-11-19,242.240000
1991-11-20,244.500000
1991-11-21,246.310000
1991-11-22,248.530000
1991-11-25,250.850000
1991-11-26,252.970000
1991-11-27,255.450000
1991-11-28,257.350000
1991-11-29,259.600000
1991-12-02,262.190000
1991-12-03,264.810000
1991-12-04,265.770000
1991-12-05,266.660000
1991-12-06,269.350000
1991-12-09,270.270000
1991-12-10,272.910000
1991-12-11,273.710000
1991-12-12,274.410000
1991-12-13,277.000000
1991-12-16,277.850000
1991-12-17,278.680000
1991-12-18,279.510000
1991-12-19,280.170000
1991-12-20,282.830000
1991-12-23,285.650000
1991-12-24,286.220000
1991-12-25,287.150000
1991-12-26,288.030000
1991-12-27,290.850000
1991-12-30,291.710000
1991-12-31,292.750000
1992-01-02,293.750000
1992-01-03,296.520000
1992-01-06,297.680000
1992-01-07,298.770000
1992-01-08,299.660000
1992-01-09,300.620000
1992-01-10,301.830000
1992-01-13,303.060000
1992-01-14,305.740000
1992-01-15,306.630000
1992-01-16,306.850000
1992-01-17,307.380000
1992-01-20,307.390000
1992-01-21,307.870000
1992-01-22,307.950000
1992-01-23,308.530000
1992-01-24,309.050000
1992-01-27,311.610000
1992-01-28,311.840000
1992-01-29,312.420000
1992-01-30,312.730000
1992-01-31,313.240000
1992-02-03,314.180000
1992-02-07,314.720000
1992-02-10,315.560000
1992-02-11,316.430000
1992-02-12,316.440000
1992-02-13,317.060000
1992-02-14,319.680000
1992-02-17,319.770000
1992-02-18,337.110000
1992-02-19,342.410000
1992-02-20,347.990000
1992-02-21,359.590000
1992-02-24,360.500000
1992-02-25,360.370000
1992-02-26,360.100000
1992-02-27,362.450000
1992-02-28,364.660000
1992-03-02,365.390000
1992-03-03,367.000000
1992-03-04,368.320000
1992-03-05,369.760000
1992-03-06,371.760000
1992-03-09,373.530000
1992-03-10,375.230000
1992-03-11,376.140000
1992-03-12,376.920000
1992-03-13,376.380000
1992-03-16,377.050000
1992-03-17,377.490000
1992-03-18,377.660000
1992-03-19,377.310000
1992-03-20,377.990000
1992-03-23,378.890000
1992-03-24,378.690000
1992-03-25,378.120000
1992-03-26,379.130000
1992-03-27,380.770000
1992-03-30,381.440000
1992-03-31,381.240000
1992-04-01,381.010000
1992-04-02,381.120000
1992-04-03,381.330000
1992-04-06,381.470000
1992-04-07,381.930000
1992-04-08,382.430000
1992-04-09,381.650000
1992-04-10,382.030000
1992-04-13,391.110000
1992-04-14,400.610000
1992-04-15,406.720000
1992-04-16,410.550000
1992-04-17,414.420000
1992-04-20,413.850000
1992-04-21,410.060000
1992-04-22,399.880000
1992-04-23,407.250000
1992-04-24,414.400000
1992-04-27,424.580000
1992-04-28,436.090000
1992-04-29,444.160000
1992-04-30,445.380000
1992-05-04,453.620000
1992-05-05,449.210000
1992-05-06,449.960000
1992-05-07,454.650000
1992-05-08,468.110000
1992-05-11,491.500000
1992-05-12,506.530000
1992-05-13,514.040000
1992-05-14,523.360000
1992-05-15,544.350000
1992-05-18,571.820000
1992-05-19,598.110000
1992-05-20,616.990000
1992-05-21,1266.490000
1992-05-22,1339.990000
1992-05-25,1421.570000
1992-05-26,1301.350000
1992-05-27,1193.170000
1992-05-28,1160.170000
1992-05-29,1234.710000
1992-06-01,1183.240000
1992-06-02,1141.020000
1992-06-03,1059.070000
1992-06-04,1104.460000
1992-06-05,1105.760000
1992-06-08,1093.460000
1992-06-09,1126.620000
1992-06-10,1187.020000
1992-06-11,1178.300000
1992-06-12,1171.710000
1992-06-15,1171.850000
1992-06-16,1169.570000
1992-06-17,1169.570000
1992-06-18,1168.430000
1992-06-19,1171.940000
1992-06-22,1169.900000
1992-06-23,1158.170000
1992-06-24,1151.060000
1992-06-25,1160.230000
1992-06-26,1164.670000
1992-06-29,1169.510000
1992-06-30,1191.190000
1992-07-01,1194.180000
1992-07-02,1187.480000
1992-07-03,1189.160000
1992-07-06,1201.010000
1992-07-07,1206.460000
1992-07-08,1185.500000
1992-07-09,1178.530000
1992-07-10,1188.620000
1992-07-13,1136.330000
1992-07-14,1114.050000
1992-07-15,1107.690000
1992-07-16,1124.640000
1992-07-17,1125.560000
1992-07-20,1098.820000
1992-07-21,1082.390000
1992-07-22,1035.660000
1992-07-23,1014.570000
1992-07-24,1142.020000
1992-07-27,1149.330000
1992-07-28,1105.950000
1992-07-29,1087.120000
1992-07-30,1057.400000
1992-07-31,1052.070000
1992-08-03,1031.550000
1992-08-04,1035.630000
1992-08-05,1012.550000
1992-08-06,1002.170000
1992-08-07,1005.230000
1992-08-10,964.090000
1992-08-11,863.410000
1992-08-12,781.210000
1992-08-13,850.940000
1992-08-14,858.380000
1992-08-17,939.460000
1992-08-18,933.440000
1992-08-19,939.510000
1992-08-20,932.320000
1992-08-21,916.250000
1992-08-24,884.100000
1992-08-25,849.570000
1992-08-26,877.250000
1992-08-27,863.770000
1992-08-28,848.200000
1992-08-31,823.270000
1992-09-01,824.960000
1992-09-02,787.670000
1992-09-03,764.110000
1992-09-04,753.580000
1992-09-07,702.830000
1992-09-08,640.120000
1992-09-09,635.740000
1992-09-10,692.780000
1992-09-11,776.290000
1992-09-14,734.980000
1992-09-15,738.160000
1992-09-16,769.040000
1992-09-17,761.720000
1992-09-18,754.400000
1992-09-21,733.440000
1992-09-22,722.700000
1992-09-23,712.370000
1992-09-24,730.570000
1992-09-25,729.790000
1992-09-28,724.700000
1992-09-29,710.630000
1992-09-30,702.320000
1992-10-05,679.620000
1992-10-06,674.240000
1992-10-07,665.260000
1992-10-08,643.690000
1992-10-09,660.290000
1992-10-12,690.570000
1992-10-13,673.990000
1992-10-14,663.750000
1992-10-15,663.530000
1992-10-16,664.750000
1992-10-19,632.400000
1992-10-20,616.290000
1992-10-21,585.700000
1992-10-22,539.800000
1992-10-23,559.730000
1992-10-26,506.940000
1992-10-27,450.280000
1992-10-28,463.210000
1992-10-29,484.250000
1992-10-30,507.250000
1992-11-02,477.610000
1992-11-03,479.810000
1992-11-04,469.900000
1992-11-05,462.630000
1992-11-06,457.050000
1992-11-09,428.610000
1992-11-10,400.530000
1992-11-11,410.160000
1992-11-12,415.790000
1992-11-13,414.090000
1992-11-16,399.320000
1992-11-17,393.520000
1992-11-18,407.610000
1992-11-19,398.950000
1992-11-20,401.440000
1992-11-23,410.390000
1992-11-24,440.040000
1992-11-25,571.630000
1992-11-26,562.010000
1992-11-27,637.670000
1992-11-30,724.600000
1992-12-01,716.740000
1992-12-02,722.200000
1992-12-03,808.200000
1992-12-04,807.020000
1992-12-07,793.250000
1992-12-08,753.940000
1992-12-09,676.450000
1992-12-10,625.230000
1992-12-11,722.280000
1992-12-14,705.070000
1992-12-15,682.240000
1992-12-16,685.820000
1992-12-17,707.820000
1992-12-18,698.130000
1992-12-21,731.680000
1992-12-22,725.780000
1992-12-23,732.050000
1992-12-24,758.590000
1992-12-25,764.280000
1992-12-28,757.310000
1992-12-29,768.910000
1992-12-30,767.520000
