date,value
1991-04-03,988.050000
1991-04-04,983.110000
1991-04-05,978.270000
1991-04-08,968.570000
1991-04-09,963.730000
1991-04-10,958.880000
1991-04-11,954.030000
1991-04-12,949.310000
1991-04-15,939.980000
1991-04-16,935.380000
1991-04-17,930.780000
1991-04-18,926.180000
1991-04-19,921.580000
1991-04-23,907.780000
1991-04-24,903.310000
1991-04-25,898.840000
1991-04-26,894.360000
1991-04-29,885.430000
1991-04-30,880.980000
1991-05-02,876.570000
1991-05-03,872.160000
1991-05-06,863.350000
1991-05-07,859.060000
1991-05-08,854.780000
1991-05-09,850.500000
1991-05-10,846.220000
1991-05-13,837.660000
1991-05-14,835.010000
1991-05-15,832.540000
1991-05-16,830.060000
1991-05-17,827.720000
1991-05-20,822.670000
1991-05-21,820.150000
1991-05-22,817.630000
1991-05-23,813.590000
1991-05-24,809.560000
1991-05-27,801.480000
1991-05-28,797.980000
1991-05-29,794.610000
1991-05-30,791.230000
1991-05-31,787.850000
1991-06-03,781.100000
1991-06-04,777.720000
1991-06-05,774.350000
1991-06-06,771.260000
1991-06-07,768.160000
1991-06-10,733.650000
1991-06-11,756.510000
1991-06-12,753.060000
1991-06-13,745.920000
1991-06-14,735.670000
1991-06-17,721.000000
1991-06-18,721.210000
1991-06-19,717.330000
1991-06-20,710.120000
1991-06-21,704.410000
1991-06-24,689.790000
1991-06-25,690.090000
1991-06-26,693.960000
1991-06-27,694.900000
1991-06-28,691.410000
1991-07-01,684.010000
1991-07-02,670.150000
1991-07-03,669.060000
1991-07-04,661.610000
1991-07-05,652.380000
1991-07-08,628.450000
1991-07-09,611.990000
1991-07-10,614.920000
1991-07-11,608.270000
1991-07-12,603.020000
1991-07-15,594.380000
1991-07-16,584.850000
1991-07-17,576.750000
1991-07-18,608.910000
1991-07-19,616.730000
1991-07-22,601.760000
1991-07-23,601.900000
1991-07-24,598.810000
1991-07-25,594.610000
1991-07-26,586.010000
1991-07-29,579.730000
1991-07-30,577.150000
1991-07-31,578.420000
1991-08-01,579.320000
1991-08-02,577.960000
1991-08-05,578.180000
1991-08-06,576.830000
1991-08-07,576.330000
1991-08-08,574.520000
1991-08-09,572.800000
1991-08-12,572.790000
1991-08-13,571.400000
1991-08-14,570.540000
1991-08-15,568.710000
1991-08-16,570.960000
1991-08-19,458.020000
1991-08-20,449.100000
1991-08-21,445.990000
1991-08-22,437.260000
1991-08-23,435.630000
1991-08-26,441.410000
1991-08-27,437.080000
1991-08-28,436.050000
1991-08-29,435.370000
1991-08-30,433.770000
1991-09-02,431.790000
1991-09-03,429.330000
1991-09-04,425.990000
1991-09-05,419.580000
1991-09-06,402.500000
1991-09-09,409.760000
1991-09-10,410.440000
1991-09-11,417.530000
1991-09-12,419.040000
1991-09-13,418.510000
1991-09-16,413.860000
1991-09-17,412.510000
1991-09-18,410.990000
1991-09-19,408.180000
1991-09-20,407.540000
1991-09-23,408.430000
1991-09-24,406.960000
1991-09-25,409.030000
1991-09-26,410.320000
1991-09-27,413.780000
1991-10-03,442.050000
1991-10-04,438.350000
1991-10-07,491.260000
1991-10-08,586.490000
1991-10-09,712.850000
1991-10-10,641.410000
1991-10-11,667.990000
1991-10-14,692.000000
1991-10-15,656.810000
1991-10-16,648.780000
1991-10-17,672.130000
1991-10-18,675.860000
1991-10-21,670.900000
1991-10-22,659.230000
1991-10-23,665.870000
1991-10-24,672.970000
1991-10-25,675.110000
1991-10-28,707.920000
1991-10-29,725.950000
1991-10-30,733.700000
1991-10-31,779.810000
1991-11-01,833.800000
1991-11-04,918.110000
1991-11-05,919.050000
1991-11-06,879.200000
1991-11-07,899.590000
1991-11-08,914.820000
1991-11-12,1122.720000
1991-11-13,1149.970000
1991-11-14,1186.840000
1991-11-15,1142.060000
1991-11-18,917.600000
1991-11-19,1065.500000
1991-11-20,1062.210000
1991-11-21,1009.910000
1991-11-22,1039.520000
1991-11-25,994.930000
1991-11-26,929.580000
1991-11-27,975.310000
1991-11-28,936.050000
1991-11-29,899.800000
1991-12-02,873.260000
1991-12-03,909.470000
1991-12-04,911.560000
1991-12-05,879.010000
1991-12-06,893.580000
1991-12-09,911.790000
1991-12-10,922.390000
1991-12-11,916.160000
1991-12-12,900.160000
1991-12-13,879.260000
1991-12-16,898.150000
1991-12-17,890.630000
1991-12-18,891.000000
1991-12-19,887.330000
1991-12-20,886.130000
1991-12-23,898.970000
1991-12-24,962.970000
1991-12-25,959.070000
1991-12-26,930.270000
1991-12-27,944.380000
1991-12-30,953.420000
1991-12-31,963.570000
1992-01-02,964.700000
1992-01-03,962.160000
1992-01-06,973.080000
1992-01-07,986.990000
1992-01-08,979.090000
1992-01-09,982.930000
1992-01-10,985.670000
1992-01-13,976.560000
1992-01-14,962.720000
1992-01-15,954.010000
1992-01-16,937.310000
1992-01-17,945.360000
1992-01-20,958.360000
1992-01-21,949.690000
1992-01-22,946.260000
1992-01-23,952.950000
1992-01-24,962.690000
1992-01-27,955.260000
1992-01-28,959.590000
1992-01-29,970.900000
1992-01-30,983.940000
1992-01-31,1004.750000
1992-02-10,1003.190000
1992-02-11,1003.930000
1992-02-12,1010.980000
1992-02-13,1012.070000
