date,value
1993-07-12,2826.396973
1993-07-13,2843.396973
1993-07-14,2851.097168
1993-07-15,2843.697021
1993-07-16,2830.497070
1993-07-19,2822.197021
1993-07-20,2839.997070
1993-07-21,2830.497070
1993-07-22,2838.896973
1993-07-23,2855.896973
1993-07-26,2872.997070
1993-07-27,2876.597168
1993-07-28,2901.896973
1993-07-29,2963.197021
1993-07-30,2981.197021
1993-08-02,3019.696777
1993-08-03,2993.997070
1993-08-04,2985.797119
1993-08-05,2981.197021
1993-08-06,2993.797119
1993-08-09,2989.297119
1993-08-10,3002.896973
1993-08-11,3032.396729
1993-08-12,3086.996826
1993-08-13,3112.696777
1993-08-16,3113.896729
1993-08-17,3166.996826
1993-08-18,3206.696777
1993-08-19,3231.196777
1993-08-20,3229.896729
1993-08-23,3219.796875
1993-08-24,3250.896729
1993-08-25,3300.696533
1993-08-26,3330.996582
1993-08-27,3363.396484
1993-08-30,3379.096680
1993-08-31,3360.196533
1993-09-01,3264.396484
1993-09-02,3288.896484
1993-09-03,3269.296631
1993-09-06,3253.096680
1993-09-07,3271.896484
1993-09-08,3261.996582
1993-09-09,3232.096924
1993-09-10,3183.196777
1993-09-13,3137.896729
1993-09-14,3181.496826
1993-09-15,3117.696777
1993-09-16,3120.596924
1993-09-17,3139.196777
1993-09-20,3187.496826
1993-09-21,3170.096924
1993-09-22,3130.996826
1993-09-23,3112.196777
1993-09-24,3101.796875
1993-09-27,3147.396729
1993-09-28,3171.896729
1993-09-29,3171.496826
1993-09-30,3177.296875
1993-10-01,3180.296875
1993-10-04,3167.596924
1993-10-05,3210.396729
1993-10-06,3242.496826
1993-10-07,3237.696777
1993-10-08,3259.696533
1993-10-11,3285.196533
1993-10-13,3291.296631
1993-10-14,3316.896484
1993-10-15,3339.196533
1993-10-18,3355.996582
1993-10-19,3352.396484
1993-10-20,3382.796631
1993-10-21,3407.796631
1993-10-22,3478.096680
1993-10-25,3456.596680
1993-10-26,3436.696533
1993-10-27,3396.596680
1993-10-28,3429.296631
1993-10-29,3449.596680
1993-11-02,3436.796631
1993-11-03,3450.496582
1993-11-04,3427.996582
1993-11-05,3348.196533
1993-11-08,3341.796631
1993-11-09,3364.296631
1993-11-10,3358.196533
1993-11-11,3358.396484
1993-11-12,3354.196533
1993-11-15,3371.696533
1993-11-16,3405.596680
1993-11-17,3445.496582
1993-11-18,3435.696533
1993-11-19,3415.796631
1993-11-22,3356.596680
1993-11-23,3327.096680
1993-11-24,3288.896484
1993-11-25,3320.196533
1993-11-26,3334.796631
1993-11-29,3313.096680
1993-11-30,3280.096680
1993-12-01,3348.496582
1993-12-02,3380.896484
1993-12-03,3417.196533
1993-12-07,3422.096680
1993-12-09,3460.696533
1993-12-10,3457.596680
1993-12-13,3460.096680
1993-12-14,3417.296631
1993-12-15,3416.996582
1993-12-16,3442.796631
1993-12-17,3453.496582
1993-12-20,3518.496338
1993-12-21,3547.596436
1993-12-22,3562.796387
1993-12-23,3616.396240
1993-12-27,3631.496338
1993-12-28,3574.296387
1993-12-29,3512.496338
1993-12-30,3567.596436
1993-12-31,3615.196289
1994-01-03,3654.496338
1994-01-04,3630.296387
1994-01-05,3621.196289
1994-01-07,3636.396240
1994-01-10,3660.596436
1994-01-11,3712.396240
1994-01-12,3680.096436
1994-01-13,3680.796387
1994-01-14,3736.395996
1994-01-17,3729.096436
1994-01-18,3756.996094
1994-01-19,3811.296143
1994-01-20,3794.395996
1994-01-21,3790.496094
1994-01-24,3762.596191
1994-01-25,3811.496094
1994-01-26,3874.596191
