date,value
1993-07-15,3964.649902
1993-07-16,3909.590088
1993-07-19,3771.939941
1993-07-20,3771.939941
1993-07-21,3854.530029
1993-07-22,3827.000000
1993-07-23,3827.000000
1993-07-26,3937.120117
1993-07-27,3878.719971
1993-07-28,3861.389893
1993-07-29,3760.780029
1993-07-30,3676.969971
1993-08-02,3702.370117
1993-08-03,3761.340088
1993-08-04,3880.889893
1993-08-05,4076.689941
1993-08-06,4232.450195
1993-08-09,4397.020020
1993-08-10,4538.319824
1993-08-11,4793.129883
1993-08-12,5284.859863
1993-08-13,5061.100098
1993-08-16,5117.589844
1993-08-17,4921.229980
1993-08-18,4850.709961
1993-08-19,4867.600098
1993-08-20,4954.189941
1993-08-23,4960.049805
1993-08-24,4924.959961
1993-08-25,4973.339844
1993-08-26,5172.040039
1993-08-27,5310.560059
1993-08-31,5350.770020
1993-09-01,5242.819824
1993-09-02,5152.549805
1993-09-03,5173.430176
1993-09-06,5159.839844
1993-09-07,5197.580078
1993-09-08,5209.169922
1993-09-09,5068.299805
1993-09-10,5107.299805
1993-09-13,5012.680176
1993-09-14,5084.109863
1993-09-15,5071.729980
1993-09-16,5035.390137
1993-09-20,5084.720215
1993-09-21,5358.549805
1993-09-22,5323.589844
1993-09-23,5507.879883
1993-09-24,5266.839844
1993-09-27,5211.339844
1993-09-28,5211.649902
1993-09-29,5279.390137
1993-09-30,5363.930176
1993-10-04,5354.509766
1993-10-05,5451.000000
1993-10-06,5434.100098
1993-10-07,5597.029785
1993-10-08,5531.680176
1993-10-11,5592.899902
1993-10-12,5749.919922
1993-10-13,5828.169922
1993-10-14,5993.270020
1993-10-15,6059.580078
1993-10-18,5856.310059
1993-10-19,5737.419922
1993-10-20,5986.450195
1993-10-21,6072.560059
1993-10-22,5964.479980
1993-10-25,6069.000000
1993-10-26,6042.379883
1993-10-27,6377.089844
1993-10-28,6330.540039
1993-10-29,6464.850098
1993-11-01,6510.009766
1993-11-02,6542.009766
1993-11-03,6600.549805
1993-11-04,6404.580078
1993-11-05,6225.450195
1993-11-08,6521.950195
1993-11-09,6512.700195
1993-11-10,6619.740234
1993-11-11,6742.020020
1993-11-12,6965.740234
1993-11-15,7159.020020
1993-11-16,7236.870117
1993-11-17,7166.609863
1993-11-18,7009.120117
1993-11-19,7082.459961
1993-11-22,6947.589844
1993-11-23,6784.180176
1993-11-24,6903.160156
1993-11-25,6910.850098
1993-11-26,6914.799805
1993-11-29,6778.189941
1993-11-30,6914.410156
1993-12-01,7013.200195
1993-12-02,7109.250000
1993-12-03,7409.529785
1993-12-06,7853.490234
1993-12-07,7828.299805
1993-12-08,7860.129883
1993-12-09,8230.660156
1993-12-10,8842.070312
1993-12-13,9452.860352
1993-12-14,9212.860352
1993-12-15,8931.000000
1993-12-16,9055.320312
1993-12-17,9010.719727
1993-12-20,9026.919922
1993-12-21,8540.059570
1993-12-22,8711.540039
1993-12-23,8777.019531
1993-12-24,8796.209961
1993-12-28,8801.160156
1993-12-29,8821.530273
1993-12-30,8662.030273
1993-12-31,8429.019531
1994-01-03,8456.419922
1994-01-04,7833.209961
1994-01-05,8341.389648
1994-01-06,8096.439941
1994-01-07,7999.430176
1994-01-10,8116.589844
1994-01-11,7943.419922
1994-01-12,7921.359863
1994-01-13,7452.040039
1994-01-14,7723.169922
1994-01-17,7951.890137
1994-01-18,8042.080078
1994-01-19,7794.259766
