date,value
1990-04-06,641.244019
1990-04-09,633.457336
1990-04-10,632.061340
1990-04-11,634.668274
1990-04-12,639.589111
1990-04-16,639.989075
1990-04-17,641.847961
1990-04-18,640.503113
1990-04-19,643.880981
1990-04-20,641.661011
1990-04-23,643.884949
1990-04-24,638.773071
1990-05-01,638.985107
1990-05-02,636.129272
1990-05-03,642.134949
1990-05-04,643.068970
1990-05-07,641.920959
1990-05-08,642.958984
1990-05-09,644.986938
1990-05-11,643.286987
1990-05-14,638.897095
1990-05-15,640.830078
1990-05-16,639.312073
1990-05-17,644.415894
1990-05-21,647.190796
1990-05-22,647.375793
1990-05-23,646.221802
1990-05-25,647.334778
1990-05-28,640.105103
1990-05-29,641.115112
1990-05-30,640.555115
1990-05-31,636.375305
1990-06-01,634.995300
1990-06-04,636.215271
1990-06-05,637.055237
1990-06-06,636.617249
1990-06-07,635.975281
1990-06-08,636.035278
1990-06-11,634.735291
1990-06-12,634.395325
1990-06-13,631.355408
1990-06-14,630.275513
1990-06-15,628.255554
1990-06-18,626.875671
1990-06-19,621.765808
1990-06-20,622.405762
1990-06-21,622.955750
1990-06-22,623.925720
1990-06-25,626.115662
1990-06-26,623.735718
1990-06-27,627.075562
1990-06-28,626.735657
1990-06-29,624.295654
1990-07-02,629.415527
1990-07-03,629.675537
1990-07-04,629.683533
1990-07-05,627.398499
1990-07-06,626.786621
1990-07-09,623.273743
1990-07-10,624.576660
1990-07-11,627.444519
1990-07-12,627.944519
1990-07-13,629.996521
1990-07-16,630.709534
1990-07-17,629.506531
1990-07-18,631.145386
1990-07-19,629.448547
1990-07-20,630.071533
1990-07-24,625.881653
1990-07-25,627.935547
1990-07-26,625.975647
1990-07-27,624.062683
1990-07-30,619.637878
1990-07-31,614.382080
1990-08-01,611.957214
1990-08-02,612.198181
1990-08-03,613.470093
1990-08-06,607.602356
1990-08-07,603.100586
1990-08-08,595.911804
1990-08-09,593.449951
1990-08-10,591.945923
1990-08-13,589.988037
1990-08-14,587.311096
1990-08-15,584.133301
1990-08-16,585.127197
1990-08-20,583.448303
1990-08-21,577.454529
1990-08-22,573.275635
1990-08-23,563.468079
1990-08-24,551.760498
1990-08-27,546.808716
1990-08-28,556.315369
1990-08-30,559.361206
1990-08-31,570.997803
1990-09-03,567.384888
1990-09-04,562.314087
1990-09-05,557.036316
1990-09-06,557.125305
1990-09-07,546.577759
1990-09-11,541.848938
1990-09-12,539.369995
1990-09-13,530.402344
1990-09-14,529.099365
1990-09-17,523.093689
1990-09-18,515.123901
1990-09-19,507.052246
1990-09-20,500.670502
1990-09-21,500.279541
1990-09-24,493.916779
1990-09-25,477.359406
1990-09-26,464.234894
1990-09-27,454.494263
1990-09-28,468.490784
1990-10-01,468.481781
1990-10-02,460.562073
1990-10-03,456.883209
1990-10-04,452.597351
1990-10-05,450.040497
1990-10-08,446.323639
1990-10-09,441.748779
1990-10-10,433.483124
1990-10-11,428.543335
1990-10-12,425.380432
1990-10-15,419.226685
1990-10-16,414.730835
1990-10-17,407.527130
1990-10-18,398.542480
1990-10-19,396.965546
1990-10-22,407.659119
1990-10-23,405.096222
1990-10-24,409.112061
1990-10-25,417.559753
1990-10-26,437.739960
1990-10-29,453.211365
1990-10-30,430.669250
1990-10-31,416.472809
1990-11-01,416.326782
1990-11-02,419.715637
1990-11-05,416.606781
1990-11-06,415.064819
1990-11-07,414.490875
1990-11-08,412.809906
1990-11-09,412.013977
1990-11-12,408.952057
1990-11-13,406.403198
1990-11-14,402.494354
1990-11-15,398.939453
1990-11-16,398.505463
1990-11-19,395.194611
1990-11-20,391.778748
1990-11-21,391.914734
1990-11-22,390.026825
1990-11-23,390.971802
1990-11-26,389.642822
1990-11-27,388.456879
1990-11-28,387.361938
1990-11-29,384.784058
1990-11-30,382.188110
1990-12-03,378.104279
1990-12-04,376.272339
1990-12-05,371.183563
1990-12-06,380.953186
1990-12-07,380.708191
1990-12-10,378.567261
1990-12-11,381.479156
1990-12-12,383.642090
1990-12-13,386.100983
1990-12-14,390.398804
1990-12-17,395.196625
1990-12-18,398.200470
1990-12-19,397.852539
1990-12-20,398.225464
1990-12-21,400.442413
1990-12-26,403.827271
1990-12-27,410.598999
1990-12-28,417.771759
1991-01-03,408.522095
1991-01-04,408.475098
1991-01-07,404.801239
1991-01-08,401.631348
1991-01-09,399.117462
1991-01-10,397.367554
1991-01-11,394.750610
1991-01-14,391.154785
1991-01-15,390.494812
1991-01-16,389.208832
1991-01-17,389.625824
1991-01-18,393.174713
1991-01-21,389.107819
1991-01-22,387.451935
1991-01-23,387.060913
1991-01-24,384.964996
1991-01-25,384.195038
1991-01-28,384.821014
1991-01-29,385.084991
1991-01-30,384.389038
1991-01-31,383.003113
1991-02-01,383.611084
1991-02-04,383.851074
1991-02-05,382.768097
1991-02-06,380.985199
1991-02-07,382.283112
1991-02-08,381.260162
1991-02-11,381.215210
1991-02-13,381.223206
1991-02-14,382.424103
1991-02-15,382.253113
1991-02-18,385.385986
1991-02-19,388.285889
1991-02-20,396.159546
1991-02-21,406.811188
1991-02-22,419.516663
1991-02-25,427.002380
1991-02-26,411.385986
1991-02-27,403.383270
1991-02-28,391.314758
1991-03-01,387.909912
1991-03-04,382.187103
1991-03-05,378.567261
1991-03-06,382.392120
