date,value
1992-10-08,173.649994
1992-10-09,173.649994
1992-10-12,173.649994
1992-10-13,173.649994
1992-10-14,173.649994
1992-10-15,173.649994
1992-10-16,173.649994
1992-10-19,173.649994
1992-10-20,175.990005
1992-10-21,177.600006
1992-10-22,178.500000
1992-10-23,178.500000
1992-10-26,181.080002
1992-10-27,180.940002
1992-10-28,181.630005
1992-10-29,183.679993
1992-10-30,183.679993
1992-11-02,187.070007
1992-11-03,187.149994
1992-11-04,180.130005
1992-11-05,181.070007
1992-11-06,181.070007
1992-11-09,173.100006
1992-11-10,172.929993
1992-11-11,176.970001
1992-11-12,179.779999
1992-11-13,179.779999
1992-11-16,177.000000
1992-11-17,176.369995
1992-11-18,178.440002
1992-11-19,179.880005
1992-11-20,179.880005
1992-11-23,184.550003
1992-11-24,184.339996
1992-11-25,183.990005
1992-11-26,186.279999
1992-11-27,186.279999
1992-11-30,184.550003
1992-12-01,184.839996
1992-12-02,183.089996
1992-12-03,180.080002
1992-12-04,180.080002
1992-12-07,185.470001
1992-12-08,184.770004
1992-12-09,187.470001
1992-12-10,187.679993
1992-12-11,187.679993
1992-12-14,187.339996
1992-12-15,185.910004
1992-12-16,185.740005
1992-12-17,183.839996
1992-12-18,183.839996
1992-12-21,191.369995
1992-12-22,192.779999
1992-12-23,195.000000
1992-12-24,194.589996
1992-12-25,194.589996
1992-12-28,193.710007
1992-12-29,194.619995
1992-12-30,194.179993
1992-12-31,195.960007
1993-01-04,202.800003
1993-01-05,202.369995
1993-01-06,205.440002
1993-01-07,207.399994
1993-01-08,207.399994
1993-01-11,207.190002
1993-01-12,205.779999
1993-01-13,203.399994
1993-01-14,207.679993
1993-01-15,207.679993
1993-01-18,210.520004
1993-01-19,215.020004
1993-01-20,214.089996
1993-01-21,210.490005
1993-01-22,210.490005
1993-01-25,211.360001
1993-01-26,209.149994
1993-01-27,206.179993
1993-01-28,202.559998
1993-01-29,202.559998
1993-02-01,210.649994
1993-02-02,212.500000
1993-02-03,214.589996
1993-02-04,215.119995
1993-02-05,215.119995
1993-02-08,218.160004
1993-02-09,213.369995
1993-02-10,215.050003
1993-02-11,206.080002
1993-02-12,206.080002
1993-02-15,202.679993
1993-02-16,208.210007
1993-02-17,202.580002
1993-02-18,194.619995
1993-02-19,194.619995
1993-02-22,195.440002
1993-02-23,187.020004
1993-02-24,188.910004
1993-02-25,194.179993
1993-02-26,194.179993
1993-03-01,194.869995
1993-03-02,193.580002
1993-03-03,194.929993
1993-03-04,193.740005
1993-03-05,193.740005
1993-03-08,197.429993
1993-03-09,197.960007
1993-03-10,202.270004
1993-03-11,205.860001
1993-03-12,205.860001
1993-03-15,207.210007
1993-03-16,207.740005
1993-03-17,209.990005
1993-03-18,208.740005
1993-03-19,208.740005
1993-03-22,205.500000
1993-03-23,205.830002
1993-03-24,206.929993
1993-03-25,206.899994
1993-03-26,206.899994
1993-03-29,208.690002
1993-03-30,206.279999
1993-03-31,206.490005
1993-04-01,208.360001
1993-04-02,208.360001
1993-04-05,207.470001
1993-04-06,207.470001
1993-04-07,207.250000
1993-04-08,210.710007
1993-04-09,210.710007
1993-04-12,210.710007
1993-04-13,215.429993
1993-04-14,215.210007
1993-04-15,216.529999
1993-04-16,216.529999
1993-04-19,211.300003
1993-04-20,213.250000
1993-04-21,216.410004
