date,value
2012-02-03,23.198496
2012-02-06,23.016169
2012-02-07,22.807793
2012-02-08,23.059580
2012-02-09,22.998802
2012-02-10,22.582067
2012-02-13,22.755709
2012-02-14,22.755709
2012-02-15,23.189808
2012-02-16,23.380810
2012-02-17,23.606552
2012-02-21,23.788872
2012-02-22,23.320042
2012-02-23,23.259262
2012-02-24,23.224535
2012-02-27,22.495241
2012-02-28,22.816477
2012-02-29,22.573383
2012-03-01,22.582067
2012-03-02,22.547335
2012-03-05,21.974323
2012-03-06,21.210295
2012-03-07,21.453394
2012-03-08,21.904865
2012-03-09,22.434471
2012-03-12,22.139277
2012-03-13,22.825163
2012-03-14,22.495241
2012-03-15,22.469194
2012-03-16,22.104549
2012-03-19,21.861452
2012-03-20,21.488123
2012-03-21,21.965637
2012-03-22,20.836969
2012-03-23,21.349211
2012-03-26,21.184254
2012-03-27,21.349211
2012-03-28,21.010607
2012-03-29,20.836969
2012-03-30,21.574942
2012-04-02,21.896183
2012-04-03,21.861452
2012-04-04,21.496807
2012-04-05,21.574942
2012-04-09,21.453394
2012-04-10,20.810921
2012-04-11,21.054018
2012-04-12,21.522852
2012-04-13,20.732786
2012-04-16,20.880375
2012-04-17,21.436029
2012-04-18,21.097425
2012-04-19,21.019297
2012-04-20,21.054018
2012-04-23,20.185814
2012-04-24,20.437593
2012-04-25,20.411545
2012-04-26,20.489687
2012-04-27,20.489687
2012-04-30,20.524416
2012-05-01,20.593864
2012-05-02,20.220539
2012-05-03,19.899303
2012-05-04,19.456518
2012-05-07,19.456518
2012-05-08,19.256830
2012-05-09,19.109236
2012-05-10,19.161325
2012-05-11,19.031099
2012-05-14,18.666452
2012-05-15,18.727226
2012-05-16,18.388624
2012-05-17,18.128157
2012-05-18,18.388624
2012-05-21,18.388624
2012-05-22,18.102112
2012-05-23,17.494368
2012-05-24,18.050022
2012-05-25,18.050022
2012-05-29,18.414667
2012-05-30,17.893747
2012-05-31,18.058706
2012-06-01,17.850336
2012-06-04,17.937157
2012-06-05,17.937157
2012-06-06,18.623041
2012-06-07,18.909554
2012-06-08,18.883505
2012-06-11,18.405991
2012-06-12,18.744587
2012-06-13,18.892187
2012-06-14,18.692499
2012-06-15,18.979002
2012-06-18,18.709858
2012-06-19,18.874823
2012-06-20,18.640406
2012-06-21,18.459990
2012-06-22,18.433842
2012-06-25,18.294388
2012-06-26,18.451273
2012-06-27,18.660450
2012-06-28,18.468702
2012-06-29,19.662764
2012-07-02,19.636610
2012-07-03,20.107269
2012-07-05,19.854509
2012-07-06,19.453587
2012-07-09,19.453587
2012-07-10,19.505877
2012-07-11,19.505877
2012-07-12,19.192108
2012-07-13,19.662764
2012-07-16,19.366426
2012-07-17,19.340279
2012-07-18,19.218256
2012-07-19,19.549461
2012-07-20,19.261839
2012-07-23,18.669163
2012-07-24,18.669163
2012-07-25,18.756323
2012-07-26,18.756323
2012-07-27,18.756323
2012-07-30,19.305414
2012-07-31,19.244408
2012-08-01,19.244408
2012-08-02,18.895773
2012-08-03,18.895773
2012-08-06,19.706341
2012-08-07,20.011391
2012-08-08,20.011391
2012-08-09,19.871939
2012-08-10,19.871939
2012-08-13,19.767353
2012-08-14,19.845797
2012-08-15,19.819647
2012-08-16,20.011391
2012-08-17,19.828365
2012-08-20,19.924232
2012-08-21,20.377457
2012-08-22,20.142130
2012-08-23,20.142130
2012-08-24,20.072405
2012-08-27,19.828365
2012-08-28,19.828365
2012-08-29,19.662764
2012-08-30,19.601753
2012-08-31,19.523308
2012-09-04,19.523308
2012-09-05,19.331562
2012-09-06,19.627903
2012-09-07,20.020109
2012-09-10,20.020109
2012-09-11,20.020109
2012-09-12,20.351307
2012-09-13,20.699940
2012-09-14,21.414633
2012-09-17,21.257746
2012-09-18,21.057281
2012-09-19,21.405916
2012-09-20,21.283895
2012-09-21,21.283895
2012-09-24,21.283895
2012-09-25,22.059603
2012-09-26,21.667387
2012-09-27,22.138041
2012-09-28,22.138041
2012-10-01,22.765574
2012-10-02,22.844013
2012-10-03,23.009617
2012-10-04,23.584852
2012-10-05,23.279800
2012-10-08,22.704561
2012-10-09,22.477957
2012-10-10,22.094458
2012-10-11,22.399509
2012-10-12,22.085745
2012-10-15,22.321068
2012-10-16,22.103172
2012-10-17,22.138041
2012-10-18,21.902714
2012-10-19,21.859138
2012-10-22,22.033449
2012-10-23,21.876564
2012-10-24,21.745831
2012-10-25,22.033449
2012-10-26,21.815552
2012-10-31,21.545366
2012-11-01,22.059603
2012-11-02,22.138041
2012-11-05,21.824276
2012-11-06,21.832989
2012-11-07,21.798122
2012-11-08,21.937576
2012-11-09,21.658669
2012-11-12,21.510506
2012-11-13,21.423351
2012-11-14,21.196739
2012-11-15,21.693533
2012-11-16,21.074715
2012-11-19,21.257746
2012-11-20,21.031137
2012-11-21,21.031137
2012-11-23,21.283895
2012-11-26,21.283895
2012-11-27,21.536652
2012-11-28,21.501791
2012-11-29,22.172905
2012-11-30,22.443094
2012-12-03,22.390799
2012-12-04,22.390799
2012-12-05,22.687136
2012-12-06,22.861448
2012-12-07,22.669706
2012-12-10,22.878878
2012-12-11,22.660986
2012-12-12,22.660986
2012-12-13,22.512819
2012-12-14,22.469238
2012-12-17,22.469238
2012-12-18,22.660986
2012-12-19,22.721998
2012-12-20,22.774288
2012-12-21,22.338503
2012-12-24,22.390799
2012-12-26,22.704561
2012-12-27,23.079336
2012-12-28,22.434380
2012-12-31,22.861448
2013-01-02,23.288523
2013-01-03,23.192646
2013-01-04,23.079336
2013-01-07,22.765574
2013-01-08,22.826584
2013-01-09,22.896311
2013-01-10,23.018330
2013-01-11,22.870165
2013-01-14,23.253656
2013-01-15,23.340813
2013-01-16,23.218796
2013-01-17,23.576143
2013-01-18,23.785318
2013-01-22,23.706877
2013-01-23,23.567423
2013-01-24,23.427971
2013-01-25,23.436689
2013-01-28,23.488983
2013-01-29,23.637150
2013-01-30,23.759171
2013-01-31,23.663300
2013-02-01,23.881197
2013-02-04,23.349527
2013-02-05,23.427971
2013-02-06,23.480265
2013-02-07,23.122925
2013-02-08,22.887600
2013-02-11,22.861448
2013-02-12,23.027048
2013-02-13,22.966038
2013-02-14,22.704561
2013-02-15,22.425655
2013-02-19,22.983469
2013-02-20,22.800436
2013-02-21,22.172905
2013-02-22,22.408230
2013-02-25,22.443094
2013-02-26,22.338503
2013-02-27,22.617405
2013-02-28,21.798122
2013-03-01,21.588947
2013-03-04,21.815552
2013-03-05,22.085745
2013-03-06,22.120607
2013-03-07,22.565109
2013-03-08,22.974754
2013-03-11,22.931175
2013-03-12,22.756855
2013-03-13,22.573826
2013-03-14,22.870165
2013-03-15,22.783003
2013-03-18,22.573826
2013-03-19,21.972439
2013-03-20,21.963722
2013-03-21,21.615093
2013-03-22,21.719687
2013-03-25,21.676104
2013-03-26,21.623810
2013-03-27,21.841705
2013-03-28,21.911427
2013-04-01,21.885286
2013-04-02,22.085745
2013-04-03,21.702250
2013-04-04,21.336189
2013-04-05,21.231604
2013-04-08,21.440775
2013-04-09,21.405916
2013-04-10,21.667387
2013-04-11,21.658669
2013-04-12,21.196739
2013-04-15,21.013702
2013-04-16,21.946293
2013-04-17,21.798122
2013-04-18,22.085745
2013-04-19,22.451811
2013-04-22,22.425655
2013-04-23,22.556393
2013-04-24,22.660986
2013-04-25,22.643557
2013-04-26,22.260061
2013-04-29,22.643557
2013-04-30,23.122925
2013-05-01,22.852732
2013-05-02,23.305952
2013-05-03,23.201363
2013-05-06,23.131632
2013-05-07,23.305952
2013-05-08,23.497698
2013-05-09,23.105492
2013-05-10,23.166502
2013-05-13,22.748144
2013-05-14,22.931175
2013-05-15,23.332094
2013-05-16,23.358248
2013-05-17,23.436689
2013-05-20,23.323385
2013-05-21,23.105492
2013-05-22,22.721998
2013-05-23,22.382082
2013-05-24,22.364651
2013-05-28,22.695852
2013-05-29,22.451811
2013-05-30,22.512819
2013-05-31,21.867853
2013-06-03,22.077032
2013-06-04,21.806841
2013-06-05,21.562801
2013-06-06,21.780699
2013-06-07,21.606380
2013-06-10,21.092152
2013-06-11,20.630211
2013-06-12,20.543060
2013-06-13,20.769663
2013-06-14,20.891687
2013-06-17,20.926548
2013-06-18,20.848103
2013-06-19,20.342592
2013-06-20,19.410006
2013-06-21,19.871939
2013-06-24,19.558174
2013-06-25,19.880659
2013-06-26,19.767353
2013-06-27,20.142130
2013-06-28,20.464615
2013-07-01,20.551769
2013-07-02,20.307728
2013-07-03,20.133417
2013-07-05,19.941660
2013-07-08,20.011391
2013-07-09,20.246716
2013-07-10,20.081121
2013-07-11,20.848103
2013-07-12,20.848103
2013-07-15,21.222885
2013-07-16,21.222885
2013-07-17,21.179306
2013-07-18,21.222885
2013-07-19,21.170591
2013-07-22,21.292606
2013-07-23,21.109579
2013-07-24,20.978844
2013-07-25,20.943981
2013-07-26,20.900398
2013-07-29,20.534340
2013-07-30,19.837080
2013-07-31,19.854509
2013-08-01,20.115986
2013-08-02,19.828365
2013-08-05,19.593037
2013-08-06,19.174685
2013-08-07,19.009081
2013-08-08,19.523308
2013-08-09,19.497160
2013-08-12,19.427439
2013-08-13,19.706341
2013-08-14,19.845797
2013-08-15,19.610466
2013-08-16,18.669163
2013-08-19,17.945761
2013-08-20,18.242090
2013-08-21,17.361799
2013-08-22,17.884747
2013-08-23,18.259525
2013-08-26,17.980618
2013-08-27,16.856287
2013-08-28,16.769129
2013-08-29,17.091614
2013-08-30,17.754011
2013-09-03,16.978306
2013-09-04,17.919609
2013-09-05,18.407694
2013-09-06,18.782469
2013-09-09,19.375147
2013-09-10,19.767353
2013-09-11,19.932953
2013-09-12,19.540741
2013-09-13,19.828365
2013-09-16,19.688910
2013-09-17,19.793501
2013-09-18,20.769663
2013-09-19,20.760952
2013-09-20,20.115986
2013-09-23,20.020109
2013-09-24,19.967815
2013-09-25,19.932953
2013-09-26,20.203142
2013-09-27,19.549461
2013-09-30,19.427439
2013-10-01,19.802216
2013-10-02,19.959095
2013-10-03,20.150850
2013-10-04,20.429752
2013-10-07,20.473328
2013-10-08,20.011391
2013-10-09,20.473328
2013-10-10,21.135725
2013-10-11,21.283895
2013-10-14,21.554087
2013-10-15,20.891687
2013-10-16,21.127007
2013-10-17,21.170591
2013-10-18,21.432062
2013-10-21,21.327471
2013-10-22,21.597664
2013-10-23,21.135725
2013-10-24,21.013702
2013-10-25,21.179306
2013-10-28,21.004986
2013-10-29,21.388485
2013-10-30,21.379770
2013-10-31,21.214169
2013-11-01,21.388485
2013-11-04,21.623810
2013-11-05,21.188019
2013-11-06,21.031137
2013-11-07,20.560486
2013-11-08,20.360025
2013-11-11,20.194424
2013-11-12,19.793501
2013-11-13,20.176994
2013-11-14,20.464615
2013-11-15,20.769663
2013-11-18,21.066004
2013-11-19,20.900398
2013-11-20,20.577915
2013-11-21,20.203142
2013-11-22,20.490763
2013-11-25,20.447178
2013-11-26,20.473328
2013-11-27,20.569201
2013-11-29,20.821957
2013-12-02,20.717369
2013-12-03,20.769663
2013-12-04,21.205458
2013-12-05,21.205458
2013-12-06,21.789412
2013-12-09,21.902714
2013-12-10,21.728399
2013-12-11,21.353624
2013-12-12,20.987555
2013-12-13,20.935263
2013-12-16,21.144440
2013-12-17,20.970129
2013-12-18,21.405056
2013-12-19,20.774982
2013-12-20,21.448809
2013-12-23,21.387548
2013-12-24,21.396303
2013-12-26,21.238785
2013-12-27,21.466312
2013-12-30,21.475063
2013-12-31,21.667589
2014-01-02,20.643711
2014-01-03,21.090015
2014-01-06,20.985004
2014-01-07,20.932499
2014-01-08,20.993752
2014-01-09,20.958754
2014-01-10,21.413807
2014-01-13,21.378799
2014-01-14,21.667589
2014-01-15,21.816357
2014-01-16,21.737591
2014-01-17,21.440058
2014-01-21,21.413807
2014-01-22,21.676338
2014-01-23,21.370050
2014-01-24,20.678719
2014-01-27,20.389933
2014-01-28,20.564957
2014-01-29,20.171158
2014-01-30,20.599958
2014-01-31,20.451189
2014-02-03,19.961134
2014-02-04,20.512449
2014-02-05,20.319927
2014-02-06,20.731226
2014-02-07,20.757473
2014-02-10,20.398682
2014-02-11,20.757473
2014-02-12,20.722473
2014-02-13,20.556204
2014-02-14,20.801231
2014-02-18,20.731226
2014-02-19,20.617460
2014-02-20,20.906244
2014-02-21,21.002508
2014-02-24,21.151272
2014-02-25,20.976255
2014-02-26,21.090015
2014-02-27,21.361300
2014-02-28,21.230030
2014-03-03,20.906244
2014-03-04,21.457567
2014-03-05,21.658836
2014-03-06,22.140141
2014-03-07,22.026373
2014-03-10,22.236403
2014-03-11,22.008879
2014-03-12,22.183899
2014-03-13,21.772598
2014-03-14,21.903860
2014-03-17,22.455181
2014-03-18,22.323915
2014-03-19,21.825104
2014-03-20,22.131390
2014-03-21,22.043877
2014-03-24,22.542692
2014-03-25,22.761467
2014-03-26,22.673956
2014-03-27,22.778967
2014-03-28,23.076508
2014-03-31,23.129007
2014-04-01,23.444046
2014-04-02,23.487801
2014-04-03,23.129007
2014-04-04,23.094006
2014-04-07,23.120258
2014-04-08,23.321533
2014-04-09,23.697826
2014-04-10,23.120258
2014-04-11,23.330282
2014-04-14,23.400291
2014-04-15,23.094006
2014-04-16,23.050251
2014-04-17,23.365290
2014-04-21,23.234022
2014-04-22,23.146509
2014-04-23,23.032753
2014-04-24,23.155258
2014-04-25,23.050251
2014-04-28,23.094006
2014-04-29,23.155258
2014-04-30,23.085255
