date,value
1997-12-31,24402.000000
1998-01-02,24914.000000
1998-01-05,25734.000000
1998-01-06,25734.000000
1998-01-07,25961.000000
1998-01-08,25675.000000
1998-01-09,25773.000000
1998-01-12,25731.000000
1998-01-13,26066.000000
1998-01-14,26219.000000
1998-01-15,26300.000000
1998-01-16,26683.000000
1998-01-19,26381.000000
1998-01-20,26803.000000
1998-01-21,26483.000000
1998-01-22,26703.000000
1998-01-23,26368.000000
1998-01-26,26500.000000
1998-01-27,26754.000000
1998-01-28,26966.000000
1998-01-29,27191.000000
1998-01-30,27549.000000
1998-02-02,27737.000000
1998-02-03,27525.000000
1998-02-04,27920.000000
1998-02-05,28206.000000
1998-02-06,28389.000000
1998-02-09,28267.000000
1998-02-10,28708.000000
1998-02-11,28923.000000
1998-02-12,28464.000000
1998-02-13,28477.000000
1998-02-16,28613.000000
1998-02-17,28945.000000
1998-02-18,28701.000000
1998-02-19,28247.000000
1998-02-20,27847.000000
1998-02-23,27759.000000
1998-02-24,27774.000000
1998-02-25,28564.000000
1998-02-26,28591.000000
1998-02-27,28543.000000
1998-03-02,29299.000000
1998-03-03,29431.000000
1998-03-04,29262.000000
1998-03-05,29414.000000
1998-03-06,29846.000000
1998-03-09,30282.000000
1998-03-10,30426.000000
1998-03-11,30424.000000
1998-03-12,30285.000000
1998-03-13,30739.000000
1998-03-16,31283.000000
1998-03-17,31378.000000
1998-03-18,31510.000000
1998-03-19,31602.000000
1998-03-20,32205.000000
1998-03-23,32554.000000
1998-03-24,33625.000000
1998-03-25,34006.000000
1998-03-26,34118.000000
1998-03-27,33782.000000
1998-03-30,34213.000000
1998-03-31,34545.000000
1998-04-01,35582.000000
1998-04-02,36261.000000
1998-04-03,36073.000000
1998-04-06,37437.000000
1998-04-07,36407.000000
1998-04-08,35104.000000
1998-04-09,34516.000000
1998-04-10,34960.000000
1998-04-13,34960.000000
1998-04-14,35697.000000
1998-04-15,36483.000000
1998-04-16,35690.000000
1998-04-17,35829.000000
1998-04-20,35729.000000
1998-04-21,35948.000000
1998-04-22,35812.000000
1998-04-23,34504.000000
1998-04-24,33181.000000
1998-04-27,31136.000000
1998-04-28,32632.000000
1998-04-29,31463.000000
1998-04-30,32764.000000
1998-05-01,32764.000000
1998-05-04,34218.000000
1998-05-05,33840.000000
1998-05-06,33825.000000
1998-05-07,33496.000000
1998-05-08,34296.000000
1998-05-11,35260.000000
1998-05-12,34760.000000
1998-05-13,34335.000000
1998-05-14,34167.000000
1998-05-15,34145.000000
1998-05-18,32984.000000
1998-05-19,34099.000000
1998-05-20,34011.000000
1998-05-21,34592.000000
1998-05-22,34838.000000
1998-05-25,35651.000000
1998-05-26,35839.000000
1998-05-27,34665.000000
1998-05-28,34487.000000
1998-05-29,34396.000000
1998-06-01,33852.000000
1998-06-02,34372.000000
1998-06-03,34675.000000
1998-06-04,34567.000000
1998-06-05,35046.000000
1998-06-08,35451.000000
1998-06-09,35026.000000
1998-06-10,35185.000000
1998-06-11,34355.000000
1998-06-12,33450.000000
1998-06-15,33067.000000
1998-06-16,33333.000000
1998-06-17,34294.000000
1998-06-18,33740.000000
1998-06-19,33106.000000
1998-06-22,32596.000000
1998-06-23,32984.000000
1998-06-24,32676.000000
1998-06-25,33535.000000
1998-06-26,33096.000000
1998-06-29,33613.000000
1998-06-30,33354.000000
1998-07-01,34331.000000
1998-07-02,34611.000000
1998-07-03,35006.000000
1998-07-06,35626.000000
1998-07-07,36002.000000
1998-07-08,36451.000000
1998-07-09,36397.000000
1998-07-10,36368.000000
1998-07-13,36641.000000
1998-07-14,37293.000000
1998-07-15,37405.000000
1998-07-16,37486.000000
1998-07-17,38281.000000
1998-07-20,38767.000000
1998-07-21,38508.000000
1998-07-22,38069.000000
1998-07-23,38010.000000
1998-07-24,37632.000000
1998-07-27,37112.000000
1998-07-28,37122.000000
1998-07-29,36514.000000
1998-07-30,36966.000000
1998-07-31,36636.000000
1998-08-03,36185.000000
1998-08-04,36102.000000
1998-08-05,35387.000000
1998-08-06,35231.000000
1998-08-07,35678.000000
1998-08-10,35080.000000
1998-08-11,34101.000000
1998-08-12,34601.000000
1998-08-13,34597.000000
1998-08-14,35292.000000
1998-08-17,35670.000000
1998-08-18,36544.000000
1998-08-19,36107.000000
1998-08-20,35853.000000
1998-08-21,34379.000000
1998-08-24,34484.000000
1998-08-25,35441.000000
1998-08-26,34565.000000
1998-08-27,32984.000000
1998-08-28,32093.000000
1998-08-31,31534.000000
1998-09-01,30612.000000
1998-09-02,31405.000000
1998-09-03,30395.000000
1998-09-04,30207.000000
1998-09-07,31041.000000
1998-09-08,31834.000000
1998-09-09,30802.000000
1998-09-10,29128.000000
1998-09-11,28345.000000
1998-09-14,29748.000000
1998-09-15,29555.000000
1998-09-16,30138.000000
1998-09-17,28447.000000
1998-09-18,28381.000000
1998-09-21,26847.000000
1998-09-22,27950.000000
1998-09-23,28438.000000
1998-09-24,28101.000000
1998-09-25,27515.000000
1998-09-28,28906.000000
1998-09-29,28779.000000
1998-09-30,27879.000000
1998-10-01,26610.000000
1998-10-02,26517.000000
1998-10-05,25441.000000
1998-10-06,26749.000000
1998-10-07,26210.000000
1998-10-08,24987.000000
1998-10-09,24860.000000
1998-10-12,26661.000000
1998-10-13,26822.000000
1998-10-14,28120.000000
1998-10-15,28030.000000
1998-10-16,28904.000000
1998-10-19,29067.000000
1998-10-20,29904.000000
1998-10-21,29126.000000
1998-10-22,28823.000000
1998-10-23,29372.000000
1998-10-26,29819.000000
1998-10-27,30192.000000
1998-10-28,29189.000000
1998-10-29,29111.000000
1998-10-30,29670.000000
1998-11-02,30312.000000
1998-11-03,30165.000000
1998-11-04,31049.000000
1998-11-05,30617.000000
1998-11-06,30795.000000
1998-11-09,30302.000000
1998-11-10,30107.000000
1998-11-11,30575.000000
1998-11-12,30807.000000
1998-11-13,30826.000000
1998-11-16,31429.000000
1998-11-17,31234.000000
1998-11-18,30961.000000
1998-11-19,31590.000000
1998-11-20,32166.000000
1998-11-23,33062.000000
1998-11-24,32622.000000
1998-11-25,33047.000000
1998-11-26,33862.000000
1998-11-27,34108.000000
1998-11-30,33257.000000
1998-12-01,31876.000000
1998-12-02,31700.000000
1998-12-03,32276.000000
1998-12-04,32630.000000
1998-12-07,32691.000000
1998-12-08,32691.000000
1998-12-09,32588.000000
