date,value
2008-03-28,35.438740
2008-03-31,34.886990
2008-04-01,35.827782
2008-04-02,36.223911
2008-04-03,36.429028
2008-04-04,36.407818
2008-04-07,36.620026
2008-04-08,36.846382
2008-04-09,36.160236
2008-04-10,36.160236
2008-04-11,35.587276
2008-04-14,35.728745
2008-04-15,35.827782
2008-04-16,36.315868
2008-04-17,36.803932
2008-04-18,37.207138
2008-04-21,37.376904
2008-04-22,37.037357
2008-04-23,37.129326
2008-04-24,37.143456
2008-04-25,37.292011
2008-04-28,37.596191
2008-04-29,37.164684
2008-04-30,37.666916
2008-05-01,37.553734
2008-05-02,37.787163
2008-05-05,37.893261
2008-05-06,38.147919
2008-05-07,37.511295
2008-05-08,37.638607
2008-05-09,37.475929
2008-05-12,37.857899
2008-05-13,37.900333
2008-05-14,37.985218
2008-05-15,38.388420
2008-05-16,38.713814
2008-05-19,38.699654
2008-05-20,38.317680
2008-05-21,38.055958
2008-05-22,38.112553
2008-05-23,37.518375
2008-05-27,37.808380
2008-05-28,37.801315
2008-05-29,38.034740
2008-05-30,37.992290
2008-06-02,37.702282
2008-06-03,37.610332
2008-06-04,37.228348
2008-06-05,38.027664
2008-06-06,37.023224
2008-06-09,36.796871
2008-06-10,36.436104
2008-06-11,35.997547
2008-06-12,36.018761
2008-06-13,36.266342
2008-06-16,36.506844
2008-06-17,36.499767
2008-06-18,36.238049
2008-06-19,35.757042
2008-06-20,35.502377
2008-06-23,35.622650
2008-06-24,35.268970
2008-06-25,35.650944
2008-06-26,34.759670
2008-06-27,34.823334
2008-06-30,34.957729
2008-07-01,34.688927
2008-07-02,34.144260
2008-07-03,34.002785
2008-07-07,34.137184
2008-07-08,34.038147
2008-07-09,33.960354
2008-07-10,33.847172
2008-07-11,33.599598
2008-07-14,33.465187
2008-07-15,33.118595
2008-07-16,33.436909
2008-07-17,33.882542
2008-07-18,33.910828
2008-07-21,34.059383
2008-07-22,34.045231
2008-07-23,34.505035
2008-07-24,33.776440
2008-07-25,33.769363
2008-07-28,33.366158
2008-07-29,33.741070
2008-07-30,33.939121
2008-07-31,33.854248
2008-08-01,33.458126
2008-08-04,33.118595
2008-08-05,33.656189
2008-08-06,34.038147
2008-08-07,33.387390
2008-08-08,33.762295
2008-08-11,33.811798
2008-08-12,33.550087
2008-08-13,33.387390
2008-08-14,33.415688
2008-08-15,33.281281
2008-08-18,32.977123
2008-08-19,32.566841
2008-08-20,32.757835
2008-08-21,33.090290
2008-08-22,33.203484
2008-08-25,32.644657
2008-08-26,32.800278
2008-08-27,33.033707
2008-08-28,33.443977
2008-08-29,33.288357
2008-09-02,32.835644
2008-09-03,32.382931
2008-09-04,31.527033
2008-09-05,31.406773
2008-09-08,31.746305
2008-09-09,30.833817
2008-09-10,31.293608
2008-09-11,31.272377
2008-09-12,31.640215
2008-09-15,30.147678
2008-09-16,30.366962
2008-09-17,29.058342
2008-09-18,30.204266
2008-09-19,31.887789
2008-09-22,31.208715
2008-09-23,30.536726
2008-09-24,30.522581
2008-09-25,31.244081
2008-09-26,31.081390
2008-09-29,28.174141
2008-09-30,29.206892
2008-10-01,29.327141
2008-10-02,28.096344
2008-10-03,27.587042
2008-10-06,26.172314
2008-10-07,25.005169
2008-10-08,24.467579
2008-10-09,22.946753
2008-10-10,22.451607
2008-10-13,25.238605
2008-10-14,25.075911
2008-10-15,22.685032
2008-10-16,23.562166
2008-10-17,23.187256
2008-10-20,24.524166
2008-10-21,23.477274
2008-10-22,21.765461
2008-10-23,21.899866
2008-10-24,20.944925
2008-10-27,19.940479
2008-10-28,22.069628
2008-10-29,22.430384
2008-10-30,23.491419
2008-10-31,23.830956
2008-11-03,23.696556
