date,value
1991-11-08,1418.800049
1991-11-11,1416.900024
1991-11-12,1445.400024
1991-11-13,1453.400024
1991-11-14,1459.300049
1991-11-15,1445.599976
1991-11-18,1415.900024
1991-11-19,1365.099976
1991-11-21,1387.900024
1991-11-22,1376.199951
1991-11-26,1365.199951
1991-11-27,1371.599976
1991-11-28,1377.599976
1991-11-29,1384.199951
1991-12-02,1375.400024
1991-12-03,1371.199951
1991-12-04,1371.300049
1991-12-05,1361.199951
1991-12-06,1360.599976
1991-12-09,1347.099976
1991-12-10,1304.500000
1991-12-11,1273.199951
1991-12-13,1325.699951
1991-12-16,1346.800049
1991-12-17,1347.400024
1991-12-18,1338.400024
1991-12-19,1332.900024
1991-12-20,1337.300049
1991-12-23,1364.400024
1991-12-30,1431.500000
1992-01-02,1444.900024
1992-01-03,1475.199951
1992-01-06,1472.500000
1992-01-07,1485.400024
1992-01-08,1515.699951
1992-01-09,1529.599976
1992-01-10,1524.800049
1992-01-13,1535.000000
1992-01-14,1564.300049
1992-01-15,1565.400024
1992-01-16,1583.300049
1992-01-17,1576.099976
1992-01-20,1574.800049
1992-01-21,1557.099976
1992-01-22,1564.400024
1992-01-23,1594.900024
1992-01-24,1603.800049
1992-01-27,1591.099976
1992-01-28,1603.099976
1992-01-29,1611.900024
1992-01-30,1623.500000
1992-01-31,1623.500000
1992-02-03,1624.500000
1992-02-04,1616.099976
1992-02-06,1649.199951
1992-02-07,1647.099976
1992-02-10,1677.400024
1992-02-11,1709.500000
1992-02-12,1739.400024
1992-02-13,1725.300049
1992-02-14,1761.199951
1992-02-18,1758.000000
1992-02-19,1762.500000
1992-02-20,1791.500000
1992-02-21,1785.599976
1992-02-24,1780.699951
1992-02-25,1777.099976
1992-02-26,1825.500000
1992-02-27,1838.199951
1992-02-28,1860.599976
1992-03-02,1873.900024
1992-03-03,1905.000000
1992-03-04,1836.599976
1992-03-05,1861.099976
1992-03-06,1792.900024
1992-03-09,1784.800049
1992-03-10,1809.199951
1992-03-11,1796.500000
1992-03-12,1762.599976
1992-03-13,1758.000000
1992-03-16,1734.800049
1992-03-17,1767.900024
1992-03-18,1770.099976
1992-03-19,1795.599976
1992-03-20,1838.900024
1992-03-23,1888.400024
1992-03-24,1880.099976
1992-03-25,1900.599976
1992-03-26,1907.300049
1992-03-27,1881.599976
1992-03-30,1868.800049
1992-03-31,1875.699951
1992-04-01,1852.500000
1992-04-02,1842.500000
1992-04-03,1822.300049
1992-04-06,1783.400024
1992-04-07,1741.400024
1992-04-08,1743.699951
1992-04-09,1764.500000
1992-04-10,1810.500000
1992-04-13,1810.199951
1992-04-14,1838.199951
1992-04-15,1871.599976
1992-04-21,1869.699951
1992-04-22,1897.099976
1992-04-23,1891.699951
1992-04-24,1882.900024
1992-04-27,1863.000000
1992-04-28,1831.599976
1992-04-29,1852.900024
1992-04-30,1838.300049
1992-05-04,1827.599976
1992-05-06,1872.099976
1992-05-07,1852.500000
1992-05-11,1845.300049
1992-05-12,1844.199951
1992-05-13,1840.900024
1992-05-14,1826.900024
1992-05-15,1810.199951
1992-05-18,1785.699951
1992-05-19,1811.099976
1992-05-20,1815.300049
1992-05-21,1820.900024
1992-05-22,1829.599976
1992-05-26,1830.300049
1992-05-27,1833.800049
1992-05-28,1856.199951
1992-05-29,1892.300049
1992-06-01,1907.400024
1992-06-02,1894.199951
1992-06-03,1886.900024
1992-06-04,1895.900024
1992-06-05,1887.300049
1992-06-08,1873.099976
1992-06-09,1843.699951
1992-06-10,1796.300049
1992-06-11,1802.599976
1992-06-12,1809.900024
1992-06-15,1742.500000
1992-06-16,1692.900024
1992-06-17,1593.300049
1992-06-18,1634.199951
1992-06-19,1686.300049
1992-06-22,1624.300049
1992-06-24,1562.699951
1992-06-25,1599.900024
1992-06-26,1601.000000
1992-06-29,1603.400024
1992-06-30,1599.300049
1992-07-01,1658.900024
1992-07-02,1676.699951
1992-07-03,1683.000000
1992-07-06,1672.900024
1992-07-07,1614.199951
1992-07-08,1582.300049
1992-07-09,1590.300049
1992-07-10,1617.400024
1992-07-13,1640.500000
1992-07-14,1636.000000
1992-07-15,1639.800049
1992-07-16,1689.199951
1992-07-17,1674.199951
1992-07-20,1647.900024
1992-07-21,1657.199951
1992-07-22,1625.199951
1992-07-23,1584.099976
1992-07-24,1522.900024
1992-07-27,1466.599976
1992-07-28,1537.699951
1992-07-29,1547.800049
1992-07-30,1551.199951
1992-07-31,1569.699951
1992-08-03,1557.099976
1992-08-04,1536.699951
1992-08-05,1538.000000
1992-08-06,1552.800049
1992-08-07,1560.400024
1992-08-10,1538.300049
1992-08-11,1515.500000
1992-08-12,1525.599976
1992-08-13,1518.400024
1992-08-14,1516.599976
1992-08-17,1510.300049
1992-08-18,1498.699951
1992-08-19,1474.099976
1992-08-20,1439.000000
1992-08-21,1424.599976
1992-08-24,1366.800049
1992-08-25,1353.099976
1992-08-26,1376.800049
1992-08-27,1423.199951
1992-08-28,1409.000000
1992-08-31,1400.400024
1992-09-01,1384.099976
1992-09-02,1383.400024
1992-09-03,1395.300049
1992-09-04,1392.599976
1992-09-07,1385.300049
1992-09-08,1369.900024
1992-09-09,1326.000000
1992-09-10,1285.800049
1992-09-11,1294.099976
1992-09-14,1342.800049
1992-09-15,1328.199951
1992-09-17,1318.199951
1992-09-18,1307.699951
1992-09-21,1295.800049
1992-09-22,1272.099976
1992-09-23,1264.400024
1992-09-24,1257.400024
1992-09-25,1252.099976
1992-09-28,1257.900024
1992-09-29,1289.099976
1992-09-30,1327.099976
1992-10-01,1359.099976
1992-10-02,1389.699951
1992-10-05,1454.400024
1992-10-07,1453.400024
1992-10-08,1437.900024
1992-10-09,1425.000000
1992-10-13,1428.000000
1992-10-14,1432.599976
1992-10-15,1454.800049
1992-10-16,1491.699951
1992-10-19,1509.699951
1992-10-20,1555.199951
1992-10-21,1560.400024
1992-10-22,1569.800049
1992-10-23,1565.400024
1992-10-26,1557.500000
1992-10-27,1537.000000
1992-10-28,1549.199951
1992-10-29,1565.300049
1992-10-30,1597.300049
1992-11-03,1558.400024
1992-11-04,1547.800049
1992-11-05,1568.599976
1992-11-06,1609.599976
1992-11-09,1642.800049
1992-11-10,1655.800049
1992-11-11,1651.900024
1992-11-12,1631.599976
1992-11-13,1608.099976
1992-11-16,1585.699951
1992-11-17,1608.199951
1992-11-18,1627.199951
1992-11-19,1634.550049
1992-11-23,1679.300049
1992-11-24,1691.500000
1992-11-25,1691.599976
1992-11-26,1703.500000
1992-11-27,1727.199951
1992-11-30,1716.000000
1992-12-01,1689.099976
1992-12-02,1688.000000
1992-12-03,1699.000000
1992-12-07,1723.800049
1992-12-08,1748.300049
1992-12-09,1742.599976
1992-12-10,1731.000000
1992-12-11,1727.400024
1992-12-14,1724.000000
1992-12-15,1724.000000
1992-12-16,1713.800049
1992-12-17,1719.599976
1992-12-18,1730.199951
1992-12-21,1731.699951
1992-12-22,1752.500000
1992-12-23,1754.199951
1992-12-24,1761.099976
1992-12-28,1754.900024
1992-12-29,1758.099976
1992-12-30,1759.400024
1993-01-04,1776.699951
1993-01-05,1817.199951
1993-01-06,1836.099976
1993-01-07,1822.900024
1993-01-08,1806.400024
1993-01-11,1795.199951
1993-01-12,1782.099976
1993-01-13,1763.800049
1993-01-14,1763.699951
1993-01-15,1760.199951
1993-01-18,1749.000000
1993-01-19,1764.599976
1993-01-20,1771.000000
1993-01-21,1777.400024
1993-01-22,1797.900024
1993-01-25,1804.699951
1993-01-26,1779.300049
1993-01-27,1740.699951
1993-01-28,1680.800049
1993-01-29,1653.199951
1993-02-01,1664.300049
1993-02-02,1624.199951
1993-02-03,1607.599976
1993-02-04,1659.699951
1993-02-08,1640.400024
1993-02-09,1625.699951
1993-02-11,1661.300049
1993-02-12,1638.800049
1993-02-15,1628.300049
1993-02-16,1595.000000
1993-02-17,1572.900024
1993-02-18,1556.699951
1993-02-19,1574.099976
1993-02-22,1573.000000
1993-02-23,1542.699951
1993-02-24,1515.699951
1993-02-25,1504.199951
1993-02-26,1546.699951
1993-03-01,1563.599976
1993-03-02,1590.400024
1993-03-03,1613.000000
1993-03-04,1604.900024
1993-03-05,1637.900024
1993-03-08,1650.000000
1993-03-09,1644.400024
1993-03-10,1644.400024
1993-03-11,1655.500000
1993-03-12,1637.800049
1993-03-15,1642.599976
1993-03-16,1663.599976
1993-03-17,1658.000000
1993-03-18,1666.800049
1993-03-19,1669.400024
1993-03-22,1661.500000
1993-03-23,1669.000000
1993-03-24,1702.099976
1993-03-25,1735.699951
1993-03-26,1732.400024
1993-03-29,1767.800049
1993-03-30,1773.900024
1993-03-31,1771.699951
1993-04-01,1757.500000
1993-04-02,1741.699951
1993-04-05,1742.699951
1993-04-06,1764.500000
1993-04-07,1783.400024
1993-04-12,1789.800049
1993-04-13,1782.599976
1993-04-14,1778.900024
1993-04-15,1757.500000
1993-04-16,1761.400024
1993-04-19,1745.500000
1993-04-20,1720.300049
1993-04-21,1736.400024
1993-04-22,1742.500000
1993-04-23,1700.900024
1993-04-26,1679.300049
1993-04-27,1684.400024
1993-04-28,1644.699951
1993-04-29,1628.300049
1993-04-30,1662.800049
1993-05-03,1638.099976
1993-05-04,1641.099976
1993-05-06,1670.500000
1993-05-07,1660.900024
1993-05-10,1653.599976
1993-05-11,1634.300049
1993-05-12,1611.900024
1993-05-13,1608.300049
1993-05-14,1610.199951
1993-05-17,1629.900024
1993-05-18,1627.099976
1993-05-19,1637.300049
1993-05-20,1638.500000
1993-05-21,1627.900024
1993-05-24,1624.900024
1993-05-25,1628.599976
1993-05-26,1621.199951
1993-05-27,1589.400024
1993-05-28,1613.699951
1993-05-31,1613.000000
1993-06-01,1605.300049
1993-06-02,1596.199951
1993-06-03,1580.199951
1993-06-04,1573.400024
1993-06-07,1553.000000
1993-06-08,1579.599976
1993-06-09,1589.500000
1993-06-10,1569.900024
1993-06-11,1563.599976
1993-06-14,1565.400024
1993-06-15,1573.699951
1993-06-16,1591.699951
1993-06-17,1619.300049
1993-06-18,1640.300049
1993-06-21,1652.400024
1993-06-22,1643.800049
1993-06-23,1649.400024
1993-06-24,1646.900024
1993-06-25,1649.400024
1993-06-28,1668.800049
1993-06-29,1685.500000
1993-06-30,1666.300049
1993-07-01,1662.400024
1993-07-02,1662.000000
1993-07-05,1660.400024
1993-07-06,1647.199951
1993-07-07,1653.500000
1993-07-08,1684.699951
1993-07-09,1703.500000
1993-07-12,1718.400024
1993-07-13,1727.699951
1993-07-14,1727.500000
1993-07-15,1717.800049
1993-07-16,1717.500000
1993-07-19,1717.099976
1993-07-20,1704.800049
1993-07-21,1691.500000
1993-07-22,1681.400024
1993-07-23,1739.599976
1993-07-26,1774.000000
1993-07-27,1765.900024
1993-07-28,1749.699951
1993-07-29,1762.599976
1993-07-30,1773.000000
1993-08-02,1787.199951
1993-08-03,1773.699951
1993-08-04,1800.500000
1993-08-05,1807.099976
1993-08-06,1805.400024
1993-08-09,1802.000000
1993-08-10,1789.199951
1993-08-11,1805.500000
1993-08-12,1776.300049
1993-08-13,1831.000000
1993-08-16,1841.699951
1993-08-17,1869.500000
1993-08-18,1868.199951
1993-08-19,1876.000000
1993-08-20,1895.699951
1993-08-23,1933.400024
1993-08-24,1920.400024
1993-08-25,1913.800049
1993-08-26,1933.400024
1993-08-27,1939.800049
1993-08-30,1914.099976
1993-08-31,1902.800049
1993-09-01,1916.699951
1993-09-02,1932.800049
1993-09-03,1932.199951
1993-09-06,1929.599976
1993-09-07,1949.300049
1993-09-08,1937.800049
1993-09-09,1934.599976
1993-09-10,1926.500000
1993-09-13,1889.400024
1993-09-14,1858.300049
1993-09-15,1847.000000
1993-09-17,1827.800049
1993-09-20,1801.500000
1993-09-21,1773.800049
1993-09-22,1796.300049
1993-09-23,1827.500000
1993-09-24,1842.800049
1993-09-27,1839.699951
1993-09-28,1845.900024
1993-09-29,1855.300049
1993-09-30,1834.400024
1993-10-01,1826.400024
1993-10-04,1844.300049
1993-10-05,1848.199951
1993-10-06,1849.099976
1993-10-07,1849.900024
1993-10-08,1861.199951
