date,value
1993-12-03,1023.919983
1993-12-06,1041.109985
1993-12-07,1063.250000
1993-12-08,1060.790039
1993-12-09,1067.339966
1993-12-10,1075.849976
1993-12-13,1090.349976
1993-12-14,1092.660034
1993-12-15,1116.089966
1993-12-16,1112.589966
1993-12-17,1109.530029
1993-12-20,1098.079956
1993-12-21,1096.609985
1993-12-22,1121.380005
1993-12-23,1152.239990
1993-12-24,1178.459961
1993-12-27,1205.280029
1993-12-28,1223.050049
1993-12-29,1231.859985
1993-12-30,1231.729980
1993-12-31,1275.319946
1994-01-03,1288.849976
1994-01-04,1313.349976
1994-01-05,1314.459961
1994-01-06,1248.689941
1994-01-07,1190.729980
1994-01-10,1206.750000
1994-01-11,1139.550049
1994-01-12,1066.219971
1994-01-13,1029.170044
1994-01-14,1134.140015
1994-01-17,1104.140015
1994-01-18,1110.219971
1994-01-19,1081.780029
1994-01-20,1053.209961
1994-01-21,1063.760010
1994-01-24,1064.550049
1994-01-25,1011.799988
1994-01-26,1029.310059
1994-01-27,1074.239990
1994-01-28,1090.060059
1994-01-31,1106.989990
1994-02-02,1148.040039
1994-02-03,1150.209961
1994-02-04,1147.319946
1994-02-07,1094.020020
1994-02-08,1108.719971
1994-02-14,1093.300049
1994-02-15,1087.209961
1994-02-16,1081.130005
1994-02-17,1072.140015
1994-02-18,1086.729980
1994-02-21,1086.910034
1994-02-22,1104.449951
1994-02-23,1141.050049
1994-02-24,1146.410034
1994-02-25,1124.109985
1994-02-28,1125.630005
1994-03-01,1113.410034
1994-03-02,1086.250000
1994-03-03,1070.579956
1994-03-04,1064.339966
1994-03-07,1045.719971
1994-03-08,1056.300049
1994-03-09,1056.430054
1994-03-10,1046.000000
1994-03-11,1046.479980
1994-03-17,1027.199951
1994-03-18,1007.059998
1994-03-21,954.179993
1994-03-22,967.479980
1994-03-23,999.950012
1994-03-24,983.520020
1994-03-25,970.099976
1994-03-28,951.429993
1994-03-29,961.780029
1994-03-30,966.770020
1994-03-31,952.719971
1994-04-01,959.940002
1994-04-04,928.330017
1994-04-05,939.309998
1994-04-06,964.510010
1994-04-07,966.179993
1994-04-08,961.950012
1994-04-11,973.340027
1994-04-12,1024.819946
1994-04-13,1029.449951
1994-04-14,1021.299988
1994-04-15,1033.660034
1994-04-18,1050.260010
1994-04-19,1036.040039
1994-04-20,1039.660034
1994-04-21,1028.910034
1994-04-22,1038.869995
1994-04-25,1059.520020
1994-04-26,1053.469971
1994-04-27,1053.349976
1994-04-28,1055.339966
1994-04-29,1054.500000
1994-05-03,1042.020020
1994-05-04,1028.250000
1994-05-05,1007.010010
1994-05-06,1011.570007
1994-05-09,990.630005
1994-05-10,999.479980
1994-05-11,1008.669983
1994-05-12,996.919983
1994-05-13,1004.549988
1994-05-16,997.840027
1994-05-17,991.960022
1994-05-18,1010.270020
1994-05-19,1002.979980
1994-05-20,1001.159973
1994-05-23,999.099976
1994-05-24,987.260010
1994-05-26,997.049988
1994-05-27,1000.109985
1994-05-30,996.109985
1994-05-31,993.729980
1994-06-01,982.799988
1994-06-02,955.440002
1994-06-03,965.489990
1994-06-06,970.059998
1994-06-07,972.419983
1994-06-08,969.309998
1994-06-09,981.719971
1994-06-10,1016.979980
1994-06-13,1017.929993
1994-06-14,1013.489990
1994-06-15,1028.949951
1994-06-16,1032.390015
1994-06-17,1038.040039
1994-06-20,1035.459961
1994-06-21,1011.460022
1994-06-22,1015.429993
1994-06-23,1003.500000
1994-06-24,1015.030029
1994-06-27,1003.520020
1994-06-28,1006.919983
1994-06-29,1010.109985
1994-06-30,1011.580017
1994-07-01,1003.760010
1994-07-04,999.559998
1994-07-05,1004.059998
1994-07-06,995.359985
1994-07-07,981.369995
1994-07-08,987.780029
1994-07-11,988.880005
1994-07-12,985.619995
1994-07-13,989.570007
1994-07-14,1010.799988
1994-07-15,1012.109985
1994-07-18,1005.049988
1994-07-19,999.200012
1994-07-20,1009.719971
1994-07-21,996.359985
1994-07-22,1000.460022
1994-07-25,1004.380005
1994-07-26,1008.309998
1994-07-27,1020.190002
1994-07-28,1026.300049
1994-07-29,1027.510010
1994-08-01,1056.339966
1994-08-02,1075.189941
1994-08-03,1079.060059
1994-08-04,1086.800049
1994-08-05,1089.150024
1994-08-08,1076.339966
1994-08-09,1073.589966
1994-08-10,1092.800049
1994-08-11,1111.479980
1994-08-12,1105.290039
1994-08-15,1092.800049
1994-08-16,1108.180054
1994-08-17,1126.140015
1994-08-18,1136.339966
1994-08-19,1140.699951
1994-08-22,1150.199951
1994-08-23,1146.349976
1994-08-24,1141.569946
1994-08-25,1136.140015
1994-08-26,1111.780029
1994-08-29,1120.369995
1994-08-30,1130.010010
1994-09-01,1156.339966
1994-09-02,1160.880005
1994-09-05,1159.510010
1994-09-06,1172.239990
1994-09-07,1163.150024
1994-09-08,1181.170044
1994-09-09,1181.660034
1994-09-12,1169.050049
1994-09-13,1169.109985
1994-09-14,1173.839966
1994-09-15,1176.060059
1994-09-16,1185.270020
1994-09-19,1180.660034
1994-09-20,1185.650024
1994-09-21,1191.140015
1994-09-22,1179.880005
1994-09-23,1170.319946
1994-09-26,1157.180054
1994-09-27,1149.599976
1994-09-28,1140.829956
1994-09-29,1133.680054
1994-09-30,1129.760010
1994-10-03,1127.349976
1994-10-04,1125.660034
1994-10-05,1134.520020
1994-10-06,1143.430054
1994-10-07,1122.329956
1994-10-10,1110.119995
1994-10-11,1128.290039
1994-10-12,1137.000000
1994-10-13,1135.670044
1994-10-14,1128.449951
1994-10-17,1126.119995
1994-10-18,1118.739990
1994-10-19,1118.859985
1994-10-20,1124.390015
1994-10-21,1114.420044
1994-10-24,1109.069946
1994-10-25,1102.229980
1994-10-26,1105.540039
1994-10-27,1101.739990
1994-10-28,1113.040039
1994-10-31,1108.849976
1994-11-01,1093.579956
1994-11-03,1066.459961
1994-11-04,1074.410034
1994-11-07,1070.140015
1994-11-08,1057.959961
1994-11-09,1051.510010
1994-11-10,1030.849976
1994-11-11,1029.869995
1994-11-14,1044.310059
1994-11-15,1069.739990
1994-11-16,1063.150024
1994-11-17,1052.479980
1994-11-18,1048.880005
1994-11-21,1045.380005
1994-11-22,1026.180054
1994-11-23,1001.799988
1994-11-24,1007.539978
1994-11-25,1011.520020
1994-11-28,1005.229980
1994-11-29,1003.690002
1994-11-30,1013.130005
1994-12-01,986.130005
1994-12-02,977.739990
1994-12-05,963.880005
1994-12-06,953.679993
1994-12-07,951.679993
1994-12-08,925.340027
1994-12-09,911.260010
1994-12-12,895.770020
1994-12-13,900.409973
1994-12-14,937.150024
1994-12-15,950.770020
1994-12-16,946.599976
1994-12-19,957.250000
1994-12-20,966.190002
1994-12-21,982.169983
1994-12-22,994.340027
1994-12-23,988.869995
1994-12-27,987.539978
1994-12-28,975.969971
1994-12-29,967.140015
1994-12-30,971.210022
1995-01-03,969.700012
1995-01-04,957.809998
1995-01-05,965.890015
1995-01-06,955.429993
1995-01-09,937.049988
1995-01-10,923.380005
1995-01-11,925.500000
1995-01-12,915.239990
1995-01-13,898.500000
1995-01-16,910.750000
1995-01-17,926.760010
1995-01-18,918.739990
1995-01-19,901.719971
1995-01-20,885.130005
1995-01-23,850.099976
1995-01-24,840.869995
1995-01-25,870.750000
1995-01-26,877.359985
1995-01-27,883.289978
1995-02-03,927.260010
1995-02-06,971.960022
1995-02-07,975.580017
1995-02-08,964.750000
1995-02-09,971.030029
1995-02-10,980.380005
1995-02-13,980.419983
1995-02-14,972.989990
1995-02-15,979.280029
1995-02-16,989.989990
1995-02-17,995.210022
1995-02-20,986.500000
1995-02-21,971.099976
1995-02-22,941.070007
1995-02-23,949.460022
1995-02-24,970.450012
1995-02-27,953.789978
1995-02-28,979.640015
1995-03-06,953.400024
1995-03-07,947.229980
1995-03-08,935.049988
1995-03-09,951.210022
1995-03-10,935.119995
1995-03-13,932.020020
1995-03-14,929.710022
1995-03-15,937.320007
1995-03-16,943.880005
1995-03-17,960.429993
1995-03-20,969.349976
1995-03-21,964.840027
1995-03-22,959.200012
1995-03-23,957.049988
1995-03-24,957.900024
1995-03-27,952.739990
1995-03-28,964.750000
1995-03-29,987.710022
1995-03-30,979.650024
1995-03-31,983.099976
1995-04-03,966.309998
1995-04-04,974.030029
1995-04-05,998.789978
1995-04-06,978.719971
1995-04-07,967.289978
1995-04-10,956.030029
1995-04-11,956.280029
1995-04-12,966.010010
1995-04-13,963.340027
1995-04-14,965.969971
1995-04-17,962.630005
1995-04-18,964.299988
1995-04-19,963.820007
1995-04-20,962.640015
1995-04-21,977.840027
1995-04-24,975.049988
1995-04-26,958.630005
1995-04-27,942.440002
1995-04-28,951.799988
1995-05-02,944.570007
1995-05-03,950.679993
1995-05-04,951.380005
1995-05-05,956.440002
1995-05-08,957.820007
1995-05-09,951.359985
1995-05-11,1000.530029
1995-05-12,1013.940002
1995-05-16,1036.060059
1995-05-17,1016.820007
1995-05-18,1019.280029
1995-05-19,1011.619995
1995-05-22,1009.460022
1995-05-23,1024.910034
1995-05-24,1026.750000
1995-05-25,1039.709961
1995-05-26,1047.569946
1995-05-29,1043.479980
1995-05-30,1050.000000
1995-06-01,1070.819946
1995-06-02,1078.079956
1995-06-05,1085.040039
1995-06-06,1080.520020
1995-06-07,1057.800049
1995-06-08,1061.189941
1995-06-09,1054.359985
1995-06-12,1042.680054
1995-06-13,1038.989990
1995-06-14,1049.969971
1995-06-15,1058.439941
1995-06-16,1064.589966
1995-06-19,1052.589966
