date,value
2013-03-05,525.109985
2013-03-06,523.229980
2013-03-07,521.760010
2013-03-08,525.099976
2013-03-11,525.650024
2013-03-12,527.419983
2013-03-13,524.380005
2013-03-14,527.869995
2013-03-15,526.390015
2013-03-18,524.619995
2013-03-19,523.260010
2013-03-20,522.090027
2013-03-21,520.840027
2013-03-22,521.849976
2013-03-25,518.619995
2013-03-26,519.570007
2013-03-27,518.700012
2013-04-02,521.679993
2013-04-03,522.950012
2013-04-04,517.340027
2013-04-05,509.179993
2013-04-08,512.590027
2013-04-09,513.789978
2013-04-10,518.359985
2013-04-11,518.419983
2013-04-12,514.719971
2013-04-15,507.559998
2013-04-16,507.170013
2013-04-17,501.320007
2013-04-18,504.459991
2013-04-19,510.130005
2013-04-22,509.220001
2013-04-23,515.200012
2013-04-24,518.229980
2013-04-25,523.869995
2013-04-26,524.500000
2013-04-29,521.510010
2013-04-30,524.809998
2013-05-02,519.479980
2013-05-03,527.349976
2013-05-06,528.340027
2013-05-07,528.609985
2013-05-08,531.039978
2013-05-10,530.989990
2013-05-13,532.669983
2013-05-14,532.020020
2013-05-15,530.880005
2013-05-16,531.169983
2013-05-21,536.200012
2013-05-22,537.309998
2013-05-23,529.599976
2013-05-24,531.510010
2013-05-27,535.390015
2013-05-28,539.840027
2013-05-29,535.429993
2013-05-30,535.909973
2013-05-31,536.260010
2013-06-03,532.700012
2013-06-04,531.070007
2013-06-05,527.619995
2013-06-06,524.179993
2013-06-07,524.729980
2013-06-10,522.640015
2013-06-11,513.849976
2013-06-12,517.929993
2013-06-13,516.280029
2013-06-14,517.359985
2013-06-17,521.690002
2013-06-18,524.450012
2013-06-19,520.039978
2013-06-20,514.239990
2013-06-21,514.260010
2013-06-24,500.839996
2013-06-25,509.059998
2013-06-26,513.169983
2013-06-27,514.059998
2013-06-28,512.710022
2013-07-01,517.909973
2013-07-02,520.559998
2013-07-03,514.409973
2013-07-04,521.770020
2013-07-05,522.150024
2013-07-08,526.030029
2013-07-09,526.229980
2013-07-10,529.630005
2013-07-11,537.890015
2013-07-12,535.880005
2013-07-15,538.580017
2013-07-16,537.940002
2013-07-17,540.200012
2013-07-18,537.369995
2013-07-19,541.080017
2013-07-22,541.520020
2013-07-23,542.760010
2013-07-24,543.119995
2013-07-25,540.280029
2013-07-26,537.929993
2013-07-29,537.780029
2013-07-30,536.630005
2013-07-31,538.760010
2013-08-01,540.909973
2013-08-02,540.789978
2013-08-05,540.539978
2013-08-06,537.429993
2013-08-07,538.280029
2013-08-08,542.849976
2013-08-09,544.200012
2013-08-12,543.960022
2013-08-13,543.679993
2013-08-14,546.919983
2013-08-15,543.390015
2013-08-16,545.070007
2013-08-19,547.229980
2013-08-20,541.929993
2013-08-21,541.020020
2013-08-22,544.729980
2013-08-23,544.679993
2013-08-26,544.349976
2013-08-27,541.479980
2013-08-28,547.250000
2013-08-29,547.609985
2013-08-30,542.359985
2013-09-02,548.349976
2013-09-03,549.020020
2013-09-04,549.179993
2013-09-05,549.559998
2013-09-06,549.739990
2013-09-09,550.010010
2013-09-10,550.830017
2013-09-11,554.599976
2013-09-12,552.989990
2013-09-13,553.750000
2013-09-16,553.599976
2013-09-17,552.799988
2013-09-18,553.159973
2013-09-19,557.950012
2013-09-20,559.359985
2013-09-23,557.440002
2013-09-24,558.530029
2013-09-25,559.849976
2013-09-26,559.809998
2013-09-27,558.280029
2013-09-30,551.859985
2013-10-01,552.500000
2013-10-02,553.710022
2013-10-03,557.289978
2013-10-04,556.409973
2013-10-07,553.000000
2013-10-08,547.869995
2013-10-09,547.070007
2013-10-10,555.080017
2013-10-11,555.669983
2013-10-14,557.469971
2013-10-15,563.559998
2013-10-16,563.210022
2013-10-17,564.869995
2013-10-18,570.369995
2013-10-21,575.969971
2013-10-22,579.640015
2013-10-23,578.109985
2013-10-24,583.260010
2013-10-25,588.789978
2013-10-28,584.989990
2013-10-29,588.640015
2013-10-30,586.109985
2013-10-31,582.739990
2013-11-01,585.260010
2013-11-04,587.219971
2013-11-05,585.000000
2013-11-06,593.580017
2013-11-07,590.609985
2013-11-08,588.950012
2013-11-11,593.169983
2013-11-12,587.390015
2013-11-13,585.789978
2013-11-14,590.520020
2013-11-15,595.039978
2013-11-18,596.260010
2013-11-19,594.739990
2013-11-20,591.809998
2013-11-21,587.890015
2013-11-22,589.750000
2013-11-25,589.150024
2013-11-26,587.359985
2013-11-27,590.969971
2013-11-28,593.320007
2013-11-29,592.469971
2013-12-02,591.880005
2013-12-03,589.159973
2013-12-04,585.609985
2013-12-05,585.609985
2013-12-06,584.570007
2013-12-09,587.210022
2013-12-10,586.820007
2013-12-11,582.739990
2013-12-12,577.900024
2013-12-13,579.919983
2013-12-16,583.109985
2013-12-17,584.039978
2013-12-18,581.739990
2013-12-19,584.880005
2013-12-20,590.989990
2013-12-23,598.380005
2013-12-27,604.309998
2013-12-30,602.799988
2014-01-02,600.919983
2014-01-03,601.179993
2014-01-06,600.239990
2014-01-07,601.130005
2014-01-08,604.380005
2014-01-09,606.619995
2014-01-10,610.840027
2014-01-13,612.739990
2014-01-14,611.580017
2014-01-15,618.690002
2014-01-16,621.140015
2014-01-17,618.739990
2014-01-20,617.909973
2014-01-21,621.320007
2014-01-22,618.169983
2014-01-23,612.440002
2014-01-24,603.169983
2014-01-27,599.200012
2014-01-28,598.559998
2014-01-29,591.890015
2014-01-30,595.619995
2014-01-31,590.880005
