date,value
1987-12-28,824.400024
1987-12-29,810.900024
1987-12-30,823.200012
1988-01-04,833.599976
1988-01-05,879.299988
1988-01-06,906.000000
1988-01-07,911.500000
1988-01-08,895.299988
1988-01-11,849.099976
1988-01-12,870.500000
1988-01-13,853.900024
1988-01-14,861.599976
1988-01-15,869.799988
1988-01-18,917.599976
1988-01-19,912.200012
1988-01-20,924.099976
1988-01-21,909.599976
1988-01-22,904.200012
1988-01-25,908.900024
1988-01-26,907.400024
1988-01-27,897.400024
1988-01-28,903.700012
1988-01-29,908.900024
1988-02-01,892.000000
1988-02-02,888.200012
1988-02-03,895.500000
1988-02-04,882.099976
1988-02-05,869.900024
1988-02-08,859.200012
1988-02-09,851.799988
1988-02-10,857.700012
1988-02-11,866.700012
1988-02-12,873.200012
1988-02-15,882.099976
1988-02-16,886.599976
1988-02-19,890.000000
1988-02-22,901.700012
1988-02-23,894.200012
1988-02-24,892.400024
1988-02-25,889.200012
1988-02-26,888.200012
1988-02-29,888.799988
1988-03-01,890.299988
1988-03-02,892.299988
1988-03-03,912.400024
1988-03-04,920.599976
1988-03-07,915.700012
1988-03-08,917.599976
1988-03-09,932.299988
1988-03-10,938.400024
1988-03-11,940.599976
1988-03-14,948.000000
1988-03-15,944.099976
1988-03-16,946.500000
1988-03-17,958.700012
1988-03-18,959.799988
1988-03-21,969.500000
1988-03-22,957.900024
1988-03-23,961.500000
1988-03-24,958.500000
1988-03-25,945.599976
1988-03-28,925.200012
1988-03-29,919.400024
1988-03-30,930.099976
1988-03-31,925.799988
1988-04-05,926.799988
1988-04-06,935.000000
1988-04-07,946.000000
1988-04-08,943.000000
1988-04-11,946.500000
1988-04-12,946.099976
1988-04-13,955.400024
1988-04-14,957.099976
1988-04-15,933.400024
1988-04-18,930.700012
1988-04-19,930.900024
1988-04-20,938.500000
1988-04-21,944.500000
1988-04-22,955.799988
1988-04-25,959.599976
1988-04-26,956.400024
1988-04-27,957.000000
1988-04-28,961.500000
1988-04-29,965.400024
1988-05-03,968.900024
1988-05-04,972.700012
1988-05-05,975.799988
1988-05-06,976.099976
1988-05-09,971.900024
1988-05-10,966.799988
1988-05-11,966.299988
1988-05-12,964.500000
1988-05-13,970.200012
1988-05-16,970.700012
1988-05-18,975.000000
1988-05-19,964.299988
1988-05-20,965.299988
1988-05-23,956.000000
1988-05-24,957.000000
1988-05-25,969.400024
1988-05-26,977.099976
1988-05-27,983.400024
1988-05-31,999.299988
1988-06-01,1006.400024
1988-06-02,1020.900024
1988-06-03,1023.900024
1988-06-06,1035.099976
1988-06-07,1031.199951
1988-06-08,1040.500000
1988-06-09,1042.599976
1988-06-10,1046.400024
1988-06-15,1066.500000
1988-06-16,1069.400024
1988-06-20,1072.300049
1988-06-21,1058.099976
1988-06-22,1072.000000
1988-06-23,1083.400024
1988-06-24,1082.699951
1988-06-27,1078.000000
1988-06-28,1079.599976
1988-06-29,1085.400024
1988-06-30,1093.199951
1988-07-01,1105.400024
1988-07-04,1094.500000
1988-07-05,1095.699951
1988-07-06,1091.900024
1988-07-07,1079.400024
1988-07-11,1095.900024
1988-07-12,1107.099976
1988-07-13,1109.199951
1988-07-14,1118.400024
1988-07-15,1131.000000
1988-07-18,1146.599976
1988-07-19,1136.199951
1988-07-20,1145.500000
1988-07-21,1152.500000
1988-07-22,1142.800049
1988-07-26,1132.500000
1988-07-27,1136.300049
1988-07-28,1136.599976
1988-07-29,1143.400024
1988-08-01,1162.599976
1988-08-02,1160.800049
1988-08-03,1170.199951
1988-08-04,1165.599976
1988-08-05,1172.099976
1988-08-08,1177.900024
1988-08-11,1135.300049
1988-08-12,1132.099976
1988-08-15,1122.800049
1988-08-16,1120.900024
1988-08-17,1120.300049
1988-08-18,1096.400024
1988-08-19,1081.500000
1988-08-22,1075.699951
1988-08-23,1067.000000
1988-08-24,1065.000000
1988-08-25,1070.900024
1988-08-26,1044.800049
1988-08-29,1020.299988
1988-08-30,1020.200012
1988-08-31,1036.599976
1988-09-01,1031.800049
1988-09-02,1049.300049
1988-09-05,1067.000000
1988-09-06,1062.300049
1988-09-07,1063.199951
1988-09-08,1066.599976
1988-09-09,1063.500000
1988-09-12,1065.500000
1988-09-13,1062.900024
1988-09-14,1067.500000
1988-09-15,1070.000000
1988-09-16,1064.900024
1988-09-19,1062.500000
1988-09-20,1040.000000
1988-09-21,1046.500000
1988-09-22,1045.900024
1988-09-23,1033.699951
1988-09-26,1023.099976
1988-09-27,1022.299988
1988-09-28,1030.300049
1988-09-29,1030.699951
1988-09-30,1035.000000
1988-10-03,1023.099976
1988-10-04,1005.299988
1988-10-05,993.200012
1988-10-06,997.700012
1988-10-07,1003.299988
1988-10-10,1015.900024
1988-10-11,1018.500000
1988-10-12,1004.200012
1988-10-13,997.200012
1988-10-14,994.599976
1988-10-17,1003.099976
1988-10-18,1016.400024
1988-10-19,1019.200012
1988-10-20,1022.299988
1988-10-21,1038.400024
1988-10-24,1044.500000
1988-10-25,1036.699951
1988-10-26,1043.199951
1988-10-27,1040.099976
1988-10-28,1035.000000
1988-10-31,1039.300049
1988-11-01,1032.699951
1988-11-02,1030.099976
1988-11-03,1030.199951
1988-11-04,1028.500000
1988-11-07,1023.299988
1988-11-09,1026.500000
1988-11-10,1014.099976
1988-11-11,1015.000000
1988-11-14,1002.700012
1988-11-15,997.799988
1988-11-16,998.599976
1988-11-17,991.200012
1988-11-18,991.400024
1988-11-21,992.799988
1988-11-22,999.500000
1988-11-23,1008.200012
1988-11-24,1012.200012
1988-11-25,1011.299988
1988-11-28,1002.599976
1988-11-29,1003.400024
1988-11-30,1005.500000
1988-12-01,1003.500000
1988-12-02,999.400024
1988-12-05,993.200012
1988-12-06,996.099976
1988-12-07,999.000000
1988-12-08,1002.799988
1988-12-09,1002.299988
1988-12-12,1001.200012
1988-12-13,1002.500000
1988-12-14,1001.299988
1988-12-15,1003.299988
1988-12-16,1002.599976
1988-12-19,1007.900024
1988-12-20,1014.799988
1988-12-21,1014.400024
1988-12-22,1016.099976
1988-12-23,1024.800049
1988-12-27,1036.500000
1988-12-28,1042.800049
1988-12-29,1044.199951
1988-12-30,1038.599976
1989-01-03,1034.199951
1989-01-04,1030.699951
1989-01-05,1034.099976
1989-01-06,1043.300049
1989-01-09,1072.000000
1989-01-10,1083.500000
1989-01-11,1085.599976
1989-01-12,1095.300049
1989-01-13,1099.199951
1989-01-16,1107.900024
1989-01-17,1104.800049
1989-01-18,1094.400024
1989-01-19,1099.699951
1989-01-20,1095.300049
1989-01-23,1096.000000
1989-01-24,1087.699951
1989-01-25,1101.400024
1989-01-26,1108.699951
1989-01-27,1115.500000
1989-01-30,1134.800049
1989-01-31,1133.300049
1989-02-01,1137.000000
1989-02-02,1128.300049
1989-02-03,1143.400024
1989-02-08,1151.199951
1989-02-09,1156.400024
1989-02-10,1156.000000
1989-02-13,1139.699951
1989-02-14,1120.199951
1989-02-15,1122.599976
1989-02-16,1129.800049
1989-02-17,1129.900024
1989-02-20,1132.800049
1989-02-21,1131.500000
1989-02-22,1138.800049
1989-02-23,1134.500000
1989-02-24,1135.199951
1989-02-27,1120.199951
1989-02-28,1108.300049
1989-03-01,1105.800049
1989-03-02,1105.500000
1989-03-03,1118.400024
1989-03-06,1119.900024
1989-03-07,1132.400024
1989-03-08,1137.000000
1989-03-09,1150.800049
1989-03-10,1154.900024
1989-03-13,1160.400024
1989-03-14,1167.000000
1989-03-15,1179.900024
1989-03-16,1185.800049
1989-03-17,1187.500000
1989-03-20,1169.099976
1989-03-21,1175.500000
1989-03-22,1183.400024
1989-03-23,1180.699951
1989-03-27,1183.900024
1989-03-28,1188.500000
1989-03-29,1194.599976
1989-03-30,1188.800049
1989-03-31,1189.800049
1989-04-03,1187.300049
1989-04-04,1193.300049
1989-04-05,1191.300049
1989-04-06,1192.500000
1989-04-07,1186.699951
1989-04-10,1192.000000
1989-04-11,1201.400024
1989-04-12,1219.000000
1989-04-13,1241.300049
1989-04-14,1244.300049
1989-04-17,1258.300049
1989-04-18,1257.599976
1989-04-19,1256.900024
1989-04-20,1250.000000
1989-04-21,1244.300049
1989-04-24,1247.199951
1989-04-25,1246.099976
1989-04-26,1250.300049
1989-04-27,1253.199951
1989-04-28,1259.400024
1989-05-02,1266.000000
1989-05-03,1284.900024
1989-05-04,1283.500000
1989-05-05,1282.500000
1989-05-09,1280.599976
1989-05-10,1280.699951
1989-05-11,1287.300049
1989-05-12,1285.099976
1989-05-15,1295.400024
1989-05-16,1303.500000
1989-05-17,1310.000000
1989-05-18,1309.699951
1989-05-22,1292.699951
1989-05-23,1291.900024
1989-05-24,1280.599976
1989-05-25,1257.699951
1989-05-26,1269.599976
1989-05-29,1265.500000
1989-05-30,1278.199951
1989-05-31,1279.199951
1989-06-01,1279.199951
1989-06-02,1305.199951
1989-06-05,1271.400024
1989-06-06,1233.099976
1989-06-07,1226.699951
1989-06-08,1207.099976
1989-06-09,1241.199951
1989-06-12,1208.699951
1989-06-13,1283.800049
1989-06-14,1298.500000
1989-06-15,1288.300049
1989-06-16,1296.500000
1989-06-19,1304.400024
1989-06-20,1303.099976
1989-06-21,1302.300049
1989-06-22,1294.400024
1989-06-23,1290.300049
1989-06-26,1287.599976
1989-06-27,1291.599976
1989-06-28,1308.400024
1989-06-29,1315.300049
1989-06-30,1307.699951
1989-07-03,1298.099976
1989-07-04,1303.800049
1989-07-05,1305.000000
1989-07-06,1318.599976
1989-07-07,1335.699951
1989-07-10,1345.400024
1989-07-11,1346.199951
1989-07-12,1353.699951
1989-07-14,1363.500000
1989-07-17,1359.000000
1989-07-18,1361.599976
1989-07-19,1369.000000
1989-07-20,1365.400024
1989-07-21,1361.900024
1989-07-24,1358.900024
1989-07-25,1371.400024
1989-07-26,1370.400024
1989-07-27,1366.400024
1989-07-28,1370.099976
1989-07-31,1372.300049
1989-08-01,1367.099976
1989-08-02,1362.300049
1989-08-03,1359.699951
1989-08-04,1349.199951
1989-08-07,1351.699951
1989-08-08,1361.800049
1989-08-10,1379.900024
1989-08-11,1377.400024
1989-08-14,1380.000000
1989-08-15,1371.599976
1989-08-16,1377.300049
1989-08-17,1375.599976
1989-08-18,1381.500000
1989-08-21,1387.000000
1989-08-22,1370.900024
1989-08-23,1376.699951
1989-08-24,1357.300049
1989-08-25,1355.199951
1989-08-28,1346.000000
1989-08-29,1342.500000
1989-08-30,1350.199951
1989-08-31,1356.000000
1989-09-01,1363.699951
1989-09-04,1382.300049
1989-09-05,1388.099976
1989-09-06,1396.699951
1989-09-07,1406.599976
1989-09-08,1419.699951
1989-09-11,1414.300049
1989-09-12,1413.400024
1989-09-13,1420.500000
1989-09-14,1411.300049
1989-09-15,1411.800049
1989-09-18,1404.500000
1989-09-19,1399.300049
1989-09-20,1395.000000
1989-09-21,1397.400024
1989-09-22,1392.800049
1989-09-25,1385.500000
1989-09-26,1387.599976
1989-09-27,1379.000000
1989-09-28,1371.400024
1989-09-29,1375.300049
1989-10-02,1375.300049
1989-10-03,1388.300049
1989-10-04,1408.300049
1989-10-05,1405.000000
1989-10-06,1420.599976
1989-10-09,1420.199951
1989-10-10,1420.900024
1989-10-11,1429.000000
1989-10-12,1431.900024
1989-10-13,1427.900024
1989-10-16,1285.000000
1989-10-17,1341.800049
1989-10-18,1310.199951
1989-10-19,1337.099976
1989-10-20,1345.599976
1989-10-23,1365.000000
1989-10-24,1358.400024
1989-10-25,1333.300049
1989-10-26,1330.400024
1989-10-27,1319.300049
1989-10-30,1302.800049
1989-10-31,1332.400024
1989-11-01,1335.199951
1989-11-02,1336.199951
1989-11-03,1330.800049
1989-11-06,1322.800049
1989-11-07,1320.800049
1989-11-08,1321.300049
1989-11-09,1325.199951
1989-11-10,1332.000000
1989-11-13,1336.400024
1989-11-14,1333.300049
1989-11-15,1333.699951
1989-11-16,1335.599976
1989-11-17,1337.699951
1989-11-20,1345.300049
1989-11-21,1349.400024
1989-11-22,1361.699951
1989-11-23,1378.099976
1989-11-24,1385.300049
1989-11-27,1393.699951
1989-11-28,1404.099976
1989-11-29,1410.099976
1989-11-30,1411.300049
1989-12-01,1408.500000
1989-12-04,1426.099976
1989-12-05,1431.400024
1989-12-06,1443.300049
1989-12-07,1445.500000
1989-12-08,1445.000000
1989-12-11,1448.500000
1989-12-12,1454.800049
1989-12-13,1464.300049
1989-12-14,1468.000000
1989-12-15,1468.599976
1989-12-18,1460.000000
1989-12-19,1452.199951
1989-12-20,1459.900024
1989-12-21,1472.400024
1989-12-22,1484.599976
1989-12-26,1484.599976
1989-12-27,1483.400024
1989-12-28,1484.500000
1989-12-29,1481.300049
1990-01-02,1499.500000
1990-01-03,1522.000000
1990-01-04,1534.199951
1990-01-05,1531.500000
1990-01-08,1547.199951
1990-01-09,1556.500000
1990-01-10,1569.500000
1990-01-11,1566.099976
1990-01-12,1559.199951
1990-01-15,1525.500000
1990-01-16,1512.500000
1990-01-17,1533.000000
1990-01-18,1532.800049
1990-01-19,1527.199951
1990-01-22,1535.400024
1990-01-23,1520.699951
1990-01-24,1495.300049
