date,value
1996-12-11,885.859985
1996-12-12,872.250000
1996-12-13,872.669983
1996-12-16,872.760010
1996-12-17,867.229980
1996-12-18,853.820007
1996-12-19,832.599976
1996-12-20,816.789978
1996-12-23,819.789978
1996-12-24,826.719971
1996-12-25,841.419983
1996-12-26,826.479980
1996-12-27,835.710022
1996-12-30,831.570007
1997-01-02,803.130005
1997-01-03,787.469971
1997-01-06,790.229980
1997-01-07,820.109985
1997-01-08,831.929993
1997-01-09,843.219971
1997-01-10,840.500000
1997-01-13,822.890015
1997-01-14,807.669983
1997-01-15,828.909973
1997-01-16,822.570007
1997-01-17,832.549988
1997-01-20,841.030029
1997-01-21,854.179993
1997-01-22,858.969971
1997-01-23,849.169983
1997-01-24,848.559998
1997-01-27,840.419983
1997-01-28,842.630005
1997-01-29,814.390015
1997-01-30,820.179993
1997-01-31,788.039978
1997-02-03,761.630005
1997-02-04,765.419983
1997-02-05,744.590027
1997-02-06,749.140015
1997-02-07,747.760010
1997-02-10,737.229980
1997-02-11,733.989990
1997-02-12,722.570007
1997-02-13,698.059998
1997-02-14,713.479980
1997-02-17,708.200012
1997-02-18,700.150024
1997-02-19,731.739990
1997-02-20,747.700012
1997-02-24,742.080017
1997-02-25,739.750000
1997-02-26,739.820007
1997-02-27,726.010010
1997-02-28,727.559998
1997-03-03,707.239990
1997-03-04,688.739990
1997-03-05,683.719971
1997-03-06,676.650024
1997-03-07,691.450012
1997-03-10,703.320007
1997-03-11,719.950012
1997-03-12,720.270020
1997-03-13,716.679993
1997-03-14,694.909973
1997-03-17,686.919983
1997-03-18,693.869995
1997-03-19,700.619995
1997-03-20,703.090027
1997-03-21,702.099976
1997-03-24,713.849976
1997-03-25,710.679993
1997-03-26,714.289978
1997-03-27,712.609985
1997-03-28,709.090027
1997-03-31,705.429993
1997-04-01,694.739990
1997-04-02,716.640015
1997-04-03,706.010010
1997-04-04,714.090027
1997-04-08,715.359985
1997-04-09,712.630005
1997-04-10,715.330017
1997-04-11,713.619995
1997-04-16,716.890015
1997-04-17,701.760010
1997-04-18,700.229980
1997-04-21,694.210022
1997-04-22,691.159973
1997-04-23,689.789978
