date,value
2003-04-14,7.199283
2003-04-15,7.284823
2003-04-16,7.368929
2003-04-17,7.421677
2003-04-21,7.418828
2003-04-22,7.443772
2003-04-23,7.478698
2003-04-24,7.331152
2003-04-25,7.209974
2003-04-28,7.329014
2003-04-29,7.537863
2003-04-30,7.516479
2003-05-01,7.487252
2003-05-02,7.602014
2003-05-05,7.683987
2003-05-06,7.723192
2003-05-07,7.708937
2003-05-08,7.641222
2003-05-09,7.731032
2003-05-12,7.838664
2003-05-13,7.794472
2003-05-14,7.755264
2003-05-15,7.770950
2003-05-16,7.776651
2003-05-19,7.591327
2003-05-20,7.629100
2003-05-21,7.635517
2003-05-22,7.704658
2003-05-23,7.783780
2003-05-27,8.062482
2003-05-28,8.097411
2003-05-29,8.108106
2003-05-30,8.202192
2003-06-02,8.261356
2003-06-03,8.198627
2003-06-04,8.304125
2003-06-05,8.312681
2003-06-06,8.390372
2003-06-09,8.318380
2003-06-10,8.403917
2003-06-11,8.411041
2003-06-12,8.474485
2003-06-13,8.471630
2003-06-16,8.562868
2003-06-17,8.738932
2003-06-18,8.706858
2003-06-19,8.706858
2003-06-20,8.706858
2003-06-23,8.493014
2003-06-24,8.430287
2003-06-25,8.500143
2003-06-26,8.592093
2003-06-27,8.552177
2003-06-30,8.546475
2003-07-01,8.639142
2003-07-02,8.842290
2003-07-03,8.867236
2003-07-07,9.086780
2003-07-08,9.112442
2003-07-09,9.091055
2003-07-10,8.931387
2003-07-11,9.006232
2003-07-14,9.164474
2003-07-15,9.049002
2003-07-16,9.056124
2003-07-17,8.819479
2003-07-18,8.937090
2003-07-21,8.818763
2003-07-22,8.924257
2003-07-23,8.867236
2003-07-24,8.910007
2003-07-25,9.056124
2003-07-28,9.106025
2003-07-29,9.054703
2003-07-30,8.988414
2003-07-31,9.031180
2003-08-01,9.051143
2003-08-04,9.011221
2003-08-05,8.914284
2003-08-06,8.874364
2003-08-07,8.939229
2003-08-08,8.999104
2003-08-11,9.038306
2003-08-12,9.073952
2003-08-13,9.202251
2003-08-14,9.323429
2003-08-15,9.230762
2003-08-18,9.427497
2003-08-19,9.473828
2003-08-20,9.475256
2003-08-21,9.649176
2003-08-22,9.698361
2003-08-25,9.622804
2003-08-26,9.505194
2003-08-27,9.615673
2003-08-28,9.682680
2003-08-29,9.752535
2003-09-02,9.897230
2003-09-03,9.975642
2003-09-04,10.011278
2003-09-05,10.002014
2003-09-08,10.191621
2003-09-09,10.014845
2003-09-10,9.848052
2003-09-11,9.836646
2003-09-12,9.906497
2003-09-15,9.760375
2003-09-16,9.961383
2003-09-17,9.918616
2003-09-18,10.032665
2003-09-19,9.986331
2003-09-22,9.823104
2003-09-23,9.847338
2003-09-24,9.865158
2003-09-25,9.719034
2003-09-26,9.651314
2003-09-29,9.719745
2003-09-30,9.689093
2003-10-01,9.943565
2003-10-02,10.086126
2003-10-03,10.185915
2003-10-06,10.225121
2003-10-07,10.214426
2003-10-08,10.290700
2003-10-09,10.463910
2003-10-10,10.592213
2003-10-13,10.752595
2003-10-14,10.547304
2003-10-15,10.674897
2003-10-16,10.672043
2003-10-17,10.607181
2003-10-20,10.666343
2003-10-21,10.719803
2003-10-22,10.562274
2003-10-23,10.406884
2003-10-24,10.352000
