date,value
2008-01-02,17.813404
2008-01-03,17.383001
2008-01-04,17.787706
2008-01-07,17.569292
2008-01-08,17.524324
2008-01-09,17.845516
2008-01-10,17.601414
2008-01-11,17.363731
2008-01-14,17.106775
2008-01-15,16.702068
2008-01-16,15.809150
2008-01-17,16.239552
2008-01-18,16.290943
2008-01-21,15.398026
2008-01-22,14.074704
2008-01-23,15.577895
2008-01-24,15.218151
2008-01-25,16.239552
2008-01-28,15.552195
2008-01-29,15.706372
2008-01-30,15.295243
2008-01-31,15.166766
2008-02-01,15.597163
2008-02-04,16.027561
2008-02-05,16.059683
2008-02-06,15.128213
2008-02-11,15.160339
2008-02-12,14.935506
2008-02-13,15.096103
2008-02-14,15.417296
2008-02-15,15.288817
2008-02-18,15.359478
2008-02-19,15.597163
2008-02-20,15.256697
2008-02-21,15.275969
2008-02-22,15.070402
2008-02-25,15.044710
2008-02-26,15.333789
2008-02-27,15.828423
2008-02-28,15.899085
2008-02-29,15.610015
2008-03-03,15.250273
2008-03-04,14.948357
2008-03-05,14.948357
2008-03-06,15.096103
2008-03-07,14.550068
2008-03-10,14.678552
2008-03-11,14.871265
2008-03-12,15.141062
2008-03-13,14.421598
2008-03-14,14.383049
2008-03-17,13.644309
2008-03-18,13.837024
2008-03-19,14.209607
2008-03-20,13.721394
2008-03-25,14.601460
2008-03-26,14.697822
2008-03-27,14.729939
2008-03-28,15.128213
2008-03-31,14.845572
2008-04-01,15.031861
2008-04-02,15.507229
2008-04-03,15.757760
2008-04-07,15.963326
2008-04-08,15.789884
2008-04-09,15.577895
2008-04-10,15.712798
2008-04-11,16.021139
2008-04-14,15.475109
2008-04-15,15.532924
2008-04-16,15.520081
2008-04-17,15.783457
2008-04-18,15.744912
2008-04-21,16.078957
2008-04-22,16.220278
2008-04-23,16.445120
2008-04-24,16.702068
2008-04-25,16.592863
2008-04-28,16.689222
2008-04-29,16.708494
2008-04-30,16.612133
2008-05-02,16.946177
2008-05-05,16.907633
2008-05-06,16.965448
2008-05-07,16.547901
2008-05-08,16.445120
2008-05-09,16.207434
2008-05-13,16.535051
2008-05-14,16.522202
2008-05-15,16.515774
2008-05-16,16.586443
2008-05-19,16.663528
2008-05-20,16.316637
2008-05-21,16.528627
2008-05-22,16.265251
2008-05-23,16.053257
2008-05-26,15.674256
2008-05-27,15.770610
2008-05-28,15.751335
2008-05-29,15.841271
2008-05-30,15.937629
2008-06-02,16.130348
2008-06-03,15.834844
2008-06-04,15.687094
2008-06-05,15.777032
2008-06-06,15.866967
2008-06-10,15.224580
2008-06-11,15.198883
2008-06-12,15.006170
2008-06-13,14.999745
2008-06-16,15.012593
2008-06-17,15.038287
2008-06-18,15.211731
2008-06-19,14.877689
2008-06-20,14.845572
2008-06-23,14.826301
2008-06-24,14.659279
2008-06-25,14.774908
2008-06-26,14.659279
2008-06-27,14.395899
2008-06-30,14.434443
2008-07-02,14.177485
2008-07-03,13.881989
2008-07-04,13.997621
2008-07-07,14.312389
2008-07-08,13.862721
2008-07-09,14.241727
2008-07-10,14.254574
2008-07-11,14.485837
2008-07-14,14.376628
2008-07-15,13.837024
2008-07-16,13.869143
2008-07-17,14.196765
2008-07-18,14.286696
2008-07-21,14.710670
2008-07-22,14.704245
2008-07-23,15.096103
2008-07-24,15.070402
2008-07-25,14.845572
2008-07-28,14.807027
2008-07-29,14.530798
2008-07-30,14.813452
2008-07-31,14.839145
2008-08-01,14.922657
2008-08-04,14.697822
2008-08-05,14.331659
2008-08-07,14.434443
2008-08-08,14.293119
2008-08-11,14.273844
2008-08-12,14.132517
2008-08-13,13.907686
2008-08-14,13.971926
2008-08-15,13.824175
2008-08-18,13.682849
2008-08-19,13.393774
2008-08-20,13.708548
2008-08-21,13.361658
2008-08-25,13.817753
2008-08-26,13.785633
2008-08-27,14.055434
2008-08-28,13.740665
2008-08-29,13.926958
2008-09-01,13.702121
2008-09-02,13.785633
2008-09-03,13.490133
2008-09-04,13.368079
2008-09-05,13.072584
2008-09-08,13.631455
2008-09-09,13.445165
2008-09-10,13.143244
2008-09-11,12.751390
2008-09-12,12.751390
2008-09-16,12.076883
2008-09-17,11.652906
2008-09-18,11.652906
2008-09-19,12.744962
2008-09-22,12.944103
2008-09-23,12.455888
2008-09-24,12.513703
2008-09-25,12.494435
2008-09-26,12.333838
2008-09-29,11.819926
2008-09-30,11.903438
2008-10-02,12.031914
2008-10-03,11.691446
2008-10-06,11.126149
2008-10-08,10.239653
2008-10-09,10.573696
2008-10-10,9.834949
2008-10-13,10.811380
2008-10-14,11.145421
2008-10-15,10.605815
2008-10-16,10.111177
2008-10-17,9.674353
2008-10-20,10.168993
2008-10-21,9.989121
2008-10-22,9.488063
2008-10-23,9.160444
2008-10-24,8.428122
2008-10-27,7.393878
2008-10-28,8.415276
2008-10-29,8.485938
2008-10-30,9.243954
2008-10-31,9.012696
2008-11-03,9.256801
2008-11-04,9.282495
2008-11-05,9.571569
2008-11-06,8.909912
2008-11-07,9.205412
2008-11-10,9.526604
2008-11-11,9.076935
2008-11-12,9.006271
2008-11-13,8.543752
2008-11-14,8.755739
2008-11-17,8.742891
2008-11-18,8.351034
2008-11-19,8.312491
2008-11-20,7.978449
2008-11-21,8.209709
2008-11-24,8.081234
2008-11-25,8.357459
2008-11-26,8.685078
2008-11-27,8.800707
2008-11-28,9.019119
2008-12-01,9.166866
2008-12-02,8.710772
2008-12-03,8.832826
2008-12-04,8.781434
2008-12-05,8.999848
2008-12-08,9.770711
2008-12-09,9.584417
2008-12-10,10.111177
2008-12-11,10.136870
2008-12-12,9.584417
2008-12-15,9.770711
2008-12-16,9.822104
2008-12-17,10.040513
2008-12-18,10.059785
2008-12-19,9.822104
2008-12-22,9.494483
2008-12-23,9.237531
2008-12-24,9.211833
2008-12-29,9.308191
2008-12-30,9.243954
2008-12-31,9.346737
2009-01-02,9.751439
2009-01-05,10.098329
2009-01-06,10.021241
2009-01-07,9.751439
2009-01-08,9.378855
2009-01-09,9.353160
2009-01-12,9.096205
2009-01-13,8.903486
2009-01-14,8.929184
2009-01-15,8.620839
2009-01-16,8.595143
2009-01-19,8.659380
2009-01-20,8.402425
2009-01-21,8.158319
2009-01-22,8.235407
2009-01-23,8.171168
2009-01-29,8.530903
2009-01-30,8.607991
2009-02-02,8.363883
2009-02-03,8.299645
2009-02-04,8.479512
2009-02-05,8.556600
2009-02-06,8.839248
2009-02-09,8.929184
2009-02-10,8.980576
2009-02-11,8.800707
2009-02-12,8.607991
2009-02-13,8.787859
2009-02-16,8.697926
2009-02-17,8.389578
2009-02-18,8.453816
2009-02-19,8.466663
2009-02-20,8.286795
2009-02-23,8.569446
2009-02-24,8.299645
2009-02-25,8.428122
2009-02-26,8.376730
2009-02-27,8.338184
2009-03-02,7.952754
2009-03-03,7.837128
2009-03-04,8.016994
2009-03-05,7.939908
2009-03-06,7.824277
2009-03-09,7.528779
2009-03-10,7.670105
2009-03-11,7.772886
2009-03-12,7.811432
2009-03-13,8.145472
2009-03-16,8.415276
2009-03-17,8.351034
2009-03-18,8.543752
2009-03-19,8.505207
2009-03-20,8.338184
2009-03-23,8.762162
2009-03-24,9.044815
2009-03-25,8.877791
2009-03-26,9.173290
2009-03-27,9.186139
2009-03-30,8.775015
2009-03-31,8.864945
2009-04-01,8.800707
2009-04-02,9.455943
2009-04-03,9.455943
2009-04-06,9.777134
2009-04-07,9.725743
2009-04-08,9.404552
2009-04-09,9.687201
2009-04-14,10.111177
2009-04-15,10.188264
2009-04-16,10.124023
2009-04-17,10.162568
2009-04-20,10.239653
2009-04-21,9.969851
2009-04-22,9.687201
2009-04-23,9.918459
2009-04-24,9.957005
2009-04-27,9.687201
2009-04-28,9.494483
2009-04-29,9.648657
2009-04-30,10.008395
2009-05-04,10.586543
2009-05-05,10.625086
2009-05-06,10.882043
2009-05-07,11.113299
2009-05-08,11.241777
2009-05-11,11.049061
2009-05-12,11.100453
2009-05-13,11.010517
2009-05-14,10.676477
2009-05-15,10.856347
2009-05-18,11.010517
2009-05-19,11.357407
2009-05-20,11.306017
2009-05-21,11.151845
2009-05-22,11.074759
2009-05-25,11.126149
2009-05-26,11.074759
2009-05-27,11.665754
2009-05-29,11.845622
2009-06-01,12.282446
