date,value
2020-09-14,14.745379
2020-09-15,15.095238
2020-09-16,15.262156
2020-09-17,15.069777
2020-09-18,15.099268
2020-09-21,14.843682
2020-09-22,14.873174
2020-09-23,15.010798
2020-09-24,14.548775
2020-09-25,14.273528
2020-09-28,14.381660
2020-09-29,14.578266
2020-09-30,14.558605
2020-10-05,14.588097
2020-10-06,15.059947
2020-10-07,15.413838
2020-10-08,15.413838
2020-10-09,15.472818
2020-10-12,15.934840
2020-10-14,15.993822
2020-10-15,15.531800
2020-10-16,15.738235
2020-10-19,15.679255
2020-10-20,15.748065
2020-10-21,15.698915
2020-10-22,15.659594
2020-10-23,15.394176
2020-10-27,15.512140
2020-10-28,15.738235
2020-10-29,16.013483
2020-10-30,15.482649
2020-11-02,15.610443
2020-11-03,15.895518
2020-11-04,16.052803
2020-11-05,16.750751
2020-11-06,16.750751
2020-11-09,17.301247
2020-11-10,16.377203
2020-11-11,15.404007
2020-11-12,15.954501
2020-11-13,16.298559
2020-11-16,16.642620
2020-11-17,16.426353
2020-11-18,16.377203
2020-11-19,16.269070
2020-11-20,16.416525
2020-11-23,16.593466
2020-11-24,16.652451
2020-11-25,16.278898
2020-11-26,16.554146
2020-11-27,16.642620
2020-11-30,16.514824
2020-12-01,16.387033
2020-12-02,16.219917
2020-12-03,16.328053
2020-12-04,16.406694
2020-12-07,16.308392
2020-12-08,16.613129
2020-12-09,16.809734
2020-12-10,16.495165
2020-12-11,16.632788
2020-12-14,16.701599
2020-12-15,16.593466
2020-12-16,16.711430
2020-12-17,17.104641
2020-12-18,17.055489
2020-12-21,16.829393
2020-12-22,16.721260
2020-12-23,17.281586
2020-12-24,16.750751
2020-12-28,16.101954
2020-12-29,16.495165
2020-12-30,17.025997
2020-12-31,17.261921
2021-01-04,17.517508
2021-01-05,17.350397
2021-01-06,17.684626
2021-01-07,17.301247
2021-01-08,17.743607
2021-01-11,17.822248
2021-01-12,17.891062
2021-01-13,17.792755
2021-01-14,18.284273
2021-01-15,18.028685
2021-01-18,18.667652
2021-01-19,19.208315
2021-01-20,20.250322
2021-01-21,20.348625
2021-01-22,20.093039
2021-01-25,21.017078
2021-01-26,20.623869
2021-01-27,20.171682
2021-01-28,19.463900
2021-01-29,19.277126
2021-02-01,20.034052
2021-02-02,20.486246
2021-02-03,20.820475
2021-02-04,20.407608
2021-02-05,20.132359
2021-02-08,19.994734
2021-02-09,20.545229
2021-02-10,20.958097
2021-02-11,21.292328
2021-02-16,21.901806
2021-02-17,22.589920
2021-02-18,21.921463
2021-02-19,21.685537
2021-02-22,20.584551
2021-02-23,20.348625
2021-02-24,19.316448
2021-02-25,19.562202
2021-02-26,18.579176
2021-03-01,19.110010
2021-03-02,19.168993
2021-03-03,19.404919
2021-03-04,18.284273
2021-03-05,17.733780
2021-03-08,16.691771
2021-03-09,16.603296
2021-03-10,16.849054
2021-03-11,17.704287
2021-03-12,17.468361
2021-03-15,16.976847
2021-03-16,17.458529
2021-03-17,17.615814
2021-03-18,17.773096
2021-03-19,17.664965
2021-03-22,17.448700
2021-03-23,17.094809
2021-03-24,16.593466
2021-03-25,16.328053
2021-03-26,16.701599
2021-03-29,16.367371
2021-03-30,16.750751
2021-03-31,16.839224
2021-04-01,17.497852
