date,value
2000-01-07,413.809998
2000-01-10,405.010010
2000-01-11,401.559998
2000-01-12,402.350006
2000-01-13,406.200012
2000-01-14,411.380005
2000-01-18,401.890015
2000-01-19,407.130005
2000-01-20,401.799988
2000-01-21,399.079987
2000-01-24,379.609985
2000-01-25,381.980011
2000-01-26,385.320007
2000-01-27,385.880005
2000-01-28,393.869995
2000-01-31,406.670013
2000-02-01,404.950012
2000-02-02,404.619995
2000-02-03,405.029999
2000-02-04,402.329987
2000-02-07,405.809998
2000-02-08,411.480011
2000-02-09,399.029999
2000-02-10,388.540009
2000-02-11,376.220001
2000-02-14,382.220001
2000-02-15,386.119995
2000-02-16,385.899994
2000-02-17,381.769989
2000-02-18,369.970001
2000-02-22,374.700012
2000-02-23,372.480011
2000-02-24,365.339996
2000-02-25,357.440002
2000-02-28,358.130005
2000-02-29,358.380005
2000-03-01,351.029999
2000-03-02,352.799988
2000-03-03,351.489990
2000-03-06,340.880005
2000-03-07,321.100006
2000-03-08,340.799988
2000-03-09,360.730011
2000-03-10,359.600006
2000-03-13,350.000000
2000-03-14,341.920013
2000-03-15,366.049988
2000-03-16,387.459991
2000-03-17,375.640015
2000-03-20,371.609985
2000-03-21,380.570007
2000-03-22,382.079987
2000-03-23,377.299988
2000-03-24,365.299988
2000-03-27,362.760010
2000-03-28,366.359985
2000-03-29,376.940002
2000-03-30,375.630005
2000-03-31,376.500000
2000-04-03,393.420013
2000-04-04,407.929993
2000-04-05,402.200012
2000-04-06,393.529999
2000-04-07,391.320007
2000-04-10,398.429993
2000-04-11,407.829987
2000-04-12,404.769989
2000-04-13,404.790009
2000-04-14,390.440002
2000-04-17,397.709991
2000-04-18,408.579987
2000-04-19,409.399994
2000-04-20,409.359985
2000-04-24,416.950012
2000-04-25,417.940002
2000-04-26,415.660004
2000-04-27,413.739990
2000-04-28,407.709991
2000-05-01,404.390015
2000-05-02,410.290009
2000-05-03,406.369995
2000-05-04,407.720001
2000-05-05,422.029999
