date,value
1999-03-10,43.027054
1999-03-11,43.237724
1999-03-12,42.184414
1999-03-15,43.395702
1999-03-16,43.764362
1999-03-17,43.448360
1999-03-18,44.291000
1999-03-19,43.158722
1999-03-22,42.632065
1999-03-23,41.131119
1999-03-24,42.526741
1999-03-25,44.080341
1999-03-26,43.606369
1999-03-29,45.186314
1999-03-30,44.870316
1999-03-31,44.212013
1999-04-01,45.133636
1999-04-05,46.766247
1999-04-06,46.858406
1999-04-07,46.371254
1999-04-08,46.739922
1999-04-09,47.029579
1999-04-12,46.713585
1999-04-13,46.081608
1999-04-14,44.501671
1999-04-15,45.107327
1999-04-16,43.790691
1999-04-19,41.736759
1999-04-20,42.684723
1999-04-21,44.791321
1999-04-22,46.002602
1999-04-23,46.608269
1999-04-26,47.681282
1999-04-27,46.950577
1999-04-28,45.344296
1999-04-29,44.975655
1999-04-30,45.265312
1999-05-03,45.028328
1999-05-04,44.317345
1999-05-05,45.660294
1999-05-06,44.001339
1999-05-07,44.633316
1999-05-10,45.080982
1999-05-11,45.791965
1999-05-12,46.739922
1999-05-13,45.870956
1999-05-14,45.001999
1999-05-17,45.811710
1999-05-18,45.607616
1999-05-19,46.239594
1999-05-20,44.969067
1999-05-21,44.554337
1999-05-24,43.422062
1999-05-25,42.000080
1999-05-26,43.171883
1999-05-27,43.132397
1999-05-28,43.843361
1999-06-01,42.869064
1999-06-02,43.593189
1999-06-03,42.974400
1999-06-04,44.291000
1999-06-07,45.212635
1999-06-08,44.080341
1999-06-09,44.817646
1999-06-10,44.304176
1999-06-11,43.632702
1999-06-14,42.809799
1999-06-15,43.448360
1999-06-16,45.680031
1999-06-17,46.186916
1999-06-18,46.397591
1999-06-21,47.786621
1999-06-22,46.344936
1999-06-23,47.075661
1999-06-24,46.140850
1999-06-25,46.081608
1999-06-28,47.174408
1999-06-29,47.819553
1999-06-30,48.556843
1999-07-01,48.886013
1999-07-02,49.504822
1999-07-06,49.188828
1999-07-07,49.267815
1999-07-08,49.926136
1999-07-09,50.426445
1999-07-12,50.163113
1999-07-13,49.926136
1999-07-14,50.775345
1999-07-15,51.242752
1999-07-16,51.716736
1999-07-19,51.190079
1999-07-20,49.215164
1999-07-21,49.452164
1999-07-22,48.194771
1999-07-23,48.267204
1999-07-26,47.082249
1999-07-27,48.030205
1999-07-28,48.971581
1999-07-29,47.924873
1999-07-30,47.687893
1999-08-02,47.556213
1999-08-03,47.246822
1999-08-04,46.391022
1999-08-05,47.128304
1999-08-06,46.621414
1999-08-09,46.022354
1999-08-10,45.607616
1999-08-11,47.108574
1999-08-12,46.555592
1999-08-13,48.583187
1999-08-16,48.971581
1999-08-17,49.215164
1999-08-18,48.662193
1999-08-19,48.082863
1999-08-20,48.846493
1999-08-23,50.400108
1999-08-24,50.742435
1999-08-25,51.822060
1999-08-26,50.959660
1999-08-27,50.452766
1999-08-30,49.741814
1999-08-31,50.294777
1999-09-01,50.656841
1999-09-02,50.479107
1999-09-03,52.796360
1999-09-07,52.559357
1999-09-08,51.848389
1999-09-09,52.585701
1999-09-10,53.191360
1999-09-13,52.552784
1999-09-14,52.842434
1999-09-15,51.822060
1999-09-16,51.795727
1999-09-17,53.349339
1999-09-20,53.474415
1999-09-21,52.190708
1999-09-22,52.743683
1999-09-23,50.558105
1999-09-24,50.623932
1999-09-27,50.979424
1999-09-28,51.216408
1999-09-29,50.189442
1999-09-30,50.716125
1999-10-01,50.735844
1999-10-04,51.874714
1999-10-05,52.243382
1999-10-06,53.290085
1999-10-07,53.165016
1999-10-08,53.724567
1999-10-11,54.481640
1999-10-12,53.243999
1999-10-13,51.664047
1999-10-14,51.986637
1999-10-15,50.452766
1999-10-18,49.814205
1999-10-19,50.084126
1999-10-20,51.611389
1999-10-21,52.454044
1999-10-22,52.217026
1999-10-25,52.243382
1999-10-26,51.822060
1999-10-27,51.743057
1999-10-28,53.533661
1999-10-29,55.403267
1999-11-01,55.113617
1999-11-02,55.146519
1999-11-03,56.245918
1999-11-04,56.877865
1999-11-05,57.457207
1999-11-08,58.615795
1999-11-09,58.220818
1999-11-10,58.984467
1999-11-11,60.037758
1999-11-12,60.827724
1999-11-15,60.709229
1999-11-16,62.249638
